"Date","LFAC55TTCAM647S"
1976-01-01,1002800
1976-02-01,991800
1976-03-01,974800
1976-04-01,1008900
1976-05-01,1001200
1976-06-01,1016600
1976-07-01,1022300
1976-08-01,1020200
1976-09-01,1057900
1976-10-01,1017800
1976-11-01,1032800
1976-12-01,1044100
1977-01-01,1042000
1977-02-01,1024100
1977-03-01,1014000
1977-04-01,1028400
1977-05-01,1029100
1977-06-01,1021400
1977-07-01,1031800
1977-08-01,1021900
1977-09-01,1036300
1977-10-01,1023500
1977-11-01,1048800
1977-12-01,1045600
1978-01-01,1046400
1978-02-01,1040100
1978-03-01,1041900
1978-04-01,1050600
1978-05-01,1046600
1978-06-01,1047400
1978-07-01,1061700
1978-08-01,1058600
1978-09-01,1071400
1978-10-01,1051900
1978-11-01,1073200
1978-12-01,1067800
1979-01-01,1087500
1979-02-01,1078600
1979-03-01,1085200
1979-04-01,1095700
1979-05-01,1095800
1979-06-01,1106200
1979-07-01,1114300
1979-08-01,1106400
1979-09-01,1102800
1979-10-01,1080900
1979-11-01,1083500
1979-12-01,1086000
1980-01-01,1095200
1980-02-01,1086100
1980-03-01,1084600
1980-04-01,1080100
1980-05-01,1104700
1980-06-01,1106600
1980-07-01,1125500
1980-08-01,1122600
1980-09-01,1110200
1980-10-01,1113200
1980-11-01,1111200
1980-12-01,1110100
1981-01-01,1077600
1981-02-01,1088800
1981-03-01,1085700
1981-04-01,1074600
1981-05-01,1107100
1981-06-01,1121700
1981-07-01,1142800
1981-08-01,1163000
1981-09-01,1155200
1981-10-01,1136300
1981-11-01,1148500
1981-12-01,1144700
1982-01-01,1128100
1982-02-01,1122600
1982-03-01,1128600
1982-04-01,1118800
1982-05-01,1131200
1982-06-01,1111400
1982-07-01,1114900
1982-08-01,1101600
1982-09-01,1104600
1982-10-01,1099800
1982-11-01,1137700
1982-12-01,1150800
1983-01-01,1177600
1983-02-01,1174400
1983-03-01,1190600
1983-04-01,1170600
1983-05-01,1155800
1983-06-01,1120300
1983-07-01,1122000
1983-08-01,1125900
1983-09-01,1137000
1983-10-01,1142700
1983-11-01,1147100
1983-12-01,1168400
1984-01-01,1168600
1984-02-01,1169700
1984-03-01,1182000
1984-04-01,1152500
1984-05-01,1158500
1984-06-01,1144000
1984-07-01,1141100
1984-08-01,1132800
1984-09-01,1142300
1984-10-01,1152600
1984-11-01,1150300
1984-12-01,1152400
1985-01-01,1174800
1985-02-01,1172000
1985-03-01,1175400
1985-04-01,1165500
1985-05-01,1163800
1985-06-01,1149600
1985-07-01,1161100
1985-08-01,1162200
1985-09-01,1164800
1985-10-01,1164900
1985-11-01,1175600
1985-12-01,1179400
1986-01-01,1166400
1986-02-01,1165700
1986-03-01,1161900
1986-04-01,1153300
1986-05-01,1173100
1986-06-01,1156600
1986-07-01,1154500
1986-08-01,1150900
1986-09-01,1147400
1986-10-01,1143400
1986-11-01,1138900
1986-12-01,1150400
1987-01-01,1152700
1987-02-01,1155600
1987-03-01,1167300
1987-04-01,1166400
1987-05-01,1162900
1987-06-01,1137800
1987-07-01,1155400
1987-08-01,1159800
1987-09-01,1171900
1987-10-01,1173700
1987-11-01,1162300
1987-12-01,1188000
1988-01-01,1150100
1988-02-01,1147300
1988-03-01,1141900
1988-04-01,1153300
1988-05-01,1171200
1988-06-01,1166400
1988-07-01,1173800
1988-08-01,1198000
1988-09-01,1199300
1988-10-01,1197200
1988-11-01,1172500
1988-12-01,1182800
1989-01-01,1152900
1989-02-01,1160700
1989-03-01,1153400
1989-04-01,1166000
1989-05-01,1147600
1989-06-01,1175600
1989-07-01,1145100
1989-08-01,1161900
1989-09-01,1184500
1989-10-01,1199200
1989-11-01,1165800
1989-12-01,1175700
1990-01-01,1161500
1990-02-01,1145000
1990-03-01,1128000
1990-04-01,1152300
1990-05-01,1148500
1990-06-01,1165500
1990-07-01,1169700
1990-08-01,1176300
1990-09-01,1181000
1990-10-01,1197600
1990-11-01,1170300
1990-12-01,1175000
1991-01-01,1167700
1991-02-01,1172400
1991-03-01,1185900
1991-04-01,1170300
1991-05-01,1149400
1991-06-01,1151800
1991-07-01,1155800
1991-08-01,1143900
1991-09-01,1144000
1991-10-01,1175900
1991-11-01,1155700
1991-12-01,1144700
1992-01-01,1154300
1992-02-01,1154900
1992-03-01,1161400
1992-04-01,1146000
1992-05-01,1143200
1992-06-01,1128200
1992-07-01,1139100
1992-08-01,1121700
1992-09-01,1129100
1992-10-01,1184200
1992-11-01,1192300
1992-12-01,1178300
1993-01-01,1178300
1993-02-01,1187900
1993-03-01,1189800
1993-04-01,1179900
1993-05-01,1151000
1993-06-01,1132300
1993-07-01,1146700
1993-08-01,1135900
1993-09-01,1104400
1993-10-01,1142800
1993-11-01,1158200
1993-12-01,1139700
1994-01-01,1141000
1994-02-01,1168200
1994-03-01,1174100
1994-04-01,1204000
1994-05-01,1185800
1994-06-01,1185700
1994-07-01,1163700
1994-08-01,1179800
1994-09-01,1154000
1994-10-01,1186600
1994-11-01,1184000
1994-12-01,1183000
1995-01-01,1180100
1995-02-01,1167800
1995-03-01,1160700
1995-04-01,1157800
1995-05-01,1141000
1995-06-01,1160000
1995-07-01,1153900
1995-08-01,1160200
1995-09-01,1146200
1995-10-01,1177000
1995-11-01,1174500
1995-12-01,1163900
1996-01-01,1156000
1996-02-01,1161800
1996-03-01,1159200
1996-04-01,1165200
1996-05-01,1164500
1996-06-01,1199100
1996-07-01,1186100
1996-08-01,1191200
1996-09-01,1169000
1996-10-01,1184400
1996-11-01,1185200
1996-12-01,1187500
1997-01-01,1183700
1997-02-01,1212000
1997-03-01,1208500
1997-04-01,1225200
1997-05-01,1228000
1997-06-01,1239800
1997-07-01,1231800
1997-08-01,1228500
1997-09-01,1223200
1997-10-01,1239800
1997-11-01,1239200
1997-12-01,1235300
1998-01-01,1230900
1998-02-01,1254800
1998-03-01,1250300
1998-04-01,1251000
1998-05-01,1241500
1998-06-01,1265100
1998-07-01,1272600
1998-08-01,1272500
1998-09-01,1284300
1998-10-01,1295900
1998-11-01,1295100
1998-12-01,1285400
1999-01-01,1300300
1999-02-01,1295800
1999-03-01,1302100
1999-04-01,1350400
1999-05-01,1339300
1999-06-01,1329900
1999-07-01,1340700
1999-08-01,1344400
1999-09-01,1340800
1999-10-01,1357700
1999-11-01,1361100
1999-12-01,1369500
2000-01-01,1381700
2000-02-01,1381100
2000-03-01,1364600
2000-04-01,1400700
2000-05-01,1406800
2000-06-01,1411700
2000-07-01,1403500
2000-08-01,1426900
2000-09-01,1407100
2000-10-01,1433700
2000-11-01,1438600
2000-12-01,1428900
2001-01-01,1433400
2001-02-01,1421600
2001-03-01,1469500
2001-04-01,1450700
2001-05-01,1448700
2001-06-01,1477300
2001-07-01,1492200
2001-08-01,1477400
2001-09-01,1479800
2001-10-01,1493600
2001-11-01,1505200
2001-12-01,1525400
2002-01-01,1575600
2002-02-01,1558500
2002-03-01,1569900
2002-04-01,1580000
2002-05-01,1587100
2002-06-01,1602800
2002-07-01,1622200
2002-08-01,1650800
2002-09-01,1654800
2002-10-01,1670900
2002-11-01,1706900
2002-12-01,1725100
2003-01-01,1751500
2003-02-01,1759300
2003-03-01,1774500
2003-04-01,1793300
2003-05-01,1790400
2003-06-01,1800400
2003-07-01,1807200
2003-08-01,1839500
2003-09-01,1836500
2003-10-01,1837900
2003-11-01,1857100
2003-12-01,1870800
2004-01-01,1880000
2004-02-01,1895100
2004-03-01,1881300
2004-04-01,1898100
2004-05-01,1924400
2004-06-01,1910700
2004-07-01,1907700
2004-08-01,1902300
2004-09-01,1932900
2004-10-01,1949600
2004-11-01,1970800
2004-12-01,1967900
2005-01-01,1980100
2005-02-01,1996200
2005-03-01,1998100
2005-04-01,2010100
2005-05-01,2006300
2005-06-01,2022700
2005-07-01,2020800
2005-08-01,2025200
2005-09-01,2040200
2005-10-01,2046100
2005-11-01,2047400
2005-12-01,2049500
2006-01-01,2062600
2006-02-01,2073600
2006-03-01,2082000
