"Date","M10014M144NNBR"
1943-10-01,25.2
1943-11-01,117.7
1943-12-01,9.8
1944-01-01,25.9
1944-02-01,54.1
1944-03-01,15.3
1944-04-01,60.5
1944-05-01,28
1944-06-01,30
1944-07-01,25.8
1944-08-01,55.4
1944-09-01,10.4
1944-10-01,121
1944-11-01,16.8
1944-12-01,15
1945-01-01,26.3
1945-02-01,9.4
1945-03-01,54
1945-04-01,57.7
1945-05-01,129
1945-06-01,1
1945-07-01,132.1
1945-08-01,74.3
1945-09-01,78.3
1945-10-01,124
1945-11-01,51.5
1945-12-01,46.8
1946-01-01,96.1
1946-02-01,36.6
1946-03-01,107.8
1946-04-01,258.9
1946-05-01,130.4
1946-06-01,128.2
1946-07-01,107.6
1946-08-01,213.4
1946-09-01,128.1
1946-10-01,119.9
1946-11-01,531.2
