"Date","LRUN55FECAM156S"
1995-01-01,8.86504674521552
1995-02-01,7.19774909440483
1995-03-01,7.55252542585574
1995-04-01,8.44567548050864
1995-05-01,7.43721852883981
1995-06-01,8.6912154462958
1995-07-01,8.41480274000739
1995-08-01,8.13146676328962
1995-09-01,8.23028839105538
1995-10-01,7.55971529251542
1995-11-01,7.66664055303288
1995-12-01,7.97321532967647
1996-01-01,7.31952517676229
1996-02-01,6.85126845825251
1996-03-01,7.02610290970341
1996-04-01,8.18406276255526
1996-05-01,7.2070504287107
1996-06-01,7.38582363636168
1996-07-01,7.91941087960891
1996-08-01,7.21863813596966
1996-09-01,8.15415759172524
1996-10-01,8.43680145026464
1996-11-01,7.81390512949484
1996-12-01,7.56657657211427
1997-01-01,8.20473115476306
1997-02-01,7.84453612651659
1997-03-01,7.89603545994522
1997-04-01,7.43882947227251
1997-05-01,8.99888424968662
1997-06-01,7.13756208573151
1997-07-01,7.83103505332665
1997-08-01,6.56157735288745
1997-09-01,8.21717743135621
1997-10-01,7.69953866522655
1997-11-01,7.87023705901045
1997-12-01,6.32525862834465
1998-01-01,7.34867240592638
1998-02-01,7.25470075404826
1998-03-01,7.34949808242633
1998-04-01,6.67039610678723
1998-05-01,6.10114235891179
1998-06-01,6.49552194320492
1998-07-01,6.72749264888948
1998-08-01,6.69158579089808
1998-09-01,6.61877661289197
1998-10-01,6.67424904000392
1998-11-01,6.13393132328205
1998-12-01,6.61896596311021
1999-01-01,6.69418229518893
1999-02-01,5.76401843262515
1999-03-01,6.2935723901497
1999-04-01,5.52040515820892
1999-05-01,5.13470652353975
1999-06-01,4.17833770601702
1999-07-01,4.57303994401746
1999-08-01,5.76702832278088
1999-09-01,5.54476579220781
1999-10-01,4.74310306277919
1999-11-01,4.72022281383254
1999-12-01,4.67684018553232
2000-01-01,4.53981219993342
2000-02-01,5.43112972502314
2000-03-01,4.61857130918682
2000-04-01,4.68808369369056
2000-05-01,5.23983698919481
2000-06-01,5.9554148810973
2000-07-01,6.08642650943293
2000-08-01,6.61501504303625
2000-09-01,6.38613387200016
2000-10-01,6.64767375616521
2000-11-01,4.90413755151897
2000-12-01,4.62090762481221
2001-01-01,5.36641335207264
2001-02-01,5.62177719877719
2001-03-01,4.91384785220199
2001-04-01,4.9401263903433
2001-05-01,4.73112495418326
2001-06-01,5.64884708248788
2001-07-01,6.11734620915632
2001-08-01,5.51592244235244
2001-09-01,5.850271735419
2001-10-01,5.91288771682894
2001-11-01,6.46252441896019
2001-12-01,6.45078210429444
2002-01-01,6.04900725664924
2002-02-01,5.86111539249774
2002-03-01,6.16031471590264
2002-04-01,5.46257563354109
2002-05-01,5.48313459234906
2002-06-01,5.57959512533719
2002-07-01,4.71997762990582
2002-08-01,5.46426428216556
2002-09-01,5.54685817360343
2002-10-01,5.79239093073339
2002-11-01,6.70576282326386
2002-12-01,6.55511620130697
2003-01-01,5.15050512406293
2003-02-01,5.7431997063098
2003-03-01,6.11763713236269
2003-04-01,6.76254898250875
2003-05-01,6.05755043548741
2003-06-01,5.29857541819824
2003-07-01,5.55096394163718
2003-08-01,5.62936193222923
2003-09-01,4.75942271810033
2003-10-01,4.96424380415846
2003-11-01,5.14654111156655
2003-12-01,4.92129002718196
2004-01-01,5.66721080862052
2004-02-01,5.35222488036672
2004-03-01,5.69573556934148
2004-04-01,5.47868391403669
2004-05-01,5.92575969228245
2004-06-01,6.54316365138676
2004-07-01,6.12456000697306
2004-08-01,5.83643818355174
2004-09-01,5.1450206325742
2004-10-01,5.19707067037137
2004-11-01,5.41891937742696
2004-12-01,5.81947822207202
2005-01-01,5.48546997105874
2005-02-01,5.79301248112556
2005-03-01,4.93621008362464
2005-04-01,4.59815392315691
2005-05-01,5.78391321061536
2005-06-01,5.83522960323098
2005-07-01,5.08163294532537
2005-08-01,5.18493246727417
2005-09-01,6.00511648095674
2005-10-01,5.23993029563891
2005-11-01,5.11317923776214
2005-12-01,5.28792182516863
2006-01-01,5.35174550293023
2006-02-01,5.13934221279896
2006-03-01,5.13310438737798
2006-04-01,5.23026720065796
2006-05-01,5.51880619152023
2006-06-01,4.84498903080337
2006-07-01,6.00515227813835
2006-08-01,6.2518670318804
2006-09-01,5.17550058437698
2006-10-01,4.8405728673017
2006-11-01,4.62401724888738
2006-12-01,4.93708704939448
2007-01-01,4.77675230219848
2007-02-01,4.3326825952595
2007-03-01,4.604081221992
2007-04-01,4.35640566618213
2007-05-01,4.79590978536651
2007-06-01,5.50851770745038
2007-07-01,5.8091082851625
2007-08-01,5.92677494465077
2007-09-01,5.56140309767793
2007-10-01,5.39137378851801
2007-11-01,4.77869028735924
2007-12-01,4.8602893062942
2008-01-01,4.57341524065286
2008-02-01,4.55274442539411
2008-03-01,4.80870794081982
2008-04-01,4.58921161047766
2008-05-01,5.87871959449524
2008-06-01,5.08097232393019
2008-07-01,4.81855494096505
2008-08-01,5.51558481817922
2008-09-01,5.45659208971812
2008-10-01,4.9156385800669
2008-11-01,5.50140597389295
2008-12-01,5.84537802332941
2009-01-01,6.07394474896136
2009-02-01,5.72796066674881
2009-03-01,6.05350158412205
2009-04-01,6.22723935728141
2009-05-01,5.52699091049696
2009-06-01,5.59850610064773
2009-07-01,5.60543868436463
2009-08-01,5.98818207478668
2009-09-01,5.36172225416228
2009-10-01,6.07662012262438
2009-11-01,6.19080737026351
2009-12-01,6.0827733996524
2010-01-01,5.65027746280604
2010-02-01,5.72191917232637
2010-03-01,5.62816801092614
2010-04-01,5.98980923825779
2010-05-01,5.3307754058496
