"Date","CANCPGRGO01GYM"
1962-01-01,0
1962-02-01,0
1962-03-01,0
1962-04-01,0
1962-05-01,0
1962-06-01,0.571428571428572
1962-07-01,1.71428571428572
1962-08-01,1.71428571428572
1962-09-01,1.14285714285713
1962-10-01,1.71428571428572
1962-11-01,1.71428571428572
1962-12-01,1.71428571428572
1963-01-01,1.71428571428572
1963-02-01,2.28571428571427
1963-03-01,2.28571428571427
1963-04-01,2.28571428571427
1963-05-01,2.28571428571427
1963-06-01,2.27272727272726
1963-07-01,1.68539325842697
1963-08-01,1.68539325842697
1963-09-01,1.69491525423729
1963-10-01,1.68539325842697
1963-11-01,1.68539325842697
1963-12-01,1.68539325842697
1964-01-01,1.68539325842697
1964-02-01,1.11731843575421
1964-03-01,1.11731843575421
1964-04-01,1.67597765363129
1964-05-01,1.67597765363129
1964-06-01,1.11111111111111
1964-07-01,1.10497237569061
1964-08-01,0.552486187845289
1964-09-01,1.11111111111111
1964-10-01,0.552486187845289
1964-11-01,0.552486187845289
1964-12-01,0.552486187845289
1965-01-01,0.552486187845289
1965-02-01,0.552486187845289
1965-03-01,0.552486187845289
1965-04-01,0.549450549450565
1965-05-01,1.64835164835165
1965-06-01,2.19780219780222
1965-07-01,2.18579234972676
1965-08-01,2.19780219780222
1965-09-01,2.19780219780222
1965-10-01,2.19780219780222
1965-11-01,2.74725274725275
1965-12-01,2.74725274725275
1966-01-01,3.2967032967033
1966-02-01,4.3956043956044
1966-03-01,4.3956043956044
1966-04-01,4.91803278688523
1966-05-01,3.78378378378379
1966-06-01,3.76344086021504
1966-07-01,3.74331550802138
1966-08-01,4.30107526881718
1966-09-01,4.30107526881718
1966-10-01,4.30107526881718
1966-11-01,3.74331550802138
1966-12-01,3.74331550802138
1967-01-01,3.19148936170212
1967-02-01,2.10526315789472
1967-03-01,2.10526315789472
1967-04-01,1.5625
1967-05-01,2.08333333333334
1967-06-01,2.07253886010363
1967-07-01,2.57731958762887
1967-08-01,3.09278350515466
1967-09-01,2.57731958762887
1967-10-01,2.57731958762887
1967-11-01,2.57731958762887
1967-12-01,3.09278350515466
1968-01-01,3.60824742268043
1968-02-01,3.60824742268043
1968-03-01,4.12371134020619
1968-04-01,4.6153846153846
1968-05-01,4.08163265306121
1968-06-01,3.55329949238578
1968-07-01,3.51758793969851
1968-08-01,3
1968-09-01,3.51758793969851
1968-10-01,4.02010050251257
1968-11-01,4.02010050251257
1968-12-01,3.49999999999999
1969-01-01,2.98507462686566
1969-02-01,2.98507462686566
1969-03-01,2.47524752475248
1969-04-01,2.45098039215686
1969-05-01,2.94117647058824
1969-06-01,4.41176470588237
1969-07-01,3.39805825242719
1969-08-01,3.39805825242719
1969-09-01,2.91262135922329
1969-10-01,2.41545893719807
1969-11-01,2.8985507246377
1969-12-01,3.3816425120773
1970-01-01,3.3816425120773
1970-02-01,3.86473429951691
1970-03-01,3.86473429951691
1970-04-01,2.87081339712919
1970-05-01,2.38095238095238
1970-06-01,1.87793427230046
1970-07-01,2.34741784037558
1970-08-01,1.40845070422535
1970-09-01,1.41509433962264
1970-10-01,1.41509433962264
1970-11-01,0.469483568075105
1970-12-01,-0.467289719626156
1971-01-01,-0.467289719626156
1971-02-01,-0.465116279069768
1971-03-01,0
1971-04-01,1.3953488372093
1971-05-01,1.86046511627907
1971-06-01,1.38248847926267
1971-07-01,1.37614678899084
1971-08-01,2.77777777777777
1971-09-01,2.32558139534884
1971-10-01,2.32558139534884
1971-11-01,3.27102803738319
1971-12-01,4.69483568075116
1972-01-01,5.16431924882627
1972-02-01,5.60747663551402
1972-03-01,5.11627906976745
1972-04-01,4.12844036697248
1972-05-01,3.65296803652968
1972-06-01,3.63636363636364
1972-07-01,4.07239819004524
1972-08-01,4.05405405405406
1972-09-01,5.45454545454545
1972-10-01,5.45454545454545
1972-11-01,4.97737556561084
1972-12-01,4.48430493273543
1973-01-01,5.80357142857143
1973-02-01,5.75221238938052
1973-03-01,5.75221238938052
1973-04-01,7.48898678414096
1973-05-01,7.9295154185022
1973-06-01,8.77192982456141
1973-07-01,9.13043478260869
1973-08-01,10.3896103896104
1973-09-01,10.3448275862069
1973-10-01,10.7758620689655
1973-11-01,11.6379310344828
1973-12-01,12.0171673819742
1974-01-01,10.9704641350211
1974-02-01,11.2970711297071
1974-03-01,12.9707112970711
1974-04-01,10.655737704918
1974-05-01,12.6530612244898
1974-06-01,13.7096774193548
1974-07-01,12.7490039840638
1974-08-01,11.764705882353
1974-09-01,12.5
1974-10-01,12.84046692607
1974-11-01,13.8996138996139
1974-12-01,13.7931034482759
1975-01-01,13.3079847908745
1975-02-01,13.1578947368421
1975-03-01,11.8518518518518
1975-04-01,11.8518518518518
1975-05-01,10.8695652173913
1975-06-01,9.92907801418441
1975-07-01,11.660777385159
1975-08-01,11.578947368421
1975-09-01,10.4166666666667
1975-10-01,10.3448275862069
1975-11-01,8.81355932203391
1975-12-01,8.08080808080809
1976-01-01,8.05369127516779
1976-02-01,6.9767441860465
1976-03-01,6.6225165562914
1976-04-01,6.95364238410595
1976-05-01,6.86274509803922
1976-06-01,5.48387096774194
1976-07-01,3.48101265822785
1976-08-01,2.83018867924529
1976-09-01,3.1446540880503
1976-10-01,2.8125
1976-11-01,2.80373831775701
1976-12-01,3.11526479750779
1977-01-01,3.72670807453416
1977-02-01,4.96894409937887
1977-03-01,5.90062111801243
1977-04-01,6.50154798761611
1977-05-01,6.11620795107034
1977-06-01,7.03363914373089
1977-07-01,7.95107033639143
1977-08-01,8.25688073394494
1977-09-01,8.84146341463417
