"Date","CCUSSP01CAM650N"
1960-01-01,1.0498687664042
1960-02-01,1.05193951347798
1960-03-01,1.04404567699837
1960-04-01,1.03626943005181
1960-05-01,1.0126582278481
1960-06-01,1.02008288173414
1960-07-01,1.0259698621353
1960-08-01,1.02926986169186
1960-09-01,1.02334505916214
1960-10-01,1.02465577969901
1960-11-01,1.0223642172524
1960-12-01,1.00344935716526
1961-01-01,1.00978226569896
1961-02-01,1.0126582278481
1961-03-01,1.01105845181675
1961-04-01,1.01137800252844
1961-05-01,1.01329955668144
1961-06-01,0.966183575812738
1961-07-01,0.969990915744077
1961-08-01,0.96969696969697
1961-09-01,0.970873787350363
1961-10-01,0.967351874244256
1961-11-01,0.958945160323644
1961-12-01,0.958370769691524
1962-01-01,0.955223880597015
1962-02-01,0.952097590002975
1962-03-01,0.952380952380952
1962-04-01,0.952380953287982
1962-05-01,0.91743119350223
1962-06-01,0.924321201617562
1962-07-01,0.927536231884058
1962-08-01,0.92834349570844
1962-09-01,0.928882446944627
1962-10-01,0.929692039511912
1962-11-01,0.928612884503772
1962-12-01,0.92834349570844
1963-01-01,0.927805169524432
1963-02-01,0.92834349570844
1963-03-01,0.927536231884058
1963-04-01,0.929422024322249
1963-05-01,0.927536231884058
1963-06-01,0.927536231884058
1963-07-01,0.924588269286333
1963-08-01,0.923520923520924
1963-09-01,0.927805169524432
1963-10-01,0.927805169524432
1963-11-01,0.927267450109372
1963-12-01,0.92539039907461
1964-01-01,0.925658076476408
1964-02-01,0.925658076476408
1964-03-01,0.92539039907461
1964-04-01,0.923787529721744
1964-05-01,0.92512286788089
1964-06-01,0.92485549132948
1964-07-01,0.92539039907461
1964-08-01,0.928074246800997
1964-09-01,0.930232559004867
1964-10-01,0.930503053213143
1964-11-01,0.93185789167152
1964-12-01,0.931315483119907
1965-01-01,0.930232558139535
1965-02-01,0.926998841251448
1965-03-01,0.926193913274036
1965-04-01,0.926193913274036
1965-05-01,0.925658076476408
1965-06-01,0.922988174214018
1965-07-01,0.924054288189431
1965-08-01,0.929692039511912
1965-09-01,0.929422024322249
1965-10-01,0.930773705642815
1965-11-01,0.929962220284801
1965-12-01,0.930232559004867
1966-01-01,0.930503053213143
1966-02-01,0.929152148664344
1966-03-01,0.92834349570844
1966-04-01,0.929152148664344
1966-05-01,0.92834349570844
1966-06-01,0.929962220284801
1966-07-01,0.931044515565901
1966-08-01,0.929692039511912
1966-09-01,0.927805169524432
1966-10-01,0.92539039907461
1966-11-01,0.922456039204382
1966-12-01,0.922722038502625
1967-01-01,0.927267450109372
1967-02-01,0.924054288189431
1967-03-01,0.923787529721744
1967-04-01,0.924054288189431
1967-05-01,0.924588269286333
1967-06-01,0.926193913274036
1967-07-01,0.928882446944627
1967-08-01,0.929152148664344
1967-09-01,0.931044515565901
1967-10-01,0.931586608442504
1967-11-01,0.925925925925926
1967-12-01,0.92539039907461
1968-01-01,0.919540221429515
1968-02-01,0.919540221429515
1968-03-01,0.923520923520924
1968-04-01,0.926730370791957
1968-05-01,0.927267450109372
1968-06-01,0.929422024322249
1968-07-01,0.932400923707218
1968-08-01,0.932400923707218
1968-09-01,0.932400923707218
1968-10-01,0.932400933270304
1968-11-01,0.932129332944946
1968-12-01,0.932129332944946
1969-01-01,0.932400923707218
1969-02-01,0.929422024322249
1969-03-01,0.928882446944627
1969-04-01,0.929692039511912
1969-05-01,0.927805169524432
1969-06-01,0.92512286788089
1969-07-01,0.927536231884058
1969-08-01,0.92834349570844
1969-09-01,0.926730370791957
1969-10-01,0.929152148664344
1969-11-01,0.931044515565901
1969-12-01,0.932129332944946
1970-01-01,0.932400933270304
1970-02-01,0.932129332944946
1970-03-01,0.932400923707218
1970-04-01,0.932400923707218
1970-05-01,0.930773705642815
1970-06-01,0.966767371601208
1970-07-01,0.975015225106494
1970-08-01,0.98219766728054
1970-09-01,0.981896287204664
1970-10-01,0.980392157823914
1970-11-01,0.981294081570071
1970-12-01,0.988875154511743
1971-01-01,0.991633095754571
1971-02-01,0.993171952756518
1971-03-01,0.99255584111718
1971-04-01,0.991018891297615
1971-05-01,0.989486703772418
1971-06-01,0.977397688233576
1971-07-01,0.98159509202454
1971-08-01,0.984615384615385
1971-09-01,0.991018891297615
1971-10-01,0.994715573515698
1971-11-01,0.996884735202492
1971-12-01,0.997817264755175
1972-01-01,0.994097545821684
1972-02-01,0.999687587631989
1972-03-01,1.00250626566416
1972-04-01,1.00787401574803
1972-05-01,1.01878382680675
1972-06-01,1.01555061885116
1972-07-01,1.01651842439644
1972-08-01,1.01716465352829
1972-09-01,1.01651842439644
1972-10-01,1.01684143628853
1972-11-01,1.00502512562814
1972-12-01,1.00502512562814
1973-01-01,0.999687587631989
1973-02-01,1.00597296447658
1973-03-01,1.00120144173008
1973-04-01,0.996412913511359
1973-05-01,1.00401606425703
1973-06-01,1.00180324584252
1973-07-01,0.998601967231895
1973-08-01,0.994629004371026
1973-09-01,0.994629003381739
1973-10-01,1.00060036021613
1973-11-01,1.000000001
1973-12-01,1.00401606425703
1974-01-01,1.0129659643436
1974-02-01,1.03241792277514
1974-03-01,1.0285949393129
1974-04-01,1.04297037964122
1974-05-01,1.03928497193931
1974-06-01,1.02838338132456
1974-07-01,1.02124183110829
1974-08-01,1.01255569158825
1974-09-01,1.01440454556138
1974-10-01,1.01564087042011
1974-11-01,1.01235067827495
1974-12-01,1.00948919846558
1975-01-01,1.00040016006403
1975-02-01,1.00180324584252
1975-03-01,0.998203234178479
1975-04-01,0.980199960792002
1975-05-01,0.977326026413936
