"Date","LFIN55FECAM647N"
1976-01-01,670500
1976-02-01,671500
1976-03-01,676900
1976-04-01,674500
1976-05-01,675800
1976-06-01,680500
1976-07-01,679100
1976-08-01,671300
1976-09-01,668200
1976-10-01,675400
1976-11-01,685300
1976-12-01,683900
1977-01-01,688700
1977-02-01,696700
1977-03-01,698300
1977-04-01,697700
1977-05-01,701600
1977-06-01,708600
1977-07-01,707700
1977-08-01,705700
1977-09-01,699800
1977-10-01,698400
1977-11-01,706100
1977-12-01,715300
1978-01-01,725000
1978-02-01,726600
1978-03-01,728600
1978-04-01,723900
1978-05-01,725500
1978-06-01,724500
1978-07-01,723000
1978-08-01,721400
1978-09-01,719600
1978-10-01,722000
1978-11-01,722700
1978-12-01,726800
1979-01-01,722600
1979-02-01,715200
1979-03-01,710100
1979-04-01,711500
1979-05-01,716300
1979-06-01,711900
1979-07-01,722800
1979-08-01,729900
1979-09-01,722700
1979-10-01,724100
1979-11-01,726000
1979-12-01,730700
1980-01-01,726100
1980-02-01,731200
1980-03-01,729400
1980-04-01,736600
1980-05-01,727400
1980-06-01,738800
1980-07-01,743100
1980-08-01,753200
1980-09-01,751800
1980-10-01,743100
1980-11-01,749100
1980-12-01,752100
1981-01-01,764000
1981-02-01,757600
1981-03-01,756000
1981-04-01,757200
1981-05-01,752900
1981-06-01,755600
1981-07-01,762700
1981-08-01,759000
1981-09-01,745900
1981-10-01,759300
1981-11-01,758200
1981-12-01,761200
1982-01-01,762200
1982-02-01,763400
1982-03-01,765900
1982-04-01,762500
1982-05-01,760100
1982-06-01,772900
1982-07-01,779600
1982-08-01,776800
1982-09-01,774200
1982-10-01,773600
1982-11-01,768100
1982-12-01,778600
1983-01-01,782600
1983-02-01,784800
1983-03-01,780100
1983-04-01,778900
1983-05-01,785500
1983-06-01,789600
1983-07-01,803700
1983-08-01,798100
1983-09-01,790200
1983-10-01,785100
1983-11-01,792000
1983-12-01,791900
1984-01-01,793200
1984-02-01,801100
1984-03-01,788800
1984-04-01,799200
1984-05-01,806000
1984-06-01,810900
1984-07-01,815800
1984-08-01,819500
1984-09-01,808900
1984-10-01,806700
1984-11-01,806500
1984-12-01,807800
1985-01-01,805800
1985-02-01,794300
1985-03-01,792300
1985-04-01,786900
1985-05-01,797800
1985-06-01,800200
1985-07-01,807700
1985-08-01,811700
1985-09-01,807300
1985-10-01,804300
1985-11-01,798400
1985-12-01,802500
1986-01-01,815100
1986-02-01,810100
1986-03-01,805400
1986-04-01,810300
1986-05-01,801300
1986-06-01,810900
1986-07-01,814700
1986-08-01,817900
1986-09-01,812400
1986-10-01,810800
1986-11-01,810200
1986-12-01,810500
1987-01-01,811000
1987-02-01,805900
1987-03-01,801800
1987-04-01,786500
1987-05-01,791500
1987-06-01,805500
1987-07-01,805600
1987-08-01,807100
1987-09-01,791300
1987-10-01,791400
1987-11-01,799600
1987-12-01,790900
1988-01-01,794600
1988-02-01,795000
1988-03-01,798600
1988-04-01,794400
1988-05-01,789100
1988-06-01,802800
1988-07-01,808200
1988-08-01,803600
1988-09-01,782500
1988-10-01,795700
1988-11-01,805100
1988-12-01,800100
1989-01-01,801200
1989-02-01,798400
1989-03-01,803000
1989-04-01,798800
1989-05-01,804900
1989-06-01,801700
1989-07-01,815400
1989-08-01,818600
1989-09-01,799400
1989-10-01,797000
1989-11-01,795100
1989-12-01,796100
1990-01-01,792000
1990-02-01,805100
1990-03-01,796600
1990-04-01,787100
1990-05-01,787800
1990-06-01,788700
1990-07-01,793700
1990-08-01,786500
1990-09-01,781900
1990-10-01,781800
1990-11-01,788700
1990-12-01,785400
1991-01-01,798000
1991-02-01,792600
1991-03-01,785200
1991-04-01,785100
1991-05-01,790400
1991-06-01,781300
1991-07-01,792400
1991-08-01,785600
1991-09-01,776500
1991-10-01,777600
1991-11-01,786300
1991-12-01,792000
1992-01-01,785700
1992-02-01,795400
1992-03-01,796800
1992-04-01,793100
1992-05-01,791500
1992-06-01,787900
1992-07-01,794000
1992-08-01,775700
1992-09-01,772400
1992-10-01,765600
1992-11-01,762800
1992-12-01,775300
1993-01-01,785900
1993-02-01,774500
1993-03-01,776100
1993-04-01,766900
1993-05-01,778600
1993-06-01,784800
1993-07-01,789800
1993-08-01,795900
1993-09-01,790200
1993-10-01,787100
1993-11-01,785800
1993-12-01,803800
1994-01-01,799600
1994-02-01,790300
1994-03-01,772900
1994-04-01,764100
1994-05-01,765100
1994-06-01,761100
1994-07-01,784500
1994-08-01,771600
1994-09-01,776100
1994-10-01,780700
1994-11-01,789500
1994-12-01,795800
1995-01-01,781700
1995-02-01,793400
1995-03-01,793000
1995-04-01,801400
1995-05-01,804100
1995-06-01,795300
1995-07-01,806600
1995-08-01,795800
1995-09-01,787900
1995-10-01,792300
1995-11-01,800100
1995-12-01,809900
1996-01-01,806700
1996-02-01,805800
1996-03-01,804700
1996-04-01,802500
1996-05-01,800500
1996-06-01,792500
1996-07-01,808300
1996-08-01,799300
1996-09-01,805200
1996-10-01,810300
1996-11-01,816800
1996-12-01,829500
1997-01-01,826100
1997-02-01,814400
1997-03-01,808900
1997-04-01,809800
1997-05-01,809900
1997-06-01,813700
1997-07-01,819900
1997-08-01,816900
1997-09-01,816300
1997-10-01,810900
1997-11-01,803600
1997-12-01,810500
1998-01-01,818700
1998-02-01,797000
1998-03-01,798400
1998-04-01,808600
1998-05-01,824600
1998-06-01,813200
1998-07-01,819700
1998-08-01,817400
1998-09-01,804200
1998-10-01,803600
1998-11-01,805000
1998-12-01,815500
1999-01-01,825700
1999-02-01,823000
1999-03-01,817300
1999-04-01,811400
1999-05-01,823600
1999-06-01,838800
1999-07-01,839400
1999-08-01,830700
1999-09-01,825300
1999-10-01,832700
1999-11-01,828600
1999-12-01,816600
2000-01-01,814600
2000-02-01,811900
2000-03-01,826000
2000-04-01,818700
2000-05-01,825600
2000-06-01,832400
2000-07-01,836600
2000-08-01,812700
2000-09-01,827600
2000-10-01,814100
2000-11-01,822000
2000-12-01,828900
2001-01-01,839000
2001-02-01,840100
2001-03-01,831300
2001-04-01,840100
2001-05-01,853600
2001-06-01,850300
2001-07-01,868600
2001-08-01,867700
2001-09-01,858300
2001-10-01,857300
2001-11-01,854200
2001-12-01,839500
2002-01-01,850400
2002-02-01,865900
2002-03-01,868900
2002-04-01,878500
2002-05-01,884500
2002-06-01,884300
2002-07-01,900200
2002-08-01,866700
2002-09-01,868600
2002-10-01,848300
2002-11-01,840500
2002-12-01,825500
2003-01-01,833200
2003-02-01,829300
2003-03-01,825000
2003-04-01,838500
2003-05-01,840900
2003-06-01,851700
2003-07-01,870100
2003-08-01,856400
2003-09-01,850900
2003-10-01,853900
2003-11-01,836000
2003-12-01,830700
2004-01-01,843800
2004-02-01,854300
2004-03-01,870300
2004-04-01,860800
2004-05-01,856800
2004-06-01,878400
2004-07-01,895900
2004-08-01,881400
2004-09-01,867600
2004-10-01,865400
2004-11-01,859500
2004-12-01,871100
2005-01-01,893000
2005-02-01,880500
2005-03-01,886800
2005-04-01,887700
2005-05-01,880500
2005-06-01,893000
2005-07-01,918800
2005-08-01,904800
2005-09-01,901000
2005-10-01,898200
2005-11-01,905900
2005-12-01,906000
2006-01-01,917800
2006-02-01,903600
2006-03-01,901800
2006-04-01,910000
2006-05-01,900600
2006-06-01,916900
2006-07-01,918800
2006-08-01,917200
2006-09-01,911400
2006-10-01,925700
2006-11-01,923000
2006-12-01,921300
2007-01-01,925100
2007-02-01,916100
2007-03-01,906400
2007-04-01,900100
2007-05-01,915200
2007-06-01,921700
2007-07-01,941400
2007-08-01,916900
2007-09-01,911900
2007-10-01,899700
2007-11-01,910500
2007-12-01,917500
2008-01-01,915000
2008-02-01,916800
2008-03-01,892800
2008-04-01,909700
2008-05-01,902600
2008-06-01,918000
2008-07-01,955600
2008-08-01,952000
2008-09-01,936200
2008-10-01,923600
2008-11-01,924300
2008-12-01,926100
2009-01-01,917900
2009-02-01,910800
2009-03-01,898200
