"Date","M0521BUSM391NNBR"
1884-02-01,14.51
1884-03-01,16.95
1884-04-01,11.79
1884-05-01,7.58
1884-06-01,6.5
1884-07-01,3.95
1884-08-01,4.13
1884-09-01,7.08
1884-10-01,5.18
1884-11-01,5.22
1884-12-01,4.02
1885-01-01,4.97
1885-02-01,5.77
1885-03-01,8.89
1885-04-01,7.74
1885-05-01,4.69
1885-06-01,5.29
1885-07-01,4.49
1885-08-01,5.5
1885-09-01,4.62
1885-10-01,4.66
1885-11-01,3.57
1885-12-01,7.95
1886-01-01,7.2
1886-02-01,11.4
1886-03-01,16.09
1886-04-01,11.8
1886-05-01,8.07
1886-06-01,9.13
1886-07-01,9.25
1886-08-01,13.19
1886-09-01,13.4
1886-10-01,13.1
1886-11-01,11.74
1886-12-01,13.78
1887-01-01,16.25
1887-02-01,16.13
1887-03-01,18.8
1887-04-01,18.65
1887-05-01,12.71
1887-06-01,10.18
1887-07-01,7.54
1887-08-01,6.84
1887-09-01,7.08
1887-10-01,8.28
1887-11-01,5.37
1887-12-01,6.23
1888-01-01,8.03
1888-02-01,9.35
1888-03-01,9.19
1888-04-01,8.48
1888-05-01,9.21
1888-06-01,11.32
1888-07-01,9
1888-08-01,8.5
1888-09-01,10.25
1888-10-01,10.76
1888-11-01,7.06
1888-12-01,8.5
1889-01-01,13.38
1889-02-01,15.83
1889-03-01,16.84
1889-04-01,12.11
1889-05-01,11.61
1889-06-01,9.49
1889-07-01,6.99
1889-08-01,11.76
1889-09-01,12.93
1889-10-01,7.79
1889-11-01,6.2
1889-12-01,9.29
