"Date","LFESEETTCAM647S"
1981-02-01,9880800
1981-03-01,9873900
1981-04-01,9908600
1981-05-01,9921300
1981-06-01,9958600
1981-07-01,9926200
1981-08-01,9924700
1981-09-01,9864200
1981-10-01,9841600
1981-11-01,9839800
1981-12-01,9787500
1982-01-01,9747700
1982-02-01,9714200
1982-03-01,9671400
1982-04-01,9602400
1982-05-01,9532400
1982-06-01,9457900
1982-07-01,9399200
1982-08-01,9351700
1982-09-01,9310100
1982-10-01,9292600
1982-11-01,9265600
1982-12-01,9260600
1983-01-01,9293900
1983-02-01,9312600
1983-03-01,9346800
1983-04-01,9396500
1983-05-01,9414900
1983-06-01,9467400
1983-07-01,9514100
1983-08-01,9572900
1983-09-01,9618200
1983-10-01,9607900
1983-11-01,9599200
1983-12-01,9626900
1984-01-01,9610500
1984-02-01,9641200
1984-03-01,9651300
1984-04-01,9643100
1984-05-01,9696100
1984-06-01,9754300
1984-07-01,9794900
1984-08-01,9788900
1984-09-01,9803200
1984-10-01,9790500
1984-11-01,9805800
1984-12-01,9806900
1985-01-01,9828100
1985-02-01,9843200
1985-03-01,9877100
1985-04-01,9919800
1985-05-01,9955400
1985-06-01,9961800
1985-07-01,10017400
1985-08-01,10036000
1985-09-01,10052800
1985-10-01,10089000
1985-11-01,10157900
1985-12-01,10182500
1986-01-01,10235000
1986-02-01,10265900
1986-03-01,10270000
1986-04-01,10338500
1986-05-01,10324000
1986-06-01,10364900
1986-07-01,10373200
1986-08-01,10386000
1986-09-01,10398500
1986-10-01,10390700
1986-11-01,10412800
1986-12-01,10413800
1987-01-01,10443800
1987-02-01,10447000
1987-03-01,10496600
1987-04-01,10548600
1987-05-01,10593600
1987-06-01,10631800
1987-07-01,10661000
1987-08-01,10675300
1987-09-01,10696700
1987-10-01,10761200
1987-11-01,10786500
1987-12-01,10845600
1988-01-01,10855900
1988-02-01,10891900
1988-03-01,10898100
1988-04-01,10913200
1988-05-01,10905700
1988-06-01,10931100
1988-07-01,10930300
1988-08-01,10930600
1988-09-01,10945300
1988-10-01,10979400
1988-11-01,11013900
1988-12-01,11059000
1989-01-01,11105400
1989-02-01,11121600
1989-03-01,11166800
1989-04-01,11141100
1989-05-01,11158100
1989-06-01,11185100
1989-07-01,11199700
1989-08-01,11248400
1989-09-01,11225900
1989-10-01,11245800
1989-11-01,11268900
1989-12-01,11271300
1990-01-01,11306900
1990-02-01,11330200
1990-03-01,11324300
1990-04-01,11344300
1990-05-01,11281000
1990-06-01,11291400
1990-07-01,11253100
1990-08-01,11229500
1990-09-01,11221100
1990-10-01,11186100
1990-11-01,11120400
1990-12-01,11076900
1991-01-01,11050800
1991-02-01,10996700
1991-03-01,10940700
1991-04-01,10942500
1991-05-01,10973200
1991-06-01,10985500
1991-07-01,10964300
1991-08-01,10977800
1991-09-01,10960000
1991-10-01,10952600
1991-11-01,10893000
1991-12-01,10877500
1992-01-01,10867900
1992-02-01,10846500
1992-03-01,10810000
1992-04-01,10807100
1992-05-01,10827400
1992-06-01,10788500
1992-07-01,10800300
1992-08-01,10761400
1992-09-01,10781400
1992-10-01,10789800
1992-11-01,10768800
1992-12-01,10776300
1993-01-01,10781800
1993-02-01,10790800
1993-03-01,10795500
1993-04-01,10759500
1993-05-01,10732800
1993-06-01,10760900
1993-07-01,10770800
1993-08-01,10772100
1993-09-01,10802500
1993-10-01,10793700
1993-11-01,10847500
1993-12-01,10833300
1994-01-01,10859700
1994-02-01,10866300
1994-03-01,10917600
1994-04-01,10912000
1994-05-01,10979000
1994-06-01,11029300
1994-07-01,11071600
1994-08-01,11080000
1994-09-01,11115900
1994-10-01,11130000
1994-11-01,11230800
1994-12-01,11212000
1995-01-01,11219000
1995-02-01,11215900
1995-03-01,11225000
1995-04-01,11211200
1995-05-01,11203000
1995-06-01,11210300
1995-07-01,11202400
1995-08-01,11213000
1995-09-01,11240900
1995-10-01,11253600
1995-11-01,11180600
1995-12-01,11197300
1996-01-01,11227300
1996-02-01,11241700
1996-03-01,11234200
1996-04-01,11254700
1996-05-01,11276500
1996-06-01,11246700
1996-07-01,11261500
1996-08-01,11278300
1996-09-01,11227000
1996-10-01,11223000
1996-11-01,11221100
1996-12-01,11242400
1997-01-01,11278500
1997-02-01,11289500
1997-03-01,11279800
1997-04-01,11265600
1997-05-01,11304600
1997-06-01,11323000
1997-07-01,11343700
1997-08-01,11400500
1997-09-01,11418000
1997-10-01,11437600
1997-11-01,11490200
1997-12-01,11503200
1998-01-01,11477800
1998-02-01,11538600
