"Date","CANSLMNTO02MLM"
1960-01-01,1760900000
1960-02-01,1825300000
1960-03-01,2016600000
1960-04-01,1907400000
1960-05-01,2024300000
1960-06-01,2067400000
1960-07-01,1851200000
1960-08-01,1977200000
1960-09-01,2063500000
1960-10-01,2002400000
1960-11-01,2015100000
1960-12-01,1.844e+09
1961-01-01,1.701e+09
1961-02-01,1716400000
1961-03-01,1915400000
1961-04-01,1837100000
1961-05-01,2023900000
1961-06-01,2093500000
1961-07-01,1894300000
1961-08-01,2055700000
1961-09-01,2083200000
1961-10-01,2100500000
1961-11-01,2109400000
1961-12-01,1908400000
1962-01-01,1893600000
1962-02-01,1850500000
1962-03-01,2139200000
1962-04-01,2054500000
1962-05-01,2316500000
1962-06-01,2303700000
1962-07-01,2109500000
1962-08-01,2179300000
1962-09-01,2.234e+09
1962-10-01,2382400000
1962-11-01,2290600000
1962-12-01,2036600000
1963-01-01,2077600000
1963-02-01,2.054e+09
1963-03-01,2221200000
1963-04-01,2.272e+09
1963-05-01,2501500000
1963-06-01,2391200000
1963-07-01,2319900000
1963-08-01,2276500000
1963-09-01,2449200000
1963-10-01,2586900000
1963-11-01,2481300000
1963-12-01,2383400000
1964-01-01,2.369e+09
1964-02-01,2359300000
1964-03-01,2598600000
1964-04-01,2591800000
1964-05-01,2585500000
1964-06-01,2733100000
1964-07-01,2453600000
1964-08-01,2429800000
1964-09-01,2745500000
1964-10-01,2711100000
1964-11-01,2.657e+09
1964-12-01,2622400000
1965-01-01,2374500000
1965-02-01,2409200000
1965-03-01,2903900000
1965-04-01,2785900000
1965-05-01,2859700000
1965-06-01,3022100000
1965-07-01,2.71e+09
1965-08-01,2723600000
1965-09-01,2.996e+09
1965-10-01,2994300000
1965-11-01,3087800000
1965-12-01,3021800000
1966-01-01,2724500000
1966-02-01,2821500000
1966-03-01,3301100000
1966-04-01,3066800000
1966-05-01,3217200000
1966-06-01,3318400000
1966-07-01,2854100000
1966-08-01,3042400000
1966-09-01,3238500000
1966-10-01,3253700000
1966-11-01,3315800000
1966-12-01,3149100000
1967-01-01,2912900000
1967-02-01,2927600000
1967-03-01,3312700000
1967-04-01,3178800000
1967-05-01,3408500000
1967-06-01,3448800000
1967-07-01,2.987e+09
1967-08-01,3238800000
1967-09-01,3409600000
1967-10-01,3419700000
1967-11-01,3443600000
1967-12-01,3267300000
1968-01-01,3120500000
1968-02-01,3.136e+09
1968-03-01,3383200000
1968-04-01,3459600000
1968-05-01,3699400000
1968-06-01,3588600000
1968-07-01,3333900000
1968-08-01,3356600000
1968-09-01,3708700000
1968-10-01,3984500000
1968-11-01,3782300000
1968-12-01,3509800000
1969-01-01,3471600000
1969-02-01,3489400000
1969-03-01,3924900000
1969-04-01,3.826e+09
1969-05-01,4015900000
1969-06-01,4020200000
1969-07-01,3680200000
1969-08-01,3.573e+09
1969-09-01,4040300000
1969-10-01,4176200000
1969-11-01,3896700000
1969-12-01,3824500000
1970-01-01,3506300000
1970-02-01,3658600000
1970-03-01,3907500000
1970-04-01,4003400000
1970-05-01,3.957e+09
1970-06-01,4174400000
1970-07-01,3674900000
1970-08-01,3682800000
1970-09-01,4100200000
1970-10-01,4060800000
1970-11-01,3886200000
1970-12-01,3769700000
1971-01-01,3482500000
1971-02-01,3771500000
1971-03-01,4276300000
1971-04-01,4.164e+09
1971-05-01,4237800000
1971-06-01,4522400000
1971-07-01,3793700000
1971-08-01,4142400000
1971-09-01,4633700000
1971-10-01,4490900000
1971-11-01,4534200000
1971-12-01,4224600000
1972-01-01,4030200000
1972-02-01,4336100000
1972-03-01,4734100000
1972-04-01,4594800000
1972-05-01,4919100000
1972-06-01,5027900000
1972-07-01,4080400000
1972-08-01,4542400000
1972-09-01,4996200000
1972-10-01,5129300000
1972-11-01,5222900000
1972-12-01,4632800000
1973-01-01,4.828e+09
1973-02-01,4948500000
1973-03-01,5618900000
1973-04-01,5354300000
1973-05-01,5755500000
1973-06-01,5767400000
1973-07-01,5162200000
1973-08-01,5243600000
1973-09-01,5776500000
1973-10-01,6343500000
1973-11-01,6296800000
1973-12-01,5662200000
1974-01-01,6145700000
1974-02-01,6223500000
1974-03-01,6751600000
1974-04-01,6760500000
1974-05-01,7281900000
1974-06-01,7090700000
1974-07-01,6552400000
1974-08-01,6626900000
1974-09-01,7243800000
1974-10-01,7.695e+09
1974-11-01,7381100000
1974-12-01,6701100000
1975-01-01,6573300000
1975-02-01,6734900000
1975-03-01,7.164e+09
1975-04-01,7422600000
1975-05-01,7562600000
1975-06-01,7671400000
1975-07-01,7108400000
1975-08-01,7044400000
1975-09-01,7795600000
1975-10-01,8073900000
1975-11-01,7755800000
1975-12-01,7551800000
1976-01-01,7162200000
1976-02-01,7532700000
1976-03-01,8593200000
1976-04-01,8.393e+09
1976-05-01,8514900000
1976-06-01,8861500000
1976-07-01,7440500000
1976-08-01,7.99e+09
1976-09-01,8571100000
1976-10-01,8308700000
1976-11-01,8657400000
1976-12-01,8259500000
1977-01-01,7845300000
1977-02-01,8288700000
1977-03-01,9691900000
1977-04-01,8924200000
1977-05-01,9322200000
1977-06-01,9898400000
1977-07-01,8269800000
1977-08-01,8783900000
1977-09-01,9612400000
1977-10-01,9666100000
1977-11-01,9.698e+09
1977-12-01,8996500000
1978-01-01,8.962e+09
1978-02-01,9404600000
1978-03-01,10789100000
1978-04-01,10341900000
1978-05-01,11223100000
1978-06-01,11689200000
1978-07-01,9675800000
1978-08-01,10325700000
1978-09-01,11652500000
1978-10-01,12038100000
1978-11-01,12134100000
1978-12-01,1.1059e+10
