"Date","MAM2A2CAM189N"
1968-01-01,2.5391e+10
1968-02-01,2.5333e+10
1968-03-01,2.5476e+10
1968-04-01,2.6052e+10
1968-05-01,2.6638e+10
1968-06-01,2.6895e+10
1968-07-01,2.7587e+10
1968-08-01,2.8054e+10
1968-09-01,2.8267e+10
1968-10-01,2.8541e+10
1968-11-01,2.8821e+10
1968-12-01,2.9118e+10
1969-01-01,2.9235e+10
1969-02-01,2.8812e+10
1969-03-01,2.911e+10
1969-04-01,2.9796e+10
1969-05-01,3.0087e+10
1969-06-01,3.0284e+10
1969-07-01,3.0791e+10
1969-08-01,3.0766e+10
1969-09-01,3.1134e+10
1969-10-01,3.1473e+10
1969-11-01,3.1646e+10
1969-12-01,3.1892e+10
1970-01-01,3.1323e+10
1970-02-01,3.1219e+10
1970-03-01,3.1532e+10
1970-04-01,3.2172e+10
1970-05-01,3.2462e+10
1970-06-01,3.2767e+10
1970-07-01,3.3353e+10
1970-08-01,3.3516e+10
1970-09-01,3.397e+10
1970-10-01,3.4035e+10
1970-11-01,3.4265e+10
1970-12-01,3.4785e+10
1971-01-01,3.4515e+10
1971-02-01,3.4577e+10
1971-03-01,3.5183e+10
1971-04-01,3.5847e+10
1971-05-01,3.6487e+10
1971-06-01,3.7249e+10
1971-07-01,3.7672e+10
1971-08-01,3.8008e+10
1971-09-01,3.8498e+10
1971-10-01,3.8688e+10
1971-11-01,3.842e+10
1971-12-01,3.8792e+10
1972-01-01,3.8851e+10
1972-02-01,3.8845e+10
1972-03-01,3.9453e+10
1972-04-01,4.0015e+10
1972-05-01,4.0547e+10
1972-06-01,4.0859e+10
1972-07-01,4.18e+10
1972-08-01,4.1976e+10
1972-09-01,4.2676e+10
1972-10-01,4.3176e+10
1972-11-01,4.3475e+10
1972-12-01,4.3952e+10
1973-01-01,4.4115e+10
1973-02-01,4.4139e+10
1973-03-01,4.447e+10
1973-04-01,4.5432e+10
1973-05-01,4.6349e+10
1973-06-01,4.6905e+10
1973-07-01,4.8215e+10
1973-08-01,4.8725e+10
1973-09-01,4.9404e+10
1973-10-01,5.0246e+10
1973-11-01,5.105e+10
1973-12-01,5.2229e+10
1974-01-01,5.2627e+10
1974-02-01,5.2873e+10
1974-03-01,5.3775e+10
1974-04-01,5.5267e+10
1974-05-01,5.7299e+10
1974-06-01,5.7477e+10
1974-07-01,5.9057e+10
1974-08-01,5.9453e+10
1974-09-01,6.037e+10
1974-10-01,6.1024e+10
1974-11-01,6.06e+10
1974-12-01,6.0854e+10
1975-01-01,6.1513e+10
1975-02-01,6.1877e+10
1975-03-01,6.2801e+10
1975-04-01,6.4132e+10
1975-05-01,6.4815e+10
1975-06-01,6.5527e+10
1975-07-01,6.7156e+10
1975-08-01,6.741e+10
1975-09-01,6.8405e+10
1975-10-01,6.9223e+10
1975-11-01,6.9153e+10
1975-12-01,7.076e+10
1976-01-01,6.9777e+10
1976-02-01,7.0094e+10
1976-03-01,7.0933e+10
1976-04-01,7.2249e+10
1976-05-01,7.3721e+10
1976-06-01,7.5381e+10
1976-07-01,7.6533e+10
1976-08-01,7.7387e+10
1976-09-01,7.8538e+10
1976-10-01,7.9323e+10
1976-11-01,8.032e+10
1976-12-01,8.1753e+10
1977-01-01,8.1965e+10
1977-02-01,8.1909e+10
1977-03-01,8.2864e+10
1977-04-01,8.4468e+10
1977-05-01,8.5909e+10
1977-06-01,8.7166e+10
1977-07-01,8.8255e+10
1977-08-01,8.9096e+10
1977-09-01,8.9879e+10
1977-10-01,9.0893e+10
1977-11-01,9.1656e+10
1977-12-01,9.2677e+10
1978-01-01,9.2636e+10
1978-02-01,9.2687e+10
1978-03-01,9.3518e+10
1978-04-01,9.467e+10
1978-05-01,9.6433e+10
1978-06-01,9.7483e+10
1978-07-01,9.9374e+10
1978-08-01,1.00059e+11
1978-09-01,1.0127e+11
1978-10-01,1.02273e+11
1978-11-01,1.05395e+11
1978-12-01,1.05655e+11
1979-01-01,1.06007e+11
1979-02-01,1.06147e+11
1979-03-01,1.06556e+11
1979-04-01,1.089e+11
1979-05-01,1.11232e+11
1979-06-01,1.12904e+11
1979-07-01,1.15699e+11
1979-08-01,1.1709e+11
1979-09-01,1.18787e+11
1979-10-01,1.20606e+11
1979-11-01,1.23123e+11
1979-12-01,1.25034e+11
1980-01-01,1.25744e+11
1980-02-01,1.26536e+11
1980-03-01,1.28578e+11
1980-04-01,1.3111e+11
1980-05-01,1.32959e+11
1980-06-01,1.34582e+11
1980-07-01,1.3734e+11
1980-08-01,1.38415e+11
1980-09-01,1.40646e+11
1980-10-01,1.43139e+11
1980-11-01,1.45295e+11
1980-12-01,1.46923e+11
1981-01-01,1.45913e+11
1981-02-01,1.46947e+11
1981-03-01,1.48515e+11
1981-04-01,1.51874e+11
1981-05-01,1.53914e+11
1981-06-01,1.55656e+11
1981-07-01,1.59144e+11
1981-08-01,1.61482e+11
1981-09-01,1.63827e+11
1981-10-01,1.64981e+11
1981-11-01,1.61406e+11
1981-12-01,1.62514e+11
1982-01-01,1.62939e+11
1982-02-01,1.63505e+11
1982-03-01,1.63997e+11
1982-04-01,1.65846e+11
1982-05-01,1.68989e+11
1982-06-01,1.70185e+11
1982-07-01,1.70776e+11
1982-08-01,1.71045e+11
1982-09-01,1.71964e+11
1982-10-01,1.72638e+11
1982-11-01,1.72893e+11
1982-12-01,1.74328e+11
1983-01-01,1.74666e+11
1983-02-01,1.74975e+11
1983-03-01,1.75527e+11
1983-04-01,1.76863e+11
1983-05-01,1.78459e+11
1983-06-01,1.79674e+11
1983-07-01,1.81442e+11
1983-08-01,1.82489e+11
1983-09-01,1.8351e+11
1983-10-01,1.8403e+11
1983-11-01,1.83717e+11
1983-12-01,1.8437e+11
1984-01-01,1.83603e+11
1984-02-01,1.83664e+11
1984-03-01,1.84164e+11
1984-04-01,1.86516e+11
1984-05-01,1.89834e+11
1984-06-01,1.9127e+11
1984-07-01,1.93405e+11
1984-08-01,1.93805e+11
1984-09-01,1.95117e+11
1984-10-01,1.96811e+11
1984-11-01,1.96452e+11
1984-12-01,1.9952e+11
1985-01-01,2.00228e+11
1985-02-01,2.00285e+11
1985-03-01,2.01511e+11
1985-04-01,2.04106e+11
1985-05-01,2.08186e+11
1985-06-01,2.09582e+11
1985-07-01,2.12034e+11
1985-08-01,2.1288e+11
1985-09-01,2.15101e+11
1985-10-01,2.17161e+11
1985-11-01,2.18727e+11
1985-12-01,2.20807e+11
1986-01-01,2.20659e+11
1986-02-01,2.19335e+11
1986-03-01,2.20637e+11
1986-04-01,2.24961e+11
1986-05-01,2.28988e+11
1986-06-01,2.31081e+11
1986-07-01,2.3415e+11
1986-08-01,2.34878e+11
1986-09-01,2.36054e+11
1986-10-01,2.38599e+11
1986-11-01,2.42227e+11
1986-12-01,2.46197e+11
1987-01-01,2.47223e+11
1987-02-01,2.50387e+11
1987-03-01,2.52592e+11
1987-04-01,2.56294e+11
