"Date","LFUN64MACAM647S"
1976-01-01,406700
1976-02-01,395300
1976-03-01,361900
1976-04-01,383500
1976-05-01,394200
1976-06-01,423800
1976-07-01,452800
1976-08-01,421500
1976-09-01,417600
1976-10-01,442700
1976-11-01,442500
1976-12-01,449100
1977-01-01,455600
1977-02-01,468900
1977-03-01,463000
1977-04-01,470600
1977-05-01,475700
1977-06-01,484200
1977-07-01,506200
1977-08-01,501800
1977-09-01,510000
1977-10-01,487600
1977-11-01,516700
1977-12-01,524400
1978-01-01,514700
1978-02-01,514600
1978-03-01,529500
1978-04-01,537500
1978-05-01,530800
1978-06-01,522200
1978-07-01,519900
1978-08-01,527700
1978-09-01,522600
1978-10-01,494100
1978-11-01,523500
1978-12-01,509900
1979-01-01,517300
1979-02-01,503800
1979-03-01,494000
1979-04-01,506000
1979-05-01,478800
1979-06-01,456100
1979-07-01,453000
1979-08-01,447200
1979-09-01,448300
1979-10-01,455400
1979-11-01,455400
1979-12-01,464700
1980-01-01,472200
1980-02-01,485900
1980-03-01,488600
1980-04-01,499400
1980-05-01,509700
1980-06-01,518600
1980-07-01,516900
1980-08-01,515700
1980-09-01,507400
1980-10-01,490300
1980-11-01,490700
1980-12-01,490300
1981-01-01,486300
1981-02-01,486600
1981-03-01,486100
1981-04-01,463900
1981-05-01,486200
1981-06-01,495800
1981-07-01,499100
1981-08-01,491000
1981-09-01,569100
1981-10-01,571500
1981-11-01,565100
1981-12-01,617100
1982-01-01,617400
1982-02-01,630900
1982-03-01,665900
1982-04-01,706000
1982-05-01,748600
1982-06-01,805600
1982-07-01,877600
1982-08-01,880700
1982-09-01,910100
1982-10-01,947300
1982-11-01,957000
1982-12-01,979000
1983-01-01,965800
1983-02-01,967000
1983-03-01,962200
1983-04-01,951000
1983-05-01,944900
1983-06-01,925500
1983-07-01,896200
1983-08-01,871000
1983-09-01,829800
1983-10-01,818900
1983-11-01,839200
1983-12-01,840500
1984-01-01,842300
1984-02-01,839300
1984-03-01,852100
1984-04-01,863200
1984-05-01,880800
1984-06-01,828100
1984-07-01,816400
1984-08-01,825300
1984-09-01,853700
1984-10-01,823400
1984-11-01,834400
1984-12-01,811400
1985-01-01,815000
1985-02-01,805800
1985-03-01,839800
1985-04-01,797800
1985-05-01,780500
1985-06-01,785100
1985-07-01,765500
1985-08-01,761900
1985-09-01,744500
1985-10-01,774900
1985-11-01,754000
1985-12-01,747000
1986-01-01,729600
1986-02-01,733900
1986-03-01,731000
1986-04-01,713600
1986-05-01,708900
1986-06-01,716400
1986-07-01,721100
1986-08-01,725100
1986-09-01,717500
1986-10-01,702500
1986-11-01,695600
1986-12-01,703400
1987-01-01,708500
1987-02-01,707200
1987-03-01,693200
1987-04-01,674400
1987-05-01,649900
1987-06-01,649700
1987-07-01,644700
1987-08-01,642600
1987-09-01,630900
1987-10-01,625200
