"Date","CANLFTOTMDSMEI"
1956-01-01,5687.4
1956-02-01,5711.34
1956-03-01,5718.845
1956-04-01,5740.302
1956-05-01,5745.36
1956-06-01,5763.439
1956-07-01,5791.645
1956-08-01,5834.191
1956-09-01,5823.863
1956-10-01,5836.552
1956-11-01,5861.203
1956-12-01,5871.405
1957-01-01,5894.084
1957-02-01,5899.613
1957-03-01,5925.514
1957-04-01,5930.447
1957-05-01,5982.695
1957-06-01,6012.183
1957-07-01,6021.221
1957-08-01,6048.77
1957-09-01,6108.442
1957-10-01,6074.013
1957-11-01,6094.564
1957-12-01,6103.05
1958-01-01,6096.795
1958-02-01,6090.029
1958-03-01,6123.817
1958-04-01,6160.717
1958-05-01,6136.366
1958-06-01,6134.394
1958-07-01,6128.36
1958-08-01,6135.39
1958-09-01,6138.605
1958-10-01,6161.136
1958-11-01,6164.055
1958-12-01,6182.242
1959-01-01,6198.875
1959-02-01,6220.18
1959-03-01,6210.754
1959-04-01,6217.838
1959-05-01,6206.022
1959-06-01,6227.521
1959-07-01,6243.558
1959-08-01,6252.604
1959-09-01,6272.328
1959-10-01,6274.276
1959-11-01,6280.106
1959-12-01,6295.151
1960-01-01,6328.412
1960-02-01,6353.237
1960-03-01,6368.54
1960-04-01,6367.426
1960-05-01,6402.511
1960-06-01,6387.111
1960-07-01,6380.481
1960-08-01,6433.288
1960-09-01,6450.345
1960-10-01,6477.619
1960-11-01,6484.1
1960-12-01,6488.975
1961-01-01,6523.841
1961-02-01,6502.487
1961-03-01,6489.892
1961-04-01,6546.737
1961-05-01,6551.347
1961-06-01,6509.073
1961-07-01,6507.147
1961-08-01,6497.696
1961-09-01,6516.537
1961-10-01,6516.448
1961-11-01,6528.847
1961-12-01,6553.725
1962-01-01,6548.94
1962-02-01,6576.88
1962-03-01,6599.797
1962-04-01,6607.292
1962-05-01,6608.64
1962-06-01,6657.718
1962-07-01,6625.248
1962-08-01,6640.856
1962-09-01,6627.195
1962-10-01,6597.423
1962-11-01,6640.795
1962-12-01,6639.768
1963-01-01,6651.95
1963-02-01,6668.116
1963-03-01,6670.453
1963-04-01,6686.45
1963-05-01,6683.831
1963-06-01,6732.931
1963-07-01,6764.044
1963-08-01,6782.061
1963-09-01,6804.097
1963-10-01,6839.85
1963-11-01,6835.969
1963-12-01,6847.388
1964-01-01,6865.021
1964-02-01,6878.659
1964-03-01,6897.915
1964-04-01,6901.344
1964-05-01,6923.556
1964-06-01,6922.093
1964-07-01,6941.26
1964-08-01,6954.169
1964-09-01,6966.66
1964-10-01,6971.807
1964-11-01,6995.676
1964-12-01,6975.907
1965-01-01,7057
1965-02-01,7063
1965-03-01,7096
1965-04-01,7107
1965-05-01,7117
1965-06-01,7140
1965-07-01,7148
1965-08-01,7171
1965-09-01,7129
1965-10-01,7151
1965-11-01,7199
1965-12-01,7274
1966-01-01,7382
1966-02-01,7420
1966-03-01,7430
1966-04-01,7460
1966-05-01,7429
1966-06-01,7397
1966-07-01,7478
1966-08-01,7540
1966-09-01,7580
1966-10-01,7596
1966-11-01,7566
1966-12-01,7627
1967-01-01,7650
1967-02-01,7668
1967-03-01,7745
1967-04-01,7680
1967-05-01,7733
1967-06-01,7696
1967-07-01,7777
1967-08-01,7799
1967-09-01,7778
1967-10-01,7761
1967-11-01,7817
1967-12-01,7859
1968-01-01,7810
1968-02-01,7834
1968-03-01,7828
1968-04-01,7867
1968-05-01,7859
1968-06-01,7956
1968-07-01,7958
1968-08-01,7988
1968-09-01,8022
1968-10-01,8054
1968-11-01,8115
1968-12-01,8088
1969-01-01,8150
1969-02-01,8174
1969-03-01,8175
1969-04-01,8232
1969-05-01,8222
1969-06-01,8181
1969-07-01,8170
1969-08-01,8188
1969-09-01,8180
1969-10-01,8204
1969-11-01,8218
1969-12-01,8249
1970-01-01,8227
1970-02-01,8267
1970-03-01,8286
1970-04-01,8339
1970-05-01,8415
1970-06-01,8442
1970-07-01,8448
1970-08-01,8436
1970-09-01,8474
1970-10-01,8486
1970-11-01,8514
1970-12-01,8473
1971-01-01,8539
1971-02-01,8558
1971-03-01,8527
1971-04-01,8516
1971-05-01,8564
1971-06-01,8602
1971-07-01,8668
1971-08-01,8652
1971-09-01,8705
1971-10-01,8772
1971-11-01,8760
1971-12-01,8786
1972-01-01,8785
1972-02-01,8771
1972-03-01,8858
1972-04-01,8811
1972-05-01,8820
1972-06-01,8882
1972-07-01,8933
1972-08-01,8942
1972-09-01,8943
1972-10-01,8958
1972-11-01,9012
1972-12-01,9066
1973-01-01,9088
1973-02-01,9154
1973-03-01,9198
1973-04-01,9250
1973-05-01,9251
1973-06-01,9320
1973-07-01,9222
1973-08-01,9272
1973-09-01,9290
1973-10-01,9376
1973-11-01,9409
1973-12-01,9444
1974-01-01,9504
1974-02-01,9525
1974-03-01,9531
1974-04-01,9592
1974-05-01,9574
1974-06-01,9565
1974-07-01,9634
1974-08-01,9703
1974-09-01,9697
1974-10-01,9730
1974-11-01,9771
1974-12-01,9840
1975-01-01,9810
1975-02-01,9824
1975-03-01,9808
1975-04-01,9851
1975-05-01,9950
1975-06-01,10012
1975-07-01,9983
1975-08-01,9984
1975-09-01,10034
1975-10-01,10090
1975-11-01,10145
1975-12-01,10177
1976-01-01,10384.5
1976-02-01,10380.3
1976-03-01,10387.8
1976-04-01,10448.9
1976-05-01,10444.7
1976-06-01,10477.8
1976-07-01,10536.6
1976-08-01,10523.4
1976-09-01,10531.9
1976-10-01,10556.4
1976-11-01,10601.5
1976-12-01,10653
1977-01-01,10674.6
1977-02-01,10706.8
1977-03-01,10695.6
1977-04-01,10735
1977-05-01,10754
1977-06-01,10748.8
1977-07-01,10786.6
1977-08-01,10819.7
1977-09-01,10835.4
1977-10-01,10862.7
1977-11-01,10890.2
1977-12-01,10923.7
1978-01-01,10899.4
1978-02-01,10971.4
1978-03-01,11037.1
1978-04-01,11051.1
1978-05-01,11102.6
1978-06-01,11137.2
1978-07-01,11197.2
1978-08-01,11235.9
1978-09-01,11246.2
1978-10-01,11278.8
1978-11-01,11318.9
