"Date","VALEXPCAM052N"
2006-01-01,3.2079e+10
2006-02-01,2.995e+10
2006-03-01,3.3493e+10
2006-04-01,3.1173e+10
2006-05-01,3.3645e+10
2006-06-01,3.4163e+10
2006-07-01,3.0058e+10
2006-08-01,3.3435e+10
2006-09-01,3.2464e+10
2006-10-01,3.281e+10
2006-11-01,3.3037e+10
2006-12-01,3.1992e+10
2007-01-01,3.2505e+10
2007-02-01,3.0638e+10
2007-03-01,3.5592e+10
2007-04-01,3.4756e+10
2007-05-01,3.6395e+10
2007-06-01,3.6964e+10
2007-07-01,3.334e+10
2007-08-01,3.5569e+10
2007-09-01,3.4704e+10
2007-10-01,3.8229e+10
2007-11-01,3.8012e+10
2007-12-01,3.3591e+10
2008-01-01,3.6063e+10
2008-02-01,3.6692e+10
2008-03-01,3.9574e+10
2008-04-01,4.0803e+10
2008-05-01,4.1918e+10
2008-06-01,4.1853e+10
2008-07-01,4.3007e+10
2008-08-01,3.9691e+10
2008-09-01,3.9699e+10
2008-10-01,3.7517e+10
2008-11-01,3.1744e+10
2008-12-01,2.7857e+10
2009-01-01,2.411e+10
2009-02-01,2.3961e+10
2009-03-01,2.5467e+10
2009-04-01,2.4342e+10
2009-05-01,2.3907e+10
2009-06-01,2.6001e+10
2009-07-01,2.6579e+10
2009-08-01,2.6293e+10
2009-09-01,2.7625e+10
2009-10-01,2.9583e+10
2009-11-01,2.8751e+10
2009-12-01,2.9474e+10
2010-01-01,2.9199e+10
2010-02-01,2.869e+10
2010-03-01,3.3911e+10
2010-04-01,3.2435e+10
2010-05-01,3.2503e+10
2010-06-01,3.3004e+10
2010-07-01,2.9758e+10
2010-08-01,3.1888e+10
2010-09-01,3.2181e+10
2010-10-01,3.3643e+10
2010-11-01,3.3987e+10
2010-12-01,3.6283e+10
2011-01-01,3.4988e+10
2011-02-01,3.2773e+10
2011-03-01,3.9952e+10
2011-04-01,3.6279e+10
2011-05-01,3.8164e+10
2011-06-01,3.8037e+10
2011-07-01,3.7167e+10
2011-08-01,3.9232e+10
2011-09-01,3.948e+10
2011-10-01,3.8128e+10
2011-11-01,3.8499e+10
2011-12-01,3.8636e+10
2012-01-01,3.6929e+10
2012-02-01,3.6724e+10
2012-03-01,4.0908e+10
2012-04-01,3.9063e+10
2012-05-01,3.9081e+10
2012-06-01,3.7911e+10
2012-07-01,3.5593e+10
2012-08-01,3.7436e+10
2012-09-01,3.7022e+10
2012-10-01,3.9887e+10
2012-11-01,3.8242e+10
2012-12-01,3.6794e+10
2013-01-01,3.813e+10
2013-02-01,3.5809e+10
2013-03-01,3.9736e+10
2013-04-01,3.9024e+10
2013-05-01,3.9846e+10
2013-06-01,3.7801e+10
2013-07-01,3.5865e+10
2013-08-01,3.7301e+10
2013-09-01,3.8753e+10
2013-10-01,4.0588e+10
2013-11-01,3.7972e+10
2013-12-01,3.7492e+10
2014-01-01,3.6891e+10
2014-02-01,3.5691e+10
2014-03-01,4.1045e+10
2014-04-01,3.9026e+10
2014-05-01,4.1448e+10
2014-06-01,4.1672e+10
2014-07-01,3.9917e+10
2014-08-01,3.9645e+10
2014-09-01,4.1862e+10
2014-10-01,4.1928e+10
2014-11-01,3.7557e+10
2014-12-01,3.9619e+10
2015-01-01,3.5038e+10
2015-02-01,3.2014e+10
2015-03-01,3.6143e+10
2015-04-01,3.4098e+10
2015-05-01,3.4076e+10
2015-06-01,3.7186e+10
2015-07-01,3.4017e+10
2015-08-01,3.3588e+10
2015-09-01,3.4571e+10
2015-10-01,3.3623e+10
2015-11-01,3.2224e+10
2015-12-01,3.3484e+10
2016-01-01,3.0751e+10
2016-02-01,3.0058e+10
2016-03-01,3.2897e+10
2016-04-01,3.1282e+10
2016-05-01,3.1487e+10
2016-06-01,3.3156e+10
2016-07-01,3.0273e+10
2016-08-01,3.3727e+10
2016-09-01,3.392e+10
2016-10-01,3.3746e+10
2016-11-01,3.4778e+10
2016-12-01,3.3917e+10
2017-01-01,3.383e+10
2017-02-01,3.2283e+10
2017-03-01,3.717e+10
2017-04-01,3.3763e+10
2017-05-01,3.6818e+10
2017-06-01,3.616e+10
2017-07-01,3.229e+10
2017-08-01,3.4565e+10
2017-09-01,3.4973e+10
2017-10-01,3.6096e+10
2017-11-01,3.6576e+10
2017-12-01,3.6142e+10
2018-01-01,3.6309e+10
2018-02-01,3.3899e+10
2018-03-01,3.8844e+10
2018-04-01,3.8209e+10
2018-05-01,4.0107e+10
2018-06-01,4.0369e+10
2018-07-01,3.7658e+10
2018-08-01,3.8734e+10
2018-09-01,3.8061e+10
2018-10-01,3.9891e+10
2018-11-01,3.6232e+10
2018-12-01,3.3999e+10
2019-01-01,3.5303e+10
2019-02-01,3.3462e+10
2019-03-01,3.9438e+10
2019-04-01,3.7643e+10
2019-05-01,4.0919e+10
2019-06-01,3.8262e+10
2019-07-01,3.6853e+10
2019-08-01,3.7155e+10
2019-09-01,3.7255e+10
2019-10-01,3.818e+10
2019-11-01,3.6714e+10
2019-12-01,3.7606e+10
2020-01-01,3.4976e+10
2020-02-01,3.2919e+10
2020-03-01,3.3544e+10
