"Date","LFUN64FECAM647N"
1976-01-01,319000
1976-02-01,318400
1976-03-01,304100
1976-04-01,308400
1976-05-01,306700
1976-06-01,313700
1976-07-01,353200
1976-08-01,355100
1976-09-01,344100
1976-10-01,315400
1976-11-01,324500
1976-12-01,310400
1977-01-01,357400
1977-02-01,371100
1977-03-01,368600
1977-04-01,370400
1977-05-01,352500
1977-06-01,365900
1977-07-01,393100
1977-08-01,406600
1977-09-01,392500
1977-10-01,386200
1977-11-01,384600
1977-12-01,362100
1978-01-01,395300
1978-02-01,403700
1978-03-01,423500
1978-04-01,393600
1978-05-01,412600
1978-06-01,419500
1978-07-01,433900
1978-08-01,442300
1978-09-01,426200
1978-10-01,391300
1978-11-01,403900
1978-12-01,387000
1979-01-01,419600
1979-02-01,411100
1979-03-01,416200
1979-04-01,401300
1979-05-01,381900
1979-06-01,401700
1979-07-01,398400
1979-08-01,406100
1979-09-01,383500
1979-10-01,388400
1979-11-01,366700
1979-12-01,342700
1980-01-01,402400
1980-02-01,399900
1980-03-01,412300
1980-04-01,395900
1980-05-01,403200
1980-06-01,417200
1980-07-01,406500
1980-08-01,419400
1980-09-01,393700
1980-10-01,378100
1980-11-01,358600
1980-12-01,347200
1981-01-01,397200
1981-02-01,393700
1981-03-01,411400
1981-04-01,381100
1981-05-01,382400
1981-06-01,404400
1981-07-01,395000
1981-08-01,402200
1981-09-01,450800
1981-10-01,439500
1981-11-01,440900
1981-12-01,413100
1982-01-01,438000
1982-02-01,453400
1982-03-01,493200
1982-04-01,492300
1982-05-01,517700
1982-06-01,552600
1982-07-01,591600
1982-08-01,603800
1982-09-01,581700
1982-10-01,590200
1982-11-01,599700
1982-12-01,588500
1983-01-01,629600
1983-02-01,626000
1983-03-01,654300
1983-04-01,617000
1983-05-01,619300
1983-06-01,621100
1983-07-01,602200
1983-08-01,613600
1983-09-01,583500
1983-10-01,560900
1983-11-01,546700
1983-12-01,540400
1984-01-01,581100
1984-02-01,590200
1984-03-01,613000
1984-04-01,595000
1984-05-01,619600
1984-06-01,606200
1984-07-01,605200
1984-08-01,625100
1984-09-01,646500
1984-10-01,618100
1984-11-01,601400
1984-12-01,557800
1985-01-01,566900
1985-02-01,584800
1985-03-01,619300
1985-04-01,604500
1985-05-01,590900
1985-06-01,598200
1985-07-01,596400
1985-08-01,607200
1985-09-01,591800
1985-10-01,565500
1985-11-01,569300
1985-12-01,523500
1986-01-01,574200
1986-02-01,565500
1986-03-01,593400
1986-04-01,560900
1986-05-01,547400
1986-06-01,556200
1986-07-01,565500
1986-08-01,576800
1986-09-01,545600
1986-10-01,535800
1986-11-01,527000
1986-12-01,505100
1987-01-01,569900
1987-02-01,558500
1987-03-01,592500
1987-04-01,549900
1987-05-01,539100
1987-06-01,551300
1987-07-01,555200
1987-08-01,555000
1987-09-01,520800
1987-10-01,495200
1987-11-01,490800
1987-12-01,456600
1988-01-01,509900
1988-02-01,486800
1988-03-01,515700
1988-04-01,471700
1988-05-01,485300
1988-06-01,482000
1988-07-01,529800
1988-08-01,560800
1988-09-01,499200
1988-10-01,460000
1988-11-01,476400
1988-12-01,425500
1989-01-01,493000
1989-02-01,479900
1989-03-01,502700
1989-04-01,483300
1989-05-01,491800
1989-06-01,468400
1989-07-01,503200
1989-08-01,522100
1989-09-01,463200
1989-10-01,450900
1989-11-01,454000
1989-12-01,439700
1990-01-01,501000
1990-02-01,490400
1990-03-01,485800
1990-04-01,466100
1990-05-01,493200
1990-06-01,481600
1990-07-01,527000
1990-08-01,557400
1990-09-01,517700
1990-10-01,539100
1990-11-01,543900
1990-12-01,522600
1991-01-01,604000
1991-02-01,602200
1991-03-01,662600
1991-04-01,598300
1991-05-01,611000
1991-06-01,629300
1991-07-01,678100
1991-08-01,684400
1991-09-01,597700
1991-10-01,598900
1991-11-01,596500
1991-12-01,557800
1992-01-01,619100
1992-02-01,604300
