"Date","LFUN25FECAM647N"
1999-02-01,361000
1999-03-01,349700
1999-04-01,361800
1999-05-01,345600
1999-06-01,326700
1999-07-01,356700
1999-08-01,397100
1999-09-01,307400
1999-10-01,295800
1999-11-01,292700
1999-12-01,278400
2000-01-01,317800
2000-02-01,313500
2000-03-01,310800
2000-04-01,301300
2000-05-01,280800
2000-06-01,274400
2000-07-01,326600
2000-08-01,381600
2000-09-01,310300
2000-10-01,310000
2000-11-01,310500
2000-12-01,293300
2001-01-01,334900
2001-02-01,319000
2001-03-01,322300
2001-04-01,315100
2001-05-01,310300
2001-06-01,307400
2001-07-01,347500
2001-08-01,420200
2001-09-01,323500
2001-10-01,322900
2001-11-01,314300
2001-12-01,321500
2002-01-01,349500
2002-02-01,345400
2002-03-01,350200
2002-04-01,351300
2002-05-01,331600
2002-06-01,337800
2002-07-01,379500
2002-08-01,422900
2002-09-01,344300
2002-10-01,331300
2002-11-01,328100
2002-12-01,311100
2003-01-01,362700
2003-02-01,344900
2003-03-01,345900
2003-04-01,350800
2003-05-01,354800
2003-06-01,343800
2003-07-01,369300
2003-08-01,441500
2003-09-01,372100
2003-10-01,340400
2003-11-01,342300
2003-12-01,319900
2004-01-01,351100
2004-02-01,320400
2004-03-01,320700
2004-04-01,318900
2004-05-01,301100
2004-06-01,312900
2004-07-01,353700
2004-08-01,432200
2004-09-01,328700
2004-10-01,328900
2004-11-01,347200
2004-12-01,312600
2005-01-01,333500
2005-02-01,336600
2005-03-01,327300
2005-04-01,309600
2005-05-01,305600
2005-06-01,305600
2005-07-01,332300
2005-08-01,422700
2005-09-01,320600
2005-10-01,313600
2005-11-01,287100
2005-12-01,295600
2006-01-01,327300
2006-02-01,309300
2006-03-01,308500
2006-04-01,314200
2006-05-01,282700
2006-06-01,3e+05
2006-07-01,337400
2006-08-01,388700
2006-09-01,280200
2006-10-01,281600
2006-11-01,294900
2006-12-01,272500
2007-01-01,303200
2007-02-01,299400
2007-03-01,304000
2007-04-01,278500
2007-05-01,272200
2007-06-01,262600
2007-07-01,313100
2007-08-01,376400
2007-09-01,279400
2007-10-01,245400
2007-11-01,270800
2007-12-01,253900
2008-01-01,274800
2008-02-01,280300
2008-03-01,295000
2008-04-01,262900
2008-05-01,267900
2008-06-01,254800
2008-07-01,324300
2008-08-01,406800
2008-09-01,273500
2008-10-01,260800
2008-11-01,273900
2008-12-01,285000
2009-01-01,330900
2009-02-01,334100
2009-03-01,353800
2009-04-01,345600
2009-05-01,362200
2009-06-01,372400
2009-07-01,424200
2009-08-01,512800
2009-09-01,367000
2009-10-01,357000
2009-11-01,359900
2009-12-01,331100
2010-01-01,379200
2010-02-01,384200
2010-03-01,379400
2010-04-01,369700
2010-05-01,348500
2010-06-01,365700
2010-07-01,438300
2010-08-01,531400
2010-09-01,387600
2010-10-01,378400
2010-11-01,372800
2010-12-01,342600
2011-01-01,381400
2011-02-01,375300
2011-03-01,369100
2011-04-01,356900
2011-05-01,333100
2011-06-01,353700
2011-07-01,393400
2011-08-01,497000
2011-09-01,366100
2011-10-01,358000
2011-11-01,363500
2011-12-01,312500
2012-01-01,364900
2012-02-01,369300
2012-03-01,350100
2012-04-01,350300
2012-05-01,350000
2012-06-01,329500
2012-07-01,371000
2012-08-01,460200
2012-09-01,339100
2012-10-01,336400
2012-11-01,332100
2012-12-01,325400
2013-01-01,347200
2013-02-01,349600
2013-03-01,370400
2013-04-01,336400
2013-05-01,326900
2013-06-01,317200
2013-07-01,384500
2013-08-01,459500
2013-09-01,343400
2013-10-01,317400
2013-11-01,306700
2013-12-01,320400
2014-01-01,346800
2014-02-01,333300
2014-03-01,347500
2014-04-01,335300
2014-05-01,338300
2014-06-01,337600
2014-07-01,377500
2014-08-01,446200
2014-09-01,309400
2014-10-01,298600
2014-11-01,293800
2014-12-01,279000
2015-01-01,324000
2015-02-01,309300
2015-03-01,332000
2015-04-01,312600
2015-05-01,308000
2015-06-01,310500
2015-07-01,361200
2015-08-01,442600
2015-09-01,325900
2015-10-01,316700
2015-11-01,313800
2015-12-01,311400
2016-01-01,342200
2016-02-01,322900
2016-03-01,333100
2016-04-01,334500
2016-05-01,311800
2016-06-01,316800
2016-07-01,361200
2016-08-01,424800
2016-09-01,311000
2016-10-01,297100
2016-11-01,294400
2016-12-01,311000
2017-01-01,321500
2017-02-01,306600
2017-03-01,313600
2017-04-01,301700
2017-05-01,304900
2017-06-01,296700
2017-07-01,378200
2017-08-01,438000
2017-09-01,301900
2017-10-01,304100
2017-11-01,295300
2017-12-01,286900
2018-01-01,303600
2018-02-01,306100
2018-03-01,293000
2018-04-01,265800
2018-05-01,284500
2018-06-01,294300
2018-07-01,342400
2018-08-01,417500
2018-09-01,288600
2018-10-01,280700
2018-11-01,256700
2018-12-01,267500
2019-01-01,277700
2019-02-01,271300
2019-03-01,291200
2019-04-01,274700
2019-05-01,241200
2019-06-01,251500
2019-07-01,324700
2019-08-01,382900
2019-09-01,258700
2019-10-01,265900
2019-11-01,268000
2019-12-01,245900
2020-01-01,294200
2020-02-01,288800
2020-03-01,456600
2020-04-01,653500
2020-05-01,681100
2020-06-01,589700
2020-07-01,572100
2020-08-01,632000
2020-09-01,411000
2020-10-01,402600
2020-11-01,395200
2020-12-01,381800
2021-01-01,483000
2021-02-01,416800
2021-03-01,403500
2021-04-01,408900
2021-05-01,391300
2021-06-01,346200
2021-07-01,422200
2021-08-01,510700
2021-09-01,342600
2021-10-01,309300
2021-11-01,268200
2021-12-01,273300
2022-01-01,347700
2022-02-01,261900
2022-03-01,303700
2022-04-01,273000
2022-05-01,257700
2022-06-01,259000
2022-07-01,296200
2022-08-01,410800
2022-09-01,254300
2022-10-01,253100
2022-11-01,243400
2022-12-01,236800
2023-01-01,255100
2023-02-01,275800
2023-03-01,279000
2023-04-01,262500
2023-05-01,275200
2023-06-01,278500
2023-07-01,372200
2023-08-01,428100
2023-09-01,283200
2023-10-01,283600
2023-11-01,280600
