"Date","LFEM55FECAM647N"
1976-01-01,284200
1976-02-01,287300
1976-03-01,287900
1976-04-01,293100
1976-05-01,298500
1976-06-01,295900
1976-07-01,299900
1976-08-01,311400
1976-09-01,313000
1976-10-01,309900
1976-11-01,304100
1976-12-01,308500
1977-01-01,304200
1977-02-01,294400
1977-03-01,298100
1977-04-01,3e+05
1977-05-01,302700
1977-06-01,297300
1977-07-01,302800
1977-08-01,306900
1977-09-01,314800
1977-10-01,317000
1977-11-01,306800
1977-12-01,300800
1978-01-01,295500
1978-02-01,297000
1978-03-01,294900
1978-04-01,302000
1978-05-01,304600
1978-06-01,309900
1978-07-01,311900
1978-08-01,315400
1978-09-01,318400
1978-10-01,316100
1978-11-01,321200
1978-12-01,318500
1979-01-01,321600
1979-02-01,334500
1979-03-01,340100
1979-04-01,342200
1979-05-01,340900
1979-06-01,346200
1979-07-01,338300
1979-08-01,327200
1979-09-01,340300
1979-10-01,337900
1979-11-01,341200
1979-12-01,337400
1980-01-01,340300
1980-02-01,336700
1980-03-01,337200
1980-04-01,338500
1980-05-01,350000
1980-06-01,341400
1980-07-01,339900
1980-08-01,327300
1980-09-01,336500
1980-10-01,344800
1980-11-01,341300
1980-12-01,336600
1981-01-01,330400
1981-02-01,340300
1981-03-01,343000
1981-04-01,342600
1981-05-01,355300
1981-06-01,350900
1981-07-01,345300
1981-08-01,351100
1981-09-01,362800
1981-10-01,354100
1981-11-01,355100
1981-12-01,353500
1982-01-01,350400
1982-02-01,352200
1982-03-01,351800
1982-04-01,354000
1982-05-01,361600
1982-06-01,349100
1982-07-01,341600
1982-08-01,349100
1982-09-01,353000
1982-10-01,355000
1982-11-01,356500
1982-12-01,347200
1983-01-01,346700
1983-02-01,345400
1983-03-01,350900
1983-04-01,356700
1983-05-01,352900
1983-06-01,351600
1983-07-01,339300
1983-08-01,345200
1983-09-01,353100
1983-10-01,363100
1983-11-01,358900
1983-12-01,357900
1984-01-01,358700
1984-02-01,354400
1984-03-01,366500
1984-04-01,356100
1984-05-01,353200
1984-06-01,351600
1984-07-01,347300
1984-08-01,346800
1984-09-01,356800
1984-10-01,362400
1984-11-01,360800
1984-12-01,363500
1985-01-01,363000
1985-02-01,372500
1985-03-01,370900
1985-04-01,375000
1985-05-01,373200
1985-06-01,373500
1985-07-01,364300
1985-08-01,362500
1985-09-01,364300
1985-10-01,368400
1985-11-01,376400
1985-12-01,370700
1986-01-01,360800
1986-02-01,365100
1986-03-01,369500
1986-04-01,368200
1986-05-01,376200
1986-06-01,371600
1986-07-01,369800
1986-08-01,359600
1986-09-01,368100
1986-10-01,368400
1986-11-01,368400
1986-12-01,371400
1987-01-01,366400
1987-02-01,374800
1987-03-01,378200
1987-04-01,389300
1987-05-01,389500
1987-06-01,377600
1987-07-01,378500
1987-08-01,375100
1987-09-01,390500
1987-10-01,393500
