"Date","XTIMVA01CAM659S"
1960-01-01,4.1208651832707
1960-02-01,16.3468774989246
1960-03-01,8.86941870289544
1960-04-01,-3.40193162896063
1960-05-01,-4.21508930151929
1960-06-01,-5.98053897262425
1960-07-01,-7.94373543879934
1960-08-01,-4.9650847683054
1960-09-01,-5.65527163670031
1960-10-01,-7.15881241042959
1960-11-01,-0.0259171528193953
1960-12-01,-2.58185265414428
1961-01-01,-1.83371546606805
1961-02-01,-11.6715514388803
1961-03-01,-4.94017213021879
1961-04-01,-7.75464731743958
1961-05-01,1.73047266863859
1961-06-01,-0.138774759769036
1961-07-01,0.333782318489955
1961-08-01,3.76264301854636
1961-09-01,5.13616037196163
1961-10-01,14.4600346944127
1961-11-01,4.32142542197072
1961-12-01,6.98825623465666
1962-01-01,4.82732801155507
1962-02-01,7.87108064578422
1962-03-01,12.5409355886819
1962-04-01,3.97972877471282
1962-05-01,9.13535597434923
1962-06-01,1.60567617178872
1962-07-01,11.9404922825997
1962-08-01,3.4769862328369
1962-09-01,-0.745603512369968
1962-10-01,-4.62880768352566
1962-11-01,-5.27633459015715
1962-12-01,-12.4496404169168
1963-01-01,-0.122809427278104
1963-02-01,-5.80614151985179
1963-03-01,-8.64788280845816
1963-04-01,4.28142290655816
1963-05-01,-4.31902609880204
1963-06-01,3.96178900373404
1963-07-01,0.648628145976939
1963-08-01,3.81065027196415
1963-09-01,11.3843034929935
1963-10-01,9.51447449754299
1963-11-01,14.852110608803
1963-12-01,21.5237239356249
1964-01-01,12.9979681583493
1964-02-01,17.1935169152313
1964-03-01,14.6788824674789
1964-04-01,27.1939337797856
1964-05-01,15.4902330682068
1964-06-01,18.4758074824924
1964-07-01,10.5622375180056
1964-08-01,12.430509507074
1964-09-01,9.68881059605181
1964-10-01,7.65923809942329
1964-11-01,9.07720624503044
1964-12-01,13.8120689388469
1965-01-01,5.67352911413893
1965-02-01,9.36794477981304
1965-03-01,22.0884427952622
1965-04-01,-0.728302297194177
1965-05-01,10.9638002325077
1965-06-01,16.1807206990452
1965-07-01,18.799439290408
1965-08-01,14.5829692236746
1965-09-01,17.6562764065514
1965-10-01,24.762307619286
1965-11-01,28.0089605723349
1965-12-01,20.7100457323843
1966-01-01,23.4019217987711
1966-02-01,20.1330473713394
1966-03-01,14.5757125847582
1966-04-01,20.744257515429
1966-05-01,23.7433132815854
1966-06-01,14.1444501128116
1966-07-01,14.7942906573728
1966-08-01,22.1765658903295
1966-09-01,14.1995664407909
1966-10-01,20.2552749993985
1966-11-01,7.71951060110649
1966-12-01,12.8632440894355
1967-01-01,18.1785514981394
1967-02-01,13.210981824655
1967-03-01,3.19361855407499
1967-04-01,16.8714330771762
1967-05-01,7.75231427702165
1967-06-01,9.13596180493284
1967-07-01,15.2615283369153
1967-08-01,4.82380893179778
1967-09-01,7.8381653315033
1967-10-01,-4.51878081663301
1967-11-01,2.79532064764548
1967-12-01,5.53625139370368
1968-01-01,3.04064334995972
1968-02-01,18.1780460090907
1968-03-01,12.6558865172881
1968-04-01,6.84823478153561
1968-05-01,9.14155095246161
1968-06-01,7.12969382301745
1968-07-01,0.885701474455964
1968-08-01,10.0491951282925
1968-09-01,17.8097103158929
1968-10-01,26.4127794587806
1968-11-01,24.5281305452101
1968-12-01,19.9274541963898
1969-01-01,21.0881488678073
1969-02-01,12.3668186090436
1969-03-01,20.1937924502588
1969-04-01,14.3453472570673
1969-05-01,17.6624102750204
1969-06-01,23.2615244604995
1969-07-01,18.2288751138845
1969-08-01,13.4720225962152
1969-09-01,13.712271593326
1969-10-01,7.50240303553046
1969-11-01,8.12163077928619
1969-12-01,11.3185646385468
1970-01-01,-1.62856637984056
1970-02-01,2.17722146501206
1970-03-01,6.32168660517942
1970-04-01,7.3435375820126
1970-05-01,3.06243655865559
1970-06-01,2.87328430682226
1970-07-01,8.80494166572081
1970-08-01,7.55332720570969
1970-09-01,3.62253153277422
1970-10-01,-6.21390284975032
1970-11-01,-0.322932816846603
1970-12-01,-9.66151806437249
1971-01-01,5.87036013541368
1971-02-01,3.9740298891415
1971-03-01,15.0405768532462
1971-04-01,6.28866622096691
1971-05-01,12.8435454554516
1971-06-01,12.1598340797799
1971-07-01,11.1559615440763
1971-08-01,17.9631306536016
1971-09-01,11.8683328027605
1971-10-01,35.8320616006452
1971-11-01,24.8466940971768
1971-12-01,32.4940436460409
1972-01-01,33.3352328192411
1972-02-01,21.0706439906142
1972-03-01,13.0433975524426
1972-04-01,29.8773833649196
1972-05-01,23.7701492265693
1972-06-01,22.8093092779772
1972-07-01,20.0524164823883
1972-08-01,18.5071782444486
1972-09-01,23.6525412728445
1972-10-01,18.8671062085303
1972-11-01,19.8743881430376
1972-12-01,22.6929701075306
1973-01-01,18.4682746651913
1973-02-01,29.3408756397947
1973-03-01,26.6495302713527
1973-04-01,15.5787185445874
1973-05-01,23.3567771347751
1973-06-01,19.572011100498
1973-07-01,27.1605164265612
1973-08-01,18.2068706851785
1973-09-01,20.851449288652
1973-10-01,25.6571507892872
1973-11-01,27.6510166872439
1973-12-01,28.6122683664658
1974-01-01,27.0160569588335
1974-02-01,32.2782497497302
1974-03-01,40.5722737160537
1974-04-01,33.5005305993722
1974-05-01,39.3092630776376
1974-06-01,44.1398507842191
1974-07-01,42.4968370689904
1974-08-01,51.722981343965
1974-09-01,47.1145401214605
1974-10-01,37.4186749146197
1974-11-01,38.7300395293989
1974-12-01,36.340159423187
1975-01-01,31.7894276758173
1975-02-01,15.9768407035409
1975-03-01,9.82162493376474
1975-04-01,14.4197182506882
