"Date","CANCP020000GPM"
2015-01-01,0.659279199999996
2015-02-01,0.339399410283087
2015-03-01,0.276164524535265
2015-04-01,0.580639119837375
2015-05-01,0.279413983452731
2015-06-01,0.220059218591118
2015-07-01,0.0324940055145711
2015-08-01,0.215822948057763
2015-09-01,0.246206343506556
2015-10-01,-0.0282781665365568
2015-11-01,0.583145561725133
2015-12-01,-0.226485858769898
2016-01-01,0.71403381855337
2016-02-01,0.546518400784068
2016-03-01,0.797056578484772
2016-04-01,0.238211966633976
2016-05-01,0.0503064101396311
2016-06-01,-0.0473738573013741
2016-07-01,0.267112861683979
2016-08-01,0.165606973314646
2016-09-01,0.29754489352441
2016-10-01,0.26984291127098
2016-11-01,-0.117914399392509
2016-12-01,-0.138387359332376
2017-01-01,0.657894736842095
2017-02-01,0.280112044817938
2017-03-01,0.37243947858473
2017-04-01,0.371057513914657
2017-05-01,0.369685767097967
2017-06-01,0.368324125230203
2017-07-01,0.36697247706422
2017-08-01,0.0914076782449625
2017-09-01,0.456621004566221
2017-10-01,-0.0909090909091011
2017-11-01,0
2017-12-01,-0.181983621474068
2018-01-01,0.729261622607111
2018-02-01,0.452488687782816
2018-03-01,1.35135135135134
2018-04-01,1.42222222222222
2018-05-01,0
2018-06-01,0.613496932515328
2018-07-01,0.087108013937292
2018-08-01,0.174064403829417
2018-09-01,-0.868809730668984
2018-10-01,0.964066608238398
2018-11-01,0
2018-12-01,-0.434027777777788
2019-01-01,1.0462074978204
2019-02-01,0.172562553925798
2019-03-01,0
2019-04-01,0.258397932816547
2019-05-01,0.257731958762877
2019-06-01,-0.342759211653814
2019-07-01,-0.171969045571797
2019-08-01,0
2019-09-01,0.516795865633075
2019-10-01,-0.342759211653814
2019-11-01,0.171969045571797
2019-12-01,-1.45922746781117
2020-01-01,0.958188153310115
2020-02-01,0
2020-03-01,0.0862812769628896
2020-04-01,0.344827586206916
2020-05-01,0
2020-06-01,0.0859106529209527
2020-07-01,-0.0569850391673819
2020-08-01,-0.0288683213280691
2020-09-01,0.0859106529209527
2020-10-01,0.257510729613725
2020-11-01,-0.171232876712329
2020-12-01,-0.428816466552306
2021-01-01,0.775193798449604
2021-02-01,0.341880341880361
2021-03-01,0.340715502555348
2021-04-01,0.67911714770798
2021-05-01,0.843170320404722
2021-06-01,0.167224080267559
2021-07-01,-0.333889816360583
2021-08-01,0.502512562814052
2021-09-01,-0.249999999999991
2021-10-01,0.250626566416031
2021-11-01,0.0833333333333427
2021-12-01,-0.58284762697751
2022-01-01,1.59128978224455
2022-02-01,0.0824402308326556
2022-03-01,0.576606260296513
2022-04-01,0.245700245700255
2022-05-01,0.326797385620915
2022-06-01,0.162866449511401
2022-07-01,0.56910569105692
2022-08-01,0.404203718674203
2022-09-01,0
2022-10-01,0.724637681159412
2022-11-01,0.319744204636309
2022-12-01,-0.159362549800815
2023-01-01,1.4365522745411
2023-02-01,0.314712824547618
2023-03-01,1.01960784313725
2023-04-01,0.232919254658377
2023-05-01,0.387296669248653
2023-06-01,0.154320987654321
2023-07-01,0.385208012326665
2023-08-01,-0.0767459708365567
2023-09-01,0.0768049155146186
2023-10-01,0.0767459708365226
