"Date","LFIN24MACAM647S"
1995-01-01,688130.552992306
1995-02-01,689265.506791503
1995-03-01,679087.625117304
1995-04-01,692105.805003044
1995-05-01,692471.772898198
1995-06-01,689916.900526153
1995-07-01,691572.028078394
1995-08-01,700767.411786308
1995-09-01,717516.278561143
1995-10-01,703857.283486076
1995-11-01,729194.234153169
1995-12-01,698695.716621755
1996-01-01,711465.944635009
1996-02-01,694977.210025143
1996-03-01,706808.718570448
1996-04-01,707662.929343682
1996-05-01,714330.977770549
1996-06-01,723653.385383724
1996-07-01,730649.409647157
1996-08-01,726499.774066378
1996-09-01,726983.562262811
1996-10-01,724957.239485452
1996-11-01,719140.112496018
1996-12-01,733285.35729654
1997-01-01,713377.807344558
1997-02-01,728157.97779172
1997-03-01,744129.962702471
1997-04-01,747338.508160783
1997-05-01,744233.667565885
1997-06-01,719084.669203564
1997-07-01,742621.321720992
1997-08-01,732902.852101959
1997-09-01,731128.302536421
1997-10-01,724002.947429617
1997-11-01,723918.778084781
1997-12-01,731403.238623494
1998-01-01,738579.510622039
1998-02-01,745905.066696676
1998-03-01,752619.670381368
1998-04-01,744177.3784994
1998-05-01,757371.857128041
1998-06-01,725291.466976275
1998-07-01,737450.75799211
1998-08-01,736912.245842414
1998-09-01,739600.812061566
1998-10-01,760266.349169623
1998-11-01,738805.230304207
1998-12-01,737243.942822946
1999-01-01,727763.174907138
1999-02-01,726462.2749131
1999-03-01,718302.468123543
1999-04-01,707898.848771521
1999-05-01,717413.205283601
1999-06-01,720851.30578138
1999-07-01,711344.659935924
1999-08-01,735393.366182307
1999-09-01,697153.137062955
1999-10-01,696425.985995189
1999-11-01,704556.730583436
1999-12-01,698656.224091007
2000-01-01,714746.594851561
2000-02-01,721252.155033769
2000-03-01,721502.132514206
2000-04-01,702200.978610492
2000-05-01,711884.6890784
2000-06-01,739385.460103605
2000-07-01,723010.194157017
2000-08-01,717462.509228118
2000-09-01,703037.87919129
2000-10-01,689596.003029604
2000-11-01,701538.404669471
2000-12-01,685330.581500314
2001-01-01,713194.579710798
2001-02-01,706619.637827176
2001-03-01,707608.450593626
2001-04-01,697621.487301075
2001-05-01,714810.000180572
2001-06-01,728286.32649254
2001-07-01,727612.304336804
2001-08-01,714372.385372028
2001-09-01,715788.950255566
2001-10-01,718426.129242628
2001-11-01,721164.19098915
2001-12-01,717464.586796079
2002-01-01,683947.767299583
2002-02-01,691829.907256685
2002-03-01,680879.261997658
2002-04-01,694724.927184391
2002-05-01,688196.005393462
2002-06-01,704409.448187776
2002-07-01,684123.76827941
2002-08-01,669860.832940894
2002-09-01,681270.110101434
2002-10-01,689240.279450164
2002-11-01,684108.928887756
2002-12-01,677738.714882993
2003-01-01,680416.649515501
2003-02-01,673625.471262558
2003-03-01,679073.552868149
2003-04-01,679902.984381516
2003-05-01,685054.03511908
2003-06-01,674208.860884588
2003-07-01,680752.799152791
2003-08-01,677143.353939642
2003-09-01,686731.228289951
2003-10-01,692783.575066954
2003-11-01,689366.343742854
2003-12-01,698095.995696726
2004-01-01,691139.745425045
2004-02-01,704387.303888113
2004-03-01,714691.082609161
2004-04-01,695395.522049588
2004-05-01,705301.923752579
2004-06-01,706899.660843947
2004-07-01,702739.356873424
2004-08-01,714017.881046702
2004-09-01,690954.520716602
2004-10-01,698820.605865273
2004-11-01,703279.496079854
2004-12-01,709462.776874837
2005-01-01,734413.553309986
2005-02-01,728870.151175823
2005-03-01,747416.591812155
2005-04-01,768053.361709551
2005-05-01,739921.513352886
2005-06-01,751485.349657737
2005-07-01,731216.788412754
2005-08-01,749293.217508884
2005-09-01,753132.160411992
2005-10-01,745962.700811293
2005-11-01,757641.642700288
2005-12-01,747690.439149966
2006-01-01,739732.102880382
2006-02-01,736937.44248556
2006-03-01,721806.635281046
2006-04-01,746854.779220698
2006-05-01,737909.098592402
2006-06-01,743484.441739674
2006-07-01,725577.563886008
2006-08-01,721158.294078001
2006-09-01,724627.265701988
2006-10-01,727217.933852191
2006-11-01,721033.750597492
2006-12-01,727670.348886568
2007-01-01,703902.387171922
2007-02-01,720403.282434214
2007-03-01,714255.013186148
2007-04-01,705599.357554766
2007-05-01,700469.717786727
2007-06-01,703908.306392286
2007-07-01,691798.51083905
2007-08-01,699451.363474019
2007-09-01,728157.053253978
2007-10-01,708845.526040569
2007-11-01,701497.826353907
2007-12-01,699618.823114777
2008-01-01,711347.282284552
2008-02-01,714467.20289968
2008-03-01,710843.268488259
2008-04-01,696977.382509468
2008-05-01,712940.685026701
2008-06-01,693484.368030761
2008-07-01,707430.142636718
2008-08-01,696428.517109204
2008-09-01,683640.111598807
2008-10-01,697072.136043917
2008-11-01,693852.060305874
2008-12-01,719959.469074191
2009-01-01,731512.969747761
2009-02-01,716476.878477342
2009-03-01,726213.114312461
2009-04-01,736773.140775306
2009-05-01,727654.102371558
2009-06-01,741411.378176536
2009-07-01,767149.736273106
2009-08-01,776239.194698656
2009-09-01,786111.374959585
2009-10-01,779733.679908398
2009-11-01,767715.196752722
2009-12-01,772023.55451791
2010-01-01,777097.332093311
2010-02-01,774715.45320951
2010-03-01,770202.753338024
2010-04-01,767911.568979236
2010-05-01,780965.83577055
2010-06-01,781556.152391262
2010-07-01,773960.302057504
2010-08-01,782056.38135734
2010-09-01,799604.717790162
2010-10-01,805248.641614371
2010-11-01,793383.311928295
2010-12-01,786128.337184714
2011-01-01,775919.019882715
2011-02-01,779795.578254202
2011-03-01,786218.668986809
2011-04-01,785788.441309113
2011-05-01,794752.800583285
2011-06-01,772864.10497461
2011-07-01,761333.42407992
2011-08-01,787051.789875772
2011-09-01,765187.599248754
2011-10-01,773361.601155099
2011-11-01,781973.692867077
2011-12-01,794954.46376997
2012-01-01,806832.510939462
2012-02-01,817476.024518806
2012-03-01,819835.333945328
2012-04-01,791283.16891497
2012-05-01,794629.583558069
2012-06-01,804141.260564352
2012-07-01,811354.933653311
2012-08-01,807264.961064342
2012-09-01,801075.485333828
2012-10-01,807914.068607821
2012-11-01,811070.58375597
2012-12-01,812847.492345552
