"Date","LFIN24MACAM647N"
1976-01-01,823600
1976-02-01,828000
1976-03-01,812400
1976-04-01,799700
1976-05-01,706100
1976-06-01,568400
1976-07-01,407100
1976-08-01,492000
1976-09-01,778200
1976-10-01,776000
1976-11-01,784600
1976-12-01,789300
1977-01-01,809200
1977-02-01,807100
1977-03-01,799400
1977-04-01,790900
1977-05-01,665400
1977-06-01,567600
1977-07-01,406200
1977-08-01,459500
1977-09-01,758400
1977-10-01,764900
1977-11-01,775000
1977-12-01,792600
1978-01-01,837400
1978-02-01,818500
1978-03-01,787600
1978-04-01,787200
1978-05-01,655100
1978-06-01,553500
1978-07-01,374900
1978-08-01,434100
1978-09-01,748500
1978-10-01,746100
1978-11-01,749800
1978-12-01,763900
1979-01-01,790400
1979-02-01,786100
1979-03-01,764500
1979-04-01,737300
1979-05-01,618400
1979-06-01,531600
1979-07-01,373700
1979-08-01,414400
1979-09-01,709000
1979-10-01,694300
1979-11-01,715300
1979-12-01,733500
1980-01-01,758200
1980-02-01,761500
1980-03-01,735900
1980-04-01,728400
1980-05-01,632900
1980-06-01,460800
1980-07-01,372200
1980-08-01,406500
1980-09-01,703300
1980-10-01,701600
1980-11-01,719100
1980-12-01,736900
1981-01-01,748500
1981-02-01,742200
1981-03-01,710100
1981-04-01,721900
1981-05-01,602500
1981-06-01,459700
1981-07-01,346800
1981-08-01,398000
1981-09-01,685600
1981-10-01,699400
1981-11-01,728200
1981-12-01,747700
1982-01-01,797100
1982-02-01,795500
1982-03-01,764200
1982-04-01,774300
1982-05-01,665800
1982-06-01,545900
1982-07-01,405000
1982-08-01,498700
1982-09-01,760600
1982-10-01,748600
1982-11-01,780800
1982-12-01,784200
1983-01-01,817200
1983-02-01,805100
1983-03-01,765700
1983-04-01,773400
1983-05-01,644600
1983-06-01,535900
1983-07-01,398700
1983-08-01,458100
1983-09-01,733900
1983-10-01,758200
1983-11-01,758600
1983-12-01,773200
1984-01-01,812000
1984-02-01,796700
1984-03-01,766000
1984-04-01,751800
1984-05-01,618500
1984-06-01,529300
1984-07-01,376200
1984-08-01,445800
1984-09-01,715000
1984-10-01,720300
1984-11-01,745500
1984-12-01,761900
1985-01-01,785300
1985-02-01,784400
1985-03-01,722100
1985-04-01,732700
1985-05-01,599800
1985-06-01,506800
1985-07-01,371500
1985-08-01,414500
1985-09-01,718800
1985-10-01,708000
1985-11-01,710800
