"Date","MAM1A3CAM189S"
1968-01-01,2.3516e+10
1968-02-01,2.3451e+10
1968-03-01,2.34e+10
1968-04-01,2.3317e+10
1968-05-01,2.3538e+10
1968-06-01,2.3521e+10
1968-07-01,2.3668e+10
1968-08-01,2.4076e+10
1968-09-01,2.4134e+10
1968-10-01,2.434e+10
1968-11-01,2.458e+10
1968-12-01,2.4732e+10
1969-01-01,2.5224e+10
1969-02-01,2.5022e+10
1969-03-01,2.5116e+10
1969-04-01,2.5288e+10
1969-05-01,2.5313e+10
1969-06-01,2.5401e+10
1969-07-01,2.542e+10
1969-08-01,2.5322e+10
1969-09-01,2.5462e+10
1969-10-01,2.5728e+10
1969-11-01,2.5911e+10
1969-12-01,2.6018e+10
1970-01-01,2.6006e+10
1970-02-01,2.5957e+10
1970-03-01,2.633e+10
1970-04-01,2.6353e+10
1970-05-01,2.6313e+10
1970-06-01,2.6368e+10
1970-07-01,2.6427e+10
1970-08-01,2.6576e+10
1970-09-01,2.6841e+10
1970-10-01,2.6949e+10
1970-11-01,2.7378e+10
1970-12-01,2.784e+10
1971-01-01,2.792e+10
1971-02-01,2.7904e+10
1971-03-01,2.8479e+10
1971-04-01,2.8704e+10
1971-05-01,2.9438e+10
1971-06-01,3.033e+10
1971-07-01,3.0478e+10
1971-08-01,3.1028e+10
1971-09-01,3.1429e+10
1971-10-01,3.1646e+10
1971-11-01,3.1607e+10
1971-12-01,3.1841e+10
1972-01-01,3.2341e+10
1972-02-01,3.2505e+10
1972-03-01,3.3211e+10
1972-04-01,3.3086e+10
1972-05-01,3.3306e+10
1972-06-01,3.343e+10
1972-07-01,3.3804e+10
1972-08-01,3.4108e+10
1972-09-01,3.4587e+10
1972-10-01,3.5114e+10
1972-11-01,3.5771e+10
1972-12-01,3.6058e+10
1973-01-01,3.6516e+10
1973-02-01,3.6467e+10
1973-03-01,3.6824e+10
1973-04-01,3.7019e+10
1973-05-01,3.7459e+10
1973-06-01,3.7619e+10
1973-07-01,3.8043e+10
1973-08-01,3.8518e+10
1973-09-01,3.8739e+10
1973-10-01,3.9125e+10
1973-11-01,3.9319e+10
1973-12-01,3.9872e+10
1974-01-01,4.0251e+10
1974-02-01,4.0087e+10
1974-03-01,4.0826e+10
1974-04-01,4.1139e+10
1974-05-01,4.2303e+10
1974-06-01,4.1542e+10
1974-07-01,4.1775e+10
1974-08-01,4.1811e+10
1974-09-01,4.2212e+10
1974-10-01,4.2565e+10
1974-11-01,4.2873e+10
1974-12-01,4.3293e+10
1975-01-01,4.425e+10
1975-02-01,4.5991e+10
1975-03-01,4.7571e+10
1975-04-01,4.8485e+10
1975-05-01,4.9168e+10
1975-06-01,4.9836e+10
1975-07-01,5.0886e+10
1975-08-01,5.134e+10
1975-09-01,5.1947e+10
1975-10-01,5.2473e+10
1975-11-01,5.257e+10
1975-12-01,5.3854e+10
1976-01-01,5.3074e+10
1976-02-01,5.308e+10
1976-03-01,5.3567e+10
1976-04-01,5.3628e+10
1976-05-01,5.4205e+10
1976-06-01,5.521e+10
1976-07-01,5.5199e+10
1976-08-01,5.5883e+10
1976-09-01,5.6511e+10
1976-10-01,5.6978e+10
1976-11-01,5.7566e+10
1976-12-01,5.8327e+10
1977-01-01,5.9083e+10
1977-02-01,5.9366e+10
1977-03-01,6.0597e+10
1977-04-01,6.1268e+10
1977-05-01,6.2149e+10
1977-06-01,6.3176e+10
1977-07-01,6.343e+10
1977-08-01,6.4227e+10
1977-09-01,6.4488e+10
1977-10-01,6.5204e+10
1977-11-01,6.6084e+10
1977-12-01,6.6996e+10
1978-01-01,6.7565e+10
1978-02-01,6.7653e+10
1978-03-01,6.8998e+10
1978-04-01,6.8878e+10
1978-05-01,6.969e+10
1978-06-01,7.0026e+10
1978-07-01,7.0821e+10
1978-08-01,7.1495e+10
1978-09-01,7.2144e+10
1978-10-01,7.2619e+10
1978-11-01,7.4497e+10
1978-12-01,7.3651e+10
1979-01-01,7.4063e+10
1979-02-01,7.3831e+10
1979-03-01,7.4427e+10
1979-04-01,7.5359e+10
1979-05-01,7.6687e+10
1979-06-01,7.752e+10
1979-07-01,7.862e+10
1979-08-01,7.9257e+10
1979-09-01,8.0044e+10
1979-10-01,8.105e+10
1979-11-01,8.1415e+10
1979-12-01,8.2222e+10
1980-01-01,8.3476e+10
1980-02-01,8.3853e+10
1980-03-01,8.6719e+10
1980-04-01,8.7205e+10
1980-05-01,8.7129e+10
1980-06-01,8.8484e+10
1980-07-01,9.043e+10
1980-08-01,9.1917e+10
1980-09-01,9.3753e+10
1980-10-01,9.5633e+10
1980-11-01,9.7699e+10
1980-12-01,9.9667e+10
1981-01-01,9.8018e+10
1981-02-01,9.7626e+10
1981-03-01,9.9457e+10
1981-04-01,1.00735e+11
1981-05-01,1.00863e+11
1981-06-01,1.00645e+11
1981-07-01,1.01856e+11
1981-08-01,1.02893e+11
1981-09-01,1.03116e+11
1981-10-01,1.03434e+11
1981-11-01,1.0156e+11
1981-12-01,1.03116e+11
1982-01-01,1.04537e+11
1982-02-01,1.0525e+11
1982-03-01,1.06787e+11
1982-04-01,1.0679e+11
1982-05-01,1.0853e+11
1982-06-01,1.09603e+11
1982-07-01,1.08847e+11
1982-08-01,1.09255e+11
1982-09-01,1.10133e+11
1982-10-01,1.10919e+11
1982-11-01,1.12764e+11
1982-12-01,1.14498e+11
1983-01-01,1.1617e+11
1983-02-01,1.16778e+11
1983-03-01,1.1883e+11
1983-04-01,1.19214e+11
1983-05-01,1.20126e+11
1983-06-01,1.2165e+11
1983-07-01,1.22431e+11
1983-08-01,1.24058e+11
1983-09-01,1.2466e+11
1983-10-01,1.24724e+11
1983-11-01,1.25414e+11
1983-12-01,1.25686e+11
1984-01-01,1.25678e+11
1984-02-01,1.24932e+11
1984-03-01,1.25939e+11
1984-04-01,1.26145e+11
1984-05-01,1.26632e+11
1984-06-01,1.26602e+11
1984-07-01,1.27078e+11
1984-08-01,1.26726e+11
1984-09-01,1.26948e+11
1984-10-01,1.27981e+11
1984-11-01,1.27763e+11
1984-12-01,1.29681e+11
1985-01-01,1.31237e+11
1985-02-01,1.31086e+11
1985-03-01,1.33297e+11
1985-04-01,1.3365e+11
1985-05-01,1.35569e+11
1985-06-01,1.36249e+11
1985-07-01,1.37407e+11
1985-08-01,1.38424e+11
1985-09-01,1.40148e+11
1985-10-01,1.42454e+11
1985-11-01,1.4375e+11
1985-12-01,1.44508e+11
1986-01-01,1.46378e+11
1986-02-01,1.45591e+11
1986-03-01,1.46871e+11
1986-04-01,1.48824e+11
1986-05-01,1.50487e+11
1986-06-01,1.52084e+11
1986-07-01,1.541e+11
1986-08-01,1.5529e+11
1986-09-01,1.56945e+11
1986-10-01,1.59318e+11
1986-11-01,1.61008e+11
1986-12-01,1.63169e+11
1987-01-01,1.64089e+11
1987-02-01,1.65811e+11
1987-03-01,1.6857e+11
1987-04-01,1.71366e+11
1987-05-01,1.72825e+11
1987-06-01,1.74197e+11
1987-07-01,1.75767e+11
1987-08-01,1.76959e+11
1987-09-01,1.78331e+11
1987-10-01,1.78842e+11
1987-11-01,1.74052e+11
1987-12-01,1.75293e+11
1988-01-01,1.75922e+11
1988-02-01,1.75928e+11
1988-03-01,1.78731e+11
1988-04-01,1.79739e+11
1988-05-01,1.8099e+11
1988-06-01,1.84788e+11
1988-07-01,1.86463e+11
1988-08-01,1.88972e+11
1988-09-01,1.8977e+11
1988-10-01,1.90451e+11
1988-11-01,1.9303e+11
1988-12-01,1.94106e+11
1989-01-01,1.95272e+11
1989-02-01,1.96072e+11
1989-03-01,1.98348e+11
1989-04-01,1.97095e+11
1989-05-01,1.98907e+11
1989-06-01,2.0007e+11
1989-07-01,2.0198e+11
1989-08-01,2.04219e+11
1989-09-01,2.06691e+11
1989-10-01,2.09839e+11
1989-11-01,2.13722e+11
1989-12-01,2.1595e+11
1990-01-01,2.17032e+11
1990-02-01,2.17681e+11
1990-03-01,2.19345e+11
1990-04-01,2.20723e+11
1990-05-01,2.2093e+11
1990-06-01,2.19851e+11
1990-07-01,2.18697e+11
1990-08-01,2.18527e+11
1990-09-01,2.18099e+11
1990-10-01,2.19834e+11
1990-11-01,2.20824e+11
1990-12-01,2.22488e+11
1991-01-01,2.23932e+11
1991-02-01,2.23493e+11
1991-03-01,2.26164e+11
1991-04-01,2.25157e+11
1991-05-01,2.26224e+11
1991-06-01,2.25933e+11
1991-07-01,2.27691e+11
1991-08-01,2.27106e+11
1991-09-01,2.26525e+11
1991-10-01,2.25996e+11
1991-11-01,2.2591e+11
1991-12-01,2.26405e+11
1992-01-01,2.26677e+11
1992-02-01,2.26978e+11
1992-03-01,2.27871e+11
1992-04-01,2.27468e+11
1992-05-01,2.26272e+11
1992-06-01,2.24993e+11
1992-07-01,2.25948e+11
1992-08-01,2.26702e+11
1992-09-01,2.2755e+11
1992-10-01,2.2716e+11
1992-11-01,2.24888e+11
1992-12-01,2.23768e+11
1993-01-01,2.23471e+11
1993-02-01,2.22176e+11
1993-03-01,2.2163e+11
1993-04-01,2.21342e+11
1993-05-01,2.22863e+11
1993-06-01,2.25165e+11
1993-07-01,2.24335e+11
1993-08-01,2.25267e+11
1993-09-01,2.27394e+11
1993-10-01,2.26946e+11
1993-11-01,2.28137e+11
1993-12-01,2.2871e+11
1994-01-01,2.29214e+11
1994-02-01,2.30533e+11
1994-03-01,2.32098e+11
1994-04-01,2.3145e+11
1994-05-01,2.30322e+11
1994-06-01,2.29174e+11
1994-07-01,2.29195e+11
1994-08-01,2.27201e+11
1994-09-01,2.25704e+11
1994-10-01,2.25072e+11
1994-11-01,2.22533e+11
1994-12-01,2.22315e+11
1995-01-01,2.23021e+11
1995-02-01,2.20433e+11
1995-03-01,2.20008e+11
1995-04-01,2.20368e+11
1995-05-01,2.19718e+11
1995-06-01,2.20812e+11
1995-07-01,2.21563e+11
1995-08-01,2.22185e+11
1995-09-01,2.23265e+11
1995-10-01,2.24163e+11
1995-11-01,2.24652e+11
1995-12-01,2.23891e+11
1996-01-01,2.23082e+11
1996-02-01,2.22778e+11
1996-03-01,2.25688e+11
1996-04-01,2.25155e+11
1996-05-01,2.27107e+11
1996-06-01,2.28985e+11
1996-07-01,2.28888e+11
1996-08-01,2.29693e+11
1996-09-01,2.30757e+11
1996-10-01,2.33717e+11
1996-11-01,2.36456e+11
