"Date","FAUTOSAAR"
1967-01-01,0.629
1967-02-01,0.69
1967-03-01,0.74
1967-04-01,0.746
1967-05-01,0.782
1967-06-01,0.786
1967-07-01,0.812
1967-08-01,0.816
1967-09-01,0.802
1967-10-01,0.805
1967-11-01,0.851
1967-12-01,0.89
1968-01-01,0.956
1968-02-01,0.995
1968-03-01,1.004
1968-04-01,0.966
1968-05-01,0.976
1968-06-01,1.002
1968-07-01,1.024
1968-08-01,1.015
1968-09-01,1.21
1968-10-01,1.081
1968-11-01,1.058
1968-12-01,1.07
1969-01-01,1.118
1969-02-01,0.872
1969-03-01,1.026
1969-04-01,1.134
1969-05-01,1.168
1969-06-01,1.086
1969-07-01,1.067
1969-08-01,1.13
1969-09-01,1.158
1969-10-01,1.234
1969-11-01,1.241
1969-12-01,1.175
1970-01-01,1.129
1970-02-01,1.19
1970-03-01,1.15
1970-04-01,1.189
1970-05-01,1.286
1970-06-01,1.292
1970-07-01,1.33
1970-08-01,1.256
1970-09-01,1.1
1970-10-01,1.488
1970-11-01,1.415
1970-12-01,1.572
1971-01-01,1.5
1971-02-01,1.517
1971-03-01,1.597
1971-04-01,1.664
1971-05-01,1.609
1971-06-01,1.674
1971-07-01,1.68
1971-08-01,1.74
1971-09-01,1.542
1971-10-01,1.469
1971-11-01,1.474
1971-12-01,1.326
1972-01-01,1.525
1972-02-01,1.477
1972-03-01,1.536
1972-04-01,1.48
1972-05-01,1.537
1972-06-01,1.546
1972-07-01,1.558
1972-08-01,1.598
1972-09-01,1.682
1972-10-01,1.712
1972-11-01,1.862
1972-12-01,1.934
1973-01-01,1.817
1973-02-01,1.913
1973-03-01,1.92
1973-04-01,1.88
1973-05-01,1.792
1973-06-01,1.9
1973-07-01,1.73
1973-08-01,1.554
1973-09-01,1.498
1973-10-01,1.472
1973-11-01,1.883
1973-12-01,1.78
1974-01-01,1.669
1974-02-01,1.519
1974-03-01,1.399
1974-04-01,1.259
1974-05-01,1.213
1974-06-01,1.252
1974-07-01,1.324
1974-08-01,1.476
1974-09-01,1.649
1974-10-01,1.582
1974-11-01,1.457
1974-12-01,1.145
1975-01-01,1.571
1975-02-01,1.949
1975-03-01,1.614
1975-04-01,1.571
1975-05-01,1.454
1975-06-01,1.684
1975-07-01,1.702
1975-08-01,1.624
1975-09-01,1.595
1975-10-01,1.468
1975-11-01,1.37
1975-12-01,1.442
1976-01-01,1.288
1976-02-01,1.409
1976-03-01,1.388
1976-04-01,1.373
1976-05-01,1.375
1976-06-01,1.354
1976-07-01,1.433
1976-08-01,1.524
1976-09-01,1.692
