"Date","LFEM55MACAM647S"
1995-01-01,650116.974042824
1995-02-01,656867.717480509
1995-03-01,659740.056365528
1995-04-01,649494.595829005
1995-05-01,644175.065313848
1995-06-01,642984.275542013
1995-07-01,644219.503538738
1995-08-01,645650.51593196
1995-09-01,641849.860085287
1995-10-01,645954.389049712
1995-11-01,645195.952607187
1995-12-01,650195.213821656
1996-01-01,645223.629756841
1996-02-01,653523.395310513
1996-03-01,659071.54509884
1996-04-01,655032.589088728
1996-05-01,657127.308923714
1996-06-01,663040.986624062
1996-07-01,671561.582329201
1996-08-01,664859.765920498
1996-09-01,653800.784038397
1996-10-01,660413.278588929
1996-11-01,666146.921068831
1996-12-01,669219.746112815
1997-01-01,668578.217600948
1997-02-01,682680.783342797
1997-03-01,687311.038458296
1997-04-01,685863.985693139
1997-05-01,692852.788526119
1997-06-01,699559.473967465
1997-07-01,690508.012251813
1997-08-01,699125.299565103
1997-09-01,693663.312707113
1997-10-01,696584.511389463
1997-11-01,691363.414313028
1997-12-01,695088.175195002
1998-01-01,695693.242323445
1998-02-01,694637.475768862
1998-03-01,689336.52670214
1998-04-01,678145.95826778
1998-05-01,694385.355038028
1998-06-01,702440.440556682
1998-07-01,706795.702191903
1998-08-01,713028.646159896
1998-09-01,720776.769289122
1998-10-01,713677.625902394
1998-11-01,712982.434149684
1998-12-01,712774.210506006
1999-01-01,734474.252386621
1999-02-01,717693.514161059
1999-03-01,717267.14489235
1999-04-01,736419.751596381
1999-05-01,735968.51702497
1999-06-01,749159.433246518
1999-07-01,743540.440251754
1999-08-01,755582.222194276
1999-09-01,762936.242132236
1999-10-01,769050.726587234
1999-11-01,769278.69321568
1999-12-01,774030.685474924
2000-01-01,776003.763782949
2000-02-01,773419.680563692
2000-03-01,774047.843638876
2000-04-01,776158.697424029
2000-05-01,784397.503792408
2000-06-01,783688.256479928
2000-07-01,778796.197361264
2000-08-01,784592.292503335
2000-09-01,777853.915939269
2000-10-01,776937.205865521
2000-11-01,789114.801337279
2000-12-01,808655.469411468
2001-01-01,784361.154381452
2001-02-01,790433.601108678
2001-03-01,807630.783798847
2001-04-01,807496.221940363
2001-05-01,807877.736103992
2001-06-01,813413.973971278
2001-07-01,816730.311338102
2001-08-01,824115.165856589
2001-09-01,822075.329519203
2001-10-01,820007.682122611
2001-11-01,815621.024729
2001-12-01,831464.021275066
2002-01-01,845115.690186955
2002-02-01,855410.832549233
2002-03-01,864236.260053106
2002-04-01,876259.648847431
2002-05-01,877787.119752404
2002-06-01,884339.257800554
2002-07-01,879404.776580304
2002-08-01,886050.617363492
2002-09-01,897772.298056355
2002-10-01,900607.439935237
2002-11-01,920903.520818947
2002-12-01,919387.790857083
2003-01-01,930019.150477077
2003-02-01,931699.93635514
2003-03-01,935624.817717815
2003-04-01,951927.847432962
2003-05-01,949098.7627348
2003-06-01,953528.533247209
2003-07-01,957964.377852304
2003-08-01,969981.33515512
2003-09-01,976987.646489581
2003-10-01,986788.588124114
2003-11-01,985824.306255303
2003-12-01,992463.145337154
2004-01-01,997411.69498661
2004-02-01,1011559.83524135
2004-03-01,1000095.01928406
2004-04-01,1008405.86704258
2004-05-01,1014632.7519789
2004-06-01,1015532.30075533
2004-07-01,1011587.58373458
2004-08-01,1015783.20005106
2004-09-01,1027176.98525579
2004-10-01,1040029.00487954
2004-11-01,1052051.45396691
2004-12-01,1049788.91290328
2005-01-01,1075263.65997771
2005-02-01,1068640.73790174
2005-03-01,1068326.02786795
2005-04-01,1075090.62099864
2005-05-01,1084434.3854488
2005-06-01,1083942.94155974
2005-07-01,1083644.90630759
2005-08-01,1090185.76484448
2005-09-01,1093810.27718307
2005-10-01,1096807.04205064
2005-11-01,1094569.37179752
2005-12-01,1099737.91078663
2006-01-01,1105460.78495627
2006-02-01,1100184.57280607
2006-03-01,1101553.98971906
2006-04-01,1107710.67345527
2006-05-01,1115892.40652647
2006-06-01,1115614.61537372
2006-07-01,1119940.22265396
2006-08-01,1125357.98214558
2006-09-01,1130530.91676407
2006-10-01,1142574.94297466
2006-11-01,1145850.13266143
2006-12-01,1154006.87339959
2007-01-01,1142324.40590668
2007-02-01,1153619.87184006
2007-03-01,1155922.31912087
2007-04-01,1172970.98533214
2007-05-01,1173887.04850899
2007-06-01,1164823.94348906
2007-07-01,1171320.14397795
2007-08-01,1185605.22742251
2007-09-01,1189701.82325328
2007-10-01,1200066.8234638
2007-11-01,1195052.34911556
2007-12-01,1207382.0966228
2008-01-01,1208961.55052609
2008-02-01,1202664.14324484
2008-03-01,1204477.66814839
2008-04-01,1203574.12138344
2008-05-01,1200882.55057896
2008-06-01,1201880.35036303
2008-07-01,1201215.18358451
2008-08-01,1206815.30312582
2008-09-01,1221032.53928453
2008-10-01,1229473.42027195
2008-11-01,1222541.43438218
2008-12-01,1227227.28027686
2009-01-01,1241647.69550475
2009-02-01,1209932.95125944
2009-03-01,1216289.05106619
2009-04-01,1234881.59811545
2009-05-01,1227750.07722098
2009-06-01,1235062.70005242
2009-07-01,1248852.64844701
2009-08-01,1249617.26585367
2009-09-01,1244729.30284447
2009-10-01,1248401.42805448
2009-11-01,1265387.60663496
2009-12-01,1264128.64732766
2010-01-01,1263332.7146383
2010-02-01,1280835.96822349
2010-03-01,1276999.28227121
2010-04-01,1297031.2841197
2010-05-01,1295625.72117975
2010-06-01,1298300.01798122
2010-07-01,1303258.19966796
2010-08-01,1304916.69480639
2010-09-01,1337445.52535716
2010-10-01,1338121.48548321
2010-11-01,1355493.99105935
2010-12-01,1355137.02216729
2011-01-01,1351051.03139385
2011-02-01,1348165.05107679
2011-03-01,1350397.50278512
2011-04-01,1357682.47825458
2011-05-01,1360799.66940465
2011-06-01,1357177.83493385
2011-07-01,1362202.87534649
2011-08-01,1361074.6773962
2011-09-01,1374012.51610051
2011-10-01,1379297.87407598
2011-11-01,1379705.15003138
2011-12-01,1393694.59425203
2012-01-01,1386672.81714356
2012-02-01,1385839.24998604
2012-03-01,1405256.64922715
2012-04-01,1411367.17270882
2012-05-01,1418116.8739717
2012-06-01,1401925.43481857
2012-07-01,1411680.44496774
2012-08-01,1428496.96764005
2012-09-01,1436571.56856996
2012-10-01,1435922.73176268
2012-11-01,1437207.63476057
2012-12-01,1458887.51940773
2013-01-01,1458029.87109658
2013-02-01,1456388.52299875
2013-03-01,1460630.50311022
2013-04-01,1468112.40252555
2013-05-01,1471675.35106958
2013-06-01,1468214.14582997
2013-07-01,1462799.90432014
2013-08-01,1471734.22853002
2013-09-01,1464431.7316304
2013-10-01,1470221.71203755
2013-11-01,1470981.24390644
2013-12-01,1460231.48809894
2014-01-01,1467867.60335301
2014-02-01,1487001.85277614
2014-03-01,1494347.10734289
2014-04-01,1500733.48653237
2014-05-01,1507684.78928798
2014-06-01,1532738.77098055
2014-07-01,1524029.08405725
2014-08-01,1502182.29750955
2014-09-01,1507268.2534795
2014-10-01,1513159.63773432
2014-11-01,1507713.37410705
2014-12-01,1505944.30148459
2015-01-01,1515849.42315864
2015-02-01,1537480.51398091
2015-03-01,1541709.49998679
2015-04-01,1550068.28816412
2015-05-01,1549195.98281355
2015-06-01,1570168.02842379
2015-07-01,1575983.43751935
2015-08-01,1566614.49017267
2015-09-01,1574102.742113
2015-10-01,1568377.46431066
2015-11-01,1561232.25579633
2015-12-01,1582209.36267284
2016-01-01,1567658.12780719
2016-02-01,1585313.72623358
2016-03-01,1581546.33241918
2016-04-01,1586887.24612998
2016-05-01,1613969.25485937
2016-06-01,1599584.62545877
2016-07-01,1604272.91328348
2016-08-01,1614605.06603206
2016-09-01,1625078.65012208
2016-10-01,1622113.4701786
2016-11-01,1613803.15645918
2016-12-01,1614223.48977635
2017-01-01,1626685.03786954
2017-02-01,1632834.00879162
2017-03-01,1625416.09893316
2017-04-01,1628445.48911834
2017-05-01,1627823.29502932
2017-06-01,1632856.25752521
2017-07-01,1640706.34415153
2017-08-01,1658561.39755307
2017-09-01,1659732.05616081
2017-10-01,1662108.36126146
2017-11-01,1667344.90342322
2017-12-01,1673924.05051516
2018-01-01,1657023.3990233
2018-02-01,1665286.54103717
2018-03-01,1696022.92046653
2018-04-01,1680390.42688902
2018-05-01,1699777.12455233
2018-06-01,1714128.23098466
2018-07-01,1715655.92818503
2018-08-01,1714249.79583188
2018-09-01,1716772.93196421
2018-10-01,1710179.52633074
2018-11-01,1727272.9148166
2018-12-01,1743100.70805562
2019-01-01,1734712.21704502
2019-02-01,1731918.09578573
2019-03-01,1736334.41201839
2019-04-01,1743937.62638689
2019-05-01,1756840.17333412
2019-06-01,1757092.61271196
2019-07-01,1761443.39950526
2019-08-01,1757961.33938301
2019-09-01,1754891.18790869
2019-10-01,1747884.05683368
2019-11-01,1751520.79741374
2019-12-01,1752272.94772995
2020-01-01,1772967.80987297
2020-02-01,1763071.36351497
2020-03-01,1713954.2886908
2020-04-01,1524437.48959494
2020-05-01,1597360.7851057
2020-06-01,1647229.45819296
2020-07-01,1678590.54270504
2020-08-01,1697891.16409285
2020-09-01,1715944.81462255
2020-10-01,1731669.07205864
2020-11-01,1727428.60749446
2020-12-01,1744841.44283771
2021-01-01,1735420.37558894
2021-02-01,1741084.79109613
2021-03-01,1773754.90968546
2021-04-01,1740668.04998654
2021-05-01,1739872.57954121
2021-06-01,1759188.42312276
2021-07-01,1760975.12573209
2021-08-01,1765235.73946577
2021-09-01,1763407.06727989
2021-10-01,1762590.77741832
2021-11-01,1767800.61501362
2021-12-01,1755248.35801307
2022-01-01,1750682.69341074
2022-02-01,1751779.96941915
2022-03-01,1761394.66231948
2022-04-01,1758159.74675086
2022-05-01,1755773.84162778
2022-06-01,1722006.55636782
2022-07-01,1749749.82536643
2022-08-01,1738202.53100596
2022-09-01,1746854.0243371
2022-10-01,1743756.36854439
2022-11-01,1752301.67148092
2022-12-01,1763447.02558591
2023-01-01,1778935.92370332
2023-02-01,1779171.76158171
2023-03-01,1780300.59397569
2023-04-01,1776580.13663268
2023-05-01,1755572.49150994
2023-06-01,1735329.79398115
2023-07-01,1741176.82264319
2023-08-01,1740373.9788765
2023-09-01,1740563.3803868
2023-10-01,1760110.0506061
2023-11-01,1779653.66369168
