"Date","IR3TCP01CAM156N"
1960-01-01,5.4
1960-02-01,5.23
1960-03-01,4.12
1960-04-01,4.29
1960-05-01,3.78
1960-06-01,3.87
1960-07-01,3.78
1960-08-01,3.02
1960-09-01,2.52
1960-10-01,3.45
1960-11-01,4.21
1960-12-01,4.29
1961-01-01,3.78
1961-02-01,3.53
1961-03-01,3.78
1961-04-01,3.53
1961-05-01,3.78
1961-06-01,3.28
1961-07-01,3.02
1961-08-01,3.28
1961-09-01,3.11
1961-10-01,3.02
1961-11-01,2.85
1961-12-01,3.45
1962-01-01,3.514
1962-02-01,3.3825
1962-03-01,3.31
1962-04-01,3.4175
1962-05-01,3.546
1962-06-01,4.1275
1962-07-01,5.6975
1962-08-01,5.698
1962-09-01,5.445
1962-10-01,4.964
1962-11-01,4.38
1962-12-01,4.3125
1963-01-01,4.248
1963-02-01,4.1625
1963-03-01,4.155
1963-04-01,3.8075
1963-05-01,3.582
1963-06-01,3.6275
1963-07-01,3.806
1963-08-01,4.1675
1963-09-01,4.13
1963-10-01,4
1963-11-01,4.115
1963-12-01,4.3275
1964-01-01,4.202
1964-02-01,4.06
1964-03-01,4.17
1964-04-01,4.118
1964-05-01,4.05
1964-06-01,4.02
1964-07-01,4.032
1964-08-01,4.2225
1964-09-01,4.308
1964-10-01,4.38
1964-11-01,4.36
1964-12-01,4.59
1965-01-01,4.3625
1965-02-01,4.37
1965-03-01,4.444
1965-04-01,4.48
1965-05-01,4.685
1965-06-01,4.816
1965-07-01,4.9
1965-08-01,5.17
1965-09-01,5.226
1965-10-01,5.34
1965-11-01,5.65
1965-12-01,5.96
1966-01-01,6.0475
1966-02-01,6.02
1966-03-01,6.05
1966-04-01,6.055
1966-05-01,6.1375
1966-06-01,6.244
1966-07-01,6.3175
1966-08-01,6.344
1966-09-01,6.405
1966-10-01,6.3825
1966-11-01,6.47
1966-12-01,6.6025
1967-01-01,6.44
1967-02-01,6.0375
1967-03-01,5.566
1967-04-01,5.01
1967-05-01,5.046
1967-06-01,5.4225
1967-07-01,5.5875
1967-08-01,5.63
1967-09-01,5.825
1967-10-01,6.5025
1967-11-01,6.524
1967-12-01,6.575
1968-01-01,6.578
1968-02-01,6.8
1968-03-01,7.1375
1968-04-01,7.2575
1968-05-01,7.35
1968-06-01,7.3275
1968-07-01,7.118
1968-08-01,6.7225
1968-09-01,6.215
1968-10-01,6.318
1968-11-01,6.4475
1968-12-01,6.55
1969-01-01,6.858
1969-02-01,6.885
1969-03-01,6.9525
1969-04-01,7.064
1969-05-01,7.1325
1969-06-01,7.5975
1969-07-01,8.082
1969-08-01,8.355
1969-09-01,8.43
1969-10-01,8.55
1969-11-01,8.6025
1969-12-01,9.03
1970-01-01,9.065
1970-02-01,8.575
1970-03-01,8.2375
1970-04-01,7.738
