"Date","LFIN24FECAM647N"
1976-01-01,1020200
1976-02-01,1011800
1976-03-01,999000
1976-04-01,1006000
1976-05-01,941600
1976-06-01,858700
1976-07-01,754100
1976-08-01,798400
1976-09-01,982000
1976-10-01,993200
1976-11-01,988100
1976-12-01,983200
1977-01-01,1014600
1977-02-01,994400
1977-03-01,990900
1977-04-01,989400
1977-05-01,932200
1977-06-01,868700
1977-07-01,734400
1977-08-01,784700
1977-09-01,969900
1977-10-01,966000
1977-11-01,973000
1977-12-01,985300
1978-01-01,1013700
1978-02-01,994100
1978-03-01,974300
1978-04-01,989700
1978-05-01,924900
1978-06-01,846200
1978-07-01,724700
1978-08-01,766500
1978-09-01,947600
1978-10-01,943800
1978-11-01,942500
1978-12-01,946000
1979-01-01,978700
1979-02-01,963800
1979-03-01,942200
1979-04-01,948000
1979-05-01,890600
1979-06-01,807700
1979-07-01,694500
1979-08-01,714200
1979-09-01,910600
1979-10-01,888100
1979-11-01,898800
1979-12-01,910300
1980-01-01,928800
1980-02-01,934900
1980-03-01,904000
1980-04-01,908600
1980-05-01,851100
1980-06-01,733300
1980-07-01,660100
1980-08-01,691900
1980-09-01,882600
1980-10-01,880200
1980-11-01,900500
1980-12-01,908200
1981-01-01,919700
1981-02-01,902200
1981-03-01,887000
1981-04-01,899200
1981-05-01,803800
1981-06-01,691800
1981-07-01,628300
1981-08-01,667600
1981-09-01,864800
1981-10-01,872700
1981-11-01,876700
1981-12-01,895800
1982-01-01,920000
1982-02-01,918000
1982-03-01,886500
1982-04-01,895400
1982-05-01,835300
1982-06-01,737900
1982-07-01,635200
1982-08-01,7e+05
1982-09-01,891600
1982-10-01,872500
1982-11-01,880800
1982-12-01,877400
1983-01-01,901200
1983-02-01,892000
1983-03-01,859500
1983-04-01,884900
1983-05-01,794200
1983-06-01,701400
1983-07-01,604300
1983-08-01,644800
1983-09-01,844600
1983-10-01,838200
1983-11-01,855800
1983-12-01,851200
1984-01-01,889300
1984-02-01,856100
1984-03-01,842200
1984-04-01,850700
1984-05-01,744700
1984-06-01,692800
1984-07-01,581900
1984-08-01,625600
1984-09-01,808200
1984-10-01,811000
1984-11-01,808100
1984-12-01,814900
1985-01-01,858200
1985-02-01,833600
1985-03-01,810400
1985-04-01,814700
1985-05-01,734600
1985-06-01,664200
1985-07-01,550800
1985-08-01,580900
1985-09-01,775500
1985-10-01,758900
1985-11-01,765400
1985-12-01,769600
1986-01-01,788000
1986-02-01,778500
1986-03-01,769600
1986-04-01,761100
1986-05-01,683000
1986-06-01,563800
1986-07-01,486400
1986-08-01,535400
1986-09-01,755900
1986-10-01,758600
1986-11-01,764700
1986-12-01,767500
1987-01-01,783600
1987-02-01,760300
1987-03-01,734800
