"Date","CANCP020000CTGYM"
2015-12-01,0.0778577938844512
2016-01-01,0.0798656659115689
2016-02-01,0.0846014915535902
2016-03-01,0.097205016160686
2016-04-01,0.0892429069579294
2016-05-01,0.0832600597806214
2016-06-01,0.0765604118171168
2016-07-01,0.0823834276991504
2016-08-01,0.0813040164361205
2016-09-01,0.0829219171567956
2016-10-01,0.0903375947404804
2016-11-01,0.0732272755805463
2016-12-01,0.0756412284439039
2017-01-01,0.0640362136973102
2017-02-01,0.0584333570148232
2017-03-01,0.0493169864474852
2017-04-01,0.0521646572872834
2017-05-01,0.0589213010058811
2017-06-01,0.0677927116229689
2017-07-01,0.0702613227437974
2017-08-01,0.0688572189891532
2017-09-01,0.0725031535763311
2017-10-01,0.0645869725568158
2017-11-01,0.0673655504601768
2017-12-01,0.0664128703513667
2018-01-01,0.0678441621167491
2018-02-01,0.0717242241798459
2018-03-01,0.0934957869681638
2018-04-01,0.116917024687166
2018-05-01,0.108906929158563
2018-06-01,0.114935380200943
2018-07-01,0.108990446742274
2018-08-01,0.110887055143264
2018-09-01,0.0809989608650113
2018-10-01,0.104625984516314
2018-11-01,0.1043072457973
2018-12-01,0.0987792205670872
2019-01-01,0.12796910225877
2019-02-01,0.120129988699019
2019-03-01,0.0845424166916479
2019-04-01,0.0538511305120783
2019-05-01,0.0608295574371815
2019-06-01,0.035041439553144
2019-07-01,0.0278870369280715
2019-08-01,0.0232565142786886
2019-09-01,0.0606930662836201
2019-10-01,0.0256012426384785
2019-11-01,0.0303919961128088
2019-12-01,0.00233959836296826
2020-01-01,0
2020-02-01,-0.00464092820252789
2020-03-01,-0.00230504004150691
2020-04-01,0
2020-05-01,-0.00685437236354295
2020-06-01,0.00457963934878944
2020-07-01,0.00760009102838747
2020-08-01,0.00684435135131605
2020-09-01,-0.00458300178590309
2020-10-01,0.0114239539392384
2020-11-01,0.00228814092096749
2020-12-01,0.0297458319725809
2021-01-01,0.0250959549548243
2021-02-01,0.0340723167707426
2021-03-01,0.0411262341812592
2021-04-01,0.0505987713753864
2021-05-01,0.0733819066263038
2021-06-01,0.128429373754777
2021-07-01,0.115445847881809
2021-08-01,0.140309303881795
2021-09-01,0.124810483771162
2021-10-01,0.124265856205615
2021-11-01,0.13571837168426
2021-12-01,0.128242431434902
2022-01-01,0.166136458668528
2022-02-01,0.153766695718791
2022-03-01,0.16447033372486
2022-04-01,0.144620700880777
2022-05-01,0.108002114092883
2022-06-01,0.107274881107959
2022-07-01,0.144365096490181
2022-08-01,0.13945663243837
2022-09-01,0.149819481329612
2022-10-01,0.168076758385276
2022-11-01,0.177459596609355
2022-12-01,0.195743869606364
2023-01-01,0.187133147122164
2023-02-01,0.19419872792583
2023-03-01,0.208193968383864
2023-04-01,0.206365785666694
2023-05-01,0.205709000065446
2023-06-01,0.203986520450951
2023-07-01,0.19653754503839
2023-08-01,0.178586112153254
2023-09-01,0.181409033383359
2023-10-01,0.155073786311844
