"Date","VALIMPCAM052N"
2006-01-01,2.7023e+10
2006-02-01,2.6328e+10
2006-03-01,3.152e+10
2006-04-01,2.8843e+10
2006-05-01,3.2197e+10
2006-06-01,3.1885e+10
2006-07-01,2.774e+10
2006-08-01,3.2221e+10
2006-09-01,3.0631e+10
2006-10-01,3.1413e+10
2006-11-01,3.0888e+10
2006-12-01,2.7932e+10
2007-01-01,2.8081e+10
2007-02-01,2.8221e+10
2007-03-01,3.2941e+10
2007-04-01,3.1443e+10
2007-05-01,3.3241e+10
2007-06-01,3.3091e+10
2007-07-01,3.1521e+10
2007-08-01,3.3779e+10
2007-09-01,3.3107e+10
2007-10-01,3.7113e+10
2007-11-01,3.6025e+10
2007-12-01,3.153e+10
2008-01-01,3.2823e+10
2008-02-01,3.3516e+10
2008-03-01,3.5952e+10
2008-04-01,3.6332e+10
2008-05-01,3.8341e+10
2008-06-01,3.8494e+10
2008-07-01,3.7829e+10
2008-08-01,3.5051e+10
2008-09-01,3.7014e+10
2008-10-01,3.5569e+10
2008-11-01,3.0368e+10
2008-12-01,2.7973e+10
2009-01-01,2.4525e+10
2009-02-01,2.4452e+10
2009-03-01,2.6041e+10
2009-04-01,2.589e+10
2009-05-01,2.5251e+10
2009-06-01,2.7112e+10
2009-07-01,2.7887e+10
2009-08-01,2.8467e+10
2009-09-01,2.9648e+10
2009-10-01,3.0744e+10
2009-11-01,3.0304e+10
2009-12-01,3.004e+10
2010-01-01,2.7804e+10
2010-02-01,2.9026e+10
2010-03-01,3.5235e+10
2010-04-01,3.3312e+10
2010-05-01,3.3574e+10
2010-06-01,3.5049e+10
2010-07-01,3.2718e+10
2010-08-01,3.467e+10
2010-09-01,3.5698e+10
2010-10-01,3.634e+10
2010-11-01,3.5192e+10
2010-12-01,3.3813e+10
2011-01-01,3.4173e+10
2011-02-01,3.4031e+10
2011-03-01,4.0878e+10
2011-04-01,3.8605e+10
2011-05-01,3.9704e+10
2011-06-01,4.0673e+10
2011-07-01,3.8289e+10
2011-08-01,4.1126e+10
2011-09-01,3.945e+10
2011-10-01,4.0177e+10
2011-11-01,3.9259e+10
2011-12-01,3.6598e+10
2012-01-01,3.6407e+10
2012-02-01,3.8233e+10
2012-03-01,4.181e+10
2012-04-01,3.9687e+10
2012-05-01,4.0841e+10
2012-06-01,4.0482e+10
2012-07-01,3.8633e+10
2012-08-01,4.0935e+10
2012-09-01,3.9024e+10
2012-10-01,4.1488e+10
2012-11-01,4.0296e+10
2012-12-01,3.6123e+10
2013-01-01,3.8103e+10
2013-02-01,3.6845e+10
2013-03-01,4.0138e+10
2013-04-01,4.119e+10
2013-05-01,4.0549e+10
2013-06-01,3.9585e+10
2013-07-01,3.8601e+10
2013-08-01,4.0362e+10
2013-09-01,4.0052e+10
2013-10-01,4.1891e+10
2013-11-01,3.9391e+10
2013-12-01,3.6886e+10
2014-01-01,3.5525e+10
2014-02-01,3.5699e+10
2014-03-01,3.9867e+10
2014-04-01,4.0598e+10
2014-05-01,4.1879e+10
2014-06-01,4.1377e+10
2014-07-01,4.012e+10
2014-08-01,4.0929e+10
2014-09-01,4.103e+10
2014-10-01,4.2729e+10
2014-11-01,3.813e+10
2014-12-01,3.7433e+10
2015-01-01,3.4092e+10
2015-02-01,3.3116e+10
2015-03-01,3.8619e+10
2015-04-01,3.7615e+10
2015-05-01,3.7529e+10
2015-06-01,3.8347e+10
2015-07-01,3.5951e+10
2015-08-01,3.5755e+10
2015-09-01,3.5679e+10
2015-10-01,3.6202e+10
2015-11-01,3.4539e+10
2015-12-01,3.2681e+10
2016-01-01,3.0008e+10
2016-02-01,3.2e+10
2016-03-01,3.5453e+10
2016-04-01,3.5207e+10
2016-05-01,3.5301e+10
2016-06-01,3.6837e+10
2016-07-01,3.3091e+10
2016-08-01,3.6646e+10
2016-09-01,3.7268e+10
2016-10-01,3.4817e+10
2016-11-01,3.4041e+10
2016-12-01,3.2271e+10
2017-01-01,3.26e+10
2017-02-01,3.3326e+10
2017-03-01,3.8099e+10
2017-04-01,3.5552e+10
2017-05-01,3.8307e+10
2017-06-01,3.9323e+10
2017-07-01,3.5725e+10
2017-08-01,3.9119e+10
2017-09-01,3.8384e+10
2017-10-01,3.7741e+10
2017-11-01,3.9143e+10
2017-12-01,3.6332e+10
2018-01-01,3.6138e+10
2018-02-01,3.5738e+10
2018-03-01,4.1555e+10
2018-04-01,4.0266e+10
2018-05-01,4.2077e+10
2018-06-01,4.0948e+10
2018-07-01,3.8547e+10
2018-08-01,4.0875e+10
2018-09-01,3.854e+10
2018-10-01,4.0424e+10
2018-11-01,3.8287e+10
2018-12-01,3.571e+10
2019-01-01,3.6722e+10
2019-02-01,3.5732e+10
2019-03-01,4.0924e+10
2019-04-01,3.9475e+10
2019-05-01,4.0924e+10
2019-06-01,3.8876e+10
2019-07-01,3.892e+10
2019-08-01,4.0006e+10
2019-09-01,3.8092e+10
2019-10-01,4.0069e+10
2019-11-01,3.708e+10
2019-12-01,3.5852e+10
2020-01-01,3.5725e+10
2020-02-01,3.5156e+10
2020-03-01,3.69e+10
2020-04-01,2.7083e+10
2020-05-01,2.5837e+10
2020-06-01,3.334e+10
2020-07-01,3.5618e+10
2020-08-01,3.6931e+10
2020-09-01,3.8167e+10
2020-10-01,3.9431e+10
2020-11-01,3.8137e+10
2020-12-01,3.777e+10
2021-01-01,3.5632e+10
2021-02-01,3.5206e+10
2021-03-01,4.46e+10
2021-04-01,4.087e+10
2021-05-01,4.2603e+10
2021-06-01,4.3589e+10
2021-07-01,4.1943e+10
2021-08-01,4.2944e+10
2021-09-01,4.1662e+10
2021-10-01,4.4618e+10
2021-11-01,4.496e+10
2021-12-01,4.5059e+10
2022-01-01,3.9217e+10
