"Date","LFEM64MACAM647N"
1976-01-01,5692100
1976-02-01,5714700
1976-03-01,5771500
1976-04-01,5836100
1976-05-01,6019700
1976-06-01,6211100
1976-07-01,6352500
1976-08-01,6349100
1976-09-01,6102100
1976-10-01,6059900
1976-11-01,6008400
1976-12-01,5929100
1977-01-01,5788700
1977-02-01,5795200
1977-03-01,5823300
1977-04-01,5871200
1977-05-01,6125800
1977-06-01,6260600
1977-07-01,6399000
1977-08-01,6416500
1977-09-01,6144600
1977-10-01,6145900
1977-11-01,6075900
1977-12-01,5980200
1978-01-01,5832000
1978-02-01,5875400
1978-03-01,5924100
1978-04-01,5952300
1978-05-01,6221300
1978-06-01,6405800
1978-07-01,6563800
1978-08-01,6575900
1978-09-01,6300700
1978-10-01,6313200
1978-11-01,6242600
1978-12-01,6155200
1979-01-01,6038700
1979-02-01,6044600
1979-03-01,6112900
1979-04-01,6179600
1979-05-01,6441200
1979-06-01,6614700
1979-07-01,6797600
1979-08-01,6799300
1979-09-01,6532000
1979-10-01,6518200
1979-11-01,6442400
1979-12-01,6343900
1980-01-01,6218200
1980-02-01,6235800
1980-03-01,6261400
1980-04-01,6303600
1980-05-01,6493900
1980-06-01,6727700
1980-07-01,6840200
1980-08-01,6866200
1980-09-01,6617400
1980-10-01,6601600
1980-11-01,6552500
1980-12-01,6461900
1981-01-01,6348700
1981-02-01,6393200
1981-03-01,6417200
1981-04-01,6487100
1981-05-01,6683500
1981-06-01,6894000
1981-07-01,7014600
1981-08-01,7020600
1981-09-01,6694100
1981-10-01,6645000
1981-11-01,6551400
1981-12-01,6405000
1982-01-01,6223500
1982-02-01,6223700
1982-03-01,6231600
1982-04-01,6222500
1982-05-01,6400200
1982-06-01,6539300
1982-07-01,6617700
1982-08-01,6543400
1982-09-01,6291800
1982-10-01,6249700
1982-11-01,6136200
1982-12-01,6039600
1983-01-01,5905200
1983-02-01,5943100
1983-03-01,5998400
1983-04-01,6051800
1983-05-01,6326800
1983-06-01,6511700
1983-07-01,6670200
1983-08-01,6682300
1983-09-01,6474900
1983-10-01,6432400
1983-11-01,6336900
1983-12-01,6246400
1984-01-01,6082900
1984-02-01,6130400
1984-03-01,6151400
1984-04-01,6213300
1984-05-01,6459900
1984-06-01,6674800
1984-07-01,6844800
1984-08-01,6800400
1984-09-01,6548300
1984-10-01,6545600
1984-11-01,6416200
1984-12-01,6351000
1985-01-01,6234400
1985-02-01,6255300
1985-03-01,6299500
1985-04-01,6384800
1985-05-01,6644400
1985-06-01,6796000
1985-07-01,6968300
1985-08-01,6954400
1985-09-01,6687800
1985-10-01,6657600
1985-11-01,6607400
1985-12-01,6538400
1986-01-01,6437200
1986-02-01,6447900
1986-03-01,6494700
1986-04-01,6602600
1986-05-01,6807300
1986-06-01,7002800
1986-07-01,7104100
1986-08-01,7090400
1986-09-01,6834200
1986-10-01,6822100
1986-11-01,6747200
1986-12-01,6659200
1987-01-01,6516700
1987-02-01,6550100
1987-03-01,6600700
1987-04-01,6686500
1987-05-01,6939600
1987-06-01,7140000
1987-07-01,7248300
1987-08-01,7258600
1987-09-01,7021200
1987-10-01,7025800
1987-11-01,6949800
1987-12-01,6891700
1988-01-01,6756200
1988-02-01,6786200
1988-03-01,6820900
1988-04-01,6863000
1988-05-01,7137600
1988-06-01,7279500
1988-07-01,7396500
1988-08-01,7399100
1988-09-01,7133800
1988-10-01,7111000
1988-11-01,7034500
1988-12-01,6967600
1989-01-01,6869800
1989-02-01,6884900
1989-03-01,6933500
1989-04-01,6960300
1989-05-01,7236000
1989-06-01,7397000
1989-07-01,7506900
1989-08-01,7535200
1989-09-01,7288700
1989-10-01,7251000
1989-11-01,7139000
1989-12-01,7033900
1990-01-01,6907600
1990-02-01,6924500
1990-03-01,6953800
1990-04-01,7019700
1990-05-01,7217600
1990-06-01,7386300
1990-07-01,7511400
1990-08-01,7483800
1990-09-01,7248300
1990-10-01,7186800
1990-11-01,7020200
1990-12-01,6894800
1991-01-01,6716900
1991-02-01,6685200
1991-03-01,6675100
1991-04-01,6756400
1991-05-01,6991200
1991-06-01,7148700
1991-07-01,7275400
1991-08-01,7252100
1991-09-01,7036900
1991-10-01,7008000
1991-11-01,6866500
1991-12-01,6754900
1992-01-01,6587400
1992-02-01,6574600
1992-03-01,6593600
1992-04-01,6632600
1992-05-01,6873100
1992-06-01,7057700
1992-07-01,7159400
1992-08-01,7118800
1992-09-01,6933700
