"Date","LFUN25TTCAM647S"
1976-01-01,333500
1976-02-01,332400
1976-03-01,306200
1976-04-01,325300
1976-05-01,326200
1976-06-01,327600
1976-07-01,347000
1976-08-01,340900
1976-09-01,340600
1976-10-01,370100
1976-11-01,361300
1976-12-01,364100
1977-01-01,378900
1977-02-01,384500
1977-03-01,395000
1977-04-01,390300
1977-05-01,385700
1977-06-01,389800
1977-07-01,386600
1977-08-01,395100
1977-09-01,406600
1977-10-01,415600
1977-11-01,420800
1977-12-01,435500
1978-01-01,426900
1978-02-01,435600
1978-03-01,447500
1978-04-01,436800
1978-05-01,451400
1978-06-01,445100
1978-07-01,438000
1978-08-01,450000
1978-09-01,444800
1978-10-01,441400
1978-11-01,447800
1978-12-01,438900
1979-01-01,443200
1979-02-01,429000
1979-03-01,430800
1979-04-01,423700
1979-05-01,407300
1979-06-01,399800
1979-07-01,394200
1979-08-01,389400
1979-09-01,384800
1979-10-01,401200
1979-11-01,392300
1979-12-01,401300
1980-01-01,416400
1980-02-01,434100
1980-03-01,416800
1980-04-01,429800
1980-05-01,438800
1980-06-01,426300
1980-07-01,424400
1980-08-01,429800
1980-09-01,423300
1980-10-01,408300
1980-11-01,414200
1980-12-01,415200
1981-01-01,431500
1981-02-01,430600
1981-03-01,431400
1981-04-01,416300
1981-05-01,424500
1981-06-01,431000
1981-07-01,435500
1981-08-01,433000
1981-09-01,493900
1981-10-01,521700
1981-11-01,500800
1981-12-01,546700
1982-01-01,517800
1982-02-01,546200
1982-03-01,573800
1982-04-01,614500
1982-05-01,649000
1982-06-01,701800
1982-07-01,740900
1982-08-01,756600
1982-09-01,797800
1982-10-01,842900
1982-11-01,856200
1982-12-01,872700
1983-01-01,842100
1983-02-01,844700
1983-03-01,828300
1983-04-01,818500
1983-05-01,824000
1983-06-01,837200
1983-07-01,805000
1983-08-01,779600
1983-09-01,776500
1983-10-01,770500
1983-11-01,761400
1983-12-01,766600
1984-01-01,773400
1984-02-01,788600
1984-03-01,799800
1984-04-01,810700
1984-05-01,836300
1984-06-01,815800
1984-07-01,796500
1984-08-01,816900
1984-09-01,876800
1984-10-01,835600
1984-11-01,831600
1984-12-01,820100
1985-01-01,792900
1985-02-01,804400
1985-03-01,810300
1985-04-01,795800
1985-05-01,790600
1985-06-01,788200
1985-07-01,783800
1985-08-01,778100
1985-09-01,758800
1985-10-01,777800
1985-11-01,779200
1985-12-01,758200
1986-01-01,740400
1986-02-01,727200
1986-03-01,732500
1986-04-01,743400
1986-05-01,723900
1986-06-01,747800
1986-07-01,753300
1986-08-01,749300
1986-09-01,740400
1986-10-01,744400
1986-11-01,751200
1986-12-01,747800
1987-01-01,757200
1987-02-01,756800
1987-03-01,745300
1987-04-01,738200
1987-05-01,713600
1987-06-01,722300
1987-07-01,704900
1987-08-01,701800
1987-09-01,711900
1987-10-01,680300
1987-11-01,663900
1987-12-01,666500
1988-01-01,669600
1988-02-01,660700
1988-03-01,653500
1988-04-01,648100
1988-05-01,648700
1988-06-01,656700
1988-07-01,664100
1988-08-01,662300
1988-09-01,667400
1988-10-01,666300
1988-11-01,670000
1988-12-01,638800
1989-01-01,657600
1989-02-01,661600
1989-03-01,676500
1989-04-01,685500
1989-05-01,690100
1989-06-01,661100
1989-07-01,674500
1989-08-01,660000
1989-09-01,659000
1989-10-01,631900
1989-11-01,671400
1989-12-01,696100
1990-01-01,708500
1990-02-01,700400
1990-03-01,668200
1990-04-01,690200
1990-05-01,709900
1990-06-01,704800
1990-07-01,723200
1990-08-01,749400
1990-09-01,786900
1990-10-01,810200
1990-11-01,846100
1990-12-01,865400
1991-01-01,892500
1991-02-01,941400
1991-03-01,964800
1991-04-01,943200
1991-05-01,936700
1991-06-01,956000
1991-07-01,957200
1991-08-01,975600
1991-09-01,948000
1991-10-01,971500
1991-11-01,975300
1991-12-01,969800
1992-01-01,965400
1992-02-01,976500
1992-03-01,1013900
1992-04-01,996700
1992-05-01,1019100
1992-06-01,1056200
1992-07-01,1053700
1992-08-01,1081400
1992-09-01,1093600
1992-10-01,1085200
1992-11-01,1158500
1992-12-01,1104000
1993-01-01,1067100
1993-02-01,1047300
1993-03-01,1060700
1993-04-01,1103800
1993-05-01,1104600
1993-06-01,1104600
1993-07-01,1117300
1993-08-01,1073300
1993-09-01,1118700
1993-10-01,1076200
1993-11-01,1073200
1993-12-01,1101400
1994-01-01,1088100
1994-02-01,1039200
1994-03-01,997400
1994-04-01,1040600
1994-05-01,1010300
1994-06-01,992500
1994-07-01,974300
1994-08-01,987400
1994-09-01,1010000
1994-10-01,959800
1994-11-01,957900
1994-12-01,942600
1995-01-01,935700
1995-02-01,946000
1995-03-01,954500
1995-04-01,916400
1995-05-01,935200
1995-06-01,921400
1995-07-01,933400
1995-08-01,929100
1995-09-01,888700
1995-10-01,903700
1995-11-01,896000
1995-12-01,904500
1996-01-01,928500
1996-02-01,934900
1996-03-01,948600
1996-04-01,927200
1996-05-01,920100
1996-06-01,968400
1996-07-01,977500
1996-08-01,946600
1996-09-01,978100
1996-10-01,979900
1996-11-01,957400
1996-12-01,959600
1997-01-01,917800
1997-02-01,928600
1997-03-01,903500
1997-04-01,926500
1997-05-01,911400
1997-06-01,866100
1997-07-01,841200
1997-08-01,851000
1997-09-01,848600
1997-10-01,861500
1997-11-01,856600
1997-12-01,817300
1998-01-01,848100
1998-02-01,836800
1998-03-01,809800
1998-04-01,793800
1998-05-01,812800
1998-06-01,801400
1998-07-01,805600
1998-08-01,783700
1998-09-01,806700
1998-10-01,780700
1998-11-01,779100
1998-12-01,787900
1999-01-01,771500
1999-02-01,770300
1999-03-01,765900
1999-04-01,788800
1999-05-01,762600
1999-06-01,744900
1999-07-01,737100
1999-08-01,734300
1999-09-01,722700
1999-10-01,696400
1999-11-01,681100
1999-12-01,656400
2000-01-01,668000
2000-02-01,662700
2000-03-01,664900
2000-04-01,650100
2000-05-01,641700
2000-06-01,653300
2000-07-01,664800
2000-08-01,680300
2000-09-01,675800
2000-10-01,679700
2000-11-01,692200
2000-12-01,678900
2001-01-01,694800
2001-02-01,691800
2001-03-01,712200
2001-04-01,713400
2001-05-01,723000
2001-06-01,726800
2001-07-01,703800
2001-08-01,736100
2001-09-01,729200
2001-10-01,738100
2001-11-01,729800
2001-12-01,816200
2002-01-01,816200
2002-02-01,806100
2002-03-01,795700
2002-04-01,795500
2002-05-01,786100
2002-06-01,783500
2002-07-01,791500
2002-08-01,752100
2002-09-01,774000
2002-10-01,766400
2002-11-01,745400
2002-12-01,770100
2003-01-01,756700
2003-02-01,755300
2003-03-01,755900
2003-04-01,771700
2003-05-01,808200
2003-06-01,782000
2003-07-01,791700
2003-08-01,812100
2003-09-01,807500
2003-10-01,776700
2003-11-01,761900
2003-12-01,740200
2004-01-01,738300
2004-02-01,730700
2004-03-01,735500
2004-04-01,726600
2004-05-01,702200
2004-06-01,733800
2004-07-01,710600
2004-08-01,696700
2004-09-01,708200
2004-10-01,721300
2004-11-01,749500
2004-12-01,735900
2005-01-01,711800
2005-02-01,729000
2005-03-01,717000
2005-04-01,703800
2005-05-01,714700
2005-06-01,693400
2005-07-01,679800
2005-08-01,702500
2005-09-01,685200
2005-10-01,691700
2005-11-01,653800
2005-12-01,677900
2006-01-01,703000
2006-02-01,693000
2006-03-01,666800
2006-04-01,671400
2006-05-01,654100
2006-06-01,655400
2006-07-01,664600
2006-08-01,651300
2006-09-01,656700
2006-10-01,659700
2006-11-01,678100
2006-12-01,663000
2007-01-01,656800
2007-02-01,664200
2007-03-01,663300
2007-04-01,659900
2007-05-01,650700
2007-06-01,637900
2007-07-01,625100
2007-08-01,626500
2007-09-01,625800
2007-10-01,618100
2007-11-01,631000
2007-12-01,638900
2008-01-01,634700
2008-02-01,630900
2008-03-01,653100
2008-04-01,639100
2008-05-01,626800
2008-06-01,625000
2008-07-01,658600
2008-08-01,658000
2008-09-01,655400
2008-10-01,647400
2008-11-01,686800
2008-12-01,740400
2009-01-01,809900
2009-02-01,859900
2009-03-01,892700
2009-04-01,909700
2009-05-01,938900
2009-06-01,962300
2009-07-01,934300
2009-08-01,935300
2009-09-01,927100
2009-10-01,922500
2009-11-01,914800
2009-12-01,913000
2010-01-01,894600
2010-02-01,911100
2010-03-01,882500
2010-04-01,880300
2010-05-01,881700
2010-06-01,877900
2010-07-01,898200
2010-08-01,885200
2010-09-01,878800
2010-10-01,861100
2010-11-01,849000
2010-12-01,843800
2011-01-01,837100
2011-02-01,835700
2011-03-01,823500
2011-04-01,816800
2011-05-01,798400
2011-06-01,808400
2011-07-01,778600
2011-08-01,783400
2011-09-01,789800
2011-10-01,801500
2011-11-01,814300
2011-12-01,784700
2012-01-01,802800
2012-02-01,792300
2012-03-01,780300
2012-04-01,800500
2012-05-01,803900
2012-06-01,762200
2012-07-01,770300
2012-08-01,770300
2012-09-01,759300
2012-10-01,772100
2012-11-01,772100
2012-12-01,756500
2013-01-01,755800
2013-02-01,744700
2013-03-01,770100
2013-04-01,749900
2013-05-01,752600
2013-06-01,754100
2013-07-01,758200
2013-08-01,751100
2013-09-01,760700
2013-10-01,752600
2013-11-01,744400
2013-12-01,796700
