"Date","LFINTTFECAM647N"
1976-01-01,4751300
1976-02-01,4738400
1976-03-01,4719900
1976-04-01,4728000
1976-05-01,4671400
1976-06-01,4612200
1976-07-01,4542800
1976-08-01,4570100
1976-09-01,4701300
1976-10-01,4715700
1976-11-01,4719600
1976-12-01,4737900
1977-01-01,4798500
1977-02-01,4760100
1977-03-01,4744600
1977-04-01,4753500
1977-05-01,4699000
1977-06-01,4652700
1977-07-01,4585000
1977-08-01,4610500
1977-09-01,4734400
1977-10-01,4729800
1977-11-01,4757500
1977-12-01,4784700
1978-01-01,4846700
1978-02-01,4796400
1978-03-01,4741900
1978-04-01,4762500
1978-05-01,4686200
1978-06-01,4620700
1978-07-01,4531800
1978-08-01,4549000
1978-09-01,4665000
1978-10-01,4668400
1978-11-01,4677700
1978-12-01,4701600
1979-01-01,4759500
1979-02-01,4721500
1979-03-01,4682000
1979-04-01,4703600
1979-05-01,4660600
1979-06-01,4588000
1979-07-01,4513100
1979-08-01,4514500
1979-09-01,4669800
1979-10-01,4623100
1979-11-01,4649600
1979-12-01,4691900
1980-01-01,4706700
1980-02-01,4709100
1980-03-01,4655100
1980-04-01,4658100
1980-05-01,4608500
1980-06-01,4527300
1980-07-01,4512200
1980-08-01,4522900
1980-09-01,4643600
1980-10-01,4631500
1980-11-01,4673900
1980-12-01,4715700
1981-01-01,4732800
1981-02-01,4672600
1981-03-01,4639500
1981-04-01,4663500
1981-05-01,4545200
1981-06-01,4440100
1981-07-01,4454700
1981-08-01,4468200
1981-09-01,4543400
1981-10-01,4559200
1981-11-01,4589200
1981-12-01,4666000
1982-01-01,4731400
1982-02-01,4716400
1982-03-01,4657900
1982-04-01,4684300
1982-05-01,4603800
1982-06-01,4539000
1982-07-01,4500600
1982-08-01,4538800
1982-09-01,4683800
1982-10-01,4665900
1982-11-01,4681700
1982-12-01,4712300
1983-01-01,4759000
1983-02-01,4730700
1983-03-01,4654000
1983-04-01,4669500
1983-05-01,4582500
1983-06-01,4498400
1983-07-01,4485300
1983-08-01,4492900
1983-09-01,4623200
1983-10-01,4632000
1983-11-01,4672200
