"Date","MABMM301CAM189S"
1970-01-01,3.8233e+10
1970-02-01,3.8587e+10
1970-03-01,3.8738e+10
1970-04-01,3.8581e+10
1970-05-01,3.9086e+10
1970-06-01,3.9358e+10
1970-07-01,3.9424e+10
1970-08-01,3.9989e+10
1970-09-01,4.053e+10
1970-10-01,4.0635e+10
1970-11-01,4.1527e+10
1970-12-01,4.1835e+10
1971-01-01,4.2439e+10
1971-02-01,4.2437e+10
1971-03-01,4.2842e+10
1971-04-01,4.2904e+10
1971-05-01,4.3208e+10
1971-06-01,4.3328e+10
1971-07-01,4.3793e+10
1971-08-01,4.4669e+10
1971-09-01,4.4696e+10
1971-10-01,4.5526e+10
1971-11-01,4.5736e+10
1971-12-01,4.5905e+10
1972-01-01,4.7509e+10
1972-02-01,4.7485e+10
1972-03-01,4.8064e+10
1972-04-01,4.9035e+10
1972-05-01,4.9636e+10
1972-06-01,5.0479e+10
1972-07-01,5.0677e+10
1972-08-01,5.0302e+10
1972-09-01,5.1249e+10
1972-10-01,5.2403e+10
1972-11-01,5.192e+10
1972-12-01,5.3134e+10
1973-01-01,5.3836e+10
1973-02-01,5.4708e+10
1973-03-01,5.5071e+10
1973-04-01,5.5867e+10
1973-05-01,5.6052e+10
1973-06-01,5.712e+10
1973-07-01,5.8492e+10
1973-08-01,5.8604e+10
1973-09-01,5.9714e+10
1973-10-01,6.1003e+10
1973-11-01,6.2773e+10
1973-12-01,6.4506e+10
1974-01-01,6.5542e+10
1974-02-01,6.7071e+10
1974-03-01,6.8579e+10
1974-04-01,6.9605e+10
1974-05-01,7.1618e+10
1974-06-01,7.2156e+10
1974-07-01,7.4018e+10
1974-08-01,7.5217e+10
1974-09-01,7.6476e+10
1974-10-01,7.6702e+10
1974-11-01,7.7408e+10
1974-12-01,7.8141e+10
1975-01-01,7.9182e+10
1975-02-01,8.0059e+10
1975-03-01,8.0735e+10
1975-04-01,8.0975e+10
1975-05-01,8.1255e+10
1975-06-01,8.2868e+10
1975-07-01,8.342e+10
1975-08-01,8.4582e+10
1975-09-01,8.6022e+10
1975-10-01,8.7021e+10
1975-11-01,8.7163e+10
1975-12-01,8.9286e+10
1976-01-01,9.0221e+10
1976-02-01,9.1845e+10
1976-03-01,9.4023e+10
1976-04-01,9.6169e+10
1976-05-01,9.7907e+10
1976-06-01,9.9051e+10
1976-07-01,1.00318e+11
1976-08-01,1.02273e+11
1976-09-01,1.02293e+11
1976-10-01,1.04383e+11
1976-11-01,1.05678e+11
1976-12-01,1.07176e+11
1977-01-01,1.08571e+11
1977-02-01,1.0981e+11
1977-03-01,1.11344e+11
1977-04-01,1.12754e+11
1977-05-01,1.15403e+11
1977-06-01,1.15322e+11
1977-07-01,1.1664e+11
1977-08-01,1.18257e+11
1977-09-01,1.20113e+11
1977-10-01,1.21469e+11
1977-11-01,1.21843e+11
1977-12-01,1.23277e+11
1978-01-01,1.24472e+11
1978-02-01,1.25449e+11
1978-03-01,1.27221e+11
1978-04-01,1.29736e+11
1978-05-01,1.30763e+11
1978-06-01,1.32317e+11
1978-07-01,1.33629e+11
1978-08-01,1.35396e+11
1978-09-01,1.38087e+11
1978-10-01,1.39642e+11
1978-11-01,1.43525e+11
1978-12-01,1.4517e+11
1979-01-01,1.47658e+11
1979-02-01,1.49967e+11
1979-03-01,1.51152e+11
1979-04-01,1.53602e+11
1979-05-01,1.56212e+11
1979-06-01,1.58547e+11
1979-07-01,1.6161e+11
1979-08-01,1.63055e+11
1979-09-01,1.64703e+11
1979-10-01,1.66746e+11
1979-11-01,1.70581e+11
1979-12-01,1.72629e+11
1980-01-01,1.74153e+11
1980-02-01,1.77122e+11
1980-03-01,1.79719e+11
1980-04-01,1.82018e+11
1980-05-01,1.84618e+11
1980-06-01,1.87166e+11
1980-07-01,1.89401e+11
1980-08-01,1.89118e+11
1980-09-01,1.90468e+11
