"Date","XTEXVA01CAM664N"
1979-09-01,5691423000
1979-10-01,6325662000
1979-11-01,6064115000
1979-12-01,5721691000
1980-01-01,5926717000
1980-02-01,6184920000
1980-03-01,6546474000
1980-04-01,6307461000
1980-05-01,6081724000
1980-06-01,6586752000
1980-07-01,6032704000
1980-08-01,5563864000
1980-09-01,6250677000
1980-10-01,7258457000
1980-11-01,6888221000
1980-12-01,6530627000
1981-01-01,6670094000
1981-02-01,6369521000
1981-03-01,7042967000
1981-04-01,7029863000
1981-05-01,7320726000
1981-06-01,8064414000
1981-07-01,6733009000
1981-08-01,5989657000
1981-09-01,6823071000
1981-10-01,7245836000
1981-11-01,7662319000
1981-12-01,6860003000
1982-01-01,6008600000
1982-02-01,6776356000
1982-03-01,7634316000
1982-04-01,7186142000
1982-05-01,7507629000
1982-06-01,7955085000
1982-07-01,6832941000
1982-08-01,6486098000
1982-09-01,7566967000
1982-10-01,6670677000
1982-11-01,6997269000
1982-12-01,6908173000
1983-01-01,6399473000
1983-02-01,6818745000
1983-03-01,7453197000
1983-04-01,7379150000
1983-05-01,7976896000
1983-06-01,8277313000
1983-07-01,6716806000
1983-08-01,7010966000
1983-09-01,7669992000
1983-10-01,8219904000
1983-11-01,8691105000
1983-12-01,7999003000
1984-01-01,8331816000
1984-02-01,8340340000
1984-03-01,9270177000
1984-04-01,9088414000
1984-05-01,10281622000
1984-06-01,9950843000
1984-07-01,9222618000
1984-08-01,8927506000
1984-09-01,9519710000
1984-10-01,10237026000
1984-11-01,10176897000
1984-12-01,9036656000
1985-01-01,9147323000
1985-02-01,9081317000
1985-03-01,10556333000
1985-04-01,10312925000
1985-05-01,10820128000
1985-06-01,10243457000
1985-07-01,8409440000
1985-08-01,8933158000
1985-09-01,10461883000
1985-10-01,11188490000
1985-11-01,10387050000
1985-12-01,9933007000
1986-01-01,10058600000
1986-02-01,9396200000
1986-03-01,9716400000
1986-04-01,10691100000
1986-05-01,10298800000
1986-06-01,10293200000
1986-07-01,9262700000
1986-08-01,8655500000
1986-09-01,10512400000
1986-10-01,11006700000
1986-11-01,10749200000
1986-12-01,10029100000
1987-01-01,9154400000
1987-02-01,9888900000
1987-03-01,10670900000
1987-04-01,1.0223e+10
1987-05-01,10657800000
1987-06-01,10806600000
1987-07-01,9527700000
1987-08-01,9362400000
1987-09-01,10738400000
1987-10-01,11336400000
1987-11-01,1.1513e+10
1987-12-01,11207300000
1988-01-01,10315100000
1988-02-01,11232400000
1988-03-01,12551600000
1988-04-01,11538200000
1988-05-01,12168300000
1988-06-01,12868700000
1988-07-01,9.674e+09
1988-08-01,10933900000
1988-09-01,11708300000
1988-10-01,11939300000
1988-11-01,12470700000
1988-12-01,1.1098e+10
1989-01-01,11368400000
1989-02-01,11259200000
1989-03-01,12057100000
1989-04-01,11724200000
1989-05-01,12571400000
1989-06-01,12071500000
1989-07-01,9850200000
1989-08-01,10840300000
1989-09-01,11613200000
1989-10-01,12003700000
1989-11-01,12410200000
1989-12-01,10931900000
1990-01-01,11416900000
1990-02-01,11495900000
1990-03-01,13325700000
1990-04-01,12333800000
1990-05-01,13806500000
1990-06-01,13178400000
1990-07-01,11225800000
1990-08-01,11828100000
1990-09-01,12305100000
1990-10-01,13885800000
1990-11-01,12709300000
1990-12-01,11468100000
1991-01-01,11663900000
1991-02-01,11250900000
1991-03-01,1.2066e+10
1991-04-01,12718100000
1991-05-01,13134600000
1991-06-01,12589300000
1991-07-01,11349400000
1991-08-01,11999700000
1991-09-01,11942300000
1991-10-01,13167400000
1991-11-01,12386200000
1991-12-01,11738500000
1992-01-01,11938400000
1992-02-01,12396600000
1992-03-01,1.3906e+10
1992-04-01,13649100000
1992-05-01,14000900000
1992-06-01,14029200000
1992-07-01,12250400000
1992-08-01,12834800000
1992-09-01,14184700000
1992-10-01,1.5129e+10
1992-11-01,14437700000
1992-12-01,14070700000
1993-01-01,13736500000
1993-02-01,1.3799e+10
1993-03-01,16428100000
1993-04-01,15600100000
1993-05-01,15987900000
1993-06-01,16952700000
1993-07-01,13524600000
1993-08-01,14907400000
1993-09-01,16459400000
1993-10-01,17369800000
1993-11-01,1.7031e+10
1993-12-01,15719200000
1994-01-01,14832800000
1994-02-01,15241100000
1994-03-01,19112800000
