"Date","LREM55MACAM156N"
1976-01-01,71.0393873085339
1976-02-01,70.7191967696169
1976-03-01,71.6245644599303
1976-04-01,72.7677601564197
1976-05-01,72.7459904638058
1976-06-01,74.2999243161423
1976-07-01,73.9186711250135
1976-08-01,73.8512859141289
1976-09-01,74.2507251047374
1976-10-01,73.885077186964
1976-11-01,73.0522260273972
1976-12-01,71.8940284157675
1977-01-01,70.2195693881902
1977-02-01,69.9425654116146
1977-03-01,70.365258016564
1977-04-01,69.8559016740835
1977-05-01,71.8439416367096
1977-06-01,71.855213170114
1977-07-01,71.857549257191
1977-08-01,71.850683491062
1977-09-01,71.7014800041986
1977-10-01,71.9107011843622
1977-11-01,71.1834257612221
1977-12-01,70.0177657017452
1978-01-01,68.5237350026082
1978-02-01,69.0384415043234
1978-03-01,69.4548481065335
1978-04-01,69.2499480573447
1978-05-01,71.5026444052681
1978-06-01,71.6193828950093
1978-07-01,71.4315266859744
1978-08-01,72.1292854192482
1978-09-01,72.5275858512943
1978-10-01,72.3097518278242
1978-11-01,71.2464006581654
1978-12-01,70.220852593734
1979-01-01,70.0307692307692
1979-02-01,69.9303564113068
1979-03-01,69.888513859057
1979-04-01,70.8873685285408
1979-05-01,72.4074640562863
1979-06-01,72.711536503411
1979-07-01,72.3408582468985
1979-08-01,72.7965069049553
1979-09-01,71.9602474394078
1979-10-01,71.8133036347069
1979-11-01,71.1960368011324
1979-12-01,69.8374230031304
1980-01-01,69.9062405484424
1980-02-01,70.193275619086
1980-03-01,70.1819644113803
1980-04-01,69.8213568847852
1980-05-01,71.3026052104208
1980-06-01,71.8956208758248
1980-07-01,72.2444089456869
1980-08-01,72.6103857271006
1980-09-01,72.32942112592
1980-10-01,72.0158887785502
1980-11-01,71.2005551700209
1980-12-01,70.2959516975156
1981-01-01,68.9648360331884
1981-02-01,69.6569400630915
1981-03-01,69.4419840566873
1981-04-01,69.1030553099519
1981-05-01,70.4520937530646
1981-06-01,70.5606105077781
1981-07-01,70.8899091530722
1981-08-01,71.5720694363175
1981-09-01,72.0346404592781
1981-10-01,72.1153846153847
1981-11-01,71.1044313003006
1981-12-01,69.322362052275
1982-01-01,67.7163833075734
1982-02-01,67.2322375397667
1982-03-01,66.7821401077752
1982-04-01,67.0060512919028
1982-05-01,67.7979100757358
1982-06-01,68.3848140001913
1982-07-01,67.8220185238232
1982-08-01,67.3080586778434
1982-09-01,67.1325347024149
1982-10-01,66.3218827101917
1982-11-01,65.2206857359348
1982-12-01,65.1951980338406
1983-01-01,63.6638053013867
1983-02-01,64.0188235294117
1983-03-01,63.6449037106623
1983-04-01,64.6259141196325
1983-05-01,66.1616161616162
1983-06-01,65.982076176251
1983-07-01,65.9209545115585
1983-08-01,66.1768808704548
1983-09-01,66.9049387300408
1983-10-01,66.3515892873691
1983-11-01,64.736355226642
1983-12-01,63.9545622460288
1984-01-01,63.4470046082949
1984-02-01,64.4558918222794
1984-03-01,64.5664952240999
1984-04-01,64.4422036850307
1984-05-01,65.6567505720824
1984-06-01,66.8006945079046
1984-07-01,65.179304681084
1984-08-01,64.5187750637988
1984-09-01,64.3396741603714
1984-10-01,64.5583424209378
1984-11-01,63.0661704638286
1984-12-01,61.6430903155604
1985-01-01,61.7641731570368
1985-02-01,61.6268548678972
1985-03-01,61.8186748621531
1985-04-01,61.5981941309255
1985-05-01,62.8213222693244
1985-06-01,63.7895305883413
1985-07-01,64.2008639308855
1985-08-01,63.4598093868009
1985-09-01,63.9073442269707
1985-10-01,63.8981074535833
1985-11-01,63.8709677419355
1985-12-01,62.9095792300806
1986-01-01,62.4217492398498
1986-02-01,62.2643195424895
1986-03-01,62.4252165371908
1986-04-01,62.8288593596718
1986-05-01,63.4767887374142
1986-06-01,63.8337634599982
1986-07-01,63.533700871421
1986-08-01,62.046908315565
1986-09-01,62.4012778418671
1986-10-01,62.4667494236567
1986-11-01,61.7878975812882
1986-12-01,60.1805949008499
1987-01-01,59.847881843106
1987-02-01,60.9029863933557
1987-03-01,60.4343220338983
1987-04-01,60.3439153439153
1987-05-01,61.2721346136904
1987-06-01,60.923889133304
1987-07-01,61.2165963431786
1987-08-01,61.292588689849
1987-09-01,62.3783214943436
1987-10-01,61.6611179253548
1987-11-01,61.5317286652079
1987-12-01,61.1349130016613
1988-01-01,59.4847161572052
1988-02-01,59.2392252660967
1988-03-01,59.7890516039052
1988-04-01,60.207280961505
1988-05-01,61.244019138756
1988-06-01,62.3240048670259
1988-07-01,61.9105514546244
1988-08-01,62.4490150134514
1988-09-01,62.3428422786786
1988-10-01,62.4664182338158
1988-11-01,61.0620235620236
1988-12-01,60.6026495800502
1989-01-01,60.7649705780547
1989-02-01,60.7871972318339
1989-03-01,60.7003891050584
1989-04-01,60.6170598911071
1989-05-01,61.1019949909319
1989-06-01,61.5364695727234
1989-07-01,59.9603140367526
1989-08-01,60.5862068965517
1989-09-01,61.8042391866276
1989-10-01,61.5291889099363
1989-11-01,60.9260693691368
1989-12-01,60.4267033723331
1990-01-01,59.9449651732737
1990-02-01,60.1168987450576
1990-03-01,59.6219931271478
1990-04-01,59.7905399605116
1990-05-01,59.6071367301424
1990-06-01,60.5948911366364
1990-07-01,60.34940481288
1990-08-01,60.3337612323492
1990-09-01,61.618062088429
1990-10-01,60.4545842946253
1990-11-01,59.2826643894108
1990-12-01,57.8305026884015
1991-01-01,57.1635681391779
1991-02-01,56.5243330776442
1991-03-01,56.5843270868825
1991-04-01,56.6553191489362
1991-05-01,56.8549072971594
1991-06-01,57.7001529831718
1991-07-01,57.5384354030409
