"Date","LFEMTTFECAM647S"
1960-01-01,1549457.46357711
1960-02-01,1565628.32356586
1960-03-01,1580375.35778098
1960-04-01,1539900.78955001
1960-05-01,1591035.03381591
1960-06-01,1574499.69905147
1960-07-01,1580256.1240952
1960-08-01,1606121.91931281
1960-09-01,1614088.56281087
1960-10-01,1634419.47832978
1960-11-01,1628560.93747152
1960-12-01,1649078.9135691
1961-01-01,1654440.80313115
1961-02-01,1652907.32509285
1961-03-01,1635967.02309329
1961-04-01,1673593.69664281
1961-05-01,1695185.57581286
1961-06-01,1672939.50444011
1961-07-01,1674353.88741291
1961-08-01,1656070.64780096
1961-09-01,1667184.32964463
1961-10-01,1672440.00447152
1961-11-01,1686234.15372526
1961-12-01,1703656.15528731
1962-01-01,1699562.13207249
1962-02-01,1687357.74405104
1962-03-01,1722347.75866699
1962-04-01,1722613.38734675
1962-05-01,1725261.05933536
1962-06-01,1752405.94320514
1962-07-01,1742613.88335079
1962-08-01,1751836.93651664
1962-09-01,1745033.88131387
1962-10-01,1728720.3612684
1962-11-01,1746082.72628163
1962-12-01,1732311.37007159
1963-01-01,1733961.08726078
1963-02-01,1731506.60477902
1963-03-01,1732665.22042607
1963-04-01,1737233.94666887
1963-05-01,1754792.84486634
1963-06-01,1777913.11243366
1963-07-01,1816597.67021289
1963-08-01,1825425.89789109
1963-09-01,1840552.28854771
1963-10-01,1863939.07661755
1963-11-01,1856840.68232205
1963-12-01,1872200.10461982
1964-01-01,1886175.44407196
1964-02-01,1891993.83027543
1964-03-01,1909783.96392348
1964-04-01,1900465.05545211
1964-05-01,1914083.92987108
1964-06-01,1896442.45590409
1964-07-01,1906651.69371795
1964-08-01,1901033.91441967
1964-09-01,1916807.90284432
1964-10-01,1921571.0355346
1964-11-01,1943092.07239568
1964-12-01,1941732.813047
1965-01-01,1970186.05362614
1965-02-01,1966313.97648099
1965-03-01,1982127.14721088
1965-04-01,2006809.73028792
1965-05-01,2022702.71205251
1965-06-01,2024540.97013419
1965-07-01,2026545.24979863
1965-08-01,2054566.04313776
1965-09-01,2007827.13733635
1965-10-01,2048847.05762893
1965-11-01,2041857.01926606
1965-12-01,2072885.6630923
1966-01-01,2187533.24119367
1966-02-01,2182675.99375115
1966-03-01,2202490.35924971
1966-04-01,2231079.1865497
1966-05-01,2230034.68175114
1966-06-01,2255585.91829385
1966-07-01,2270258.82066017
1966-08-01,2301681.09285966
1966-09-01,2335800.31722628
1966-10-01,2344791.60721709
1966-11-01,2305889.60606412
1966-12-01,2335140.88680123
1967-01-01,2318141.19360291
1967-02-01,2335026.90307147
1967-03-01,2384431.2012554
1967-04-01,2333906.69669696
1967-05-01,2378252.59058756
1967-06-01,2391644.31866239
1967-07-01,2413608.89646747
1967-08-01,2420465.5690172
1967-09-01,2406106.67966629
1967-10-01,2402290.86135815
1967-11-01,2450069.3533192
1967-12-01,2458171.14998655
1968-01-01,2430960.00725634
1968-02-01,2431350.95611029
1968-03-01,2427183.08962603
1968-04-01,2418800.55342651
1968-05-01,2428184.74980864
1968-06-01,2463020.95566626
1968-07-01,2470704.78294871
1968-08-01,2490884.8874825
1968-09-01,2529371.51523872
1968-10-01,2546272.65836361
1968-11-01,2597188.83065672
1968-12-01,2550689.56318575
1969-01-01,2571286.48736583
1969-02-01,2595852.27103872
1969-03-01,2582152.84258576
1969-04-01,2623150.3694237
1969-05-01,2610840.74991869
1969-06-01,2594662.03740744
1969-07-01,2601125.40464137
1969-08-01,2605655.89641845
1969-09-01,2605894.7771926
1969-10-01,2608971.67388984
1969-11-01,2608005.57700676
1969-12-01,2607712.33862179
1970-01-01,2612392.33264946
1970-02-01,2611770.18166358
1970-03-01,2628423.85075826
