"Date","LFEMTTFECAM647S"
1970-04-01,2666960.26776183
1970-05-01,2694589.76357739
1970-06-01,2684218.38229813
1970-07-01,2660227.30348103
1970-08-01,2651303.5978469
1970-09-01,2679704.47086185
1970-10-01,2681709.6461359
1970-11-01,2689223.9200227
1970-12-01,2652806.31907742
1971-01-01,2727743.97358391
1971-02-01,2738903.12710357
1971-03-01,2736548.38355737
1971-04-01,2706398.15976944
1971-05-01,2732168.94082888
1971-06-01,2743527.88857522
1971-07-01,2783997.62778509
1971-08-01,2775849.42112151
1971-09-01,2806609.08269537
1971-10-01,2844512.39029464
1971-11-01,2836254.16586828
1971-12-01,2859885.32331796
1972-01-01,2842360.27827762
1972-02-01,2827074.79377219
1972-03-01,2853028.37919248
1972-04-01,2837216.78588468
1972-05-01,2824381.03903106
1972-06-01,2863882.15264817
1972-07-01,2894403.61303433
1972-08-01,2914271.88303953
1972-09-01,2912710.75723954
1972-10-01,2909368.12690124
1972-11-01,2950498.15164121
1972-12-01,2983595.50588223
1973-01-01,2982087.9515274
1973-02-01,3038643.97468252
1973-03-01,3052133.89171756
1973-04-01,3062896.96027501
1973-05-01,3080153.81722066
1973-06-01,3109911.87961456
1973-07-01,3054085.67574836
1973-08-01,3096335.03855248
1973-09-01,3096513.10728351
1973-10-01,3116106.08313099
1973-11-01,3160826.76686554
1973-12-01,3151172.44099986
1974-01-01,3193661.06047178
1974-02-01,3189924.8793134
1974-03-01,3195568.23144141
1974-04-01,3224117.85879519
1974-05-01,3225293.4164262
1974-06-01,3245704.00659128
1974-07-01,3278140.55557337
1974-08-01,3297086.72064246
1974-09-01,3267585.37725089
1974-10-01,3315722.59133043
1974-11-01,3306355.43132278
1974-12-01,3328913.21729853
1975-01-01,3315592.05826319
1975-02-01,3312581.67667234
1975-03-01,3320108.25749184
1975-04-01,3346215.71218002
1975-05-01,3372265.55297262
1975-06-01,3380757.32189278
1975-07-01,3375428.76498679
1975-08-01,3398716.70011588
1975-09-01,3435849.07242001
1975-10-01,3435814.78381471
1975-11-01,3442146.36622637
1975-12-01,3437914.76820636
1976-01-01,3551300
1976-02-01,3562800
1976-03-01,3584900
1976-04-01,3592900
1976-05-01,3600300
1976-06-01,3621600
1976-07-01,3619800
1976-08-01,3644300
1976-09-01,3641100
1976-10-01,3655500
1976-11-01,3674200
1976-12-01,3692000
1977-01-01,3696600
1977-02-01,3702200
1977-03-01,3702900
1977-04-01,3710100
1977-05-01,3732100
1977-06-01,3727700
1977-07-01,3729000
1977-08-01,3737700
1977-09-01,3748600
1977-10-01,3756800
1977-11-01,3762600
1977-12-01,3785000
1978-01-01,3799900
1978-02-01,3816700
1978-03-01,3833900
1978-04-01,3861700
1978-05-01,3864500
1978-06-01,3888700
1978-07-01,3921500
1978-08-01,3938000
1978-09-01,3960800
1978-10-01,3988200
1978-11-01,4001500
1978-12-01,4025500
1979-01-01,4044800
1979-02-01,4059300
1979-03-01,4073800
1979-04-01,4083900
1979-05-01,4092400
1979-06-01,4113900
1979-07-01,4151400
1979-08-01,4183100
1979-09-01,4179000
1979-10-01,4221000
1979-11-01,4239300
1979-12-01,4251000
1980-01-01,4272800
1980-02-01,4271500
1980-03-01,4291400
1980-04-01,4327700
1980-05-01,4310400
1980-06-01,4331100
1980-07-01,4339500
1980-08-01,4350400
1980-09-01,4392000
1980-10-01,4414400
1980-11-01,4419100
1980-12-01,4420900
1981-01-01,4451200
1981-02-01,4508200
1981-03-01,4500900
1981-04-01,4518300
1981-05-01,4567800
1981-06-01,4605700
1981-07-01,4582200
1981-08-01,4591700
1981-09-01,4600700
1981-10-01,4591100
1981-11-01,4587300
1981-12-01,4570200
1982-01-01,4576500
1982-02-01,4561900
1982-03-01,4555800
1982-04-01,4541700
1982-05-01,4519900
1982-06-01,4506200
1982-07-01,4491200
1982-08-01,4489700
1982-09-01,4479200
1982-10-01,4482200
1982-11-01,4484300
1982-12-01,4493400
1983-01-01,4506000
1983-02-01,4512600
1983-03-01,4536400
1983-04-01,4569500
1983-05-01,4576400
1983-06-01,4614100
1983-07-01,4628600
1983-08-01,4655400
1983-09-01,4665700
1983-10-01,4673800
1983-11-01,4676900
1983-12-01,4692800
1984-01-01,4680900
1984-02-01,4699200
1984-03-01,4705300
1984-04-01,4700500
1984-05-01,4727200
1984-06-01,4743000
1984-07-01,4760700
1984-08-01,4770700
1984-09-01,4786700
1984-10-01,4786300
1984-11-01,4815400
1984-12-01,4827300
1985-01-01,4857800
1985-02-01,4876900
1985-03-01,4887300
1985-04-01,4902800
1985-05-01,4917000
1985-06-01,4932900
1985-07-01,4953800
1985-08-01,4979900
1985-09-01,5002100
1985-10-01,5028600
1985-11-01,5042500
1985-12-01,5065600
1986-01-01,5081100
1986-02-01,5093400
1986-03-01,5091100
1986-04-01,5123000
1986-05-01,5114800
1986-06-01,5154900
1986-07-01,5155000
1986-08-01,5159400
1986-09-01,5156100
1986-10-01,5163700
1986-11-01,5167300
1986-12-01,5164400
1987-01-01,5189100
1987-02-01,5204200
1987-03-01,5227200
1987-04-01,5249500
1987-05-01,5275400
1987-06-01,5299200
1987-07-01,5320800
1987-08-01,5338400
1987-09-01,5356100
1987-10-01,5387500
1987-11-01,5402800
1987-12-01,5435800
1988-01-01,5441000
1988-02-01,5470400
1988-03-01,5481000
1988-04-01,5505300
1988-05-01,5515700
1988-06-01,5535100
1988-07-01,5537200
1988-08-01,5540100
1988-09-01,5562700
1988-10-01,5594700
1988-11-01,5597700
1988-12-01,5626800
1989-01-01,5660900
1989-02-01,5659000
1989-03-01,5682600
1989-04-01,5674700
1989-05-01,5678100
1989-06-01,5689100
1989-07-01,5694900
1989-08-01,5719000
1989-09-01,5719400
1989-10-01,5731800
1989-11-01,5748700
1989-12-01,5764700
1990-01-01,5783300
1990-02-01,5796700
1990-03-01,5792300
1990-04-01,5808500
1990-05-01,5803700
1990-06-01,5838300
1990-07-01,5831300
1990-08-01,5830400
1990-09-01,5820300
1990-10-01,5803700
1990-11-01,5794200
1990-12-01,5776900
1991-01-01,5772200
1991-02-01,5760000
1991-03-01,5768200
1991-04-01,5781000
1991-05-01,5804000
1991-06-01,5811600
1991-07-01,5800500
1991-08-01,5810900
1991-09-01,5796900
1991-10-01,5797600
1991-11-01,5779300
1991-12-01,5781700
1992-01-01,5788100
1992-02-01,5795200
1992-03-01,5769400
1992-04-01,5769600
1992-05-01,5763200
1992-06-01,5761000
1992-07-01,5762400
1992-08-01,5758800
1992-09-01,5751300
1992-10-01,5766000
1992-11-01,5765100
1992-12-01,5768200
1993-01-01,5774900
1993-02-01,5770700
1993-03-01,5788600
1993-04-01,5761900
1993-05-01,5768900
1993-06-01,5795100
1993-07-01,5788600
1993-08-01,5802900
1993-09-01,5838100
1993-10-01,5826900
1993-11-01,5855800
1993-12-01,5835000
1994-01-01,5844900
1994-02-01,5847000
1994-03-01,5867400
1994-04-01,5857000
1994-05-01,5885900
1994-06-01,5905800
1994-07-01,5926800
1994-08-01,5934100
1994-09-01,5975300
1994-10-01,5965800
1994-11-01,6004900
1994-12-01,6025600
1995-01-01,6018200
1995-02-01,6013700
1995-03-01,6028200
1995-04-01,6014800
1995-05-01,6026700
1995-06-01,6033900
1995-07-01,6032100
1995-08-01,6036300
1995-09-01,6059200
1995-10-01,6067800
1995-11-01,6039200
1995-12-01,6058200
1996-01-01,6065200
1996-02-01,6089500
1996-03-01,6082600
1996-04-01,6088300
1996-05-01,6112900
1996-06-01,6105300
1996-07-01,6099300
1996-08-01,6107500
1996-09-01,6104200
1996-10-01,6101500
1996-11-01,6116600
1996-12-01,6122600
1997-01-01,6160700
1997-02-01,6162100
1997-03-01,6185900
1997-04-01,6204600
1997-05-01,6205300
1997-06-01,6224300
1997-07-01,6246300
1997-08-01,6275700
1997-09-01,6268500
1997-10-01,6265600
1997-11-01,6283500
1997-12-01,6296800
1998-01-01,6301800
1998-02-01,6337700
1998-03-01,6364900
1998-04-01,6389900
1998-05-01,6387100
1998-06-01,6397300
1998-07-01,6441000
1998-08-01,6461600
1998-09-01,6493700
1998-10-01,6517100
1998-11-01,6532400
1998-12-01,6535800
1999-01-01,6561600
1999-02-01,6554900
1999-03-01,6553200
1999-04-01,6564200
1999-05-01,6585000
1999-06-01,6598200
1999-07-01,6633900
1999-08-01,6654600
1999-09-01,6649400
1999-10-01,6654500
1999-11-01,6662400
1999-12-01,6677700
2000-01-01,6718100
2000-02-01,6737200
2000-03-01,6744000
2000-04-01,6753100
2000-05-01,6779500
2000-06-01,6806400
2000-07-01,6789100
2000-08-01,6807100
2000-09-01,6824700
2000-10-01,6837700
2000-11-01,6856600
2000-12-01,6862100
2001-01-01,6867600
2001-02-01,6861900
2001-03-01,6883700
2001-04-01,6894300
2001-05-01,6921500
2001-06-01,6895600
2001-07-01,6912400
2001-08-01,6910500
2001-09-01,6932700
2001-10-01,6936300
2001-11-01,6964700
2001-12-01,6964500
2002-01-01,7005700
2002-02-01,6987600
2002-03-01,7019600
2002-04-01,7046900
2002-05-01,7065200
2002-06-01,7093800
2002-07-01,7121600
2002-08-01,7175000
2002-09-01,7179600
2002-10-01,7198200
2002-11-01,7212900
2002-12-01,7241500
2003-01-01,7246000
2003-02-01,7278000
2003-03-01,7286500
2003-04-01,7260300
2003-05-01,7269400
2003-06-01,7302200
2003-07-01,7318800
2003-08-01,7327900
2003-09-01,7330800
2003-10-01,7370000
2003-11-01,7382800
2003-12-01,7423600
2004-01-01,7403500
2004-02-01,7426600
2004-03-01,7421900
2004-04-01,7436400
2004-05-01,7462800
2004-06-01,7478000
2004-07-01,7462900
2004-08-01,7453800
2004-09-01,7473900
2004-10-01,7465400
2004-11-01,7483700
2004-12-01,7495600
2005-01-01,7502500
2005-02-01,7516600
2005-03-01,7508400
2005-04-01,7542000
2005-05-01,7521700
2005-06-01,7535600
2005-07-01,7553800
2005-08-01,7576600
2005-09-01,7565400
2005-10-01,7578000
2005-11-01,7612100
2005-12-01,7591500
2006-01-01,7635400
2006-02-01,7629800
2006-03-01,7653000
2006-04-01,7682100
2006-05-01,7716500
2006-06-01,7711000
2006-07-01,7723500
2006-08-01,7707900
2006-09-01,7736200
2006-10-01,7746100
2006-11-01,7753900
2006-12-01,7791300
2007-01-01,7816800
2007-02-01,7831900
2007-03-01,7872700
2007-04-01,7853300
2007-05-01,7853300
2007-06-01,7874100
2007-07-01,7921500
2007-08-01,7949900
2007-09-01,7956400
2007-10-01,7991300
2007-11-01,7983300
2007-12-01,7981000
2008-01-01,7976300
2008-02-01,8002900
2008-03-01,7989800
2008-04-01,8001800
2008-05-01,8030300
2008-06-01,8034200
2008-07-01,8029000
2008-08-01,8024600
2008-09-01,8027400
2008-10-01,8063600
2008-11-01,8025700
2008-12-01,8038900
2009-01-01,7998000
2009-02-01,8016800
2009-03-01,8018200
2009-04-01,8022100
2009-05-01,8015900
2009-06-01,7997300
2009-07-01,7971000
2009-08-01,7986700
2009-09-01,8035700
2009-10-01,7999800
2009-11-01,8046900
2009-12-01,8039600
2010-01-01,8065000
2010-02-01,8058600
2010-03-01,8072700
2010-04-01,8081000
2010-05-01,8096800
2010-06-01,8129500
2010-07-01,8124600
2010-08-01,8124800
2010-09-01,8110800
2010-10-01,8119900
2010-11-01,8124800
2010-12-01,8134800
2011-01-01,8180800
2011-02-01,8179400
2011-03-01,8158400
2011-04-01,8180100
2011-05-01,8178300
2011-06-01,8184800
2011-07-01,8202800
2011-08-01,8203600
2011-09-01,8183800
2011-10-01,8176800
2011-11-01,8188800
2011-12-01,8219300
2012-01-01,8226500
2012-02-01,8215500
2012-03-01,8256800
2012-04-01,8293500
2012-05-01,8268500
2012-06-01,8270600
2012-07-01,8295200
2012-08-01,8324200
2012-09-01,8350800
2012-10-01,8373700
2012-11-01,8398900
2012-12-01,8409700
2013-01-01,8401700
2013-02-01,8423100
2013-03-01,8391500
2013-04-01,8396200
2013-05-01,8418000
2013-06-01,8425200
2013-07-01,8405500
2013-08-01,8443800
2013-09-01,8425100
2013-10-01,8427300
2013-11-01,8421900
2013-12-01,8413600
2014-01-01,8405900
2014-02-01,8410600
2014-03-01,8415300
2014-04-01,8417500
2014-05-01,8430000
2014-06-01,8450700
2014-07-01,8476100
2014-08-01,8425200
2014-09-01,8446000
2014-10-01,8440800
2014-11-01,8443400
2014-12-01,8428400
2015-01-01,8457400
2015-02-01,8475900
2015-03-01,8500600
2015-04-01,8482100
2015-05-01,8480000
2015-06-01,8454700
2015-07-01,8471600
2015-08-01,8487700
2015-09-01,8499700
2015-10-01,8504100
2015-11-01,8509400
2015-12-01,8516700
2016-01-01,8516100
2016-02-01,8518500
2016-03-01,8545400
2016-04-01,8560600
2016-05-01,8563600
2016-06-01,8574200
2016-07-01,8550400
2016-08-01,8579500
2016-09-01,8590200
2016-10-01,8613100
2016-11-01,8612300
2016-12-01,8621900
2017-01-01,8673800
2017-02-01,8671300
2017-03-01,8683100
2017-04-01,8684700
2017-05-01,8718000
2017-06-01,8751800
2017-07-01,8762700
2017-08-01,8751800
2017-09-01,8765300
2017-10-01,8762000
2017-11-01,8794900
2017-12-01,8827700
2018-01-01,8795900
2018-02-01,8804400
2018-03-01,8824500
2018-04-01,8830900
2018-05-01,8834100
2018-06-01,8847400
2018-07-01,8927400
2018-08-01,8921900
2018-09-01,8934100
2018-10-01,8957500
2018-11-01,8974600
2018-12-01,8996500
2019-01-01,9004000
2019-02-01,9050400
2019-03-01,9008800
2019-04-01,9061400
2019-05-01,9084300
2019-06-01,9098300
2019-07-01,9069700
2019-08-01,9099400
2019-09-01,9115300
2019-10-01,9108700
2019-11-01,9088800
2019-12-01,9121800
2020-01-01,9144400
2020-02-01,9122000
2020-03-01,8420400
2020-04-01,7519200
2020-05-01,7605400
2020-06-01,8145000
2020-07-01,8398100
2020-08-01,8519200
2020-09-01,8759900
2020-10-01,8799700
2020-11-01,8825600
2020-12-01,8767800
2021-01-01,8638700
2021-02-01,8777700
2021-03-01,8908600
2021-04-01,8806000
2021-05-01,8756400
2021-06-01,8951500
2021-07-01,9001500
2021-08-01,9049000
2021-09-01,9148700
2021-10-01,9144800
2021-11-01,9231700
2021-12-01,9254000
2022-01-01,9161800
2022-02-01,9370400
2022-03-01,9352000
2022-04-01,9374200
2022-05-01,9445500
2022-06-01,9410700
2022-07-01,9404200
2022-08-01,9364100
2022-09-01,9384000
2022-10-01,9412300
2022-11-01,9440200
2022-12-01,9471900
2023-01-01,9549000
2023-02-01,9577700
2023-03-01,9590900
2023-04-01,9594400
2023-05-01,9579400
2023-06-01,9578700
2023-07-01,9581800
2023-08-01,9607800
2023-09-01,9635400
2023-10-01,9620800
2023-11-01,9639100
