"Date","CANSLRTTO02MLSAM"
1960-01-01,1356523805.43808
1960-02-01,1359521427.28275
1960-03-01,1353626104.32158
1960-04-01,1363018652.76819
1960-05-01,1378806127.81674
1960-06-01,1376507951.06917
1960-07-01,1362519049.12741
1960-08-01,1367714926.99149
1960-09-01,1396492096.70025
1960-10-01,1399189956.36045
1960-11-01,1376108268.15655
1960-12-01,1374209774.32159
1961-01-01,1269392930.48655
1961-02-01,1293473825.97201
1961-03-01,1318154245.8264
1961-04-01,1305364392.6225
1961-05-01,1308861618.10794
1961-06-01,1366116195.341
1961-07-01,1352227214.1274
1961-08-01,1387499231.16627
1961-09-01,1381503987.47694
1961-10-01,1335440531.79729
1961-11-01,1345832287.52545
1961-12-01,1379905255.82645
1962-01-01,1361519841.84585
1962-02-01,1376408030.34101
1962-03-01,1464238350.38963
1962-04-01,1397191541.79734
1962-05-01,1408382663.35075
1962-06-01,1443554759.66146
1962-07-01,1402986944.03036
1962-08-01,1438558723.25369
1962-09-01,1418274815.43814
1962-10-01,1446452460.77797
1962-11-01,1474630106.1178
1962-12-01,1465737161.31197
1963-01-01,1467036130.77799
1963-02-01,1474230423.20518
1963-03-01,1478626935.24402
1963-04-01,1491216946.9916
1963-05-01,1510901330.43822
1963-06-01,1489218532.42849
1963-07-01,1495313696.84597
1963-08-01,1580446157.2344
1963-09-01,1471032959.9042
1963-10-01,1559662645.77807
1963-11-01,1594135296.99169
1963-12-01,1553067877.71981
1964-01-01,1618515954.66161
1964-02-01,1660782422.67136
1964-03-01,1568055986.94312
1964-04-01,1579646791.40915
1964-05-01,1619415241.21501
1964-06-01,1592136882.42858
1964-07-01,1648492173.10824
1964-08-01,1609523089.12763
1964-09-01,1638400179.56454
1964-10-01,1735323285.87531
1964-11-01,1581845047.42857
1964-12-01,1627608740.92376
1965-01-01,1654087733.88495
1965-02-01,1671473940.58399
1965-03-01,1701250317.57431
1965-04-01,1772293955.29282
1965-05-01,1719236048.64228
1965-06-01,1745515200.14716
1965-07-01,1806566765.05013
1965-08-01,1729827645.82676
1965-09-01,1765799107.96271
1965-10-01,1831846709.27345
1965-11-01,1822654002.28315
1965-12-01,1862522372.81717
