"Date","LFEMTTMACAM647N"
1960-01-01,4156000
1960-02-01,4106000
1960-03-01,4090000
1960-04-01,4197000
1960-05-01,4391000
1960-06-01,4546000
1960-07-01,4661000
1960-08-01,4638000
1960-09-01,4517000
1960-10-01,4475000
1960-11-01,4390000
1960-12-01,4251000
1961-01-01,4099000
1961-02-01,4042000
1961-03-01,4052000
1961-04-01,4175000
1961-05-01,4397000
1961-06-01,4525000
1961-07-01,4683000
1961-08-01,4694000
1961-09-01,4548000
1961-10-01,4524000
1961-11-01,4456000
1961-12-01,4373000
1962-01-01,4214000
1962-02-01,4203000
1962-03-01,4209000
1962-04-01,4315000
1962-05-01,4535000
1962-06-01,4672000
1962-07-01,4787000
1962-08-01,4796000
1962-09-01,4618000
1962-10-01,4574000
1962-11-01,4509000
1962-12-01,4420000
1963-01-01,4273000
1963-02-01,4265000
1963-03-01,4266000
1963-04-01,4390000
1963-05-01,4563000
1963-06-01,4729000
1963-07-01,4880000
1963-08-01,4883000
1963-09-01,4699000
1963-10-01,4687000
1963-11-01,4624000
1963-12-01,4547000
1964-01-01,4416000
1964-02-01,4400000
1964-03-01,4416000
1964-04-01,4505000
1964-05-01,4714000
1964-06-01,4847000
1964-07-01,5023000
1964-08-01,5030000
1964-09-01,4824000
1964-10-01,4771000
1964-11-01,4749000
1964-12-01,4675000
1965-01-01,4558000
1965-02-01,4550000
1965-03-01,4581000
1965-04-01,4624000
1965-05-01,4844000
1965-06-01,4993000
1965-07-01,5171000
1965-08-01,5182000
1965-09-01,4945000
1965-10-01,4931000
1965-11-01,4879000
1965-12-01,4844000
1966-01-01,4692000
1966-02-01,4736000
1966-03-01,4746000
1966-04-01,4835000
1966-05-01,4988000
1966-06-01,5103000
1966-07-01,5262000
1966-08-01,5288000
1966-09-01,5055000
1966-10-01,5055000
1966-11-01,4993000
1966-12-01,4948000
1967-01-01,4807000
1967-02-01,4794000
1967-03-01,4827000
1967-04-01,4890000
1967-05-01,5095000
1967-06-01,5214000
1967-07-01,5384000
1967-08-01,5421000
1967-09-01,5164000
1967-10-01,5094000
1967-11-01,5044000
1967-12-01,4968000
1968-01-01,4799000
1968-02-01,4804000
1968-03-01,4805000
1968-04-01,4940000
1968-05-01,5125000
1968-06-01,5310000
1968-07-01,5427000
1968-08-01,5461000
1968-09-01,5224000
1968-10-01,5200000
1968-11-01,5143000
1968-12-01,5048000
1969-01-01,4978000
1969-02-01,4972000
1969-03-01,5001000
1969-04-01,5094000
1969-05-01,5295000
1969-06-01,5426000
1969-07-01,5540000
1969-08-01,5548000
1969-09-01,5286000
1969-10-01,5250000
1969-11-01,5212000
1969-12-01,5158000
1970-01-01,5004000
1970-02-01,5010000
1970-03-01,4996000
1970-04-01,5070000
1970-05-01,5285000
1970-06-01,5445000
1970-07-01,5565000
1970-08-01,5598000
1970-09-01,5347000
1970-10-01,5336000
1970-11-01,5282000
1970-12-01,5177000
1971-01-01,5038000
1971-02-01,5040000
1971-03-01,5035000
1971-04-01,5096000
1971-05-01,5371000
1971-06-01,5531000
1971-07-01,5674000
1971-08-01,5697000
1971-09-01,5412000
1971-10-01,5418000
1971-11-01,5350000
1971-12-01,5284000
1972-01-01,5161000
1972-02-01,5195000
1972-03-01,5230000
1972-04-01,5305000
1972-05-01,5521000
1972-06-01,5665000
1972-07-01,5806000
1972-08-01,5796000
1972-09-01,5507000
1972-10-01,5500000
1972-11-01,5454000
1972-12-01,5377000
1973-01-01,5292000
1973-02-01,5333000
1973-03-01,5400000
1973-04-01,5518000
1973-05-01,5746000
1973-06-01,5930000
1973-07-01,6031000
1973-08-01,6042000
1973-09-01,5724000
1973-10-01,5769000
1973-11-01,5702000
1973-12-01,5650000
1974-01-01,5532000
1974-02-01,5570000
1974-03-01,5597000
1974-04-01,5700000
1974-05-01,5903000
1974-06-01,6064000
1974-07-01,6226000
1974-08-01,6277000
1974-09-01,5962000
1974-10-01,5932000
1974-11-01,5892000
1974-12-01,5782000
1975-01-01,5575000
1975-02-01,5594000
1975-03-01,5629000
1975-04-01,5685000
1975-05-01,5959000
1975-06-01,6140000
1975-07-01,6264000
1975-08-01,6255000
1975-09-01,5992000
1975-10-01,5982000
1975-11-01,5925000
1975-12-01,5839000
1976-01-01,5825400
1976-02-01,5843700
1976-03-01,5894000
1976-04-01,5960900
1976-05-01,6145500
1976-06-01,6337200
1976-07-01,6478200
1976-08-01,6471500
1976-09-01,6234100
1976-10-01,6184500
1976-11-01,6128200
1976-12-01,6048100
1977-01-01,5904700
1977-02-01,5912600
1977-03-01,5937400
1977-04-01,5990300
1977-05-01,6246600
1977-06-01,6386200
1977-07-01,6521000
1977-08-01,6538100
1977-09-01,6267600
