"Date","CANCPIENGMINMEI"
1961-01-01,7.69445218845832
1961-02-01,7.69445218845832
1961-03-01,7.69445218845832
1961-04-01,7.69445218845832
1961-05-01,7.62754390855868
1961-06-01,7.56063562865905
1961-07-01,7.62754390855868
1961-08-01,7.69445218845832
1961-09-01,7.69445218845832
1961-10-01,7.69445218845832
1961-11-01,7.69445218845832
1961-12-01,7.56063562865905
1962-01-01,7.69445218845832
1962-02-01,7.69445218845832
1962-03-01,7.69445218845832
1962-04-01,7.62754390855868
1962-05-01,7.62754390855868
1962-06-01,7.62754390855868
1962-07-01,7.62754390855868
1962-08-01,7.62754390855868
1962-09-01,7.62754390855868
1962-10-01,7.56063562865905
1962-11-01,7.56063562865905
1962-12-01,7.56063562865905
1963-01-01,7.49372734875941
1963-02-01,7.56063562865905
1963-03-01,7.49372734875941
1963-04-01,7.56063562865905
1963-05-01,7.56063562865905
1963-06-01,7.56063562865905
1963-07-01,7.35991078896013
1963-08-01,7.49372734875941
1963-09-01,7.49372734875941
1963-10-01,7.49372734875941
1963-11-01,7.49372734875941
1963-12-01,7.49372734875941
1964-01-01,7.49372734875941
1964-02-01,7.49372734875941
1964-03-01,7.56063562865905
1964-04-01,7.56063562865905
1964-05-01,7.56063562865905
1964-06-01,7.56063562865905
1964-07-01,7.56063562865905
1964-08-01,7.56063562865905
1964-09-01,7.56063562865905
1964-10-01,7.49372734875941
1964-11-01,7.49372734875941
1964-12-01,7.49372734875941
1965-01-01,7.56063562865905
1965-02-01,7.56063562865905
1965-03-01,7.49372734875941
1965-04-01,7.49372734875941
1965-05-01,7.56063562865905
1965-06-01,7.56063562865905
1965-07-01,7.49372734875941
1965-08-01,7.49372734875941
1965-09-01,7.56063562865905
1965-10-01,7.56063562865905
1965-11-01,7.56063562865905
1965-12-01,7.56063562865905
1966-01-01,7.56063562865905
1966-02-01,7.56063562865905
1966-03-01,7.56063562865905
1966-04-01,7.62754390855868
1966-05-01,7.62754390855868
1966-06-01,7.62754390855868
1966-07-01,7.62754390855868
1966-08-01,7.62754390855868
1966-09-01,7.62754390855868
1966-10-01,7.69445218845832
1966-11-01,7.69445218845832
1966-12-01,7.69445218845832
1967-01-01,7.69445218845832
1967-02-01,7.69445218845832
1967-03-01,7.76136046835796
1967-04-01,7.96208530805687
1967-05-01,8.02899358795651
1967-06-01,8.02899358795651
1967-07-01,8.02899358795651
1967-08-01,7.96208530805687
1967-09-01,7.96208530805687
1967-10-01,7.96208530805687
1967-11-01,7.96208530805687
1967-12-01,7.96208530805687
1968-01-01,8.02899358795651
1968-02-01,8.02899358795651
1968-03-01,8.09590186785614
1968-04-01,8.16281014775578
1968-05-01,8.22971842765542
1968-06-01,8.22971842765542
1968-07-01,8.22971842765542
1968-08-01,8.29662670755506
1968-09-01,8.29662670755506
1968-10-01,8.29662670755506
1968-11-01,8.29662670755506
1968-12-01,8.29662670755506
1969-01-01,8.3635349874547
1969-02-01,8.3635349874547
1969-03-01,8.3635349874547
1969-04-01,8.3635349874547
1969-05-01,8.3635349874547
1969-06-01,8.3635349874547
1969-07-01,8.3635349874547
1969-08-01,8.43044326735433
1969-09-01,8.49735154725397
1969-10-01,8.49735154725397
1969-11-01,8.49735154725397
1969-12-01,8.49735154725397
1970-01-01,8.49735154725397
1970-02-01,8.49735154725397
1970-03-01,8.69807638695288
1970-04-01,8.69807638695288
1970-05-01,8.69807638695288
1970-06-01,8.69807638695288
1970-07-01,8.69807638695288
1970-08-01,8.69807638695288
1970-09-01,8.69807638695288
1970-10-01,8.69807638695288
1970-11-01,8.76498466685252
1970-12-01,8.76498466685252
1971-01-01,8.83189294675216
1971-02-01,8.8988012266518
1971-03-01,8.8988012266518
1971-04-01,9.16643434625035
1971-05-01,9.16643434625035
1971-06-01,9.16643434625035
1971-07-01,9.16643434625035
1971-08-01,9.16643434625035
1971-09-01,9.16643434625035
1971-10-01,9.16643434625035
1971-11-01,9.23334262614998
1971-12-01,9.23334262614998
1972-01-01,9.30025090604962
1972-02-01,9.30025090604962
1972-03-01,9.36715918594926
1972-04-01,9.36715918594926
1972-05-01,9.36715918594926
1972-06-01,9.36715918594926
1972-07-01,9.36715918594926
1972-08-01,9.36715918594926
1972-09-01,9.36715918594926
1972-10-01,9.36715918594926
1972-11-01,9.36715918594926
1972-12-01,9.36715918594926
1973-01-01,9.63479230554781
1973-02-01,9.76860886534708
1973-03-01,9.76860886534708
1973-04-01,9.76860886534708
1973-05-01,9.90242542514636
1973-06-01,10.0362419849456
1973-07-01,10.1700585447449
1973-08-01,10.4376916643435
1973-09-01,10.5045999442431
1973-10-01,10.6384165040424
1973-11-01,10.7722330638416
1973-12-01,11.1067744633398
1974-01-01,11.1067744633398
1974-02-01,11.1067744633398
1974-03-01,11.1067744633398
1974-04-01,11.1067744633398
1974-05-01,11.7758572623362
1974-06-01,12.1103986618344
1974-07-01,12.1103986618344
1974-08-01,12.1103986618344
1974-09-01,12.1103986618344
1974-10-01,12.1103986618344
1974-11-01,12.1103986618344
1974-12-01,12.177306941734
1975-01-01,12.3780317814329
1975-02-01,12.3780317814329
1975-03-01,12.6456649010315
1975-04-01,12.7125731809311
1975-05-01,12.7794814608308
1975-06-01,12.7794814608308
1975-07-01,13.6492890995261
1975-08-01,13.850013939225
1975-09-01,14.1176470588235
1975-10-01,14.1176470588235
1975-11-01,14.3852801784221
1975-12-01,14.586005018121
1976-01-01,14.8536381377195
1976-02-01,14.9874546975188
1976-03-01,15.0543629774185
1976-04-01,15.0543629774185
1976-05-01,15.1212712573181
