"Date","CANPROINDMISMEI"
1961-01-01,22.049802954178
1961-02-01,22.0720067665542
1961-03-01,21.9864984678289
1961-04-01,22.4475818907898
1961-05-01,22.5609630603704
1961-06-01,22.9332312338265
1961-07-01,23.1585763083679
1961-08-01,23.0333846002893
1961-09-01,23.5804487435155
1961-10-01,23.7892590641597
1961-11-01,23.8870503229229
1961-12-01,24.0344458433776
1962-01-01,24.1336543667606
1962-02-01,24.3665581859407
1962-03-01,24.7062292731424
1962-04-01,24.7950445226472
1962-05-01,25.2074685269964
1962-06-01,25.5008423032861
1962-07-01,25.804609353454
1962-08-01,25.2868353457028
1962-09-01,25.8830313290806
1962-10-01,25.7134319962497
1962-11-01,25.7356358086259
1962-12-01,25.7134319962497
1963-01-01,25.7370530732456
1963-02-01,25.9515324523688
1963-03-01,26.2382923270996
1963-04-01,26.2793930010726
1963-05-01,26.6389057929509
1963-06-01,27.0064497510079
1963-07-01,26.4815894201579
1963-08-01,26.4919826940361
1963-09-01,27.5870558235683
1963-10-01,27.5681589619715
1963-11-01,28.0391632372708
1963-12-01,28.3344266997201
1964-01-01,28.5555199804022
1964-02-01,29.0383347941994
1964-03-01,28.8592870305701
1964-04-01,29.0671525081344
1964-05-01,29.4011545368572
1964-06-01,29.4280825646325
1964-07-01,29.2178549793686
1964-08-01,29.4691832386055
1964-09-01,30.1206525421537
1964-10-01,30.0677413296828
1964-11-01,30.5987431405517
1964-12-01,30.6058294636505
1965-01-01,31.0494332896344
1965-02-01,30.8765270060241
1965-03-01,31.5223272510933
1965-04-01,31.4883129002192
1965-05-01,31.6905093193045
1965-06-01,31.7424756886956
1965-07-01,32.5696858050937
1965-08-01,31.8416842120786
1965-09-01,32.5356714542195
1965-10-01,33.2641454687746
1965-11-01,33.4176824692482
1965-12-01,33.9170320369426
1966-01-01,33.8962454891862
1966-02-01,34.0771829389751
1966-03-01,33.9718329355732
1966-04-01,34.1896192654758
1966-05-01,34.2028470685936
1966-06-01,34.2288302532891
1966-07-01,34.0833244189941
1966-08-01,33.5367326973078
1966-09-01,34.3951226353406
1966-10-01,34.7825082980742
1966-11-01,34.6384197283989
1966-12-01,34.6809376669916
1967-01-01,34.9369901416277
1967-02-01,34.6223573960416
1967-03-01,34.672906500813
1967-04-01,35.0177742249538
1967-05-01,34.8977791538144
1967-06-01,35.0645439574058
1967-07-01,35.1963495670432
1967-08-01,35.792073128881
1967-09-01,35.6777471162206
1967-10-01,35.4358672877821
1967-11-01,35.9739554217498
1967-12-01,36.3774034168406
1968-01-01,36.1879623793331
1968-02-01,36.0462359173574
1968-03-01,36.2498496010625
1968-04-01,37.1890236224214
1968-05-01,37.6600278977206
1968-06-01,37.9562362032498
1968-07-01,37.8055337320156
1968-08-01,38.3133868874285
1968-09-01,38.7295902640972
1968-10-01,38.9766667294748
1968-11-01,39.4542849063328
1968-12-01,39.3980667430825
1969-01-01,39.5421553127578
1969-02-01,40.0873297698243
1969-03-01,40.7761203750261
1969-04-01,40.3910968199922
1969-05-01,40.3566100475781
1969-06-01,40.4180248477676
1969-07-01,40.7643098365282
1969-08-01,40.018828646536
1969-09-01,40.1435479330746
1969-10-01,39.8289151874886
1969-11-01,40.3117300012858
1969-12-01,40.6769118516431
1970-01-01,40.4194421123873
1970-02-01,40.7917102858434
1970-03-01,40.1133129545198
1970-04-01,39.5345965681191
1970-05-01,39.6196324453045
1970-06-01,39.5010546387848
1970-07-01,39.5152272849824
1970-08-01,39.8251358151692
1970-09-01,39.2936615827604
1970-10-01,39.2799613581027
1970-11-01,39.7382102518242
1970-12-01,40.0032387357187
1971-01-01,40.3797587030341
1971-02-01,40.6381732853698
1971-03-01,40.7926551289233
1971-04-01,40.8592665660519
1971-05-01,41.4365656878329
1971-06-01,41.709625337906
1971-07-01,41.8419033690833
1971-08-01,42.9998085634247
1971-09-01,43.2690888411785
1971-10-01,43.4599471433058
1971-11-01,43.1736596901149
1971-12-01,43.7816662119906
1972-01-01,44.0462222743452
1972-02-01,43.5029375034384
1972-03-01,44.0074837080719
1972-04-01,45.1507438346758
1972-05-01,44.8294971875309
1972-06-01,45.2849115520128
1972-07-01,45.4861631280183
1972-08-01,45.5697817405839
1972-09-01,46.694617427131
1972-10-01,47.57521117754
1972-11-01,48.1562896716403
1972-12-01,48.4099800385768
1973-01-01,48.8332697383442
1973-02-01,50.2826590228156
1973-03-01,50.8906655446913
1973-04-01,50.4947762942392
1973-05-01,50.6171334730782
1973-06-01,50.9931810188537
1973-07-01,51.9366068340719
1973-08-01,50.5108386265964
1973-09-01,51.0111330373706
1973-10-01,51.5643386606157
1973-11-01,52.1917144656282
1973-12-01,52.0249496620368
1974-01-01,52.7486994611926
1974-02-01,52.7501167258124
1974-03-01,52.9867999173118
1974-04-01,52.0495155821125
1974-05-01,52.6797259163644
1974-06-01,51.9583382249082
1974-07-01,51.7051202795116
1974-08-01,51.6465400085616
1974-09-01,50.9832601665154
1974-10-01,50.9109796709078
1974-11-01,49.994481883465
1974-12-01,49.877793763105
1975-01-01,48.1865246501951
1975-02-01,48.2191217364495
1975-03-01,47.3914391985115
1975-04-01,47.8246497506172
1975-05-01,46.7059555440891
1975-06-01,47.3560075830176
1975-07-01,48.0112562588852
1975-08-01,47.6465468300677
1975-09-01,47.8799230707877
1975-10-01,47.4221465986062
1975-11-01,48.496433180382
1975-12-01,49.3963962139276
1976-01-01,49.3312020414188
1976-02-01,49.6533935316435
1976-03-01,50.426275170951
1976-04-01,51.0489267605642
1976-05-01,51.7188205041693
1976-06-01,50.985622274215
