"Date","COCANZ333"
2012-06-01,100
2012-07-01,99.8
2012-08-01,100.6
2012-09-01,100.7
2012-10-01,101.3
2012-11-01,100.7
2012-12-01,100.6
2013-01-01,100.8
2013-02-01,100.7
2013-03-01,100.8
2013-04-01,100.9
2013-05-01,101.6
2013-06-01,101.6
2013-07-01,103.7
2013-08-01,103.6
2013-09-01,102.9
2013-10-01,102.9
2013-11-01,102.9
2013-12-01,103
2014-01-01,105.2
2014-02-01,105.1
2014-03-01,105
2014-04-01,105
2014-05-01,104.6
2014-06-01,104.6
2014-07-01,104.9
2014-08-01,105
2014-09-01,104.8
2014-10-01,104.8
2014-11-01,104.7
2014-12-01,104.7
2015-01-01,105
2015-02-01,104.7
2015-03-01,104.5
2015-04-01,104.2
2015-05-01,104.3
2015-06-01,104.4
2015-07-01,104.3
2015-08-01,104.3
2015-09-01,104.2
2015-10-01,104
2015-11-01,105.9
2015-12-01,106
2016-01-01,104.9
2016-02-01,105.2
2016-03-01,105.2
2016-04-01,106
2016-05-01,106
2016-06-01,106
2016-07-01,106.1
2016-08-01,106.1
2016-09-01,106.1
2016-10-01,105.9
2016-11-01,106
2016-12-01,106
2017-01-01,105.7
2017-02-01,105.6
2017-03-01,105.6
2017-04-01,105.7
2017-05-01,105.8
2017-06-01,105.8
2017-07-01,105.7
2017-08-01,106
2017-09-01,106.1
2017-10-01,106.2
2017-11-01,106.3
2017-12-01,106.4
2018-01-01,106.4
2018-02-01,106.3
2018-03-01,106.2
2018-04-01,106.1
2018-05-01,106.8
2018-06-01,106.8
2018-07-01,106.6
2018-08-01,106.6
2018-09-01,106.6
2018-10-01,107.1
2018-11-01,107.3
2018-12-01,106.8
2019-01-01,105.9
2019-02-01,104.7
2019-03-01,104.9
2019-04-01,104.7
2019-05-01,104.7
2019-06-01,104.5
2019-07-01,104.7
2019-08-01,104.7
2019-09-01,104.2
2019-10-01,104.1
2019-11-01,104
2019-12-01,104
2020-01-01,104.2
2020-02-01,102.9
2020-03-01,102.8
2020-04-01,102.7
2020-05-01,101.9
2020-06-01,102.5
2020-07-01,103.7
2020-08-01,104.5
2020-09-01,105.6
2020-10-01,105.7
2020-11-01,105.9
2020-12-01,106.1
2021-01-01,106.7
2021-02-01,106.9
2021-03-01,107.5
2021-04-01,108.2
2021-05-01,108.4
2021-06-01,109.1
2021-07-01,109.6
2021-08-01,108.8
2021-09-01,108.6
2021-10-01,110.2
2021-11-01,110.5
2021-12-01,110.6
2022-01-01,113.1
2022-02-01,113.8
2022-03-01,114.7
2022-04-01,115
2022-05-01,115.3
2022-06-01,115
2022-07-01,116.8
2022-08-01,117
2022-09-01,116.9
2022-10-01,116.5
2022-11-01,116.4
2022-12-01,116.8
2023-01-01,117.4
2023-02-01,119
2023-03-01,119
2023-04-01,117.6
2023-05-01,117.9
2023-06-01,117.9
2023-07-01,118.9
2023-08-01,119.2
2023-09-01,118
2023-10-01,118
2023-11-01,117.4
