"Date","CPGREN01CAM659N"
1962-01-01,0
1962-02-01,0
1962-03-01,0
1962-04-01,-0.869565217391298
1962-05-01,0
1962-06-01,0.884955752212382
1962-07-01,0
1962-08-01,-0.869565217391298
1962-09-01,-0.869565217391298
1962-10-01,-1.7391304347826
1962-11-01,-1.7391304347826
1962-12-01,0
1963-01-01,-2.60869565217391
1963-02-01,-1.7391304347826
1963-03-01,-2.60869565217391
1963-04-01,-0.877192982456134
1963-05-01,-0.877192982456134
1963-06-01,-0.877192982456134
1963-07-01,-3.50877192982457
1963-08-01,-1.75438596491229
1963-09-01,-1.75438596491229
1963-10-01,-0.884955752212401
1963-11-01,-0.884955752212401
1963-12-01,-0.884955752212401
1964-01-01,0
1964-02-01,-0.884955752212401
1964-03-01,0.892857142857154
1964-04-01,0
1964-05-01,0
1964-06-01,0
1964-07-01,2.72727272727274
1964-08-01,0.892857142857154
1964-09-01,0.892857142857154
1964-10-01,0
1964-11-01,0
1964-12-01,0
1965-01-01,0.892857142857154
1965-02-01,0.892857142857154
1965-03-01,-0.884955752212401
1965-04-01,-0.884955752212401
1965-05-01,0
1965-06-01,0
1965-07-01,-0.884955752212401
1965-08-01,-0.884955752212401
1965-09-01,0
1965-10-01,0.892857142857154
1965-11-01,0.892857142857154
1965-12-01,0.892857142857154
1966-01-01,0
1966-02-01,0
1966-03-01,0.892857142857154
1966-04-01,1.78571428571429
1966-05-01,0.884955752212382
1966-06-01,0.884955752212382
1966-07-01,1.78571428571429
1966-08-01,1.78571428571429
1966-09-01,0.884955752212382
1966-10-01,1.76991150442476
1966-11-01,1.76991150442476
1966-12-01,1.76991150442476
1967-01-01,1.76991150442476
1967-02-01,1.76991150442476
1967-03-01,2.65486725663715
1967-04-01,4.3859649122807
1967-05-01,5.26315789473684
1967-06-01,5.26315789473684
1967-07-01,5.26315789473684
1967-08-01,4.3859649122807
1967-09-01,4.3859649122807
1967-10-01,3.47826086956523
1967-11-01,3.47826086956523
1967-12-01,3.47826086956523
1968-01-01,4.34782608695652
1968-02-01,4.34782608695652
1968-03-01,4.31034482758621
1968-04-01,2.52100840336134
1968-05-01,2.50000000000002
1968-06-01,2.50000000000002
1968-07-01,2.50000000000002
1968-08-01,4.20168067226891
1968-09-01,4.20168067226891
1968-10-01,4.20168067226891
1968-11-01,4.20168067226891
1968-12-01,4.20168067226891
1969-01-01,4.16666666666667
1969-02-01,4.16666666666667
1969-03-01,3.30578512396695
1969-04-01,2.45901639344262
1969-05-01,1.62601626016259
1969-06-01,1.62601626016259
1969-07-01,1.62601626016259
1969-08-01,1.61290322580644
1969-09-01,2.41935483870968
1969-10-01,2.41935483870968
1969-11-01,2.41935483870968
1969-12-01,2.41935483870968
1970-01-01,1.6
1970-02-01,1.6
1970-03-01,4
1970-04-01,4
1970-05-01,4
1970-06-01,4
1970-07-01,4
1970-08-01,3.17460317460318
1970-09-01,2.36220472440945
1970-10-01,2.36220472440945
1970-11-01,3.14960629921261
1970-12-01,3.14960629921261
1971-01-01,3.93700787401575
1971-02-01,4.72440944881889
1971-03-01,2.30769230769231
1971-04-01,5.38461538461537
1971-05-01,5.38461538461537
1971-06-01,5.38461538461537
1971-07-01,5.38461538461537
1971-08-01,5.38461538461537
1971-09-01,5.38461538461537
1971-10-01,5.38461538461537
1971-11-01,5.34351145038167
1971-12-01,5.34351145038167
1972-01-01,5.30303030303031
1972-02-01,4.51127819548873
1972-03-01,5.26315789473685
1972-04-01,2.18978102189782
1972-05-01,2.18978102189782
1972-06-01,2.18978102189782
1972-07-01,2.18978102189782
1972-08-01,2.18978102189782
1972-09-01,2.18978102189782
1972-10-01,2.18978102189782
1972-11-01,1.44927536231884
1972-12-01,1.44927536231884
1973-01-01,3.59712230215828
1973-02-01,5.03597122302156
1973-03-01,4.28571428571427
1973-04-01,4.28571428571427
1973-05-01,5.71428571428573
1973-06-01,7.14285714285713
1973-07-01,8.57142857142856
1973-08-01,11.4285714285714
1973-09-01,12.1428571428571
1973-10-01,13.5714285714286
1973-11-01,15
1973-12-01,18.5714285714286
1974-01-01,15.2777777777778
1974-02-01,13.6986301369863
1974-03-01,13.6986301369863
1974-04-01,13.6986301369863
1974-05-01,18.9189189189189
1974-06-01,20.6666666666667
1974-07-01,19.0789473684211
1974-08-01,16.025641025641
1974-09-01,15.2866242038217
1974-10-01,13.8364779874214
1974-11-01,12.4223602484472
1974-12-01,9.63855421686746
1975-01-01,11.4457831325301
1975-02-01,11.4457831325301
1975-03-01,13.855421686747
1975-04-01,14.4578313253012
1975-05-01,8.52272727272728
1975-06-01,5.52486187845304
1975-07-01,12.707182320442
1975-08-01,14.3646408839779
1975-09-01,16.5745856353591
1975-10-01,16.5745856353591
1975-11-01,18.7845303867403
1975-12-01,19.7802197802198
1976-01-01,20
1976-02-01,21.0810810810811
1976-03-01,19.047619047619
1976-04-01,18.4210526315789
1976-05-01,18.3246073298429
1976-06-01,19.3717277486911
1976-07-01,11.764705882353
1976-08-01,10.1449275362319
1976-09-01,12.7962085308057
1976-10-01,14.218009478673
1976-11-01,11.6279069767442
1976-12-01,10.0917431192661
1977-01-01,10.3603603603603
1977-02-01,9.37499999999999
1977-03-01,13.3333333333333
1977-04-01,14.2222222222222
1977-05-01,14.1592920353982
1977-06-01,13.1578947368421
1977-07-01,13.1578947368421
1977-08-01,13.1578947368421
1977-09-01,11.3445378151261
1977-10-01,10.7883817427386
1977-11-01,11.6666666666667
1977-12-01,11.25
1978-01-01,9.38775510204084
1978-02-01,10.6122448979592
1978-03-01,10.1960784313726
