"Date","CANXTNTVA01CXMLM"
1960-01-01,22560335.7817419
1960-02-01,-24579831.9327731
1960-03-01,-36698212.4079916
1960-04-01,-114226375.908619
1960-05-01,-30572597.1370143
1960-06-01,-30234933.6057201
1960-07-01,41820040.8997955
1960-08-01,36185567.0103093
1960-09-01,20473251.0288066
1960-10-01,35750766.0878447
1960-11-01,-38792221.0849539
1960-12-01,12321792.2606925
1961-01-01,28902316.2134945
1961-02-01,-25959595.959596
1961-03-01,-19148936.1702128
1961-04-01,12639029.322548
1961-05-01,-88663967.611336
1961-06-01,13134328.358209
1961-07-01,68858800.7736944
1961-08-01,31328806.9835112
1961-09-01,65373423.8603298
1961-10-01,5922330.09708738
1961-11-01,-22876447.8764479
1961-12-01,56088207.0949185
1962-01-01,10430622.0095694
1962-02-01,-24880838.8941849
1962-03-01,-56530028.5986654
1962-04-01,-34761904.7619048
1962-05-01,-32799911.3016483
1962-06-01,11488864.9920497
1962-07-01,2038395.96768216
1962-08-01,31173168.8082757
1962-09-01,21540718.4572389
1962-10-01,45992604.0176166
1962-11-01,43360383.2797905
1962-12-01,63838684.1982995
1963-01-01,39078453.9412616
1963-02-01,6030523.72779144
1963-03-01,21702636.7776222
1963-04-01,-24884167.9124226
1963-05-01,52994514.9284899
1963-06-01,18729890.8659329
1963-07-01,20556697.5943108
1963-08-01,30374931.910297
1963-09-01,54998472.2646593
1963-10-01,18458570.2492371
1963-11-01,63089141.2454539
1963-12-01,89942385.0015747
1964-01-01,63026959.9903748
1964-02-01,34437748.2156247
1964-03-01,21930636.2660547
1964-04-01,-30894459.3469614
1964-05-01,25622288.6161189
1964-06-01,101564162.095663
1964-07-01,138986498.9828
1964-08-01,117066931.140916
1964-09-01,117162820.083993
1964-10-01,48537821.377098
1964-11-01,47574270.7916321
1964-12-01,70988630.6544352
1965-01-01,25418757.7396858
1965-02-01,5855399.51483832
1965-03-01,-21732898.058836
1965-04-01,-31039211.3260692
1965-05-01,27232308.2623194
1965-06-01,-53119255.0370911
1965-07-01,53337762.7669195
1965-08-01,40515858.6673342
1965-09-01,-5201705.41627576
1965-10-01,25481734.9899561
1965-11-01,27065739.0527921
1965-12-01,30391181.9102763
1966-01-01,32841486.3331038
1966-02-01,22852259.21522
1966-03-01,-25826590.2397785
1966-04-01,-45303898.1776321
1966-05-01,-5107442.00731757
1966-06-01,-26562645.1193462
1966-07-01,56554456.9190843
1966-08-01,118192977.23553
1966-09-01,77667738.1593861
1966-10-01,-32976703.2559863
1966-11-01,15615327.0440833
1966-12-01,64161742.9837518
1967-01-01,72430880.3779002
1967-02-01,58015803.9861576
1967-03-01,1940706.78692888
1967-04-01,-38891095.6942661
1967-05-01,15153615.1536152
1967-06-01,55988968.7849931
1967-07-01,45919219.2805061
1967-08-01,59293680.2973978
1967-09-01,-8554956.29533197
1967-10-01,47785384.9378231
1967-11-01,68730120.3474638
1967-12-01,129490276.659354
1968-01-01,24754337.125053
1968-02-01,50653387.4067739
1968-03-01,130895717.735543
1968-04-01,24273111.8495959
1968-05-01,132394601.363573
1968-06-01,140648066.477879
1968-07-01,145938445.779206
1968-08-01,141213262.367055
1968-09-01,145249121.760765
1968-10-01,77933528.4358864
1968-11-01,61265525.56302
1968-12-01,150026555.351602
1969-01-01,19875290.1042977
1969-02-01,68825959.9099183
1969-03-01,99024014.2636926
1969-04-01,-31744999.4890328
1969-05-01,53246500.055702
1969-06-01,37459591.1410813
1969-07-01,55873535.7797146
1969-08-01,67676327.3823325
1969-09-01,56653498.7666685
1969-10-01,49705481.2945836
1969-11-01,48384218.5975185
1969-12-01,162884083.737469
1970-01-01,256332423.087318
1970-02-01,176868244.502423
1970-03-01,121258925.075968
1970-04-01,148978450.525688
1970-05-01,197785688.989954
1970-06-01,201001926.782274
1970-07-01,291403100.775194
1970-08-01,216508325.171401
1970-09-01,177544291.338583
1970-10-01,314806072.477963
1970-11-01,327583333.333333
1970-12-01,329201573.254671
1971-01-01,270138339.920949
1971-02-01,209418650.793651
1971-03-01,163688866.799205
1971-04-01,149532738.095238
1971-05-01,172254707.631318
1971-06-01,199557296.767875
1971-07-01,181833496.571988
1971-08-01,224684106.614018
1971-09-01,171844027.640671
1971-10-01,91194223.1075697
1971-11-01,99780876.4940239
1971-12-01,245734734.734735
1972-01-01,-1416500.99403579
1972-02-01,168255721.393035
1972-03-01,46631262.5250501
1972-04-01,5928714.85943775
1972-05-01,134563195.146613
1972-06-01,218288049.029622
1972-07-01,47092479.6747967
1972-08-01,90248472.5050916
1972-09-01,45680569.6846389
1972-10-01,215323499.491353
1972-11-01,270233029.381966
1972-12-01,256164493.480441
1973-01-01,144564016.829745
1973-02-01,146371424.725931
1973-03-01,80161169.8093371
1973-04-01,236442757.547552
1973-05-01,121671574.650436
1973-06-01,242878826.910678
1973-07-01,228477494.2161
1973-08-01,97855955.2242886
1973-09-01,125399188.545802
1973-10-01,138440543.17281
1973-11-01,313784025.641035
1973-12-01,220014745.950341
1974-01-01,155351786.82539
