"Date","TRESEGCAM052N"
1950-12-01,1265010000
1951-01-01,NA
1951-02-01,NA
1951-03-01,NA
1951-04-01,NA
1951-05-01,NA
1951-06-01,NA
1951-07-01,NA
1951-08-01,NA
1951-09-01,NA
1951-10-01,NA
1951-11-01,NA
1951-12-01,1064010000
1952-01-01,NA
1952-02-01,NA
1952-03-01,NA
1952-04-01,NA
1952-05-01,NA
1952-06-01,NA
1952-07-01,NA
1952-08-01,NA
1952-09-01,NA
1952-10-01,NA
1952-11-01,NA
1952-12-01,1058910000
1953-01-01,NA
1953-02-01,NA
1953-03-01,NA
1953-04-01,NA
1953-05-01,NA
1953-06-01,NA
1953-07-01,NA
1953-08-01,NA
1953-09-01,NA
1953-10-01,NA
1953-11-01,NA
1953-12-01,922610000
1954-01-01,NA
1954-02-01,NA
1954-03-01,NA
1954-04-01,NA
1954-05-01,NA
1954-06-01,NA
1954-07-01,NA
1954-08-01,NA
1954-09-01,NA
1954-10-01,NA
1954-11-01,NA
1954-12-01,964310000
1955-01-01,NA
1955-02-01,NA
1955-03-01,NA
1955-04-01,NA
1955-05-01,NA
1955-06-01,NA
1955-07-01,NA
1955-08-01,NA
1955-09-01,NA
1955-10-01,NA
1955-11-01,NA
1955-12-01,859510000
1956-01-01,NA
1956-02-01,NA
1956-03-01,NA
1956-04-01,NA
1956-05-01,NA
1956-06-01,NA
1956-07-01,NA
1956-08-01,NA
1956-09-01,NA
1956-10-01,NA
1956-11-01,NA
1956-12-01,940410000
1957-01-01,934620000
1957-02-01,929020000
1957-03-01,929020000
1957-04-01,905220000
1957-05-01,934320000
1957-06-01,951120000
1957-07-01,977020000
1957-08-01,950720000
1957-09-01,897520000
1957-10-01,927320000
1957-11-01,898720000
1957-12-01,835820000
1958-01-01,862720000
1958-02-01,888020000
1958-03-01,886120000
1958-04-01,888320000
1958-05-01,926220000
1958-06-01,950920000
1958-07-01,958120000
1958-08-01,951820000
1958-09-01,917720000
1958-10-01,950220000
1958-11-01,957810000
1958-12-01,968210000
1959-01-01,932610000
1959-02-01,910510000
1959-03-01,923610000
1959-04-01,947110000
1959-05-01,950110000
1959-06-01,966910000
1959-07-01,962410000
1959-08-01,978010000
1959-09-01,1006810000
1959-10-01,1076810000
1959-11-01,1071710000
1959-12-01,1077210000
1960-01-01,1079810000
1960-02-01,1075210000
1960-03-01,1074910000
1960-04-01,1065910000
1960-05-01,986710000
1960-06-01,1031710000
1960-07-01,1084210000
1960-08-01,1101710000
1960-09-01,1089920000
1960-10-01,1125720000
1960-11-01,1123620000
1960-12-01,1112520000
1961-01-01,1168820000
1961-02-01,1196720000
1961-03-01,1221440000
1961-04-01,1228740000
1961-05-01,1234440000
1961-06-01,1263440000
1961-07-01,1233340000
1961-08-01,1233740000
1961-09-01,1233640000
1961-10-01,1414540000
1961-11-01,1373240000
1961-12-01,1345840000
1962-01-01,1207640000
1962-02-01,1020340000
1962-03-01,969740000
1962-04-01,838040000
1962-05-01,765140000
1962-06-01,1163200000
1962-07-01,1466400000
1962-08-01,1668800000
1962-09-01,1778200000
1962-10-01,1941400000
1962-11-01,1925800000
1962-12-01,1.852e+09
1963-01-01,1969700000
1963-02-01,1.89e+09
1963-03-01,1889900000
1963-04-01,1954900000
1963-05-01,1987700000
1963-06-01,1959500000
1963-07-01,1760700000
1963-08-01,1.725e+09
1963-09-01,1815200000
1963-10-01,1.818e+09
1963-11-01,1850900000
1963-12-01,1796100000
1964-01-01,1763800000
1964-02-01,1711950000
1964-03-01,1643750000
1964-04-01,1627050000
1964-05-01,1638250000
1964-06-01,1645750000
1964-07-01,1627150000
1964-08-01,1654550000
1964-09-01,1733050000
1964-10-01,1839200000
1964-11-01,1891500000
1964-12-01,1863800000
1965-01-01,1847400000
1965-02-01,1838200000
1965-03-01,1780700000
1965-04-01,1.787e+09
1965-05-01,1762500000
1965-06-01,1736600000
1965-07-01,1753800000
1965-08-01,1863300000
1965-09-01,1921200000
1965-10-01,1925200000
1965-11-01,1924700000
1965-12-01,1886100000
1966-01-01,1884700000
1966-02-01,1873050000
1966-03-01,1827310000
1966-04-01,1786160000
1966-05-01,1817870000
1966-06-01,1774070000
1966-07-01,1788770000
1966-08-01,1748860000
1966-09-01,1709210000
1966-10-01,1677570000
1966-11-01,1678270000
1966-12-01,1656270000
1967-01-01,1667570000
1967-02-01,1609970000
1967-03-01,1604970000
1967-04-01,1627580000
1967-05-01,1607380000
1967-06-01,1572890000
1967-07-01,1575220000
1967-08-01,1578770000
1967-09-01,1589870000
1967-10-01,1666380000
1967-11-01,1613780000
1967-12-01,1701990000
1968-01-01,1592790000
1968-02-01,1473590000
1968-03-01,1284690000
1968-04-01,1480590000
1968-05-01,1822790000
1968-06-01,1784610000
1968-07-01,1722910000
1968-08-01,1798910000
1968-09-01,1874400000
1968-10-01,1864790000
1968-11-01,2022390000
1968-12-01,2182700000
1969-01-01,2226800000
1969-02-01,2181600000
1969-03-01,2147600000
1969-04-01,2167710000
1969-05-01,2148810000
1969-06-01,2095110000
1969-07-01,2068620000
1969-08-01,2100820000
1969-09-01,2084100000
1969-10-01,2177990000
1969-11-01,2202990000
1969-12-01,2233990000
1970-01-01,2441310000
1970-02-01,2544810000
1970-03-01,2718410000
1970-04-01,2943320000
1970-05-01,3204370000
1970-06-01,3453770000
1970-07-01,3564330000
1970-08-01,3735700000
1970-09-01,3.673e+09
1970-10-01,3726990000
1970-11-01,3764090000
1970-12-01,3888290000
1971-01-01,4008390000
1971-02-01,4059100000
1971-03-01,4053600000
1971-04-01,4063110000
1971-05-01,4086990000
1971-06-01,4060180000
1971-07-01,4132190000
1971-08-01,4200360000
1971-09-01,4199820000
1971-10-01,4279620000
1971-11-01,4481860000
1971-12-01,4839011900.2929
1972-01-01,4935037935.918
1972-02-01,4946535672.2056
1972-03-01,5028019158.466
1972-04-01,5079985805.1479
1972-05-01,5211750361.8982
1972-06-01,5383665236.233
1972-07-01,5357050948.1913
1972-08-01,5365279513.4134
1972-09-01,5387018957.532
1972-10-01,5394749840.773
1972-11-01,5212378986.8575
1972-12-01,5215740709.8943
1973-01-01,5130458396.2199
1973-02-01,5311103710.6358
1973-03-01,5225592950.0224
1973-04-01,5165806587.7619
1973-05-01,5207888498.6106
1973-06-01,5119077689.7618
1973-07-01,5049204362.056
1973-08-01,4846951041.5854
1973-09-01,4792655480.9384
1973-10-01,4845890440.8125
1973-11-01,4808823458.4847
1973-12-01,4841436185.4176
1974-01-01,4927199995.0563
1974-02-01,5270366338.0226
1974-03-01,5174557778.9975
1974-04-01,5308086972.5605
1974-05-01,5303059968.5268
1974-06-01,5195974577.3671
1974-07-01,5090126841.6203
1974-08-01,4942826120.225
1974-09-01,4896362282.5752
1974-10-01,4891002173.7935
1974-11-01,4869264778.7383
1974-12-01,4884633009.8242
1975-01-01,4850371874.7301
1975-02-01,4926933775.9775
1975-03-01,4868091171.8793
1975-04-01,4581104947.3704
1975-05-01,4440380361.5827
1975-06-01,4379827284.2822
1975-07-01,4310457740.4817
1975-08-01,4279198296.924
1975-09-01,4322988054.8685
1975-10-01,4390529363.6283
1975-11-01,4514568327.7949
1975-12-01,4426225348.5091
1976-01-01,4701458340.3944
1976-02-01,4979427424.4793
1976-03-01,4949789550.5369
1976-04-01,4930618762.3152
1976-05-01,4944137224.717
1976-06-01,5114949583.7102
1976-07-01,4922987347.4173
1976-08-01,4705663128.4988
1976-09-01,4962252468.5613
1976-10-01,4963971565.8314
1976-11-01,4209526171.656
1976-12-01,4964359764.0347
1977-01-01,4797246566.0699
1977-02-01,4386775651.4023
1977-03-01,4207582315.1864
1977-04-01,4297789692.9547
1977-05-01,4342863373.7075
1977-06-01,4205594721.5059
1977-07-01,4113207469.6099
1977-08-01,3956578468.3792
1977-09-01,3891494719.1543
1977-10-01,3273379490.9455
1977-11-01,3290664227.3395
1977-12-01,3671868448.2743
1978-01-01,3469462527.1477
1978-02-01,2753969048.1246
1978-03-01,3018470645.4575
1978-04-01,3638371506.9984
1978-05-01,3800419673.9389
1978-06-01,3785217468.7805
1978-07-01,3618554233.2718
1978-08-01,3211673352.5496
1978-09-01,2677797439.3031
1978-10-01,4059226200.2854
1978-11-01,3504881125.1524
1978-12-01,3557136041.949
1979-01-01,3404563013.3614
1979-02-01,3115127576.6241
1979-03-01,4425080726.2535
1979-04-01,4159115291.5009
1979-05-01,3095758668.8161
1979-06-01,3179436492.8195
1979-07-01,3234433056.4982
1979-08-01,3271353535.022
1979-09-01,3494974845.6349
1979-10-01,2931349053.0549
1979-11-01,2965761937.1822
1979-12-01,2864351489.2131
1980-01-01,3056251811.3155
1980-02-01,3471501566.0188
1980-03-01,2715402889.1301
1980-04-01,2989265198.6027
1980-05-01,3236138116.8564
1980-06-01,3319099384.38
1980-07-01,3040738337.8837
1980-08-01,3292601236.5294
1980-09-01,2979811409.19
1980-10-01,2726724844.9922
1980-11-01,2527626033.5949
1980-12-01,3092942431.7428
1981-01-01,2523140125.8793
1981-02-01,2443918991.7071
1981-03-01,2816045767.3256
1981-04-01,2269404392.8107
1981-05-01,2321623392.4327
1981-06-01,2212370970.2018
1981-07-01,1482940117.8348
1981-08-01,2465930148.9541
1981-09-01,2165715728.7165
1981-10-01,1971475195.3551
1981-11-01,3701604038.9012
1981-12-01,3537478704.9566
1982-01-01,3476201745.3661
1982-02-01,2695775321.7754
1982-03-01,2175821015.7356
1982-04-01,2638947337.2937
1982-05-01,2069486151.5869
1982-06-01,2148142941.8784
1982-07-01,2491980937.0486
1982-08-01,3091687133.3003
1982-09-01,3027186407.4778
1982-10-01,2841800899.2156
1982-11-01,2897936594.334
1982-12-01,3011047345.8529
1983-01-01,3340484748.918
1983-02-01,3852129524.8446
1983-03-01,3489014768.5166
1983-04-01,3634757883.8703
1983-05-01,3471411243.4942
1983-06-01,3624747674.6532
1983-07-01,3617708741.092
1983-08-01,3776628528.7113
1983-09-01,3838835203.8527
1983-10-01,3999290793.4911
1983-11-01,3785155645.5014
1983-12-01,3466462127.1261
1984-01-01,3546622324.768
1984-02-01,3416169316.4222
1984-03-01,2901470385.1551
1984-04-01,2539801571.5212
1984-05-01,2935576647.5831
1984-06-01,2155707975.4158
1984-07-01,3478005730.3542
1984-08-01,2914994973.7709
1984-09-01,2660042957.043
1984-10-01,2829275539.2011
1984-11-01,2385830475.7759
1984-12-01,2491295478.0488
1985-01-01,2290453181.6417
1985-02-01,2094859474.2397
1985-03-01,3075627359.943
1985-04-01,2708997401.1557
1985-05-01,2406136679.575
1985-06-01,2332831002.6754
1985-07-01,2798918668.4371
1985-08-01,2518180212.0434
1985-09-01,2466955066.5833
1985-10-01,2368306993.5915
1985-11-01,2629712156.194
1985-12-01,2502701669.5958
1986-01-01,2452665405.5135
1986-02-01,3670995590.462
1986-03-01,2479168694.2962
1986-04-01,2639181318.7201
1986-05-01,2641556811.9985
1986-06-01,2503434830.0185
1986-07-01,2622303286.4811
1986-08-01,2383270274.4454
1986-09-01,2255520574.6736
1986-10-01,2880388385.3666
1986-11-01,3048912006.1967
1986-12-01,3251239434.6385
1987-01-01,5201968639.8783
1987-02-01,5681214806.1996
1987-03-01,6897893664.4254
1987-04-01,5294942647.0204
1987-05-01,4865796301.0614
1987-06-01,5492289681.2617
1987-07-01,5578536185.4194
1987-08-01,6387480054.8285
1987-09-01,6699948307.6766
1987-10-01,7075212226.6993
1987-11-01,7007292615.8454
1987-12-01,7277355391.6214
1988-01-01,8649139790.1181
1988-02-01,9586996563.457
1988-03-01,11689334603.1658
1988-04-01,12761448605.4398
1988-05-01,12535561567.648
1988-06-01,15415699868.9384
1988-07-01,14573116563.8127
1988-08-01,13072118454.4436
1988-09-01,13914806431.2997
1988-10-01,15381754397.7712
1988-11-01,15255024272.0702
1988-12-01,15390642873.8679
1989-01-01,15823412466.8991
1989-02-01,15385264161.1164
1989-03-01,15424199688.4574
1989-04-01,15366593247.0427
1989-05-01,14770054085.3128
1989-06-01,15143611018.0477
1989-07-01,15418836114.3299
1989-08-01,15947295128.5791
1989-09-01,15693543021.8718
1989-10-01,15666854905.5688
1989-11-01,15538290255.8688
1989-12-01,16055317354.8506
1990-01-01,14909770489.6736
1990-02-01,12936390813.9213
1990-03-01,13788559414.1062
1990-04-01,14243352207.0412
1990-05-01,13244150953.1744
1990-06-01,13870322325.7784
1990-07-01,15265081563.9254
1990-08-01,17717220722.6311
1990-09-01,17545569126.8626
1990-10-01,17371463572.3688
1990-11-01,17711499085.4485
1990-12-01,17845377647.2095
1991-01-01,18137693050.0158
1991-02-01,16784411296.0964
1991-03-01,16959834481.7373
1991-04-01,15834917757.6359
1991-05-01,17215953740.9493
1991-06-01,16478546068.3019
1991-07-01,16738045364.3179
1991-08-01,18001010014.0384
1991-09-01,18074961559.5075
1991-10-01,16909496214.7611
1991-11-01,17334615323.2265
1991-12-01,16252483191.0055
1992-01-01,16117553273.2481
1992-02-01,16025686920.0177
1992-03-01,14681262002.7435
1992-04-01,14896538942.0048
1992-05-01,14816009257.5785
1992-06-01,14651947118.3433
1992-07-01,15082729824.9668
1992-08-01,15120484363.1834
1992-09-01,12224724166.3721
1992-10-01,12629846654.5756
1992-11-01,9802867068.2199
1992-12-01,11431362685.1101
1993-01-01,11221276653.0781
1993-02-01,11064383671.1665
1993-03-01,12708090572.367
1993-04-01,11819968241.3611
1993-05-01,12492267127.0154
1993-06-01,11664179818.4299
1993-07-01,11723358608.7774
1993-08-01,10472690266.1594
1993-09-01,10729425770.0856
1993-10-01,12563791541.3378
1993-11-01,11762732485.9783
1993-12-01,12481075078.8433
1994-01-01,12789487819.695
1994-02-01,12441658578.7349
1994-03-01,10947722322.9875
1994-04-01,10614064404.2067
1994-05-01,10951016511.941
1994-06-01,11649215853.2629
1994-07-01,14592848780.1499
1994-08-01,14641606587.0431
1994-09-01,15588509053.7443
1994-10-01,14778750327.3407
1994-11-01,13287255604.0812
1994-12-01,12285589028.0773
1995-01-01,13198668308.761
1995-02-01,14326465916.5799
1995-03-01,14594584656.2457
1995-04-01,14746114427.0624
1995-05-01,15011609678.6089
1995-06-01,14802764046.2658
1995-07-01,16598370516.3315
1995-08-01,16668881336.378
1995-09-01,16001860065.9768
1995-10-01,15533029952.3536
1995-11-01,14879297133.2184
1995-12-01,15048997523.5162
1996-01-01,14810114975.1834
1996-02-01,14569910915.5478
1996-03-01,16836485243.9853
1996-04-01,17199874481.7866
1996-05-01,18233471291.8522
1996-06-01,18570411428.6622
1996-07-01,18530131845.9072
1996-08-01,19443597022.3007
1996-09-01,19336227100.264
1996-10-01,19872638976.1849
1996-11-01,19953740179.8548
1996-12-01,20422423999.7584
1997-01-01,20737470340.4782
1997-02-01,20894096904.2439
1997-03-01,21488885581.7785
1997-04-01,19708093492.1714
1997-05-01,20874330080.7102
1997-06-01,21109354247.4968
1997-07-01,19406090122.4521
1997-08-01,22318737393.0616
1997-09-01,22334429972.136
1997-10-01,21817582957.6806
1997-11-01,18623504615.9545
1997-12-01,17822651408.8878
1998-01-01,20693865138.3367
1998-02-01,21164160054.1174
1998-03-01,22278121920.9503
