"Date","LFIN55MACAM647N"
1976-01-01,231000
1976-02-01,233400
1976-03-01,222000
1976-04-01,217500
1976-05-01,225200
1976-06-01,218700
1976-07-01,217000
1976-08-01,220700
1976-09-01,215800
1976-10-01,218900
1976-11-01,225500
1976-12-01,230200
1977-01-01,238000
1977-02-01,240200
1977-03-01,236600
1977-04-01,240000
1977-05-01,232500
1977-06-01,236300
1977-07-01,236000
1977-08-01,237100
1977-09-01,240300
1977-10-01,238000
1977-11-01,239900
1977-12-01,246000
1978-01-01,259600
1978-02-01,249000
1978-03-01,237900
1978-04-01,243600
1978-05-01,235200
1978-06-01,237200
1978-07-01,239900
1978-08-01,237400
1978-09-01,229800
1978-10-01,235300
1978-11-01,246000
1978-12-01,249000
1979-01-01,250700
1979-02-01,251600
1979-03-01,243200
1979-04-01,236400
1979-05-01,233900
1979-06-01,235800
1979-07-01,247300
1979-08-01,244300
1979-09-01,250300
1979-10-01,253200
1979-11-01,257000
1979-12-01,264800
1980-01-01,258800
1980-02-01,255800
1980-03-01,252800
1980-04-01,256100
1980-05-01,250100
1980-06-01,256100
1980-07-01,251700
1980-08-01,247500
1980-09-01,252800
1980-10-01,252300
1980-11-01,262600
1980-12-01,268600
1981-01-01,274400
1981-02-01,265600
1981-03-01,266700
1981-04-01,271900
1981-05-01,267700
1981-06-01,269200
1981-07-01,269400
1981-08-01,265200
1981-09-01,257900
1981-10-01,259500
1981-11-01,267000
1981-12-01,274500
1982-01-01,289100
1982-02-01,293900
1982-03-01,288600
1982-04-01,291900
1982-05-01,286300
1982-06-01,279900
1982-07-01,285400
1982-08-01,290400
1982-09-01,285100
1982-10-01,291300
1982-11-01,299900
1982-12-01,301500
1983-01-01,310600
1983-02-01,306400
1983-03-01,304700
1983-04-01,294900
1983-05-01,292000
1983-06-01,299000
1983-07-01,307000
1983-08-01,308200
1983-09-01,308300
1983-10-01,311900
1983-11-01,326100
1983-12-01,324200
1984-01-01,331800
1984-02-01,321700
1984-03-01,317100
1984-04-01,320500
1984-05-01,312500
1984-06-01,305900
1984-07-01,325700
1984-08-01,333000
1984-09-01,323900
1984-10-01,324200
1984-11-01,335100
1984-12-01,349100
1985-01-01,346300
1985-02-01,350000
1985-03-01,339800
1985-04-01,345100
1985-05-01,343400
1985-06-01,344100
1985-07-01,341600
1985-08-01,345900
1985-09-01,347700
1985-10-01,340500
1985-11-01,340500
1985-12-01,349800
1986-01-01,357500
1986-02-01,353700
1986-03-01,348800
1986-04-01,350300
1986-05-01,353400
1986-06-01,355100
1986-07-01,364300
1986-08-01,371500
1986-09-01,372900
1986-10-01,378100
1986-11-01,383800
1986-12-01,388600
1987-01-01,392200
1987-02-01,384600
1987-03-01,377600
1987-04-01,384200
1987-05-01,387200
1987-06-01,399400
1987-07-01,395500
1987-08-01,398500
1987-09-01,391800
1987-10-01,397500
1987-11-01,397900
1987-12-01,395000
1988-01-01,411600
1988-02-01,406300
1988-03-01,399500
1988-04-01,401300
1988-05-01,395900
1988-06-01,392100
1988-07-01,393300
1988-08-01,390300
1988-09-01,391200
1988-10-01,394600
1988-11-01,405800
1988-12-01,408400
1989-01-01,404700
1989-02-01,398100
1989-03-01,391100
1989-04-01,394500
1989-05-01,401500
1989-06-01,391900
1989-07-01,417200
1989-08-01,415100
1989-09-01,398800
1989-10-01,406200
1989-11-01,411500
1989-12-01,417400
1990-01-01,413400
1990-02-01,410500
1990-03-01,419600
1990-04-01,420100
1990-05-01,423700
1990-06-01,416900
1990-07-01,426600
1990-08-01,422900
1990-09-01,409700
1990-10-01,421200
1990-11-01,424200
1990-12-01,433400
1991-01-01,440600
1991-02-01,443600
1991-03-01,435700
1991-04-01,437700
1991-05-01,437300
1991-06-01,432600
1991-07-01,445100
1991-08-01,444300
1991-09-01,448300
1991-10-01,445200
1991-11-01,456000
1991-12-01,470200
1992-01-01,478900
1992-02-01,468900
1992-03-01,459500
1992-04-01,467900
1992-05-01,454400
1992-06-01,447800
1992-07-01,458400
1992-08-01,463200
1992-09-01,451600
1992-10-01,445000
1992-11-01,449700
1992-12-01,460600
1993-01-01,468300
1993-02-01,464700
1993-03-01,458100
1993-04-01,470800
1993-05-01,473500
1993-06-01,467300
1993-07-01,474200
1993-08-01,474000
1993-09-01,476200
1993-10-01,486600
1993-11-01,487200
1993-12-01,496200
1994-01-01,509400
1994-02-01,488900
1994-03-01,485900
1994-04-01,475600
1994-05-01,475800
1994-06-01,476500
1994-07-01,490900
1994-08-01,490300
1994-09-01,483200
1994-10-01,485400
1994-11-01,489300
1994-12-01,493500
1995-01-01,496400
1995-02-01,492000
1995-03-01,489600
1995-04-01,501800
1995-05-01,506100
1995-06-01,505000
1995-07-01,509100
1995-08-01,511200
1995-09-01,518100
1995-10-01,510200
1995-11-01,515500
1995-12-01,522900
1996-01-01,527000
1996-02-01,517600
1996-03-01,515400
1996-04-01,521300
1996-05-01,520300
1996-06-01,507200
1996-07-01,507900
1996-08-01,513100
1996-09-01,514000
1996-10-01,507100
1996-11-01,502100
1996-12-01,504700
1997-01-01,517400
1997-02-01,502400
1997-03-01,503000
1997-04-01,505400
1997-05-01,496100
1997-06-01,491000
1997-07-01,503100
1997-08-01,497100
1997-09-01,499300
1997-10-01,499300
