"Date","LFWA55TTCAM647N"
1976-01-01,1886900
1976-02-01,1892400
1976-03-01,1897800
1976-04-01,1903200
1976-05-01,1908600
1976-06-01,1914000
1976-07-01,1919300
1976-08-01,1924700
1976-09-01,1929000
1976-10-01,1933200
1976-11-01,1937300
1976-12-01,1941500
1977-01-01,1946700
1977-02-01,1951700
1977-03-01,1956000
1977-04-01,1960300
1977-05-01,1965600
1977-06-01,1969800
1977-07-01,1973900
1977-08-01,1978800
1977-09-01,1983000
1977-10-01,1986800
1977-11-01,1990400
1977-12-01,1993700
1978-01-01,1997800
1978-02-01,2001900
1978-03-01,2005100
1978-04-01,2008500
1978-05-01,2012900
1978-06-01,2016300
1978-07-01,2019200
1978-08-01,2023200
1978-09-01,2026400
1978-10-01,2029700
1978-11-01,2032900
1978-12-01,2035600
1979-01-01,2039200
1979-02-01,2043000
1979-03-01,2045800
1979-04-01,2049700
1979-05-01,2052800
1979-06-01,2056000
1979-07-01,2059400
1979-08-01,2062500
1979-09-01,2065500
1979-10-01,2069300
1979-11-01,2072400
1979-12-01,2075300
1980-01-01,2079000
1980-02-01,2082100
1980-03-01,2085300
1980-04-01,2088900
1980-05-01,2092500
1980-06-01,2097100
1980-07-01,2100400
1980-08-01,2103800
1980-09-01,2108400
1980-10-01,2112100
1980-11-01,2115700
1980-12-01,2119300
1981-01-01,2123600
1981-02-01,2127800
1981-03-01,2131600
1981-04-01,2135200
1981-05-01,2139000
1981-06-01,2143800
1981-07-01,2147300
1981-08-01,2150900
1981-09-01,2155400
1981-10-01,2159200
1981-11-01,2162700
1981-12-01,2166100
1982-01-01,2170500
1982-02-01,2174800
1982-03-01,2178500
1982-04-01,2182200
1982-05-01,2186100
1982-06-01,2191300
1982-07-01,2194600
1982-08-01,2199600
1982-09-01,2203700
1982-10-01,2207900
1982-11-01,2211900
1982-12-01,2215800
1983-01-01,2220600
1983-02-01,2225300
1983-03-01,2229300
1983-04-01,2233300
1983-05-01,2238300
1983-06-01,2242100
1983-07-01,2245500
1983-08-01,2250100
1983-09-01,2253800
1983-10-01,2257400
1983-11-01,2260900
1983-12-01,2264300
1984-01-01,2268300
1984-02-01,2272200
1984-03-01,2275400
1984-04-01,2279000
1984-05-01,2282100
1984-06-01,2285200
1984-07-01,2288200
1984-08-01,2290700
1984-09-01,2293100
1984-10-01,2296000
1984-11-01,2298000
1984-12-01,2300000
1985-01-01,2302100
1985-02-01,2303700
1985-03-01,2305400
1985-04-01,2307400
1985-05-01,2309300
1985-06-01,2311200
1985-07-01,2313100
1985-08-01,2314900
1985-09-01,2317200
1985-10-01,2318900
1985-11-01,2320600
1985-12-01,2322100
1986-01-01,2323900
1986-02-01,2325200
1986-03-01,2326500
1986-04-01,2328300
1986-05-01,2330000
1986-06-01,2331900
1986-07-01,2332900
1986-08-01,2334400
1986-09-01,2336100
1986-10-01,2337500
1986-11-01,2338700
1986-12-01,2339900
1987-01-01,2341400
1987-02-01,2342900
1987-03-01,2344300
1987-04-01,2345900
1987-05-01,2347500
1987-06-01,2349700
1987-07-01,2351200
1987-08-01,2352600
1987-09-01,2354400
1987-10-01,2356000
1987-11-01,2357500
1987-12-01,2358800
1988-01-01,2360400
1988-02-01,2361900
1988-03-01,2363000
1988-04-01,2364200
1988-05-01,2365800
1988-06-01,2367100
1988-07-01,2368000
1988-08-01,2368900
1988-09-01,2369700
1988-10-01,2370000
1988-11-01,2370300
1988-12-01,2370500
1989-01-01,2370400
1989-02-01,2370500
1989-03-01,2370600
