"Date","LFEM24FECAM647N"
1976-01-01,1074400
1976-02-01,1082200
1976-03-01,1102600
1976-04-01,1108200
1976-05-01,1164400
1976-06-01,1234000
1976-07-01,1321500
1976-08-01,1307300
1976-09-01,1132100
1976-10-01,1129900
1976-11-01,1128500
1976-12-01,1141400
1977-01-01,1106200
1977-02-01,1109200
1977-03-01,1121100
1977-04-01,1124900
1977-05-01,1180700
1977-06-01,1235500
1977-07-01,1345300
1977-08-01,1323700
1977-09-01,1150600
1977-10-01,1157700
1977-11-01,1160200
1977-12-01,1164300
1978-01-01,1124000
1978-02-01,1140500
1978-03-01,1153100
1978-04-01,1155200
1978-05-01,1195300
1978-06-01,1261800
1978-07-01,1379000
1978-08-01,1361000
1978-09-01,1187300
1978-10-01,1206600
1978-11-01,1199300
1978-12-01,1203800
1979-01-01,1162900
1979-02-01,1180900
1979-03-01,1207300
1979-04-01,1205400
1979-05-01,1262000
1979-06-01,1321800
1979-07-01,1442600
1979-08-01,1437300
1979-09-01,1258100
1979-10-01,1284700
1979-11-01,1275100
1979-12-01,1280700
1980-01-01,1234800
1980-02-01,1235000
1980-03-01,1260200
1980-04-01,1264700
1980-05-01,1307100
1980-06-01,1399300
1980-07-01,1480300
1980-08-01,1469900
1980-09-01,1296200
1980-10-01,1294700
1980-11-01,1292500
1980-12-01,1291100
1981-01-01,1262100
1981-02-01,1277500
1981-03-01,1279200
1981-04-01,1288200
1981-05-01,1366000
1981-06-01,1460100
1981-07-01,1535200
1981-08-01,1510900
1981-09-01,1296900
1981-10-01,1293700
1981-11-01,1280100
1981-12-01,1275200
1982-01-01,1224500
1982-02-01,1222600
1982-03-01,1230300
1982-04-01,1230400
1982-05-01,1261400
1982-06-01,1324100
1982-07-01,1397900
1982-08-01,1354800
1982-09-01,1176800
1982-10-01,1185100
1982-11-01,1180100
1982-12-01,1191500
1983-01-01,1147100
1983-02-01,1154500
1983-03-01,1167600
1983-04-01,1159300
1983-05-01,1218200
1983-06-01,1299400
1983-07-01,1399600
1983-08-01,1379600
1983-09-01,1185200
1983-10-01,1195700
1983-11-01,1185000
1983-12-01,1196500
