"Date","LFAC64FECAM647S"
1976-01-01,3816400
1976-02-01,3827700
1976-03-01,3825500
1976-04-01,3858300
1976-05-01,3878200
1976-06-01,3892900
1976-07-01,3921000
1976-08-01,3929000
1976-09-01,3936100
1976-10-01,3941100
1976-11-01,3969300
1976-12-01,3998000
1977-01-01,4005400
1977-02-01,4024400
1977-03-01,4018500
1977-04-01,4046000
1977-05-01,4049500
1977-06-01,4050700
1977-07-01,4062600
1977-08-01,4071500
1977-09-01,4091600
1977-10-01,4115800
1977-11-01,4119900
1977-12-01,4140100
1978-01-01,4145800
1978-02-01,4171700
1978-03-01,4201100
1978-04-01,4214900
1978-05-01,4240200
1978-06-01,4259100
1978-07-01,4295300
1978-08-01,4311400
1978-09-01,4337700
1978-10-01,4354900
1978-11-01,4383100
1978-12-01,4406600
1979-01-01,4418700
1979-02-01,4429400
1979-03-01,4437500
1979-04-01,4444900
1979-05-01,4438900
1979-06-01,4466700
1979-07-01,4495800
1979-08-01,4517700
1979-09-01,4511300
1979-10-01,4562300
1979-11-01,4575800
1979-12-01,4588200
1980-01-01,4621800
1980-02-01,4627600
1980-03-01,4646000
1980-04-01,4677200
1980-05-01,4673400
1980-06-01,4686300
1980-07-01,4692900
1980-08-01,4708400
1980-09-01,4732100
1980-10-01,4755400
1980-11-01,4743200
1980-12-01,4760300
1981-01-01,4793700
1981-02-01,4855200
1981-03-01,4847100
1981-04-01,4849500
1981-05-01,4905600
1981-06-01,4943200
1981-07-01,4919600
1981-08-01,4930300
1981-09-01,4995200
1981-10-01,4992400
1981-11-01,4996400
1981-12-01,4977900
1982-01-01,4967100
1982-02-01,4975200
1982-03-01,4984400
1982-04-01,4984400
1982-05-01,4992400
1982-06-01,4992400
1982-07-01,5020700
1982-08-01,5005400
1982-09-01,5007800
1982-10-01,5035400
1982-11-01,5051100
1982-12-01,5077100
1983-01-01,5084500
1983-02-01,5089800
1983-03-01,5120300
1983-04-01,5136200
1983-05-01,5146900
1983-06-01,5173700
1983-07-01,5175900
1983-08-01,5189500
1983-09-01,5203200
1983-10-01,5209200
1983-11-01,5198600
1983-12-01,5231700
1984-01-01,5217200
1984-02-01,5243700
1984-03-01,5247700
1984-04-01,5239900
1984-05-01,5296100
1984-06-01,5285200
1984-07-01,5302500
1984-08-01,5309800
1984-09-01,5381700
1984-10-01,5358200
1984-11-01,5379500
1984-12-01,5386900
1985-01-01,5370100
1985-02-01,5413700
1985-03-01,5433500
1985-04-01,5454100
1985-05-01,5460700
1985-06-01,5467300
1985-07-01,5480500
1985-08-01,5503300
1985-09-01,5534100
1985-10-01,5545300
1985-11-01,5568400
1985-12-01,5586900
1986-01-01,5596000
1986-02-01,5606800
1986-03-01,5611200
1986-04-01,5636800
1986-05-01,5620000
1986-06-01,5647700
1986-07-01,5658400
1986-08-01,5659400
1986-09-01,5655900
1986-10-01,5668700
1986-11-01,5664800
1986-12-01,5679400
1987-01-01,5704600
1987-02-01,5722300
1987-03-01,5753900
1987-04-01,5766100
1987-05-01,5777000
1987-06-01,5790600
1987-07-01,5798900
1987-08-01,5803300
1987-09-01,5823400
1987-10-01,5849600
1987-11-01,5861900
1987-12-01,5899200
1988-01-01,5889300
1988-02-01,5907400
1988-03-01,5920600
1988-04-01,5931500
1988-05-01,5951000
1988-06-01,5956200
1988-07-01,5982600
1988-08-01,5996700
1988-09-01,6010300
1988-10-01,6033300
1988-11-01,6041700
1988-12-01,6047500
1989-01-01,6074600
1989-02-01,6074800
1989-03-01,6099100
1989-04-01,6110800
1989-05-01,6098100
1989-06-01,6086900
1989-07-01,6093200
1989-08-01,6122900
1989-09-01,6139900
1989-10-01,6144200
1989-11-01,6167400
1989-12-01,6207800
1990-01-01,6211000
1990-02-01,6233700
1990-03-01,6197600
1990-04-01,6233600
1990-05-01,6239000
1990-06-01,6261200
1990-07-01,6266500
1990-08-01,6270200
1990-09-01,6291800
1990-10-01,6301600
1990-11-01,6297400
