"Date","LFINTTTTCAM647N"
1976-01-01,6765300
1976-02-01,6759300
1976-03-01,6725700
1976-04-01,6693200
1976-05-01,6526800
1976-06-01,6307500
1976-07-01,6077900
1976-08-01,6202700
1976-09-01,6621900
1976-10-01,6656300
1976-11-01,6704000
1976-12-01,6760600
1977-01-01,6890600
1977-02-01,6836300
1977-03-01,6798900
1977-04-01,6787600
1977-05-01,6565300
1977-06-01,6416500
1977-07-01,6192900
1977-08-01,6270300
1977-09-01,6696600
1977-10-01,6716200
1977-11-01,6779100
1977-12-01,6852900
1978-01-01,7008100
1978-02-01,6917300
1978-03-01,6794400
1978-04-01,6816600
1978-05-01,6567800
1978-06-01,6372500
1978-07-01,6126700
1978-08-01,6184600
1978-09-01,6621800
1978-10-01,6633400
1978-11-01,6684600
1978-12-01,6763700
1979-01-01,6866500
1979-02-01,6842300
1979-03-01,6738200
1979-04-01,6727200
1979-05-01,6518800
1979-06-01,6348100
1979-07-01,6123100
1979-08-01,6166900
1979-09-01,6628700
1979-10-01,6590100
1979-11-01,6665300
1979-12-01,6776900
1980-01-01,6837600
1980-02-01,6826200
1980-03-01,6745800
1980-04-01,6735600
1980-05-01,6557400
1980-06-01,6284200
1980-07-01,6186900
1980-08-01,6219200
1980-09-01,6641400
1980-10-01,6654900
1980-11-01,6725400
1980-12-01,6835600
1981-01-01,6892600
1981-02-01,6811900
1981-03-01,6722800
1981-04-01,6758800
1981-05-01,6486300
1981-06-01,6208300
1981-07-01,6128800
1981-08-01,6191800
1981-09-01,6559500
1981-10-01,6611100
1981-11-01,6717100
1981-12-01,6853300
1982-01-01,7031500
1982-02-01,7016800
1982-03-01,6886400
1982-04-01,6934000
1982-05-01,6703900
1982-06-01,6491900
1982-07-01,6313800
1982-08-01,6467500
1982-09-01,6892500
1982-10-01,6874200
1982-11-01,6969300
1982-12-01,7037500
1983-01-01,7164000
1983-02-01,7111800
1983-03-01,6947000
1983-04-01,6962600
1983-05-01,6698200
1983-06-01,6483300
1983-07-01,6346000
1983-08-01,6418000
1983-09-01,6846100
1983-10-01,6902200
1983-11-01,6992800
1983-12-01,7056400
1984-01-01,7226300
1984-02-01,7132100
1984-03-01,7014800
1984-04-01,7027500
1984-05-01,6713800
1984-06-01,6559000
1984-07-01,6388800
1984-08-01,6460400
1984-09-01,6804900
1984-10-01,6870000
1984-11-01,6941600
1984-12-01,7060400
1985-01-01,7153000
1985-02-01,7110300
1985-03-01,6940900
1985-04-01,6953200
1985-05-01,6711700
1985-06-01,6551500
1985-07-01,6369300
1985-08-01,6426500
1985-09-01,6870500
1985-10-01,6855400
1985-11-01,6880400
1985-12-01,6978400
1986-01-01,7066600
1986-02-01,7030700
1986-03-01,6933400
1986-04-01,6900500
1986-05-01,6714700
1986-06-01,6471600
1986-07-01,6370000
1986-08-01,6434900
1986-09-01,6879900
1986-10-01,6898100
1986-11-01,6966500
1986-12-01,7058700
1987-01-01,7148400
1987-02-01,7096900
1987-03-01,6967700
1987-04-01,6979100
1987-05-01,6721000
1987-06-01,6504900
1987-07-01,6384100
1987-08-01,6440200
1987-09-01,6863300
1987-10-01,6846100
1987-11-01,6930300
1987-12-01,6983500
1988-01-01,7111900
1988-02-01,7065100
1988-03-01,6971000
1988-04-01,6999500
1988-05-01,6697700
1988-06-01,6569400
1988-07-01,6380900
1988-08-01,6446200
1988-09-01,6874500
1988-10-01,6877700
1988-11-01,6961100
1988-12-01,7041700
1989-01-01,7070300
1989-02-01,7048500
1989-03-01,6941000
1989-04-01,6972000
1989-05-01,6701900
1989-06-01,6570800
1989-07-01,6416900
1989-08-01,6463300
1989-09-01,6911300
1989-10-01,6933800
1989-11-01,6992800
1989-12-01,7075600
1990-01-01,7139200
1990-02-01,7124800
1990-03-01,7141100
1990-04-01,7106400
1990-05-01,6855700
1990-06-01,6707300
1990-07-01,6536100
1990-08-01,6589900
1990-09-01,7005600
1990-10-01,7019500
1990-11-01,7146100
1990-12-01,7269000
1991-01-01,7388900
1991-02-01,7356200
1991-03-01,7276100
1991-04-01,7323400
1991-05-01,7050400
1991-06-01,6878700
1991-07-01,6716500
1991-08-01,6790700
1991-09-01,7293200
1991-10-01,7293700
1991-11-01,7428300
1991-12-01,7567900
1992-01-01,7707800
1992-02-01,7674400
1992-03-01,7577500
1992-04-01,7681000
1992-05-01,7385800
1992-06-01,7154000
1992-07-01,7019200
1992-08-01,7107300
1992-09-01,7576400
1992-10-01,7603900
1992-11-01,7584200
1992-12-01,7737000
1993-01-01,7929400
1993-02-01,7902200
1993-03-01,7767800
1993-04-01,7810400
1993-05-01,7531500
1993-06-01,7309600
1993-07-01,7160600
1993-08-01,7299200
1993-09-01,7707800
1993-10-01,7768000
1993-11-01,7798900
1993-12-01,7908800
1994-01-01,8055000
1994-02-01,8007900
1994-03-01,7984400
1994-04-01,7973700
1994-05-01,7639700
1994-06-01,7509600
1994-07-01,7339500
1994-08-01,7401200
1994-09-01,7810000
1994-10-01,7869000
1994-11-01,7911100
1994-12-01,8027400
1995-01-01,8120900
1995-02-01,8141500
1995-03-01,8038400
1995-04-01,8148300
1995-05-01,7839000
1995-06-01,7677700
1995-07-01,7494900
1995-08-01,7596600
1995-09-01,8060500
1995-10-01,8073800
1995-11-01,8214700
1995-12-01,8243300
1996-01-01,8324700
1996-02-01,8285000
1996-03-01,8274600
1996-04-01,8298900
1996-05-01,8011300
1996-06-01,7807900
1996-07-01,7637200
1996-08-01,7736600
1996-09-01,8152500
1996-10-01,8189200
1996-11-01,8257800
1996-12-01,8355900
1997-01-01,8454900
1997-02-01,8408700
1997-03-01,8393300
1997-04-01,8373800
1997-05-01,8040500
1997-06-01,7839300
1997-07-01,7735000
1997-08-01,7742300
1997-09-01,8166800
1997-10-01,8185800
1997-11-01,8253600
1997-12-01,8398900
1998-01-01,8502400
1998-02-01,8452000
1998-03-01,8435300
1998-04-01,8390100
1998-05-01,8097100
1998-06-01,7916800
1998-07-01,7757400
1998-08-01,7813800
1998-09-01,8185400
1998-10-01,8234700
1998-11-01,8273400
1998-12-01,8352400
1999-01-01,8468200
1999-02-01,8431400
1999-03-01,8419400
1999-04-01,8289700
1999-05-01,8015100
1999-06-01,7925300
1999-07-01,7740400
1999-08-01,7822000
1999-09-01,8224300
1999-10-01,8266900
1999-11-01,8354000
1999-12-01,8416100
2000-01-01,8551900
2000-02-01,8467000
2000-03-01,8440200
2000-04-01,8410500
2000-05-01,8098900
2000-06-01,8001100
2000-07-01,7845700
2000-08-01,7859100
2000-09-01,8273600
2000-10-01,8279100
2000-11-01,8333600
2000-12-01,8412600
2001-01-01,8547600
2001-02-01,8532500
2001-03-01,8488400
2001-04-01,8439900
2001-05-01,8147000
2001-06-01,8073900
2001-07-01,7947700
2001-08-01,7961800
2001-09-01,8405500
2001-10-01,8420100
2001-11-01,8449100
2001-12-01,8490100
2002-01-01,8545700
2002-02-01,8541300
2002-03-01,8461300
2002-04-01,8426100
2002-05-01,8066200
2002-06-01,7972200
2002-07-01,7786000
2002-08-01,7766000
2002-09-01,8193600
2002-10-01,8221600
2002-11-01,8237000
2002-12-01,8277600
2003-01-01,8417600
2003-02-01,8346300
2003-03-01,8338200
2003-04-01,8303700
2003-05-01,7972600
2003-06-01,7858400
2003-07-01,7732100
2003-08-01,7741500
2003-09-01,8171200
2003-10-01,8204500
2003-11-01,8232400
2003-12-01,8310700
2004-01-01,8469800
2004-02-01,8457500
2004-03-01,8445000
2004-04-01,8399000
