"Date","COCANZ325"
2012-06-01,100
2012-07-01,93.8
2012-08-01,96.6
2012-09-01,97.8
2012-10-01,97.1
2012-11-01,96.8
2012-12-01,97.8
2013-01-01,99.2
2013-02-01,100.6
2013-03-01,101.5
2013-04-01,100.7
2013-05-01,98.5
2013-06-01,99.8
2013-07-01,96.8
2013-08-01,95.7
2013-09-01,95.8
2013-10-01,96
2013-11-01,96.1
2013-12-01,96.2
2014-01-01,101
2014-02-01,99.6
2014-03-01,102.6
2014-04-01,101.3
2014-05-01,100.9
2014-06-01,100.8
2014-07-01,100.9
2014-08-01,101.9
2014-09-01,100.3
2014-10-01,105.2
2014-11-01,105.8
2014-12-01,102.8
2015-01-01,100.5
2015-02-01,99.2
2015-03-01,99.3
2015-04-01,99.4
2015-05-01,99.5
2015-06-01,99.8
2015-07-01,99.9
2015-08-01,96.6
2015-09-01,94.8
2015-10-01,91
2015-11-01,90.8
2015-12-01,90.3
2016-01-01,86.4
2016-02-01,84.4
2016-03-01,83.2
2016-04-01,82.4
2016-05-01,82.9
2016-06-01,84.5
2016-07-01,86.5
2016-08-01,83.9
2016-09-01,83.2
2016-10-01,83.2
2016-11-01,83.4
2016-12-01,82.8
2017-01-01,85
2017-02-01,88.6
2017-03-01,91
2017-04-01,90.4
2017-05-01,88.9
2017-06-01,86.7
2017-07-01,84.1
2017-08-01,83.6
2017-09-01,85.5
2017-10-01,86.3
2017-11-01,87.7
2017-12-01,85.7
2018-01-01,88
2018-02-01,88.7
2018-03-01,88.7
2018-04-01,88.3
2018-05-01,88.1
2018-06-01,89.6
2018-07-01,89.3
2018-08-01,90.1
2018-09-01,89.3
2018-10-01,92.3
2018-11-01,92.5
2018-12-01,88.8
2019-01-01,87
2019-02-01,87.2
2019-03-01,86
2019-04-01,85.2
2019-05-01,87.6
2019-06-01,86.5
2019-07-01,83.6
2019-08-01,82.8
2019-09-01,83
2019-10-01,81.6
2019-11-01,80.3
2019-12-01,80.1
2020-01-01,79.1
2020-02-01,79.2
2020-03-01,79.8
2020-04-01,79.7
2020-05-01,78.9
2020-06-01,78.3
2020-07-01,78.7
2020-08-01,78.6
2020-09-01,80.6
2020-10-01,82.5
2020-11-01,82.8
2020-12-01,83.9
2021-01-01,87.2
2021-02-01,89.9
2021-03-01,94.4
2021-04-01,99.1
2021-05-01,101.5
2021-06-01,105.8
2021-07-01,108.7
2021-08-01,109.7
2021-09-01,110.2
2021-10-01,119.7
2021-11-01,121
2021-12-01,121.5
2022-01-01,131.1
2022-02-01,133.9
2022-03-01,136.9
2022-04-01,139
2022-05-01,142.3
2022-06-01,147
2022-07-01,149.6
2022-08-01,144.2
2022-09-01,140.1
2022-10-01,135.8
2022-11-01,128.1
2022-12-01,123.7
2023-01-01,122.7
2023-02-01,112.1
2023-03-01,113.2
2023-04-01,110.8
2023-05-01,111.4
2023-06-01,111.8
2023-07-01,113.6
2023-08-01,101.3
2023-09-01,100.4
2023-10-01,102.5
2023-11-01,104.3
