"Date","LFHUADTTCAM647S"
1976-01-01,383200
1976-02-01,381900
1976-03-01,352000
1976-04-01,370100
1976-05-01,370900
1976-06-01,366100
1976-07-01,393900
1976-08-01,387000
1976-09-01,389600
1976-10-01,418000
1976-11-01,410500
1976-12-01,412800
1977-01-01,431100
1977-02-01,441600
1977-03-01,446900
1977-04-01,445900
1977-05-01,440300
1977-06-01,445400
1977-07-01,441900
1977-08-01,453100
1977-09-01,463500
1977-10-01,474300
1977-11-01,491600
1977-12-01,501200
1978-01-01,485200
1978-02-01,495900
1978-03-01,510800
1978-04-01,498400
1978-05-01,514200
1978-06-01,507000
1978-07-01,502500
1978-08-01,514000
1978-09-01,510400
1978-10-01,507600
1978-11-01,508700
1978-12-01,500300
1979-01-01,504300
1979-02-01,483900
1979-03-01,489500
1979-04-01,482500
1979-05-01,464600
1979-06-01,453500
1979-07-01,446200
1979-08-01,443500
1979-09-01,435000
1979-10-01,452300
1979-11-01,443200
1979-12-01,453800
1980-01-01,471600
1980-02-01,492900
1980-03-01,476900
1980-04-01,485000
1980-05-01,497600
1980-06-01,475400
1980-07-01,474900
1980-08-01,485100
1980-09-01,467500
1980-10-01,465700
1980-11-01,465700
1980-12-01,468900
1981-01-01,483600
1981-02-01,486000
1981-03-01,484100
1981-04-01,470700
1981-05-01,474200
1981-06-01,484200
1981-07-01,488100
1981-08-01,481800
1981-09-01,550400
1981-10-01,575000
1981-11-01,558400
1981-12-01,611300
1982-01-01,584200
1982-02-01,611100
1982-03-01,642700
1982-04-01,684100
1982-05-01,728200
1982-06-01,788600
1982-07-01,831100
1982-08-01,849400
1982-09-01,893200
1982-10-01,948300
1982-11-01,967000
1982-12-01,978300
1983-01-01,946800
1983-02-01,948000
1983-03-01,930700
1983-04-01,919200
1983-05-01,929700
1983-06-01,943000
1983-07-01,905400
1983-08-01,879700
1983-09-01,867300
1983-10-01,863600
1983-11-01,853400
1983-12-01,869000
1984-01-01,870000
1984-02-01,880000
1984-03-01,888200
1984-04-01,904400
1984-05-01,931500
1984-06-01,909000
1984-07-01,896700
1984-08-01,917600
1984-09-01,986500
1984-10-01,939900
1984-11-01,939300
1984-12-01,920700
1985-01-01,890600
1985-02-01,905200
1985-03-01,916700
1985-04-01,905000
1985-05-01,892400
1985-06-01,882800
1985-07-01,884600
1985-08-01,879300
1985-09-01,854600
1985-10-01,883600
1985-11-01,878400
1985-12-01,856700
1986-01-01,830300
1986-02-01,823600
1986-03-01,824900
1986-04-01,830500
1986-05-01,813500
1986-06-01,838900
1986-07-01,833800
1986-08-01,847600
1986-09-01,832400
1986-10-01,832800
1986-11-01,838300
1986-12-01,842400
1987-01-01,851500
1987-02-01,842100
1987-03-01,834800
1987-04-01,833100
1987-05-01,804300
1987-06-01,811500
1987-07-01,793400
1987-08-01,786800
1987-09-01,791800
1987-10-01,762900
1987-11-01,744600
1987-12-01,750800
1988-01-01,756900
1988-02-01,742400
1988-03-01,734100
1988-04-01,723200
1988-05-01,725200
1988-06-01,730600
1988-07-01,741800
1988-08-01,744800
1988-09-01,745300
1988-10-01,736500
