"Date","LRIN55FECAM156N"
1976-01-01,68.9176688251619
1976-02-01,68.7941809240856
1976-03-01,69.1137431080253
1976-04-01,68.644412782414
1976-05-01,68.5534591194968
1976-06-01,68.7999191183904
1976-07-01,68.4438621245717
1976-08-01,67.4402250351617
1976-09-01,66.9606172963223
1976-10-01,67.5129948020792
1976-11-01,68.3318376707548
1976-12-01,68.0159124813525
1977-01-01,68.2827681935356
1977-02-01,68.8779041028176
1977-03-01,68.8658777120316
1977-04-01,68.6307298839268
1977-05-01,68.7978034908806
1977-06-01,69.3142913039225
1977-07-01,69.0573770491803
1977-08-01,68.6612181358241
1977-09-01,67.9285575616385
1977-10-01,67.6350958744916
1977-11-01,68.2354078082721
1977-12-01,68.9911265432099
1978-01-01,69.7517798730036
1978-02-01,69.7312859884837
1978-03-01,69.7959574671903
1978-04-01,69.206500956023
1978-05-01,69.1940867906533
1978-06-01,68.9671584959543
1978-07-01,68.6935866983373
1978-08-01,68.3921122487675
1978-09-01,68.0987981451689
1978-10-01,68.203287360665
1978-11-01,68.1535269709544
1978-12-01,68.4240256072303
1979-01-01,67.8943906793197
1979-02-01,67.0604781997187
1979-03-01,66.4825390881004
1979-04-01,66.4704783258595
1979-05-01,66.8127973136834
1979-06-01,66.2910885557314
1979-07-01,67.1809647736779
1979-08-01,67.7212840972351
1979-09-01,66.9538632573652
1979-10-01,66.9533055940823
1979-11-01,67.0174466906674
1979-12-01,67.35182966172
1980-01-01,66.7923834053905
1980-02-01,67.1565025716385
1980-03-01,66.8928833455613
1980-04-01,67.4171700530844
1980-05-01,66.4595705801736
1980-06-01,67.3534506336038
1980-07-01,67.634477109311
1980-08-01,68.4291814299991
1980-09-01,68.1533859124286
1980-10-01,67.2488687782806
1980-11-01,67.6754901075075
1980-12-01,67.8178539224527
1981-01-01,68.7544996400288
1981-02-01,68.0377189043557
1981-03-01,67.7722994173017
1981-04-01,67.7705182135505
1981-05-01,67.271265189421
1981-06-01,67.362039761077
1981-07-01,67.880028479886
1981-08-01,67.4426870446063
1981-09-01,66.1376130519596
1981-10-01,67.2184844192635
1981-11-01,67.0083959346
1981-12-01,67.1785367575677
1982-01-01,67.1305266866303
1982-02-01,67.1120879120879
1982-03-01,67.219589257504
1982-04-01,66.8214880378582
1982-05-01,66.4946198932727
1982-06-01,67.4668296089386
1982-07-01,67.9508411052035
1982-08-01,67.5654518570062
1982-09-01,67.2106953728622
1982-10-01,67.0363951473137
1982-11-01,66.4446366782007
1982-12-01,67.2424216253563
1983-01-01,67.4422612892106
1983-02-01,67.4980648490582
1983-03-01,66.9728708791209
1983-04-01,66.7609496871518
1983-05-01,67.1884355487127
1983-06-01,67.4353061747374
1983-07-01,68.5341519570223
1983-08-01,67.9291854625926
1983-09-01,67.1539049885272
1983-10-01,66.629890520241
1983-11-01,67.1243325705568
1983-12-01,67.0249682606856
1984-01-01,67.0328741654694
1984-02-01,67.5976710826091
1984-03-01,66.4812473662031
1984-04-01,67.2670650618635
1984-05-01,67.75956284153
1984-06-01,68.0970775948942
1984-07-01,68.4281160879047
1984-08-01,68.6693480811128
1984-09-01,67.724380442063
1984-10-01,67.4723987955838
1984-11-01,67.4105650284186
1984-12-01,67.4741062479118
1985-01-01,67.2621035058431
1985-02-01,66.2745098039216
1985-03-01,66.0690460306871
1985-04-01,65.5804650387532
1985-05-01,66.4501082791937
1985-06-01,66.6167166167166
1985-07-01,67.1963394342762
1985-08-01,67.4954265757525
1985-09-01,67.0793518903199
1985-10-01,66.7967776762727
1985-11-01,66.2792628258343
1985-12-01,66.5919840677122
1986-01-01,67.6038815625778
1986-02-01,67.1669015836166
1986-03-01,66.7550766680481
1986-04-01,67.1333885666943
1986-05-01,66.360248447205
1986-06-01,67.1219269927986
1986-07-01,67.4197285666998
1986-08-01,67.6565472743817
1986-09-01,67.1738051926575
1986-10-01,67.0248822021989
1986-11-01,66.9586776859504
1986-12-01,66.9724012559908
1987-01-01,66.9915744259045
1987-02-01,66.5428123193791
1987-03-01,66.1878817896648
1987-04-01,64.8980939021372
1987-05-01,65.2837347410096
1987-06-01,66.400131893496
1987-07-01,66.3864853728883
1987-08-01,66.4936562860438
1987-09-01,65.1651157045211
1987-10-01,65.1626183614656
1987-11-01,65.8161165528027
1987-12-01,65.0839368005266
1988-01-01,65.3776534474247
1988-02-01,65.3944229661923
1988-03-01,65.6851455831551
1988-04-01,65.3235753638681
1988-05-01,64.8770862451698
1988-06-01,65.9926017262639
1988-07-01,66.4364981504316
1988-08-01,66.0637948043407
1988-09-01,64.32916803683
1988-10-01,65.4250945568163
1988-11-01,66.2197729889784
1988-12-01,65.8193484698914
1989-01-01,65.9478146349494
1989-02-01,65.7389872375463
1989-03-01,66.1340800527096
1989-04-01,65.8044319960458
1989-05-01,66.3233355306526
1989-06-01,66.0596572181938
1989-07-01,67.1996044173397
1989-08-01,67.4744477415101
1989-09-01,65.8972879399885
1989-10-01,65.7102811443647
1989-11-01,65.5644429784778
1989-12-01,65.6577319587629
1990-01-01,65.3303637713437
1990-02-01,66.4219123834667
1990-03-01,65.7260726072607
1990-04-01,64.9476029375361
1990-05-01,64.9946374061546
1990-06-01,65.0688887055524
1990-07-01,65.4651930056087
1990-08-01,64.8552816030346
1990-09-01,64.4600164880462
1990-10-01,64.4411473788328
1990-11-01,65.0045330915684
1990-12-01,64.7218788627936
1991-01-01,65.7547791694133
1991-02-01,65.3044409656423
1991-03-01,64.6787479406919
1991-04-01,64.6545334760768
1991-05-01,65.0749217849498
1991-06-01,64.30981973825
