"Date","M10006M144NNBR"
1906-01-01,122.1
1906-02-01,277.4
1906-03-01,96.2
1906-04-01,100.4
1906-05-01,127.6
1906-06-01,103.5
1906-07-01,87.4
1906-08-01,67
1906-09-01,46
1906-10-01,37.7
1906-11-01,53.6
1906-12-01,335
1907-01-01,191.7
1907-02-01,138.5
1907-03-01,70
1907-04-01,207.4
1907-05-01,52
1907-06-01,140.1
1907-07-01,99
1907-08-01,63
1907-09-01,64
1907-10-01,93.9
1907-11-01,63.9
1907-12-01,210.5
1908-01-01,158.5
1908-02-01,79.3
1908-03-01,77.6
1908-04-01,239.7
1908-05-01,164.5
1908-06-01,116.5
1908-07-01,81.7
1908-08-01,102.2
1908-09-01,53.3
1908-10-01,92.8
1908-11-01,203.2
1908-12-01,53.9
1909-01-01,144.7
1909-02-01,142.5
1909-03-01,75.2
1909-04-01,190.5
1909-05-01,168
1909-06-01,139.6
1909-07-01,121.5
1909-08-01,83
1909-09-01,150.8
1909-10-01,107.6
1909-11-01,73.4
1909-12-01,284.9
1910-01-01,156.1
1910-02-01,96.8
1910-03-01,378.4
1910-04-01,92.7
1910-05-01,193.3
1910-06-01,131.1
1910-07-01,60.2
1910-08-01,63.5
1910-09-01,62.5
1910-10-01,56.1
1910-11-01,111
1910-12-01,116.6
1911-01-01,225.2
1911-02-01,216
1911-03-01,216.4
1911-04-01,179.1
1911-05-01,154.4
1911-06-01,238.4
1911-07-01,129.9
1911-08-01,51.5
1911-09-01,37.5
1911-10-01,68.4
1911-11-01,113.2
1911-12-01,109.5
1912-01-01,340.9
1912-02-01,239.7
1912-03-01,170.3
1912-04-01,268.1
1912-05-01,188.8
1912-06-01,299.3
1912-07-01,34.6
1912-08-01,143.7
1912-09-01,61.8
1912-10-01,203.8
1912-11-01,140.1
1912-12-01,162.5
1913-01-01,149.9
1913-02-01,343.3
1913-03-01,118.4
1913-04-01,193.7
1913-05-01,141.7
1913-06-01,180.4
1913-07-01,99.3
1913-08-01,71.5
1913-09-01,78.8
1913-10-01,108.7
1913-11-01,87
1913-12-01,73.1
1914-01-01,130.2
1914-02-01,176.1
1914-03-01,133.2
1914-04-01,292.3
1914-05-01,162.6
1914-06-01,187.8
1914-07-01,94.8
1914-08-01,30.1
1914-09-01,27.6
1914-10-01,91.4
1914-11-01,27.8
1914-12-01,82.6
1915-01-01,127.6
1915-02-01,264.2
1915-03-01,57.3
1915-04-01,153.6
1915-05-01,98.3
1915-06-01,67.1
1915-07-01,65.1
1915-08-01,68.5
1915-09-01,71.8
1915-10-01,121.4
1915-11-01,229.9
1915-12-01,110.6
1916-01-01,192.8
1916-02-01,303.6
1916-03-01,274.6
1916-04-01,221.6
1916-05-01,191.9
1916-06-01,150.1
1916-07-01,136.3
1916-08-01,146.3
1916-09-01,95.6
1916-10-01,111
1916-11-01,249.9
1916-12-01,112.8
1917-01-01,182.6
1917-02-01,213.9
1917-03-01,312.1
1917-04-01,130.1
1917-05-01,48.3
1917-06-01,59.6
1917-07-01,135.3
1917-08-01,185.9
1917-09-01,80.8
1917-10-01,49.2
1917-11-01,90.5
1917-12-01,41.5
1918-01-01,164.7
1918-02-01,69.9
1918-03-01,74.9
1918-04-01,23.9
1918-05-01,102.3
1918-06-01,253.8
1918-07-01,165.6
1918-08-01,89.5
1918-09-01,59.7
1918-10-01,76.3
1918-11-01,89.8
1918-12-01,174.6
1919-01-01,242.5
1919-02-01,187.6
1919-03-01,153.1
1919-04-01,67.7
1919-05-01,209.9
1919-06-01,322.1
1919-07-01,370.9
1919-08-01,220.2
1919-09-01,379.6
1919-10-01,390.7
1919-11-01,253.7
1919-12-01,223.2
1920-01-01,338.4
1920-02-01,202.5
1920-03-01,275.8
1920-04-01,471.7
1920-05-01,245.1
1920-06-01,266.4
1920-07-01,240.9
1920-08-01,168.1
1920-09-01,145
1920-10-01,338.8
1920-11-01,176.7
1920-12-01,237.2
1921-01-01,257.4
1921-02-01,298.7
1921-03-01,138.7
1921-04-01,390.7
1921-05-01,177.6
1921-06-01,179.1
1921-07-01,170.5
1921-08-01,138.9
1921-09-01,205.8
1921-10-01,103.1
1921-11-01,255.9
1921-12-01,318.3
1922-01-01,209.7
1922-02-01,202.7
1922-03-01,283.7
1922-04-01,445.2
1922-05-01,400.7
1922-06-01,329.3
1922-07-01,233
1922-08-01,222.6
1922-09-01,276.3
1922-10-01,170.6
1922-11-01,216.9
1922-12-01,433.2
1923-01-01,632.8
1923-02-01,237.6
1923-03-01,313.9
1923-04-01,274.4
1923-05-01,348.2
1923-06-01,326.7
1923-07-01,237.3
1923-08-01,137.4
1923-09-01,205.5
1923-10-01,246.4
1923-11-01,374.9
1923-12-01,266.3
1924-01-01,250.9
1924-02-01,254.9
1924-03-01,287.3
1924-04-01,265.9
1924-05-01,181.2
1924-06-01,290.1
1924-07-01,275.8
1924-08-01,272.2
1924-09-01,279.3
1924-10-01,384
1924-11-01,197.5
1924-12-01,310
1925-01-01,473.3
1925-02-01,383.6
1925-03-01,324.3
1925-04-01,355.6
1925-05-01,247.5
1925-06-01,208
1925-07-01,321.1
1925-08-01,191.1
1925-09-01,234.1
1925-10-01,278.1
1925-11-01,251.4
1925-12-01,374
1926-01-01,546.9
1926-02-01,351.7
1926-03-01,301.1
1926-04-01,438.3
1926-05-01,253.7
1926-06-01,278.3
1926-07-01,269.1
1926-08-01,154.5
1926-09-01,277.2
1926-10-01,244.8
1926-11-01,271.6
1926-12-01,302.1
1927-01-01,385.4
1927-02-01,583.8
1927-03-01,425.1
1927-04-01,456.1
1927-05-01,644.9
1927-06-01,548.6
1927-07-01,340.1
1927-08-01,287.5
1927-09-01,380.1
1927-10-01,651.1
1927-11-01,551.9
1927-12-01,715.7
1928-01-01,619.5
1928-02-01,598
1928-03-01,627.2
1928-04-01,819.2
1928-05-01,675.7
1928-06-01,655.6
1928-07-01,497.4
1928-08-01,253.2
1928-09-01,356.3
1928-10-01,632.6
1928-11-01,675
1928-12-01,833.5
1929-01-01,608.7
1929-02-01,908.3
1929-03-01,874.5
1929-04-01,470.3
1929-05-01,520.1
1929-06-01,680.4
1929-07-01,705.1
1929-08-01,565.8
1929-09-01,599
1929-10-01,812.4
1929-11-01,236.8
1929-12-01,243.9
1930-01-01,771.8
1930-02-01,242.3
1930-03-01,762.6
1930-04-01,641.8
1930-05-01,524.3
1930-06-01,571.7
1930-07-01,569
1930-08-01,391.7
1930-09-01,319.3
1930-10-01,170.2
1930-11-01,134.6
1930-12-01,120.6
1931-01-01,580.7
1931-02-01,111.2
1931-03-01,431.3
1931-04-01,372.6
1931-05-01,205.1
1931-06-01,231.3
1931-07-01,143.2
1931-08-01,43.7
1931-09-01,65.7
1931-10-01,13.7
1931-11-01,40
1931-12-01,23.1
1932-01-01,47.2
1932-02-01,47.7
1932-03-01,77.7
1932-04-01,72.7
1932-05-01,1
1932-06-01,40.9
1932-07-01,110.3
1932-08-01,101
1932-09-01,8.7
1932-10-01,73.3
1932-11-01,39
1932-12-01,13
1933-01-01,65.2
1933-02-01,0.2
1933-03-01,4.6
1933-04-01,29.5
1933-05-01,1.5
1933-06-01,0.8
1933-07-01,53.2
1933-08-01,0.5
1933-09-01,39.6
1933-10-01,1.4
1933-11-01,10.6
1933-12-01,22.5
1934-01-01,30.7
1934-02-01,0.4
1934-03-01,41.7
1934-04-01,20.7
1934-05-01,34.4
1934-06-01,179
1934-07-01,236.4
1934-08-01,28.1
1934-09-01,16.5
1934-10-01,53.9
1934-11-01,13.2
1934-12-01,40.6
1935-01-01,42.3
1935-02-01,5.5
1935-03-01,133.5
1935-04-01,277.1
1935-05-01,161
1935-06-01,358.5
1935-07-01,451
1935-08-01,131.3
1935-09-01,252.4
1935-10-01,282.3
1935-11-01,259.2
1935-12-01,252.7
1936-01-01,258.2
1936-02-01,140.4
1936-03-01,331.8
1936-04-01,783.5
1936-05-01,192.5
1936-06-01,547.6
1936-07-01,483.9
1936-08-01,246.1
1936-09-01,190.3
1936-10-01,355.4
1936-11-01,217.5
1936-12-01,462.8
1937-01-01,258.5
1937-02-01,209.4
1937-03-01,233.7
1937-04-01,88.8
1937-05-01,116.9
1937-06-01,287.6
1937-07-01,140.8
1937-08-01,45.9
1937-09-01,34.1
1937-10-01,154.8
1937-11-01,27.8
1937-12-01,27
1938-01-01,48.9
1938-02-01,70
1938-03-01,61
1938-04-01,60
1938-05-01,42.3
1938-06-01,243.5
1938-07-01,132.2
1938-08-01,230.9
1938-09-01,85.3
1938-10-01,356.1
1938-11-01,66.3
1938-12-01,193.3
1939-01-01,15.5
1939-02-01,129.3
1939-03-01,59
1939-04-01,213.9
1939-05-01,24.8
1939-06-01,225.1
1939-07-01,211.9
1939-08-01,239.2
1939-09-01,14
