"Date","CANLOCOMAORSTSAM"
1976-03-01,139806532679.739
1976-04-01,138538966340.934
1976-05-01,138367267529.666
1976-06-01,139137870310.825
1976-07-01,137120628328.008
1976-08-01,138119413205.538
1976-09-01,138206782010.582
1976-10-01,137302873817.035
1976-11-01,137312893081.761
1976-12-01,138088597701.149
1977-01-01,138158129399.586
1977-02-01,137461556584.362
1977-03-01,139022678861.789
1977-04-01,138893492929.293
1977-05-01,138635973053.892
1977-06-01,140228310447.761
1977-07-01,138107007866.273
1977-08-01,139656422812.193
1977-09-01,138468374269.006
1977-10-01,138474939130.435
1977-11-01,139602668587.896
1977-12-01,140209755491.882
1978-01-01,140644053181.386
1978-02-01,139734605461.394
1978-03-01,141747576097.106
1978-04-01,140103643389.199
1978-05-01,139707982552.801
1978-06-01,138887897085.61
1978-07-01,138141887690.925
1978-08-01,139015791218.638
1978-09-01,140465119496.855
1978-10-01,139445498226.95
1978-11-01,143201142857.143
1978-12-01,139540584872.471
1979-01-01,139166860017.498
1979-02-01,136423127806.563
1979-03-01,135238105982.906
1979-04-01,135793473282.443
1979-05-01,136688811922.754
1979-06-01,137113888888.889
1979-07-01,137696347429.519
1979-08-01,137587074441.687
1979-09-01,136489866502.866
1979-10-01,136151776422.764
1979-11-01,133653177133.655
1979-12-01,132718536858.974
1980-01-01,133627754385.965
1980-02-01,131680199369.582
1980-03-01,135141112676.056
1980-04-01,133316888888.889
1980-05-01,130480317972.35
1980-06-01,130646207289.294
1980-07-01,132161944193.062
1980-08-01,131892659955.257
1980-09-01,133522208148.148
1980-10-01,135312033039.648
1980-11-01,135607928985.507
1980-12-01,136226278499.278
1981-01-01,130951972281.45
1981-02-01,129276902250.352
1981-03-01,129875857638.889
1981-04-01,130266710835.059
1981-05-01,128676977412.731
1981-06-01,125597600673.401
1981-07-01,125757553106.212
1981-08-01,125220480450.63
1981-09-01,123159102564.103
1981-10-01,120490477864.583
1981-11-01,117704547157.623
1981-12-01,118730772844.273
1982-01-01,118136162835.249
1982-02-01,117364215277.778
1982-03-01,116954697196.262
1982-04-01,117749345724.907
1982-05-01,117734867889.908
1982-06-01,118368546279.492
1982-07-01,115614309265.945
1982-08-01,115232576139.089
1982-09-01,115961330948.122
1982-10-01,115949004736.53
1982-11-01,117771848645.465
1982-12-01,120292001177.856
1983-01-01,122462770501.475
1983-02-01,122927875000
1983-03-01,124348442508.711
1983-04-01,124875436120.79
1983-05-01,125875502608.696
1983-06-01,126671231210.556
1983-07-01,126388953196.347
1983-08-01,128086760363.43
1983-09-01,128852197614.991
1983-10-01,128085038353.074
1983-11-01,130008166384.659
1983-12-01,130573185810.811
1984-01-01,128422694630.872
1984-02-01,127318882582.081
1984-03-01,128437743888.889
1984-04-01,128509317829.457
1984-05-01,130044096345.515
1984-06-01,130752138613.861
1984-07-01,132230941337.719
1984-08-01,133494526315.789
1984-09-01,135247602079.912
1984-10-01,137595159847.245
1984-11-01,138258623235.613
1984-12-01,142084482084.691
1985-01-01,144487029713.668
1985-02-01,145162387546.967
1985-03-01,149371049839.228
1985-04-01,150201219733.333
1985-05-01,154326551834.131
1985-06-01,156193311640.212
1985-07-01,158636220642.443
1985-08-01,161885364928.91
1985-09-01,165395084121.977
1985-10-01,169621223794.549
1985-11-01,172053298328.109
1985-12-01,172703277171.087
1986-01-01,174998069875.776
1986-02-01,174006670273.055
1986-03-01,175416719568.567
1986-04-01,178143070878.274
1986-05-01,179647137314.957
1986-06-01,181501244648.318
1986-07-01,182622832068.791
1986-08-01,183567690909.091
1986-09-01,185230316666.667
1986-10-01,186481878012.048
1986-11-01,187595709145.427
1986-12-01,190471465069.86
1987-01-01,190877645771.144
1987-02-01,194145368003.962
1987-03-01,197712133827.16
1987-04-01,200512169857.634
1987-05-01,200177321132.26
1987-06-01,199910664233.577
1987-07-01,199183602805.999
1987-08-01,198832564734.299
1987-09-01,199267293719.807
1987-10-01,197473263969.171
1987-11-01,192120915587.53
1987-12-01,192875961685.824
1988-01-01,191999999043.52
1988-02-01,190640137619.048
1988-03-01,193242490056.818
1988-04-01,192666377242.682
1988-05-01,191491801408.451
1988-06-01,195106427434.457
1988-07-01,195103577281.192
1988-08-01,197881775918.178
1988-09-01,197116125348.189
1988-10-01,194379754385.965
1988-11-01,198826955278.93
1988-12-01,198959999077.916
1989-01-01,197699918844.567
1989-02-01,195796212659.381
1989-03-01,198382932065.217
1989-04-01,195320835591.689
1989-05-01,195218055406.613
1989-06-01,194826486426.346
1989-07-01,194776699823.165
1989-08-01,196407997350.993
1989-09-01,198304519400.353
1989-10-01,199370014492.754
1989-11-01,202373613666.229
1989-12-01,203614332895.313
1990-01-01,201604033463.711
1990-02-01,200986882987.91
1990-03-01,201466370322.581
1990-04-01,201267129892.473
1990-05-01,201292991442.02
1990-06-01,199106199062.234
1990-07-01,196471774522.293
1990-08-01,196508437234.945
1990-09-01,195392913282.572
1990-10-01,195391868763.103
1990-11-01,195809707916.667
1990-12-01,198188509803.922
1991-01-01,195315519105.691
1991-02-01,195352563008.13
1991-03-01,196536656946.132
1991-04-01,197073373430.539
1991-05-01,197953633615.478
1991-06-01,196115887685.519
1991-07-01,198003814102.564
1991-08-01,197413611844.738
1991-09-01,196891127557.16
1991-10-01,196571757429.719
1991-11-01,198069995998.399
1991-12-01,200256253317.25
1992-01-01,199627388955.582
1992-02-01,200365821128.451
1992-03-01,200615736443.381
1992-04-01,200862963361.211
1992-05-01,201239489657.916
1992-06-01,200133541666.667
1992-07-01,201600256927.949
1992-08-01,202929056611.243
1992-09-01,205980485748.218
1992-10-01,206048431395.809
1992-11-01,205247201101.928
1992-12-01,204108549390.004
1993-01-01,203062070980.392
1993-02-01,202043726455.647
1993-03-01,202077350156.494
1993-04-01,202240757824.726
1993-05-01,205140261124.122
1993-06-01,209659017174.083
1993-07-01,209152895249.221
1993-08-01,211193541034.617
1993-09-01,214693692726.566
1993-10-01,214357373302.289
1993-11-01,215060672074.16
1993-12-01,217916636082.075
1994-01-01,220240699961.285
1994-02-01,225472440281.03
1994-03-01,226865562841.53
1994-04-01,228190511319.282
1994-05-01,228631096244.131
1994-06-01,227857051131.928
1994-07-01,227895319719.953
1994-08-01,226365515928.516
1994-09-01,225067653861.079
1994-10-01,226681343057.176
1994-11-01,224451740912.606
1994-12-01,224458577056.779
1995-01-01,225078209391.84
1995-02-01,222579849042.146
1995-03-01,221873398700.306
1995-04-01,221388966857.143
1995-05-01,218663038768.529
1995-06-01,220293829342.455
1995-07-01,221022261281.76
1995-08-01,222695276700.874
1995-09-01,224270943811.693
1995-10-01,225890471683.77
1995-11-01,225502967045.455
1995-12-01,226545684130.6
1996-01-01,226574468939.394
1996-02-01,229222146046.16
1996-03-01,232479369491.525
1996-04-01,232377541525.742
1996-05-01,235048520973.783
1996-06-01,238020704494.382
1996-07-01,238023548689.139
1996-08-01,239670337453.184
1996-09-01,240630080808.081
1996-10-01,243730833146.696
1996-11-01,245742517279.822
1996-12-01,248304892604.98
1997-01-01,249413765665.554
1997-02-01,252246945246.023
1997-03-01,253544464523.282
1997-04-01,255744647819.66
1997-05-01,257405483942.414
1997-06-01,259142802578.269
1997-07-01,260172118232.044
1997-08-01,262787883370.125
1997-09-01,262750164827.079
1997-10-01,264697559234.731
1997-11-01,268870954327.808
1997-12-01,270666456858.407
1998-01-01,271550245324.532
1998-02-01,270738617582.418
1998-03-01,271466744237.102
1998-04-01,271563387179.487
1998-05-01,272711657904.345
1998-06-01,272157106491.612
1998-07-01,274584583150.985
1998-08-01,276291986870.897
1998-09-01,278013675438.596
1998-10-01,277433856986.9
1998-11-01,277118822052.402
1998-12-01,277925428258.488
1999-01-01,280470350091.075
1999-02-01,281620505458.515
1999-03-01,280895456521.739
1999-04-01,282195776576.576
1999-05-01,284060929162.172
1999-06-01,282821322927.879
1999-07-01,284444648764.769
1999-08-01,286546662022.151
1999-09-01,286101516025.641
1999-10-01,286924066880.114
1999-11-01,288751843660.969
1999-12-01,291074967271.434
2000-01-01,293320618894.831
2000-02-01,298155289054.198
2000-03-01,300505047116.737
2000-04-01,306016770723.104
2000-05-01,304214786441.869
2000-06-01,304902413263.525
2000-07-01,306371923799.582
2000-08-01,307752735283.873
2000-09-01,309871023239.681
2000-10-01,311714116995.5
2000-11-01,312043172532.781
2000-12-01,316082907618.063
2001-01-01,317055414330.218
2001-02-01,319059138085.399
2001-03-01,320749391692.413
2001-04-01,320312021131.561
2001-05-01,323201974983.097
2001-06-01,321083091185.41
2001-07-01,324939336720.867
2001-08-01,325918170392.954
2001-09-01,333177122718.053
2001-10-01,336183515800.204
2001-11-01,345265272633.745
2001-12-01,350208927104.723
2002-01-01,352450559767.76
2002-02-01,351707113713.51
2002-03-01,351005583417.593
2002-04-01,349832810720.268
2002-05-01,349359545302.574
2002-06-01,350944408074.741
2002-07-01,351034224212.272
2002-08-01,352853817641.229
2002-09-01,354759216716.221
2002-10-01,355970000658.762
2002-11-01,354714617733.99
2002-12-01,354379155291.79
2003-01-01,352037738235.294
2003-02-01,348565584954.604
2003-03-01,347483811509.861
2003-04-01,348908703125
2003-05-01,351042837073.171
2003-06-01,353355611382.114
2003-07-01,359438230994.152
2003-08-01,361144268869.452
2003-09-01,362099744907.856
2003-10-01,362160420881.971
2003-11-01,362999583575.816
2003-12-01,364590490956.072
2004-01-01,368476857050.661
2004-02-01,371371057326.892
2004-03-01,372905111966.634
2004-04-01,376059840537.944
2004-05-01,378436744126.984
2004-06-01,379752986996.511
2004-07-01,380758338412.698
2004-08-01,381663715648.855
2004-09-01,381121162857.143
2004-10-01,381682717363.752
2004-11-01,380518608270.202
2004-12-01,386248083807.717
2005-01-01,389895047166.825
2005-02-01,391294560391.044
2005-03-01,390764760426.466
2005-04-01,392514578173.859
2005-05-01,395223692283.661
2005-06-01,395103483005.924
2005-07-01,392474842826.019
2005-08-01,390746032248.062
2005-09-01,392083450799.508
2005-10-01,396248679641.643
2005-11-01,398151469204.581
2005-12-01,400155337670.384
2006-01-01,401502921441.774
2006-02-01,407929054320.988
2006-03-01,408999134438.306
2006-04-01,409533571428.571
2006-05-01,413207284715.892
2006-06-01,415268122983.257
2006-07-01,418231235401.46
2006-08-01,419772528233.151
2006-09-01,425499284188.034
2006-10-01,429519659021.407
2006-11-01,433845498168.498
2006-12-01,435290995429.616
2007-01-01,437327168494.82
2007-02-01,437434843617.665
2007-03-01,437757759075.908
2007-04-01,439489140681.004
2007-05-01,440427160868.272
2007-06-01,445290714924.039
2007-07-01,449028021726.19
2007-08-01,453271832288.869
2007-09-01,454855037831.397
2007-10-01,451361003285.544
2007-11-01,452182320822.163
2007-12-01,455010556845.238
2008-01-01,459996248062.015
2008-02-01,460619191325.015
2008-03-01,462421320603.908
2008-04-01,462051967694.567
2008-05-01,466331901396.161
2008-06-01,465694043616.407
2008-07-01,466193780080.599
2008-08-01,470365965974.625
2008-09-01,476025218957.073
2008-10-01,487146809606.987
2008-11-01,495941666374.525
2008-12-01,504874768461.312
2009-01-01,508697194690.265
2009-02-01,506054239308.729
2009-03-01,509953753508.772
2009-04-01,517264298800.117
2009-05-01,518732435047.951
2009-06-01,519612797277.729
2009-07-01,530199573670.444
2009-08-01,538718271723.336
2009-09-01,542748101424.004
2009-10-01,549333570389.762
2009-11-01,554253231770.833
2009-12-01,558935157955.865
2010-01-01,560433021430.64
2010-02-01,565854822664.36
2010-03-01,568298566608.996
2010-04-01,570717468390.805
2010-05-01,577868792777.3
2010-06-01,579926941767.068
2010-07-01,580542228310.502
2010-08-01,581902993430.448
2010-09-01,585296668947.818
2010-10-01,586126567859.171
2010-11-01,588378811347.518
2010-12-01,592741321985.815
2011-01-01,594274551216.752
2011-02-01,596336907987.581
2011-03-01,592469802903.406
2011-04-01,591568162771.285
2011-05-01,590651790768.38
2011-06-01,600010518642.181
2011-07-01,602877112777.778
2011-08-01,604536267110.003
2011-09-01,617091210613.599
2011-10-01,621908576434.878
2011-11-01,621997174800.11
2011-12-01,627731706877.426
2012-01-01,636564271195.802
2012-02-01,635964083058.306
2012-03-01,635634023829.088
2012-04-01,640914128205.128
2012-05-01,648872367185.367
2012-06-01,657821923245.614
2012-07-01,662688482853.224
2012-08-01,662559873836.891
2012-09-01,659987070491.803
2012-10-01,659119220676.487
2012-11-01,667480828547.99
2012-12-01,674385211771.177
2013-01-01,677551120912.338
2013-02-01,683631231187.177
2013-03-01,689670932194.196
2013-04-01,693708083401.25
2013-05-01,692092258265.583
2013-06-01,695935563143.631
2013-07-01,698500972921.744
2013-08-01,704195958841.051
2013-09-01,705553222762.909
2013-10-01,711912804065.04
2013-11-01,719912228997.29
2013-12-01,727526242868.786
2014-01-01,733696993501.218
2014-02-01,728225436744.561
2014-03-01,728061565972.222
2014-04-01,725043013312.034
2014-05-01,727435377053.524
2014-06-01,729736754302.356
2014-07-01,733391909307.876
2014-08-01,740256917528.507
2014-09-01,744980656067.832
2014-10-01,751655205718.824
2014-11-01,756208582137.161
2014-12-01,766166487817.938
2015-01-01,768842097345.133
2015-02-01,769426421584.264
2015-03-01,768428021377.672
2015-04-01,773483801109.35
2015-05-01,772036719201.471
2015-06-01,777554157494.759
2015-07-01,788083804660.906
2015-08-01,796098367897.355
2015-09-01,803069981117.231
2015-10-01,805129173480.084
2015-11-01,809704026226.069
2015-12-01,816333988932.806
2016-01-01,821681180862.25
2016-02-01,826298101232.625
2016-03-01,822788228303.362
2016-04-01,822857942062.873
2016-05-01,824483567287.784
2016-06-01,827571492899.561
2016-07-01,844351860874.062
2016-08-01,852737753690.754
2016-09-01,860615992236.025
2016-10-01,866302265427.317
2016-11-01,875838380767.237
2016-12-01,882364839563.863
2017-01-01,887810923809.524
2017-02-01,884659038807.504
2017-03-01,892246283038.234
2017-04-01,900733424846.626
2017-05-01,911891981353.768
2017-06-01,916749349437.628
2017-07-01,919116650817.996
2017-08-01,916777163729.246
2017-09-01,915355678899.082
2017-10-01,919731636618.284
2017-11-01,918598310231.023
2017-12-01,930415951070.336
2018-01-01,926268107314.604
2018-02-01,914637598742.138
2018-03-01,913184690243.29
2018-04-01,921840198549.637
2018-05-01,920366424037.981
2018-06-01,930413734780.439
2018-07-01,926264437825.763
2018-08-01,929756658469.945
2018-09-01,941111678135.128
2018-10-01,939617342281.879
2018-11-01,952521772034.956
2018-12-01,972889693153.423
2019-01-01,952231327095.808
2019-02-01,934779995291.202
2019-03-01,929117113244.707
2019-04-01,939898956862.745
2019-05-01,944955442898.975
2019-06-01,956293346784.054
2019-07-01,960895981021.898
2019-08-01,970882907894.737
2019-09-01,987974567792.462
2019-10-01,990022812347.486
2019-11-01,999750471163.245
2019-12-01,1021397639540.57
2020-01-01,1005213191033.14
2020-02-01,1013467384279.48
2020-03-01,1055966269399.71
2020-04-01,1119390296241.71
2020-05-01,1153504049228.51
2020-06-01,1181225851554.91
2020-07-01,1203866709426.63
2020-08-01,1233173215571.78
2020-09-01,1258830772339.91
2020-10-01,1272847368969.7
2020-11-01,1287379697651.9
2020-12-01,1302826971615.72
2021-01-01,1295790815484.8
2021-02-01,1308274710823.13
2021-03-01,1313717574737.34
2021-04-01,1345160997861.72
2021-05-01,1366866141843.97
2021-06-01,1382069510843.94
2021-07-01,1391247838838.14
2021-08-01,1403081143992.52
2021-09-01,1404888228598.09
2021-10-01,1398246789205.47
2021-11-01,1413279210818.31
2021-12-01,1417663565046.3
2022-01-01,1404219275063.09
2022-02-01,1396751970254.31
2022-03-01,1371950366241.32
2022-04-01,1369952361593.24
2022-05-01,1354459974105.77
2022-06-01,1344892102245.48
2022-07-01,1334242487263.23
2022-08-01,1320290219091.31
2022-09-01,1319464545295.79
2022-10-01,1293195328131.77
2022-11-01,1281449694372.29
2022-12-01,1284075461789.68
2023-01-01,1257401591942.82
2023-02-01,1247092086731.39
2023-03-01,1224595661086.07
2023-04-01,1218463126598.47
2023-05-01,1211966122929.94
2023-06-01,1212248609202.71
2023-07-01,1209453774826.06
2023-08-01,1205530353287.12
2023-09-01,1207130581493.17
