"Date","CAUISA"
1993-01-01,83.9
1993-02-01,92.8
1993-03-01,95.5
1993-04-01,90.3
1993-05-01,85.1
1993-06-01,86.6
1993-07-01,106
1993-08-01,112.5
1993-09-01,99.7
1993-10-01,95.4
1993-11-01,90
1993-12-01,71.1
1994-01-01,67.9
1994-02-01,60
1994-03-01,83.1
1994-04-01,87.9
1994-05-01,95.6
1994-06-01,99.6
1994-07-01,88.8
1994-08-01,78.5
1994-09-01,81.3
1994-10-01,84.9
1994-11-01,94.3
1994-12-01,84.5
1995-01-01,103.4
1995-02-01,94.3
1995-03-01,97.9
1995-04-01,79.3
1995-05-01,91.5
1995-06-01,93.7
1995-07-01,90.1
1995-08-01,104.8
1995-09-01,93.3
1995-10-01,98.9
1995-11-01,91.6
1995-12-01,96.3
1996-01-01,85.3
1996-02-01,89.3
1996-03-01,63.3
1996-04-01,100.5
1996-05-01,98.1
1996-06-01,92.8
1996-07-01,100.5
1996-08-01,99.6
1996-09-01,102.2
1996-10-01,60.7
1996-11-01,92.7
1996-12-01,82.9
1997-01-01,105.7
1997-02-01,96.7
1997-03-01,89
1997-04-01,98.8
1997-05-01,93.6
1997-06-01,97
1997-07-01,136.5
1997-08-01,86.5
1997-09-01,87
1997-10-01,82.2
1997-11-01,81
1997-12-01,100
1998-01-01,66.5
1998-02-01,87.5
1998-03-01,86.9
1998-04-01,87.2
1998-05-01,84.9
1998-06-01,65.1
1998-07-01,51.3
1998-08-01,81.7
1998-09-01,98.7
1998-10-01,100.1
1998-11-01,94
1998-12-01,100.9
1999-01-01,103.8
1999-02-01,105.1
1999-03-01,100.9
1999-04-01,100.7
1999-05-01,101.5
1999-06-01,107.4
1999-07-01,113.9
1999-08-01,107.8
1999-09-01,99.2
1999-10-01,110.5
1999-11-01,106.4
1999-12-01,114.8
2000-01-01,101.9
2000-02-01,94.1
2000-03-01,104.9
2000-04-01,93.9
2000-05-01,91
2000-06-01,98.7
2000-07-01,86.8
2000-08-01,91.1
2000-09-01,92.5
2000-10-01,82.2
2000-11-01,91
2000-12-01,88
2001-01-01,79.1
2001-02-01,81.6
2001-03-01,78.9
2001-04-01,64.9
2001-05-01,76.2
2001-06-01,91.8
2001-07-01,73.3
2001-08-01,92.1
2001-09-01,78.2
2001-10-01,77.9
2001-11-01,79.9
2001-12-01,73.6
2002-01-01,65.1
2002-02-01,91.2
2002-03-01,78.9
2002-04-01,84.2
2002-05-01,86.8
2002-06-01,85.4
2002-07-01,84.7
2002-08-01,95.2
2002-09-01,87.4
2002-10-01,87.5
2002-11-01,96.7
2002-12-01,82.6
2003-01-01,83.4
2003-02-01,90.4
2003-03-01,96
2003-04-01,92.5
2003-05-01,94.3
2003-06-01,96.5
2003-07-01,89
2003-08-01,86.2
2003-09-01,92.3
2003-10-01,98.1
2003-11-01,84.3
2003-12-01,89.3
2004-01-01,91.8
2004-02-01,92.2
2004-03-01,89.8
2004-04-01,93.5
2004-05-01,99.7
2004-06-01,92.3
2004-07-01,79.1
2004-08-01,91.9
2004-09-01,92.2
2004-10-01,78.4
2004-11-01,86
2004-12-01,92.3
2005-01-01,93.9
2005-02-01,74.2
2005-03-01,59.6
2005-04-01,56.3
2005-05-01,55.5
2005-06-01,58.5
2005-07-01,64.7
2005-08-01,68.6
2005-09-01,63.1
2005-10-01,67.8
2005-11-01,73.9
2005-12-01,77.1
2006-01-01,81.3
2006-02-01,61.8
2006-03-01,52.6
2006-04-01,58.6
2006-05-01,51.9
2006-06-01,58.3
2006-07-01,62.6
2006-08-01,61.3
2006-09-01,64.7
2006-10-01,64.3
2006-11-01,62.7
2006-12-01,63.1
2007-01-01,62.4
2007-02-01,56.9
2007-03-01,75.8
2007-04-01,71.9
2007-05-01,89.6
2007-06-01,77.4
2007-07-01,74.1
2007-08-01,69.7
2007-09-01,71
2007-10-01,73.2
2007-11-01,78.5
2007-12-01,47.2
2008-01-01,54.5
2008-02-01,61.2
2008-03-01,61.5
2008-04-01,70.1
2008-05-01,60.1
2008-06-01,62.1
2008-07-01,61.9
2008-08-01,59.1
2008-09-01,59.7
2008-10-01,67.2
2008-11-01,61
2008-12-01,44.8
2009-01-01,42.2
2009-02-01,38.4
2009-03-01,37.7
2009-04-01,36.9
2009-05-01,28
2009-06-01,31.5
2009-07-01,39.2
2009-08-01,56.9
2009-09-01,64.2
2009-10-01,58.7
2009-11-01,63.3
2009-12-01,64.6
2010-01-01,56
2010-02-01,64.2
2010-03-01,65.1
2010-04-01,68.2
2010-05-01,78
2010-06-01,75.7
2010-07-01,75.5
2010-08-01,83.2
2010-09-01,84.6
2010-10-01,73
2010-11-01,72.9
2010-12-01,60.5
2011-01-01,92.6
2011-02-01,84.5
2011-03-01,85.9
2011-04-01,82.1
2011-05-01,68.6
2011-06-01,75.2
2011-07-01,74.8
2011-08-01,77.4
2011-09-01,78
2011-10-01,91.9
2011-11-01,84.6
2011-12-01,91.3
2012-01-01,118.2
2012-02-01,99.6
2012-03-01,97.3
2012-04-01,98.5
2012-05-01,88.6
2012-06-01,101.2
2012-07-01,95.5
2012-08-01,97.6
2012-09-01,101.6
2012-10-01,96.4
2012-11-01,106.7
2012-12-01,99.1
2013-01-01,102.8
2013-02-01,96.9
2013-03-01,99.5
2013-04-01,104.6
2013-05-01,105.5
2013-06-01,104.8
2013-07-01,98.1
2013-08-01,102.2
2013-09-01,101.2
2013-10-01,106.7
2013-11-01,108.6
2013-12-01,100.1
2014-01-01,92.5
2014-02-01,98.1
2014-03-01,100
2014-04-01,103.6
2014-05-01,109.9
2014-06-01,111.6
2014-07-01,123.9
2014-08-01,118.3
2014-09-01,109.9
2014-10-01,113.5
2014-11-01,106
2014-12-01,108.9
2015-01-01,107.6
2015-02-01,106.4
2015-03-01,112
2015-04-01,107.9
2015-05-01,114.5
2015-06-01,106.8
2015-07-01,111.6
2015-08-01,108.7
2015-09-01,110.4
2015-10-01,100.6
2015-11-01,112.3
2015-12-01,114.2
2016-01-01,107.8
2016-02-01,108.5
2016-03-01,110.9
2016-04-01,115.1
2016-05-01,101.4
2016-06-01,100.8
2016-07-01,111.7
2016-08-01,105.8
2016-09-01,111.4
2016-10-01,104.7
2016-11-01,108
2016-12-01,91.8
2017-01-01,121.428
2017-02-01,117.814
2017-03-01,120.322
2017-04-01,122.639
2017-05-01,116.22
2017-06-01,114.181
2017-07-01,98.017
2017-08-01,103.779
2017-09-01,108.695
2017-10-01,89.882
2017-11-01,122.215
2017-12-01,119.984
2018-01-01,94.401
2018-02-01,101.846
2018-03-01,100.846
2018-04-01,90.06
2018-05-01,108.105
2018-06-01,90.15
2018-07-01,94.863
2018-08-01,74.333
2018-09-01,75.178
2018-10-01,81.204
2018-11-01,85.848
2018-12-01,78.185
2019-01-01,82.089
2019-02-01,71.199
2019-03-01,71.256
2019-04-01,78.254
2019-05-01,72.593
2019-06-01,79.157
2019-07-01,62.822
2019-08-01,65.645
2019-09-01,77.061
2019-10-01,67.718
2019-11-01,65.529
2019-12-01,59.7
2020-01-01,58.48
2020-02-01,59.055
2020-03-01,58.329
2020-04-01,14.063
2020-05-01,10.451
2020-06-01,34.365
2020-07-01,60.554
2020-08-01,54.622
2020-09-01,64.293
2020-10-01,61.175
2020-11-01,56.296
2020-12-01,49.607
2021-01-01,44.724
2021-02-01,42.167
2021-03-01,49.386
2021-04-01,36.398
2021-05-01,38.666
2021-06-01,43.81
2021-07-01,43.868
2021-08-01,49.556
2021-09-01,34.811
2021-10-01,46.172
2021-11-01,42.428
2021-12-01,48.383
2022-01-01,39.631
2022-02-01,40.945
2022-03-01,48.132
2022-04-01,51.163
2022-05-01,41.461
2022-06-01,40.985
2022-07-01,37.571
2022-08-01,36.706
2022-09-01,39.165
2022-10-01,34.599
2022-11-01,43.092
2022-12-01,47.819
2023-01-01,51.467
2023-02-01,46.919
2023-03-01,40.367
2023-04-01,52.765
2023-05-01,53.641
2023-06-01,61.465
2023-07-01,48.193
2023-08-01,55.655
2023-09-01,58.977
