"Date","LFAC24FECAM647N"
1976-01-01,1216200
1976-02-01,1229200
1976-03-01,1246100
1976-04-01,1243000
1976-05-01,1311300
1976-06-01,1398200
1976-07-01,1506800
1976-08-01,1466600
1976-09-01,1285800
1976-10-01,1277200
1976-11-01,1284600
1976-12-01,1291800
1977-01-01,1263000
1977-02-01,1285600
1977-03-01,1291100
1977-04-01,1294900
1977-05-01,1354900
1977-06-01,1420600
1977-07-01,1559400
1977-08-01,1511900
1977-09-01,1329100
1977-10-01,1334900
1977-11-01,1330000
1977-12-01,1319500
1978-01-01,1293300
1978-02-01,1315100
1978-03-01,1336600
1978-04-01,1322900
1978-05-01,1390100
1978-06-01,1470200
1978-07-01,1595400
1978-08-01,1555500
1978-09-01,1375800
1978-10-01,1380900
1978-11-01,1383500
1978-12-01,1381200
1979-01-01,1349600
1979-02-01,1365900
1979-03-01,1388400
1979-04-01,1383900
1979-05-01,1442300
1979-06-01,1526400
1979-07-01,1643300
1979-08-01,1624700
1979-09-01,1429300
1979-10-01,1453500
1979-11-01,1444000
1979-12-01,1433600
1980-01-01,1416100
1980-02-01,1410900
1980-03-01,1442700
1980-04-01,1438900
1980-05-01,1497200
1980-06-01,1616200
1980-07-01,1692500
1980-08-01,1661100
1980-09-01,1470900
1980-10-01,1473600
1980-11-01,1453300
1980-12-01,1445600
1981-01-01,1433600
1981-02-01,1450400
1981-03-01,1465100
1981-04-01,1452000
1981-05-01,1546700
1981-06-01,1657400
1981-07-01,1722000
1981-08-01,1680500
1981-09-01,1480100
1981-10-01,1469600
1981-11-01,1462800
1981-12-01,1440800
1982-01-01,1412700
1982-02-01,1410500
1982-03-01,1438800
1982-04-01,1426600
1982-05-01,1483300
1982-06-01,1576600
1982-07-01,1680300
1982-08-01,1611300
1982-09-01,1416100
1982-10-01,1431700
1982-11-01,1419800
1982-12-01,1419600
1983-01-01,1391000
1983-02-01,1395400
1983-03-01,1424000
1983-04-01,1394800
1983-05-01,1480500
1983-06-01,1569400
1983-07-01,1664400
1983-08-01,1619100
1983-09-01,1415500
1983-10-01,1418000
1983-11-01,1396600
1983-12-01,1397500
1984-01-01,1354500
1984-02-01,1382800
1984-03-01,1392800
1984-04-01,1379700
1984-05-01,1482000
1984-06-01,1530300
1984-07-01,1638300
1984-08-01,1590900
1984-09-01,1404500
1984-10-01,1397000
1984-11-01,1396100
1984-12-01,1385400
1985-01-01,1337300
1985-02-01,1358100
1985-03-01,1377600
1985-04-01,1368700
1985-05-01,1445200
1985-06-01,1512100
1985-07-01,1623400
1985-08-01,1589900
1985-09-01,1391000
1985-10-01,1404100
1985-11-01,1394300
1985-12-01,1386500
1986-01-01,1363800
1986-02-01,1369600
1986-03-01,1374900
1986-04-01,1379000
1986-05-01,1453500
1986-06-01,1568200
1986-07-01,1643300
1986-08-01,1589600
1986-09-01,1363100
1986-10-01,1355700
1986-11-01,1344800
1986-12-01,1337400
1987-01-01,1315200
1987-02-01,1332600
1987-03-01,1353500
1987-04-01,1332100
1987-05-01,1422600
1987-06-01,1500900
1987-07-01,1596200
1987-08-01,1563100
1987-09-01,1325800
1987-10-01,1347800
1987-11-01,1350300
1987-12-01,1339700
1988-01-01,1298100
1988-02-01,1297600
1988-03-01,1320900
1988-04-01,1302300
1988-05-01,1407200
1988-06-01,1439100
1988-07-01,1579100
1988-08-01,1517900
1988-09-01,1313900
1988-10-01,1322500
1988-11-01,1317300
1988-12-01,1307900
1989-01-01,1309200
1989-02-01,1294300
1989-03-01,1298900
1989-04-01,1287900
1989-05-01,1371200
1989-06-01,1426500
1989-07-01,1538200
1989-08-01,1501500
1989-09-01,1267400
1989-10-01,1278400
1989-11-01,1269300
1989-12-01,1271900
1990-01-01,1236700
1990-02-01,1257200
1990-03-01,1243900
1990-04-01,1238100
1990-05-01,1323300
1990-06-01,1386700
1990-07-01,1503800
1990-08-01,1451600
1990-09-01,1237200
1990-10-01,1247700
1990-11-01,1233100
1990-12-01,1229900
1991-01-01,1202000
1991-02-01,1210000
1991-03-01,1220500
1991-04-01,1197200
1991-05-01,1312000
1991-06-01,1360100
1991-07-01,1475900
1991-08-01,1419000
1991-09-01,1200900
1991-10-01,1210300
1991-11-01,1198600
1991-12-01,1191700
1992-01-01,1161700
1992-02-01,1175700
1992-03-01,1182800
1992-04-01,1164400
1992-05-01,1250000
1992-06-01,1327100
1992-07-01,1428300
1992-08-01,1390700
1992-09-01,1169700
1992-10-01,1163100
1992-11-01,1165600
1992-12-01,1159800
1993-01-01,1102600
1993-02-01,1107200
1993-03-01,1143200
1993-04-01,1118000
1993-05-01,1201300
1993-06-01,1278200
1993-07-01,1380100
1993-08-01,1323300
1993-09-01,1136800
1993-10-01,1139500
1993-11-01,1152500
1993-12-01,1146200
1994-01-01,1111600
1994-02-01,1116700
1994-03-01,1128000
1994-04-01,1104800
1994-05-01,1213000
1994-06-01,1264000
1994-07-01,1368600
1994-08-01,1308700
1994-09-01,1137700
1994-10-01,1132900
1994-11-01,1132200
1994-12-01,1132100
1995-01-01,1107100
1995-02-01,1097600
1995-03-01,1109800
1995-04-01,1105700
1995-05-01,1208300
1995-06-01,1272900
1995-07-01,1385100
1995-08-01,1318400
1995-09-01,1115500
1995-10-01,1124800
1995-11-01,1113600
1995-12-01,1105500
1996-01-01,1075900
1996-02-01,1095000
1996-03-01,1089100
1996-04-01,1088200
1996-05-01,1192300
1996-06-01,1259300
1996-07-01,1365000
1996-08-01,1310700
1996-09-01,1116700
1996-10-01,1107300
1996-11-01,1110200
1996-12-01,1092300
1997-01-01,1067800
1997-02-01,1078900
1997-03-01,1080600
1997-04-01,1077600
1997-05-01,1164800
1997-06-01,1267800
1997-07-01,1344400
1997-08-01,1316000
1997-09-01,1099600
1997-10-01,1080300
1997-11-01,1080200
1997-12-01,1060100
1998-01-01,1049800
1998-02-01,1055200
1998-03-01,1069200
1998-04-01,1080400
1998-05-01,1196300
1998-06-01,1256200
1998-07-01,1366600
1998-08-01,1333900
1998-09-01,1154900
1998-10-01,1155200
1998-11-01,1155500
1998-12-01,1154800
1999-01-01,1131200
1999-02-01,1124400
1999-03-01,1123900
1999-04-01,1146300
1999-05-01,1255900
1999-06-01,1305100
1999-07-01,1418500
1999-08-01,1348200
1999-09-01,1177000
1999-10-01,1165200
1999-11-01,1159600
1999-12-01,1157400
2000-01-01,1127200
