"Date","CANPRMNTO01IXOBM"
1961-01-01,22.5145728934544
1961-02-01,23.6424874189906
1961-03-01,23.8610755053348
1961-04-01,24.6217620458126
1961-05-01,25.0589382185011
1961-06-01,24.4294045298297
1961-07-01,24.7091972803503
1961-08-01,25.3824485862905
1961-09-01,26.7988993858011
1961-10-01,26.7114641512634
1961-11-01,26.7988993858011
1961-12-01,24.9277853666946
1962-01-01,24.9277853666946
1962-02-01,26.6240289167257
1962-03-01,27.3847154572036
1962-04-01,27.7781740126231
1962-05-01,28.5563476000086
1962-06-01,26.9038216672463
1962-07-01,28.162889044589
1962-08-01,28.3814771309332
1962-09-01,29.8154149773512
1962-10-01,29.4219564219317
1962-11-01,29.2470859528563
1962-12-01,26.9737698548764
1963-01-01,26.9737698548764
1963-02-01,28.4514253185633
1963-03-01,28.9235755850668
1963-04-01,29.596826891007
1963-05-01,30.2263605796784
1963-06-01,29.2820600466714
1963-07-01,28.5913216938236
1963-08-01,29.448186992293
1963-09-01,31.4067362459372
1963-10-01,31.5291455742899
1963-11-01,32.0799875518773
1963-12-01,29.7279797428136
1964-01-01,30.0602336340568
1964-02-01,32.0012958407934
1964-03-01,32.2198839271376
1964-04-01,32.6308295294648
1964-05-01,33.6101041562869
1964-06-01,30.960816549795
1964-07-01,31.0657388312402
1964-08-01,32.7182647640025
1964-09-01,34.3008425091346
1964-10-01,34.2134072745969
1964-11-01,34.9566067681672
1964-12-01,32.167422786415
1965-01-01,32.8144435219939
1965-02-01,33.9423580475301
1965-03-01,35.0527855261587
1965-04-01,35.4462440815783
1965-05-01,36.6178762243833
1965-06-01,35.4025264643094
1965-07-01,34.6418399238316
1965-08-01,35.533679316116
1965-09-01,37.0725394439793
1965-10-01,38.0955316880702
1965-11-01,38.4015550089521
1965-12-01,36.1807000516949
1966-01-01,36.023316629527
1966-02-01,37.990609406625
1966-03-01,37.9294047424486
1966-04-01,38.7512959471029
1966-05-01,38.8824487989094
1966-06-01,37.081282967433
1966-07-01,36.5129539429381
1966-08-01,37.7283037030119
1966-09-01,39.424547253043
1966-10-01,39.992876277538
1966-11-01,39.7917752381013
1966-12-01,37.3435886710461
1967-01-01,36.9064124983577
1967-02-01,38.2966327275069
1967-03-01,38.6900912829265
1967-04-01,39.6256482924797
1967-05-01,39.389573159228
1967-06-01,38.0080964535325
1967-07-01,36.5391845132994
1967-08-01,38.2354280633305
1967-09-01,40.447539497134
1967-10-01,39.8879539960928
1967-11-01,41.1207908030742
1967-12-01,39.3021379246903
1968-01-01,37.9556353128099
1968-02-01,39.1097804087074
1968-03-01,39.8704669491852
1968-04-01,41.6716327806616
1968-05-01,42.4760369384083
1968-06-01,40.9721509043601
1968-07-01,38.7425524236491
1968-08-01,40.2901560749662
1968-09-01,43.9099747848264
1968-10-01,44.4345861920525
1968-11-01,45.3876302485133
1968-12-01,42.0825783829887
1969-01-01,41.5841975461239
1969-02-01,43.6301820343058
1969-03-01,45.020402263455
1969-04-01,45.020402263455
1969-05-01,45.7548582335716
1969-06-01,44.7493530363882
1969-07-01,41.4093270770485
1969-08-01,43.1055706270797
1969-09-01,46.043394507546
1969-10-01,45.623705381765
1969-11-01,46.1308297420836
1969-12-01,42.6246768371224
1970-01-01,41.5404799288551
1970-02-01,43.7001302219359
1970-03-01,43.5252597528606
1970-04-01,43.7001302219359
1970-05-01,43.7263607922972
1970-06-01,41.6716327806616
1970-07-01,38.9174228927245
1970-08-01,41.0683296623516
1970-09-01,43.1580317678023
1970-10-01,43.0268789159958
1970-11-01,43.8312830737425
1970-12-01,40.6836146303857
1971-01-01,39.048575744531
1971-02-01,44.2597157229771
1971-03-01,44.417099145145
1971-04-01,45.134068068354
1971-05-01,45.475065483051
1971-06-01,46.5680059147721
1971-07-01,39.3283684950516
1971-08-01,44.4957908562289
1971-09-01,49.820596639574
1971-10-01,49.3222158027092
1971-11-01,49.4358816076082
1971-12-01,43.7438478392048
1972-01-01,42.9307001580043
1972-02-01,47.2762313145273
1972-03-01,48.0544049019128
1972-04-01,49.8555707333891
1972-05-01,48.9112702003821
1972-06-01,50.4588738516991
1972-07-01,42.7558296889289
1972-08-01,46.6204670554947
1972-09-01,53.4316718259805
1972-10-01,53.0994179347373
1972-11-01,54.6382780626006
1972-12-01,48.0544049019128
1973-01-01,47.2587442676198
1973-02-01,54.848122625491
1973-03-01,55.3989646030784
1973-04-01,54.734456820592
1973-05-01,54.2972806479036
1973-06-01,55.6875008770528
1973-07-01,48.5178116449625
1973-08-01,50.0216976790107
1973-09-01,57.0165164420256
1973-10-01,57.4974102319829
1973-11-01,58.8876304611322
1973-12-01,51.7791458932182
1974-01-01,51.901555221571
1974-02-01,58.0482522095704
