"Date","LRUN55MACAM156S"
1995-01-01,9.71123804109104
1995-02-01,8.87123660534236
1995-03-01,8.37892295248033
1995-04-01,8.4100481488887
1995-05-01,8.61058845090455
1995-06-01,8.76081681799446
1995-07-01,9.15219343512202
1995-08-01,8.31987213088693
1995-09-01,7.64959528328755
1995-10-01,8.28014463787721
1995-11-01,8.38616004482467
1995-12-01,7.51426804815949
1996-01-01,8.1659167549049
1996-02-01,7.87348196777493
1996-03-01,7.15324354418346
1996-04-01,7.1688204884319
1996-05-01,6.81566971686592
1996-06-01,7.49166074256985
1996-07-01,7.38822514340932
1996-08-01,7.39831737523079
1996-09-01,8.86028589022828
1996-10-01,9.05215787273212
1996-11-01,9.4683319245324
1996-12-01,9.33370321200105
1997-01-01,8.41028663635231
1997-02-01,7.97154499853536
1997-03-01,7.13383365678131
1997-04-01,7.22710673991351
1997-05-01,7.42553714692729
1997-06-01,7.10430155266254
1997-07-01,8.00762856683186
1997-08-01,7.43152281378985
1997-09-01,7.8169232807141
1997-10-01,7.76403426673012
1997-11-01,8.21051447435188
1997-12-01,6.58979053234985
1998-01-01,6.71626889666695
1998-02-01,6.8421044094442
1998-03-01,6.89630318335458
1998-04-01,7.18452830759128
1998-05-01,6.28021286960763
1998-06-01,6.42170017640542
1998-07-01,7.26722436024412
1998-08-01,7.42450325721993
1998-09-01,6.67365165370589
1998-10-01,7.1126455132321
1998-11-01,7.57738144064457
1998-12-01,7.42499200520305
1999-01-01,6.16522366176157
1999-02-01,7.08579287326096
1999-03-01,7.29179999843428
1999-04-01,7.12348804477386
1999-05-01,6.91256683088172
1999-06-01,6.4099684528793
1999-07-01,6.66452285420279
1999-08-01,6.77417393389237
1999-09-01,5.87422784261292
1999-10-01,5.50339293237418
1999-11-01,5.29652102917346
1999-12-01,4.97605377013232
2000-01-01,5.23605938829749
2000-02-01,5.447179455366
2000-03-01,5.30845513398661
2000-04-01,5.67876114228363
2000-05-01,5.08075980617662
2000-06-01,5.83863722305179
2000-07-01,4.87312475699328
2000-08-01,6.01680000807253
2000-09-01,6.46137386933243
2000-10-01,5.72895399841356
2000-11-01,5.37137500414712
2000-12-01,4.86390359064544
2001-01-01,6.28888166980909
2001-02-01,5.87363504821462
2001-03-01,5.83974170547034
2001-04-01,5.52239367099159
2001-05-01,6.03011779700172
2001-06-01,6.08831733632507
2001-07-01,5.32022413346223
2001-08-01,6.01195068401608
2001-09-01,5.62798089305196
2001-10-01,5.68049452209295
2001-11-01,6.45271723714345
2001-12-01,6.74322775320676
2002-01-01,7.11011090065184
2002-02-01,6.60692047468734
2002-03-01,6.01167067879624
2002-04-01,6.1269721734438
2002-05-01,6.76303247014775
2002-06-01,6.06271159299936
2002-07-01,6.64901884104288
2002-08-01,6.36739633621395
2002-09-01,6.94381576540385
2002-10-01,6.82513202541487
2002-11-01,6.72833866062886
2002-12-01,7.13338500391426
2003-01-01,7.02316569897855
2003-02-01,7.39239603950158
2003-03-01,6.56967459153583
2003-04-01,6.81758104906619
2003-05-01,6.80581384932531
2003-06-01,7.05393022147625
2003-07-01,6.2686785120701
2003-08-01,6.51221287599364
2003-09-01,7.27228868816638
2003-10-01,7.01445873431484
2003-11-01,6.84915200365022
2003-12-01,6.70375082941883
2004-01-01,6.27042061620411
2004-02-01,6.30957203133773
2004-03-01,6.30215025401108
2004-04-01,6.0114517962002
2004-05-01,6.0072900276733
2004-06-01,6.4837229823697
2004-07-01,5.79922306487848
2004-08-01,6.20902242908926
2004-09-01,5.65467347948733
2004-10-01,5.57679610687064
2004-11-01,5.99665083671503
2004-12-01,6.39979134605088
2005-01-01,5.50263679572491
2005-02-01,5.4906629739294
2005-03-01,5.39824720266889
2005-04-01,5.48565825448985
2005-05-01,5.28567229204985
2005-06-01,4.89001669021079
2005-07-01,5.5535516992671
2005-08-01,5.42745564225062
2005-09-01,5.58242076203881
2005-10-01,5.54166864495387
2005-11-01,5.69790652524758
2005-12-01,5.01172310069164
2006-01-01,5.34978761667306
2006-02-01,4.91367072980869
2006-03-01,5.87621738447304
2006-04-01,5.47712149151015
2006-05-01,5.43336304407687
2006-06-01,5.53589647438935
2006-07-01,5.95760751379049
2006-08-01,5.65518910427573
2006-09-01,5.42733903823842
2006-10-01,5.24156266896334
2006-11-01,5.64173523282872
2006-12-01,5.68004842220407
2007-01-01,6.05520066951725
2007-02-01,5.72762918016861
2007-03-01,5.72381329307407
2007-04-01,5.65172343245779
2007-05-01,5.05561447211155
2007-06-01,5.70903669317155
2007-07-01,5.27440360564034
2007-08-01,4.83666916042386
2007-09-01,4.45396869277494
2007-10-01,5.07609265330938
2007-11-01,4.94545694381781
2007-12-01,5.05647285136555
2008-01-01,5.57805507349672
2008-02-01,5.23664492652923
2008-03-01,5.90153960037551
2008-04-01,5.26700714770313
2008-05-01,5.90935148600359
2008-06-01,5.91787812880533
2008-07-01,6.05036631850405
2008-08-01,5.8213187823542
2008-09-01,6.28408408624054
2008-10-01,6.67248033381834
2008-11-01,6.46231943070634
2008-12-01,6.79769550838347
2009-01-01,6.51069407460551
2009-02-01,7.83675321089507
2009-03-01,8.06248287077165
2009-04-01,7.84031611797786
2009-05-01,8.45167519749576
2009-06-01,8.37432099690067
2009-07-01,9.08174113495299
2009-08-01,8.69761381821859
2009-09-01,9.05624865601242
2009-10-01,8.84120961626778
2009-11-01,7.95803282099335
2009-12-01,8.43615465463665
2010-01-01,7.77352551682052
2010-02-01,7.22540823077039
2010-03-01,7.62816211487193
2010-04-01,7.21198045044189
2010-05-01,7.7683769419183
