"Date","LFEAICTTCAM647S"
1976-12-01,2821918.7671688
1977-01-01,2829335.23399823
1977-02-01,2819805.88502124
1977-03-01,2790502.3765447
1977-04-01,2789357.98114607
1977-05-01,2782784.80942828
1977-06-01,2771593.66485952
1977-07-01,2721803.18237059
1977-08-01,2743249.98375521
1977-09-01,2785592.87926437
1977-10-01,2769543.17134099
1977-11-01,2796402.75748068
1977-12-01,2793784.45514813
1978-01-01,2790191.12793232
1978-02-01,2798321.19717328
1978-03-01,2816499.97849317
1978-04-01,2831981.4957981
1978-05-01,2859426.41094655
1978-06-01,2876323.6038417
1978-07-01,2876912.5308181
1978-08-01,2897739.6178082
1978-09-01,2880572.84601418
1978-10-01,2906405.19404322
1978-11-01,2938402.71526852
1978-12-01,2955910.05995449
1979-01-01,2959225.62846712
1979-02-01,2940330.19625074
1979-03-01,2963673.55559254
1979-04-01,2976381.3999564
1979-05-01,2951768.56912916
1979-06-01,2952700.46355984
1979-07-01,3012407.14290419
1979-08-01,3040822.99610773
1979-09-01,3036480.41399154
1979-10-01,3065447.5168929
1979-11-01,3060051.82385132
1979-12-01,3058030.77165561
1980-01-01,3058323.83925052
1980-02-01,3059055.62339514
1980-03-01,3059905.080848
1980-04-01,3054265.12706287
1980-05-01,3036545.85929903
1980-06-01,3080186.83486839
1980-07-01,3042999.72401353
1980-08-01,3046795.65300984
1980-09-01,3068363.61562769
1980-10-01,3073122.11242353
1980-11-01,3047356.43282008
1980-12-01,3041715.05335131
1981-01-01,3065391.58290546
1981-02-01,3108798.80448566
1981-03-01,3110993.00550134
1981-04-01,3116552.5801546
1981-05-01,3135245.6782911
1981-06-01,3125087.09872132
1981-07-01,3156020.24548782
1981-08-01,3161854.80824653
1981-09-01,3131702.96375475
1981-10-01,3107403.99296008
1981-11-01,3097546.84933975
1981-12-01,3019516.30293664
1982-01-01,2994229.80573715
1982-02-01,2967422.73326298
1982-03-01,2942873.18370128
1982-04-01,2888227.85403003
1982-05-01,2853608.84313825
1982-06-01,2818198.31282296
1982-07-01,2793078.76338208
1982-08-01,2766618.87908205
1982-09-01,2735342.292346
1982-10-01,2703662.95988383
1982-11-01,2678792.24349025
1982-12-01,2667093.72697443
