"Date","M1017CM144NNBR"
1919-01-01,0.4
1919-02-01,2.05
1919-03-01,2.87
1919-04-01,6.18
1919-05-01,12.6
1919-06-01,4.19
1919-07-01,4.5
1919-08-01,5.7
1919-09-01,4.14
1919-10-01,12.13
1919-11-01,3.18
1919-12-01,6.22
1920-01-01,23.52
1920-02-01,11.7
1920-03-01,12.76
1920-04-01,11.16
1920-05-01,11.27
1920-06-01,2.45
1920-07-01,3.45
1920-08-01,0.12
1920-09-01,5.28
1920-10-01,5.64
1920-11-01,1.66
1920-12-01,2
1921-01-01,1.72
1921-02-01,5.06
1921-03-01,0.87
1921-04-01,7.11
1921-05-01,1.05
1921-06-01,2.66
1921-07-01,5.85
1921-08-01,2
1921-09-01,5.55
1921-10-01,5.09
1921-11-01,14.21
1921-12-01,2.02
1922-01-01,5.78
1922-02-01,8.3
1922-03-01,10.3
1922-04-01,3.77
1922-05-01,19.35
1922-06-01,37.9
1922-07-01,8.7
1922-08-01,9.16
1922-09-01,3.33
1922-10-01,22.55
1922-11-01,9.95
1922-12-01,22.8
1923-01-01,21.38
1923-02-01,15.66
1923-03-01,12.48
1923-04-01,2.44
1923-05-01,15.62
1923-06-01,23.9
1923-07-01,29.14
1923-08-01,21.64
1923-09-01,18.32
1923-10-01,25.86
1923-11-01,26.52
1923-12-01,37.94
1924-01-01,17.27
1924-02-01,13.71
1924-03-01,21.53
1924-04-01,29.08
1924-05-01,27.44
1924-06-01,16.38
1924-07-01,28.87
1924-08-01,19.07
1924-09-01,41.55
1924-10-01,32.48
1924-11-01,39.36
1924-12-01,46.66
1925-01-01,50.97
1925-02-01,35.59
1925-03-01,56.93
1925-04-01,58.69
1925-05-01,40.3
1925-06-01,114.12
1925-07-01,61.75
1925-08-01,33.79
1925-09-01,54.74
1925-10-01,81.32
1925-11-01,65.2
1925-12-01,62.08
1926-01-01,56.36
1926-02-01,42.18
1926-03-01,53.9
1926-04-01,50.03
1926-05-01,48.84
1926-06-01,93.44
1926-07-01,74.51
1926-08-01,51.81
1926-09-01,48.23
