"Date","LFWA64TTCAM647N"
1976-01-01,15015900
1976-02-01,15049000
1976-03-01,15081200
1976-04-01,15113400
1976-05-01,15145500
1976-06-01,15177600
1976-07-01,15209800
1976-08-01,15242200
1976-09-01,15267000
1976-10-01,15291100
1976-11-01,15314400
1976-12-01,15336500
1977-01-01,15364100
1977-02-01,15390900
1977-03-01,15413000
1977-04-01,15438100
1977-05-01,15468100
1977-06-01,15491100
1977-07-01,15514200
1977-08-01,15543300
1977-09-01,15566700
1977-10-01,15588700
1977-11-01,15611000
1977-12-01,15631900
1978-01-01,15658500
1978-02-01,15684600
1978-03-01,15705600
1978-04-01,15728400
1978-05-01,15757000
1978-06-01,15778100
1978-07-01,15797800
1978-08-01,15823400
1978-09-01,15844100
1978-10-01,15864900
1978-11-01,15885400
1978-12-01,15905300
1979-01-01,15930400
1979-02-01,15955100
1979-03-01,15975400
1979-04-01,16001900
1979-05-01,16022900
1979-06-01,16044700
1979-07-01,16070600
1979-08-01,16092800
1979-09-01,16115300
1979-10-01,16145000
1979-11-01,16168900
1979-12-01,16192500
1980-01-01,16220400
1980-02-01,16244000
1980-03-01,16266800
1980-04-01,16294600
1980-05-01,16318600
1980-06-01,16349100
1980-07-01,16370700
1980-08-01,16392900
1980-09-01,16420900
1980-10-01,16442900
1980-11-01,16464000
1980-12-01,16484400
1981-01-01,16508700
1981-02-01,16532100
1981-03-01,16551800
1981-04-01,16571700
1981-05-01,16592100
1981-06-01,16616900
1981-07-01,16635000
1981-08-01,16653400
1981-09-01,16675400
1981-10-01,16694100
1981-11-01,16712200
1981-12-01,16730300
1982-01-01,16751800
1982-02-01,16772100
1982-03-01,16789900
1982-04-01,16807700
1982-05-01,16826000
1982-06-01,16848300
1982-07-01,16864000
1982-08-01,16884200
1982-09-01,16900000
1982-10-01,16916200
1982-11-01,16932200
1982-12-01,16947700
1983-01-01,16966000
1983-02-01,16984200
1983-03-01,16998800
1983-04-01,17014000
1983-05-01,17032800
1983-06-01,17047000
1983-07-01,17059900
1983-08-01,17076800
1983-09-01,17090800
1983-10-01,17105200
1983-11-01,17120000
1983-12-01,17134600
1984-01-01,17151300
1984-02-01,17168500
1984-03-01,17182300
1984-04-01,17199500
1984-05-01,17214300
1984-06-01,17228900
1984-07-01,17244900
1984-08-01,17257900
1984-09-01,17271000
1984-10-01,17287200
1984-11-01,17300100
1984-12-01,17312200
1985-01-01,17326500
1985-02-01,17338600
1985-03-01,17350900
1985-04-01,17366400
1985-05-01,17379800
1985-06-01,17393100
1985-07-01,17408500
1985-08-01,17421800
1985-09-01,17439000
1985-10-01,17452900
1985-11-01,17467100
1985-12-01,17479800
1986-01-01,17496000
1986-02-01,17508600
1986-03-01,17521700
1986-04-01,17538500
1986-05-01,17552700
1986-06-01,17569700
1986-07-01,17581000
1986-08-01,17591500
