"Date","CANCP020000IXNBM"
2014-12-01,100
2015-01-01,100.6592792
2015-02-01,101.0009162
2015-03-01,101.2798449
2015-04-01,101.8679153
2015-05-01,102.1525485
2015-06-01,102.3773446
2015-07-01,102.4106111
2015-08-01,102.6316367
2015-09-01,102.8843223
2015-10-01,102.8552285
2015-11-01,103.4550242
2015-12-01,103.2207132
2016-01-01,103.957744
2016-02-01,104.5258922
2016-03-01,105.3590227
2016-04-01,105.6100005
2016-05-01,105.6631291
2016-06-01,105.6130724
2016-07-01,105.8951785
2016-08-01,106.0705483
2016-09-01,106.3861558
2016-10-01,106.6732313
2016-11-01,106.5474482
2016-12-01,106.4
2017-01-01,107.1
2017-02-01,107.4
2017-03-01,107.8
2017-04-01,108.2
2017-05-01,108.6
2017-06-01,109
2017-07-01,109.4
2017-08-01,109.5
2017-09-01,110
2017-10-01,109.9
2017-11-01,109.9
2017-12-01,109.7
2018-01-01,110.5
2018-02-01,111
2018-03-01,112.5
2018-04-01,114.1
2018-05-01,114.1
2018-06-01,114.8
2018-07-01,114.9
2018-08-01,115.1
2018-09-01,114.1
2018-10-01,115.2
2018-11-01,115.2
2018-12-01,114.7
2019-01-01,115.9
2019-02-01,116.1
2019-03-01,116.1
2019-04-01,116.4
2019-05-01,116.7
2019-06-01,116.3
2019-07-01,116.1
2019-08-01,116.1
2019-09-01,116.7
2019-10-01,116.3
2019-11-01,116.5
2019-12-01,114.8
2020-01-01,115.9
2020-02-01,115.9
2020-03-01,116
2020-04-01,116.4
2020-05-01,116.4
2020-06-01,116.5
2020-07-01,116.43361242937
2020-08-01,116.4
2020-09-01,116.5
2020-10-01,116.8
2020-11-01,116.6
2020-12-01,116.1
2021-01-01,117
2021-02-01,117.4
2021-03-01,117.8
2021-04-01,118.6
2021-05-01,119.6
2021-06-01,119.8
2021-07-01,119.4
2021-08-01,120
2021-09-01,119.7
2021-10-01,120
2021-11-01,120.1
2021-12-01,119.4
2022-01-01,121.3
2022-02-01,121.4
2022-03-01,122.1
2022-04-01,122.4
2022-05-01,122.8
2022-06-01,123
2022-07-01,123.7
2022-08-01,124.2
2022-09-01,124.2
2022-10-01,125.1
2022-11-01,125.5
2022-12-01,125.3
2023-01-01,127.1
2023-02-01,127.5
2023-03-01,128.8
2023-04-01,129.1
2023-05-01,129.6
2023-06-01,129.8
2023-07-01,130.3
2023-08-01,130.2
2023-09-01,130.3
2023-10-01,130.4
