"Date","LFWA25FECAM647N"
1976-01-01,4293600
1976-02-01,4302900
1976-03-01,4312100
1976-04-01,4321300
1976-05-01,4330500
1976-06-01,4339700
1976-07-01,4349000
1976-08-01,4358200
1976-09-01,4365400
1976-10-01,4372300
1976-11-01,4379100
1976-12-01,4385600
1977-01-01,4393900
1977-02-01,4402100
1977-03-01,4408700
1977-04-01,4416400
1977-05-01,4425500
1977-06-01,4432600
1977-07-01,4437500
1977-08-01,4446300
1977-09-01,4453400
1977-10-01,4460200
1977-11-01,4467300
1977-12-01,4474000
1978-01-01,4482600
1978-02-01,4491200
1978-03-01,4498200
1978-04-01,4505700
1978-05-01,4515000
1978-06-01,4522200
1978-07-01,4526500
1978-08-01,4535300
1978-09-01,4542400
1978-10-01,4549700
1978-11-01,4556800
1978-12-01,4563900
1979-01-01,4573000
1979-02-01,4582000
1979-03-01,4589400
1979-04-01,4599000
1979-05-01,4606700
1979-06-01,4614700
1979-07-01,4622000
1979-08-01,4630300
1979-09-01,4638900
1979-10-01,4650100
1979-11-01,4659200
1979-12-01,4668300
1980-01-01,4679200
1980-02-01,4688400
1980-03-01,4697300
1980-04-01,4708300
1980-05-01,4717500
1980-06-01,4729200
1980-07-01,4735000
1980-08-01,4743800
1980-09-01,4754900
1980-10-01,4763700
1980-11-01,4772300
1980-12-01,4780700
1981-01-01,4791000
1981-02-01,4801200
1981-03-01,4809800
1981-04-01,4818600
1981-05-01,4827700
1981-06-01,4839000
1981-07-01,4844800
1981-08-01,4854200
1981-09-01,4866000
1981-10-01,4875800
1981-11-01,4885700
1981-12-01,4895700
1982-01-01,4907900
1982-02-01,4920000
1982-03-01,4930100
1982-04-01,4940400
1982-05-01,4950500
1982-06-01,4963200
1982-07-01,4970200
1982-08-01,4981900
1982-09-01,4991200
1982-10-01,5000500
1982-11-01,5010000
1982-12-01,5019400
1983-01-01,5030800
1983-02-01,5042400
1983-03-01,5051500
1983-04-01,5060900
1983-05-01,5072500
1983-06-01,5081600
1983-07-01,5088500
1983-08-01,5099300
1983-09-01,5108300
1983-10-01,5117300
1983-11-01,5126600
1983-12-01,5135700
1984-01-01,5146900
1984-02-01,5158200
1984-03-01,5167300
1984-04-01,5178600
1984-05-01,5188100
1984-06-01,5197400
1984-07-01,5207300
1984-08-01,5216400
1984-09-01,5225500
1984-10-01,5236900
1984-11-01,5246000
1984-12-01,5255000
1985-01-01,5265800
1985-02-01,5274800
1985-03-01,5283900
1985-04-01,5295100
1985-05-01,5304400
1985-06-01,5313700
1985-07-01,5322000
1985-08-01,5331300
1985-09-01,5343000
1985-10-01,5352400
1985-11-01,5361900
1985-12-01,5371100
1986-01-01,5382700
1986-02-01,5392000
1986-03-01,5401500
1986-04-01,5413500
1986-05-01,5423300
1986-06-01,5435500
1986-07-01,5442900
1986-08-01,5452500
1986-09-01,5464500
1986-10-01,5474500
1986-11-01,5484400
1986-12-01,5494500
1987-01-01,5507200
1987-02-01,5520200
1987-03-01,5531000
1987-04-01,5541900
1987-05-01,5553100
1987-06-01,5567200
1987-07-01,5578500
1987-08-01,5589700
1987-09-01,5603600
1987-10-01,5614600
1987-11-01,5625600
