"Date","M0124A44M601NNBR"
1919-01-01,183
1919-02-01,162
1919-03-01,172
1919-04-01,181
1919-05-01,181
1919-06-01,177
1919-07-01,179
1919-08-01,182
1919-09-01,191
1919-10-01,200
1919-11-01,192
1919-12-01,194
1920-01-01,199
1920-02-01,167
1920-03-01,204
1920-04-01,209
1920-05-01,201
1920-06-01,203
1920-07-01,212
1920-08-01,201
1920-09-01,194
1920-10-01,196
1920-11-01,198
1920-12-01,189
1921-01-01,183
1921-02-01,157
1921-03-01,169
1921-04-01,188
1921-05-01,133
1921-06-01,148
1921-07-01,162
1921-08-01,175
1921-09-01,164
1921-10-01,188
1921-11-01,177
1921-12-01,186
1922-01-01,187
1922-02-01,178
1922-03-01,206
1922-04-01,199
1922-05-01,226
1922-06-01,223
1922-07-01,209
1922-08-01,232
1922-09-01,219
1922-10-01,228
1922-11-01,225
1922-12-01,220
1923-01-01,224
1923-02-01,208
1923-03-01,241
1923-04-01,223
1923-05-01,251
1923-06-01,245
1923-07-01,229
1923-08-01,243
1923-09-01,214
1923-10-01,240
1923-11-01,231
1923-12-01,223
1924-01-01,237
1924-02-01,231
1924-03-01,234
1924-04-01,246
1924-05-01,254
1924-06-01,241
1924-07-01,233
1924-08-01,234
1924-09-01,228
1924-10-01,247
1924-11-01,238
1924-12-01,238
1925-01-01,250
1925-02-01,231
1925-03-01,251
1925-04-01,256
1925-05-01,256
1925-06-01,254
1925-07-01,242
1925-08-01,241
1925-09-01,253
1925-10-01,282
1925-11-01,266
1925-12-01,278
1926-01-01,279
1926-02-01,268
1926-03-01,300
1926-04-01,302
1926-05-01,298
1926-06-01,306
1926-07-01,308
1926-08-01,300
1926-09-01,303
1926-10-01,318
1926-11-01,312
1926-12-01,302
1927-01-01,290
1927-02-01,264
1927-03-01,298
1927-04-01,297
1927-05-01,298
1927-06-01,291
1927-07-01,279
1927-08-01,304
1927-09-01,291
1927-10-01,306
1927-11-01,304
1927-12-01,305
1928-01-01,302
1928-02-01,297
1928-03-01,305
1928-04-01,311
1928-05-01,327
1928-06-01,307
1928-07-01,295
1928-08-01,312
1928-09-01,305
1928-10-01,344
1928-11-01,357
1928-12-01,330
1929-01-01,328
1929-02-01,295
1929-03-01,339
1929-04-01,342
1929-05-01,373
1929-06-01,338
1929-07-01,337
1929-08-01,343
1929-09-01,334
1929-10-01,375
1929-11-01,370
1929-12-01,351
1930-01-01,327
1930-02-01,288
1930-03-01,319
1930-04-01,331
1930-05-01,354
1930-06-01,319
1930-07-01,314
1930-08-01,298
1930-09-01,292
1930-10-01,325
1930-11-01,308
1930-12-01,288
1931-01-01,284
1931-02-01,254
1931-03-01,290
1931-04-01,309
1931-05-01,306
1931-06-01,297
1931-07-01,274
1931-08-01,256
1931-09-01,270
1931-10-01,293
1931-11-01,268
1931-12-01,260
1932-01-01,264
1932-02-01,235
1932-03-01,258
1932-04-01,279
1932-05-01,259
1932-06-01,248
1932-07-01,222
1932-08-01,232
1932-09-01,226
1932-10-01,236
1932-11-01,252
1932-12-01,220
1933-01-01,205
1933-02-01,188
1933-03-01,218
1933-04-01,237
1933-05-01,242
1933-06-01,261
1933-07-01,267
1933-08-01,280
1933-09-01,260
1933-10-01,274
1933-11-01,289
1933-12-01,254
1934-01-01,267
1934-02-01,239
1934-03-01,293
1934-04-01,303
1934-05-01,328
1934-06-01,305
1934-07-01,270
1934-08-01,301
1934-09-01,267
1934-10-01,310
1934-11-01,341
1934-12-01,341
1935-01-01,256
1935-02-01,230
1935-03-01,273
1935-04-01,314
1935-05-01,336
1935-06-01,305
1935-07-01,298
1935-08-01,300
1935-09-01,298
1935-10-01,349
1935-11-01,366
1935-12-01,345
1936-01-01,265
1936-02-01,287
1936-03-01,321
1936-04-01,333
1936-05-01,355
1936-06-01,323
1936-07-01,337
1936-08-01,354
1936-09-01,344
1936-10-01,398
1936-11-01,391
1936-12-01,456
1937-01-01,329
1937-02-01,308
1937-03-01,369
1937-04-01,394
1937-05-01,382
1937-06-01,380
1937-07-01,373
1937-08-01,402
1937-09-01,375
1937-10-01,410
1937-11-01,441
1937-12-01,433
1938-01-01,232
1938-02-01,225
1938-03-01,249
1938-04-01,272
1938-05-01,259
1938-06-01,275
1938-07-01,275
1938-08-01,271
1938-09-01,305
1938-10-01,327
1938-11-01,341
1938-12-01,303
1939-01-01,275
1939-02-01,250
1939-03-01,287
1939-04-01,292
1939-05-01,359
1939-06-01,317
1939-07-01,297
1939-08-01,303
1939-09-01,346
1939-10-01,369
1939-11-01,369
1939-12-01,343
1940-01-01,325
1940-02-01,291
1940-03-01,322
1940-04-01,353
1940-05-01,423
1940-06-01,424
1940-07-01,424
1940-08-01,414
1940-09-01,362
1940-10-01,377
1940-11-01,374
1940-12-01,360
1941-01-01,328
1941-02-01,321
1941-03-01,351
1941-04-01,377
1941-05-01,383
1941-06-01,367
1941-07-01,385
1941-08-01,378
1941-09-01,385
1941-10-01,392
1941-11-01,405
1941-12-01,403
1942-01-01,373
1942-02-01,340
1942-03-01,390
1942-04-01,320
1942-05-01,343
1942-06-01,332
1942-07-01,320
1942-08-01,335
1942-09-01,376
1942-10-01,381
1942-11-01,331
1942-12-01,319
1943-01-01,285
1943-02-01,283
1943-03-01,320
1943-04-01,314
1943-05-01,325
1943-06-01,341
1943-07-01,352
1943-08-01,326
1943-09-01,308
1943-10-01,325
1943-11-01,328
1943-12-01,306
1944-01-01,271
1944-02-01,281
1944-03-01,293
1944-04-01,313
1944-05-01,338
1944-06-01,329
1944-07-01,310
1944-08-01,336
1944-09-01,314
1944-10-01,326
1944-11-01,321
1944-12-01,292
1945-01-01,292
1945-02-01,276
1945-03-01,333
1945-04-01,323
1945-05-01,328
1945-06-01,315
1945-07-01,340
1945-08-01,362
1945-09-01,337
1945-10-01,368
1945-11-01,360
1945-12-01,325
1946-01-01,382
1946-02-01,344
1946-03-01,388
1946-04-01,416
1946-05-01,433
1946-06-01,384
1946-07-01,425
1946-08-01,424
1946-09-01,391
1946-10-01,454
1946-11-01,453
1946-12-01,402
1947-01-01,414
1947-02-01,385
1947-03-01,443
1947-04-01,450
1947-05-01,472
1947-06-01,442
1947-07-01,448
1947-08-01,457
1947-09-01,450
1947-10-01,463
1947-11-01,460
1947-12-01,439
1948-01-01,415
1948-02-01,391
1948-03-01,447
1948-04-01,450
1948-05-01,469
1948-06-01,456
1948-07-01,448
1948-08-01,468
1948-09-01,457
1948-10-01,466
1948-11-01,478
1948-12-01,480
