"Date","LFACTTTTCAM647S"
1960-01-01,6328411.95602415
1960-02-01,6353237.04775159
1960-03-01,6368539.52049548
1960-04-01,6367425.65645511
1960-05-01,6402510.63484324
1960-06-01,6387110.52006663
1960-07-01,6380480.44775362
1960-08-01,6433287.45264101
1960-09-01,6450344.29131225
1960-10-01,6477618.27081549
1960-11-01,6484099.77096621
1960-12-01,6488974.73455665
1961-01-01,6523840.28637948
1961-02-01,6502487.12862287
1961-03-01,6489891.56326672
1961-04-01,6546736.86021794
1961-05-01,6551346.76931217
1961-06-01,6509072.43378499
1961-07-01,6507146.68587499
1961-08-01,6497695.48066657
1961-09-01,6516536.83879709
1961-10-01,6516447.43973944
1961-11-01,6528846.86012922
1961-12-01,6553724.46329657
1962-01-01,6548940.02386563
1962-02-01,6576879.55161594
1962-03-01,6599796.71744592
1962-04-01,6607291.68841888
1962-05-01,6608640.24467815
1962-06-01,6657717.55117127
1962-07-01,6625247.87862794
1962-08-01,6640855.64136764
1962-09-01,6627194.67605132
1962-10-01,6597422.81386787
1962-11-01,6640794.53229615
1962-12-01,6639767.73278566
1963-01-01,6651949.25295499
1963-02-01,6668115.94244587
1963-03-01,6670452.99486764
1963-04-01,6686449.72056094
1963-05-01,6683831.12991352
1963-06-01,6732930.67979305
1963-07-01,6764043.38708199
1963-08-01,6782060.31287005
1963-09-01,6804096.72506236
1963-10-01,6839849.58986693
1963-11-01,6835968.78961318
1963-12-01,6847387.25909498
1964-01-01,6865020.26396557
1964-02-01,6878658.67804862
1964-03-01,6897914.65241003
1964-04-01,6901343.84669439
1964-05-01,6923555.43672814
1964-06-01,6922092.9425186
1964-07-01,6941260.00711776
1964-08-01,6954168.31467801
1964-09-01,6966659.36549421
1964-10-01,6971806.40075583
1964-11-01,6995676.09447628
1964-12-01,6975906.74092297
1965-01-01,7057000
1965-02-01,7063000
1965-03-01,7096000
1965-04-01,7107000
1965-05-01,7117000
1965-06-01,7140000
1965-07-01,7148000
1965-08-01,7171000
1965-09-01,7129000
1965-10-01,7151000
1965-11-01,7199000
1965-12-01,7274000
1966-01-01,7382000
1966-02-01,7420000
1966-03-01,7430000
1966-04-01,7460000
1966-05-01,7429000
1966-06-01,7397000
1966-07-01,7478000
1966-08-01,7540000
1966-09-01,7580000
1966-10-01,7596000
1966-11-01,7566000
1966-12-01,7627000
1967-01-01,7650000
1967-02-01,7668000
1967-03-01,7745000
1967-04-01,7680000
1967-05-01,7733000
1967-06-01,7696000
1967-07-01,7777000
1967-08-01,7799000
1967-09-01,7778000
1967-10-01,7761000
1967-11-01,7817000
1967-12-01,7859000
1968-01-01,7810000
1968-02-01,7834000
1968-03-01,7828000
1968-04-01,7867000
1968-05-01,7859000
1968-06-01,7956000
1968-07-01,7958000
1968-08-01,7988000
1968-09-01,8022000
1968-10-01,8054000
1968-11-01,8115000
1968-12-01,8088000
1969-01-01,8150000
1969-02-01,8174000
1969-03-01,8175000
1969-04-01,8232000
1969-05-01,8222000
1969-06-01,8181000
1969-07-01,8170000
1969-08-01,8188000
1969-09-01,8180000
1969-10-01,8204000
1969-11-01,8218000
1969-12-01,8249000
1970-01-01,8227000
1970-02-01,8267000
1970-03-01,8286000
1970-04-01,8339000
1970-05-01,8415000
1970-06-01,8442000
1970-07-01,8448000
1970-08-01,8436000
1970-09-01,8474000
1970-10-01,8486000
1970-11-01,8514000
1970-12-01,8473000
1971-01-01,8539000
1971-02-01,8558000
1971-03-01,8527000
1971-04-01,8516000
1971-05-01,8564000
1971-06-01,8602000
1971-07-01,8668000
1971-08-01,8652000
1971-09-01,8705000
1971-10-01,8772000
1971-11-01,8760000
1971-12-01,8786000
1972-01-01,8785000
1972-02-01,8771000
1972-03-01,8858000
1972-04-01,8811000
1972-05-01,8820000
1972-06-01,8882000
1972-07-01,8933000
1972-08-01,8942000
1972-09-01,8943000
1972-10-01,8958000
1972-11-01,9012000
1972-12-01,9066000
1973-01-01,9088000
1973-02-01,9154000
1973-03-01,9198000
1973-04-01,9250000
1973-05-01,9251000
1973-06-01,9320000
1973-07-01,9222000
1973-08-01,9272000
1973-09-01,9290000
1973-10-01,9376000
1973-11-01,9409000
1973-12-01,9444000
1974-01-01,9504000
1974-02-01,9525000
1974-03-01,9531000
1974-04-01,9592000
1974-05-01,9574000
1974-06-01,9565000
1974-07-01,9634000
1974-08-01,9703000
1974-09-01,9697000
1974-10-01,9730000
1974-11-01,9771000
1974-12-01,9840000
1975-01-01,9810000
1975-02-01,9824000
1975-03-01,9808000
1975-04-01,9851000
1975-05-01,9950000
1975-06-01,10012000
1975-07-01,9983000
1975-08-01,9984000
1975-09-01,10034000
1975-10-01,10090000
1975-11-01,10145000
1975-12-01,10177000
1976-01-01,10369700
1976-02-01,10389800
1976-03-01,10395700
1976-04-01,10451300
1976-05-01,10446100
1976-06-01,10469600
1976-07-01,10539400
1976-08-01,10524100
1976-09-01,10531900
1976-10-01,10565100
1976-11-01,10609500
1976-12-01,10657300
1977-01-01,10681100
1977-02-01,10716100
1977-03-01,10701700
1977-04-01,10741500
1977-05-01,10749700
1977-06-01,10749000
1977-07-01,10784300
1977-08-01,10819400
1977-09-01,10839000
1977-10-01,10875500
1977-11-01,10901700
1977-12-01,10928900
1978-01-01,10918100
1978-02-01,10981400
1978-03-01,11041600
1978-04-01,11060300
1978-05-01,11100500
1978-06-01,11146100
1978-07-01,11188400
1978-08-01,11235500
1978-09-01,11252700
1978-10-01,11293700
1978-11-01,11332900
1978-12-01,11366100
1979-01-01,11421200
1979-02-01,11407300
1979-03-01,11440800
1979-04-01,11474900
1979-05-01,11483200
1979-06-01,11496100
1979-07-01,11537000
1979-08-01,11563800
1979-09-01,11569100
1979-10-01,11652200
1979-11-01,11678100
1979-12-01,11708100
1980-01-01,11760100
1980-02-01,11796900
1980-03-01,11798900
1980-04-01,11846700
1980-05-01,11815500
1980-06-01,11855100
1980-07-01,11840600
1980-08-01,11878100
1980-09-01,11928100
1980-10-01,11956200
1980-11-01,11984700
1980-12-01,12014100
1981-01-01,12098800
1981-02-01,12183100
1981-03-01,12181200
1981-04-01,12184100
1981-05-01,12223000
1981-06-01,12263600
1981-07-01,12215800
1981-08-01,12215000
1981-09-01,12332600
1981-10-01,12320500
1981-11-01,12311000
1981-12-01,12307700
1982-01-01,12265300
1982-02-01,12259700
1982-03-01,12280200
1982-04-01,12281100
1982-05-01,12293300
1982-06-01,12304800
1982-07-01,12358800
1982-08-01,12314300
1982-09-01,12333700
1982-10-01,12389300
1982-11-01,12364600
1982-12-01,12398500
1983-01-01,12374000
1983-02-01,12391800
1983-03-01,12429600
1983-04-01,12486300
1983-05-01,12509000
1983-06-01,12578700
1983-07-01,12566200
1983-08-01,12599500
1983-09-01,12606300
1983-10-01,12582500
1983-11-01,12577900
1983-12-01,12616500
1984-01-01,12591900
1984-02-01,12629300
1984-03-01,12630600
1984-04-01,12654500
1984-05-01,12739500
1984-06-01,12757400
1984-07-01,12783700
1984-08-01,12790400
1984-09-01,12901700
1984-10-01,12843300
1984-11-01,12853400
1984-12-01,12856200
1985-01-01,12846400
1985-02-01,12892300
